,microsoft/typescript,google/closure-compiler,rescript-lang/rescript-compiler
2022-07-08,1,4,1
2022-07-09,1,2,12
2022-07-10,0,0,6
2022-07-11,1,1,6
2022-07-12,2,3,3
2022-07-13,2,4,1
2022-07-14,5,6,15
2022-07-15,2,4,14
2022-07-16,2,0,2
2022-07-17,0,0,3
2022-07-18,4,2,74
2022-07-19,8,2,1
2022-07-20,4,4,4
2022-07-21,1,4,16
2022-07-22,3,2,2
2022-07-23,1,0,9
2022-07-24,2,0,4
2022-07-25,6,10,0
2022-07-26,4,2,0
2022-07-27,9,6,0
2022-07-28,3,8,0
2022-07-29,7,4,0
2022-07-30,2,0,0
2022-07-31,2,0,0
2022-08-01,5,1,0
2022-08-02,2,9,0
2022-08-03,8,2,0
2022-08-04,3,9,0
2022-08-05,3,6,0
2022-08-06,1,0,0
2022-08-07,2,1,0
2022-08-08,2,0,0
2022-08-09,12,2,0
2022-08-10,10,11,0
2022-08-11,4,3,0
2022-08-12,2,5,0
2022-08-13,1,1,0
2022-08-14,2,2,0
2022-08-15,7,5,0
2022-08-16,7,5,1
2022-08-17,3,7,0
2022-08-18,6,6,0
2022-08-19,6,4,0
2022-08-20,1,1,0
2022-08-21,2,0,0
2022-08-22,4,3,1
2022-08-23,5,3,2
2022-08-24,4,2,2
2022-08-25,6,3,0
2022-08-26,10,1,0
2022-08-27,3,0,0
2022-08-28,1,0,0
2022-08-29,3,2,0
2022-08-30,3,7,2
2022-08-31,5,1,16
2022-09-01,7,5,6
2022-09-02,5,3,0
2022-09-03,1,0,0
2022-09-04,0,0,0
2022-09-05,0,0,2
2022-09-06,5,3,1
2022-09-07,3,6,10
2022-09-08,4,2,0
2022-09-09,3,3,6
2022-09-10,1,0,4
2022-09-11,0,1,6
2022-09-12,8,1,0
2022-09-13,4,3,5
2022-09-14,3,2,1
2022-09-15,6,11,8
2022-09-16,8,5,2
2022-09-17,2,1,3
2022-09-18,1,0,2
2022-09-19,6,13,15
2022-09-20,9,11,2
2022-09-21,8,8,7
2022-09-22,6,13,1
2022-09-23,5,3,3
2022-09-24,1,0,14
2022-09-25,1,0,0
2022-09-26,5,3,0
2022-09-27,2,1,0
2022-09-28,5,2,2
2022-09-29,6,3,10
2022-09-30,3,2,0
2022-10-01,1,1,4
2022-10-02,0,0,0
2022-10-03,4,3,17
2022-10-04,5,1,0
2022-10-05,3,1,13
2022-10-06,2,5,1
2022-10-07,5,2,0
2022-10-08,1,0,0
2022-10-09,0,0,1
2022-10-10,3,4,0
2022-10-11,2,2,2
2022-10-12,1,0,1
2022-10-13,8,6,1
2022-10-14,3,4,0
2022-10-15,1,0,1
2022-10-16,2,0,6
2022-10-17,3,1,0
2022-10-18,5,2,0
2022-10-19,6,5,1
2022-10-20,3,3,0
2022-10-21,5,2,0
2022-10-22,2,1,0
2022-10-23,1,0,0
2022-10-24,2,2,4
2022-10-25,4,1,0
2022-10-26,4,2,1
2022-10-27,2,0,1
2022-10-28,5,0,9
2022-10-29,1,0,1
2022-10-30,1,0,1
2022-10-31,5,0,9
2022-11-01,2,2,2
2022-11-02,7,1,0
2022-11-03,3,1,3
2022-11-04,1,2,2
2022-11-05,2,0,1
2022-11-06,1,0,0
2022-11-07,44,4,5
2022-11-08,8,1,1
2022-11-09,7,1,4
2022-11-10,3,4,3
2022-11-11,5,4,0
2022-11-12,1,0,19
2022-11-13,0,0,1
2022-11-14,1,2,6
2022-11-15,8,5,1
2022-11-16,3,3,10
2022-11-17,4,7,4
2022-11-18,3,2,1
2022-11-19,1,1,3
2022-11-20,2,0,20
2022-11-21,1,2,2
2022-11-22,2,2,0
2022-11-23,1,4,3
2022-11-24,1,0,7
2022-11-25,0,0,5
2022-11-26,0,0,1
2022-11-27,0,0,2
2022-11-28,3,2,5
2022-11-29,6,1,0
2022-11-30,4,1,1
2022-12-01,3,2,1
2022-12-02,3,1,1
2022-12-03,1,0,0
2022-12-04,1,0,0
2022-12-05,7,3,0
2022-12-06,10,0,2
2022-12-07,9,2,3
2022-12-08,4,1,8
2022-12-09,12,3,2
2022-12-10,1,0,0
2022-12-11,1,0,0
2022-12-12,6,3,2
2022-12-13,9,4,2
2022-12-14,2,3,0
2022-12-15,6,3,1
2022-12-16,6,1,0
2022-12-17,2,0,0
2022-12-18,1,0,0
2022-12-19,3,1,0
2022-12-20,7,1,1
2022-12-21,1,1,0
2022-12-22,1,1,1
2022-12-23,0,1,0
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,1
2022-12-27,1,1,0
2022-12-28,2,1,0
2022-12-29,0,0,1
2022-12-30,4,1,0
2022-12-31,1,0,0
2023-01-01,0,0,1
2023-01-02,1,1,0
2023-01-03,3,1,0
2023-01-04,1,4,0
2023-01-05,5,0,1
2023-01-06,6,1,2
2023-01-07,2,0,1
2023-01-08,1,0,1
2023-01-09,8,1,0
2023-01-10,9,1,2
2023-01-11,7,1,0
2023-01-12,4,3,1
2023-01-13,8,0,0
2023-01-14,1,1,2
2023-01-15,1,0,0
2023-01-16,1,0,0
2023-01-17,7,0,1
2023-01-18,4,1,1
2023-01-19,8,3,0
2023-01-20,19,1,0
2023-01-21,5,1,1
2023-01-22,1,0,0
2023-01-23,5,1,0
2023-01-24,3,2,0
2023-01-25,7,0,1
2023-01-26,2,3,0
2023-01-27,6,2,0
2023-01-28,1,0,1
2023-01-29,1,0,0
2023-01-30,3,0,1
2023-01-31,5,3,0
2023-02-01,11,0,3
2023-02-02,11,1,0
2023-02-03,7,1,1
2023-02-04,2,0,2
2023-02-05,1,0,0
2023-02-06,8,1,4
2023-02-07,4,1,0
2023-02-08,2,2,4
2023-02-09,8,2,1
2023-02-10,4,1,1
2023-02-11,1,2,0
2023-02-12,0,0,0
2023-02-13,5,1,0
2023-02-14,10,2,0
2023-02-15,4,0,0
2023-02-16,10,2,1
2023-02-17,5,2,0
2023-02-18,5,0,0
2023-02-19,0,0,2
2023-02-20,1,0,0
2023-02-21,8,2,0
2023-02-22,7,1,0
2023-02-23,4,3,0
2023-02-24,3,3,1
2023-02-25,0,1,0
2023-02-26,1,0,0
2023-02-27,5,2,0
2023-02-28,6,1,0
2023-03-01,19,0,1
2023-03-02,4,1,1
2023-03-03,5,1,7
2023-03-04,2,1,0
2023-03-05,0,0,4
2023-03-06,5,4,3
2023-03-07,20,1,0
2023-03-08,9,1,2
2023-03-09,6,4,3
2023-03-10,5,4,3
2023-03-11,1,0,1
2023-03-12,1,0,2
2023-03-13,2,2,0
2023-03-14,10,3,1
2023-03-15,8,0,2
2023-03-16,8,2,11
2023-03-17,7,2,7
2023-03-18,0,3,0
2023-03-19,2,0,0
2023-03-20,22,2,4
2023-03-21,14,4,6
2023-03-22,7,1,1
2023-03-23,12,3,0
2023-03-24,3,4,8
2023-03-25,1,2,0
2023-03-26,1,0,2
2023-03-27,6,1,1
2023-03-28,5,2,1
2023-03-29,4,2,1
2023-03-30,3,0,0
2023-03-31,6,0,0
2023-04-01,2,0,0
2023-04-02,1,0,0
2023-04-03,3,2,3
2023-04-04,2,4,0
2023-04-05,5,0,0
2023-04-06,6,2,1
2023-04-07,3,2,0
2023-04-08,1,0,1
2023-04-09,0,0,2
2023-04-10,6,1,4
2023-04-11,5,1,8
2023-04-12,5,0,5
2023-04-13,5,1,23
2023-04-14,6,1,4
2023-04-15,3,0,10
2023-04-16,2,0,4
2023-04-17,8,1,2
2023-04-18,8,2,3
2023-04-19,4,1,2
2023-04-20,10,1,2
2023-04-21,4,2,1
2023-04-22,1,1,1
2023-04-23,1,0,2
2023-04-24,2,0,2
2023-04-25,6,1,0
2023-04-26,6,0,3
2023-04-27,4,2,6
2023-04-28,2,2,0
2023-04-29,1,0,5
2023-04-30,1,0,5
2023-05-01,1,3,1
2023-05-02,8,0,2
2023-05-03,2,0,1
2023-05-04,2,1,1
2023-05-05,5,0,4
2023-05-06,1,0,0
2023-05-07,0,0,0
2023-05-08,2,1,0
2023-05-09,8,4,1
2023-05-10,1,2,1
2023-05-11,3,7,0
2023-05-12,4,1,17
2023-05-13,2,0,0
2023-05-14,1,0,2
2023-05-15,4,5,0
2023-05-16,3,2,4
2023-05-17,3,0,0
2023-05-18,4,2,1
2023-05-19,3,1,0
2023-05-20,4,0,0
2023-05-21,1,0,0
2023-05-22,4,3,4
2023-05-23,1,1,1
2023-05-24,11,5,1
2023-05-25,4,4,0
2023-05-26,7,0,0
2023-05-27,0,0,4
2023-05-28,0,0,2
2023-05-29,0,0,0
2023-05-30,5,3,0
2023-05-31,1,3,0
2023-06-01,5,6,3
2023-06-02,3,7,0
2023-06-03,1,1,2
2023-06-04,0,0,0
2023-06-05,5,8,0
2023-06-06,5,8,0
2023-06-07,2,5,2
2023-06-08,6,5,4
2023-06-09,4,5,2
2023-06-10,1,1,0
2023-06-11,1,0,0
2023-06-12,5,2,0
2023-06-13,6,9,0
2023-06-14,2,1,0
2023-06-15,1,2,0
2023-06-16,2,1,0
2023-06-17,1,0,0
2023-06-18,0,0,0
2023-06-19,0,0,0
2023-06-20,5,3,0
2023-06-21,3,6,3
2023-06-22,4,3,2
2023-06-23,5,3,0
2023-06-24,1,0,0
2023-06-25,1,0,1
2023-06-26,9,6,1
2023-06-27,5,3,1
2023-06-28,2,4,2
2023-06-29,4,2,1
2023-06-30,6,3,0
2023-07-01,2,0,0
2023-07-02,0,0,0
2023-07-03,3,0,0
2023-07-04,1,0,1
2023-07-05,2,1,0
2023-07-06,4,1,0
2023-07-07,3,1,1
