,mastodon/mastodon,friendica/friendica,diaspora/diaspora
2020-02-20,0,10,1
2020-02-21,0,0,0
2020-02-22,3,4,0
2020-02-23,0,5,0
2020-02-24,4,7,0
2020-02-25,0,5,0
2020-02-26,0,2,0
2020-02-27,2,1,0
2020-02-28,1,8,0
2020-02-29,2,20,0
2020-03-01,1,13,0
2020-03-02,0,12,0
2020-03-03,0,13,0
2020-03-04,0,6,1
2020-03-05,3,11,0
2020-03-06,3,4,0
2020-03-07,0,13,0
2020-03-08,17,10,0
2020-03-09,4,24,0
2020-03-10,4,12,0
2020-03-11,0,11,0
2020-03-12,3,6,0
2020-03-13,0,2,0
2020-03-14,0,2,0
2020-03-15,0,0,0
2020-03-16,0,2,0
2020-03-17,1,0,0
2020-03-18,0,1,0
2020-03-19,0,2,0
2020-03-20,0,5,71
2020-03-21,6,10,2
2020-03-22,2,18,0
2020-03-23,0,8,0
2020-03-24,0,3,0
2020-03-25,4,12,0
2020-03-26,2,3,0
2020-03-27,1,0,0
2020-03-28,1,9,2
2020-03-29,0,14,0
2020-03-30,1,7,0
2020-03-31,6,2,0
2020-04-01,0,15,0
2020-04-02,4,1,0
2020-04-03,1,2,0
2020-04-04,4,9,0
2020-04-05,8,16,0
2020-04-06,3,2,0
2020-04-07,1,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,1,0,0
2020-04-11,0,0,0
2020-04-12,4,0,0
2020-04-13,1,4,0
2020-04-14,0,5,0
2020-04-15,3,19,0
2020-04-16,3,3,0
2020-04-17,3,6,0
2020-04-18,2,7,0
2020-04-19,1,5,0
2020-04-20,1,7,0
2020-04-21,1,4,0
2020-04-22,0,3,0
2020-04-23,2,5,0
2020-04-24,0,19,0
2020-04-25,3,8,0
2020-04-26,1,17,0
2020-04-27,3,7,0
2020-04-28,7,23,0
2020-04-29,0,7,0
2020-04-30,1,3,0
2020-05-01,2,14,0
2020-05-02,0,10,0
2020-05-03,4,3,0
2020-05-04,2,11,0
2020-05-05,0,29,0
2020-05-06,0,18,0
2020-05-07,0,12,0
2020-05-08,5,6,0
2020-05-09,2,16,0
2020-05-10,12,8,0
2020-05-11,0,8,0
2020-05-12,5,4,0
2020-05-13,3,4,0
2020-05-14,5,10,0
2020-05-15,5,28,0
2020-05-16,0,20,0
2020-05-17,1,17,0
2020-05-18,0,15,0
2020-05-19,0,6,0
2020-05-20,0,5,0
2020-05-21,0,6,0
2020-05-22,0,9,0
2020-05-23,3,0,0
2020-05-24,1,4,0
2020-05-25,1,0,0
2020-05-26,0,6,0
2020-05-27,0,18,0
2020-05-28,1,5,0
2020-05-29,2,8,0
2020-05-30,0,4,0
2020-05-31,3,3,0
2020-06-01,1,3,0
2020-06-02,3,3,0
2020-06-03,6,12,0
2020-06-04,1,7,0
2020-06-05,3,8,0
2020-06-06,2,13,0
2020-06-07,0,14,0
2020-06-08,4,10,0
2020-06-09,8,13,0
2020-06-10,3,17,0
2020-06-11,0,2,1
2020-06-12,0,5,0
2020-06-13,0,3,6
2020-06-14,2,10,8
2020-06-15,1,9,0
2020-06-16,0,7,0
2020-06-17,2,7,0
2020-06-18,0,9,0
2020-06-19,1,4,0
2020-06-20,3,3,0
2020-06-21,2,3,0
2020-06-22,1,1,0
2020-06-23,4,9,0
2020-06-24,4,5,2
2020-06-25,11,10,0
2020-06-26,2,5,0
2020-06-27,1,11,0
2020-06-28,1,14,0
2020-06-29,6,2,0
2020-06-30,2,9,0
2020-07-01,7,4,0
2020-07-02,1,2,0
2020-07-03,5,0,0
2020-07-04,0,3,0
2020-07-05,1,1,0
2020-07-06,5,5,0
2020-07-07,9,3,0
2020-07-08,6,7,2
2020-07-09,4,11,0
2020-07-10,7,7,0
2020-07-11,1,14,0
2020-07-12,3,13,0
2020-07-13,1,10,0
2020-07-14,4,9,0
2020-07-15,8,6,0
2020-07-16,1,15,0
2020-07-17,3,11,0
