,rclone/rclone,iterate-ch/cyberduck,aws/aws-cli
2020-11-18,2,5,4
2020-11-19,1,4,3
2020-11-20,0,13,8
2020-11-21,0,1,0
2020-11-22,0,0,0
2020-11-23,8,7,4
2020-11-24,0,9,3
2020-11-25,9,9,4
2020-11-26,5,5,0
2020-11-27,7,5,0
2020-11-28,0,4,0
2020-11-29,10,1,0
2020-11-30,1,7,1
2020-12-01,5,5,8
2020-12-02,8,2,3
2020-12-03,0,2,4
2020-12-04,0,2,3
2020-12-05,0,0,1
2020-12-06,2,0,0
2020-12-07,4,3,3
2020-12-08,0,3,5
2020-12-09,3,8,3
2020-12-10,1,11,3
2020-12-11,3,6,3
2020-12-12,0,1,0
2020-12-13,0,0,0
2020-12-14,0,2,3
2020-12-15,0,7,4
2020-12-16,0,12,3
2020-12-17,2,0,4
2020-12-18,1,2,3
2020-12-19,0,0,0
2020-12-20,0,6,0
2020-12-21,1,8,4
2020-12-22,0,4,3
2020-12-23,0,2,4
2020-12-24,0,0,1
2020-12-25,0,0,0
2020-12-26,4,1,0
2020-12-27,15,2,0
2020-12-28,22,1,3
2020-12-29,4,2,4
2020-12-30,4,1,3
2020-12-31,5,6,3
2021-01-01,0,1,0
2021-01-02,2,3,0
2021-01-03,0,3,0
2021-01-04,0,5,3
2021-01-05,7,3,3
2021-01-06,2,12,3
2021-01-07,2,5,3
2021-01-08,10,0,1
2021-01-09,0,3,0
2021-01-10,8,1,0
2021-01-11,2,5,4
2021-01-12,1,16,4
2021-01-13,1,6,4
2021-01-14,0,22,3
2021-01-15,0,7,4
2021-01-16,0,0,0
2021-01-17,1,0,0
2021-01-18,3,10,0
2021-01-19,6,10,4
2021-01-20,2,0,1
2021-01-21,12,4,5
2021-01-22,2,6,4
2021-01-23,0,6,0
2021-01-24,0,8,0
2021-01-25,2,13,0
2021-01-26,6,20,3
2021-01-27,10,2,4
2021-01-28,9,0,15
2021-01-29,4,1,3
2021-01-30,14,0,1
2021-01-31,0,0,0
2021-02-01,3,5,4
2021-02-02,5,6,4
2021-02-03,8,1,4
2021-02-04,3,8,4
2021-02-05,0,5,5
2021-02-06,0,0,0
2021-02-07,11,0,1
2021-02-08,3,8,7
2021-02-09,1,3,3
2021-02-10,5,1,2
2021-02-11,5,6,4
2021-02-12,3,8,6
2021-02-13,11,0,0
2021-02-14,0,0,0
2021-02-15,0,3,3
2021-02-16,10,8,3
2021-02-17,12,1,6
2021-02-18,1,9,3
2021-02-19,1,1,5
