,reactivex/rxjava,reactor/reactor-core,Kotlin/kotlinx.coroutines
2016-06-22,11,1,3.0
2016-06-23,10,2,2.0999999999999996
2016-06-24,7,3,-1.2149999999999999
2016-06-25,10,0,-0.4934999999999997
2016-06-26,4,0,-0.2989874999999999
2016-06-27,3,1,-0.20964824999999998
2016-06-28,2,0,1.8409966625
2016-06-29,1,0,-0.72671440875
2016-06-30,0,1,-0.314501971546875
2016-07-01,1,3,-0.20738038999531264
2016-07-02,1,0,-0.12107523969843756
2016-07-03,0,0,-0.05944049999999999
2016-07-04,0,4,-0.04656172499999999
2016-07-05,3,4,-0.037914547500000007
2016-07-06,1,0,2.96824656646875
2016-07-07,0,1,2.0728331735343746
2016-07-08,0,2,-1.2149999999999999
2016-07-09,0,0,-0.4934999999999997
2016-07-10,0,0,-0.2989874999999999
2016-07-11,1,0,-0.20964824999999998
2016-07-12,1,7,-0.15900333749999995
2016-07-13,1,0,-0.12671440875
2016-07-14,1,12,-0.10450197154687514
2016-07-15,0,12,-0.0883803899953127
2016-07-16,0,3,-0.04075023969843757
2016-07-17,0,7,1.0
2016-07-18,1,23,-0.30000000000000004
2016-07-19,1,3,-0.10499999999999993
2016-07-20,0,4,-0.05949999999999997
2016-07-21,0,1,-0.0401625
2016-07-22,2,0,-0.029720249999999997
2016-07-23,0,0,-0.023280862499999996
2016-07-24,0,0,-0.018957273750000003
2016-07-25,0,0,-0.015876716765625045
2016-07-26,0,1,-0.013583413232812524
2016-07-27,0,0,3.0
2016-07-28,0,1,-0.9000000000000001
2016-07-29,0,11,-0.3149999999999998
2016-07-30,0,14,-0.1784999999999999
2016-07-31,0,2,-0.1204875
2016-08-01,0,3,-0.08916074999999998
2016-08-02,2,4,-0.06984258749999998
2016-08-03,1,0,-0.05687182125000001
2016-08-04,0,0,-0.04763015029687513
2016-08-05,0,0,-0.04075023969843757
2016-08-06,5,1,0.0
2016-08-07,12,0,0.0
2016-08-08,10,15,0.0
2016-08-09,5,3,0.0
2016-08-10,6,1,0.0
2016-08-11,2,7,0.0
2016-08-12,1,14,0.0
2016-08-13,0,0,0.0
2016-08-14,1,0,0.0
2016-08-15,1,4,0.0
2016-08-16,4,0,0.0
2016-08-17,1,2,0.0
2016-08-18,5,11,0.0
2016-08-19,2,0,0.0
2016-08-20,3,0,0.0
2016-08-21,10,0,0.0
2016-08-22,1,5,0.0
2016-08-23,4,5,0.0
2016-08-24,4,1,0.0
2016-08-25,4,12,0.0
2016-08-26,3,7,0.0
2016-08-27,2,0,0.0
2016-08-28,1,4,0.0
2016-08-29,1,0,0.0
2016-08-30,2,7,0.0
2016-08-31,3,12,0.0
2016-09-01,3,9,0.0
2016-09-02,2,6,0.0
2016-09-03,1,0,0.0
2016-09-04,0,0,0.0
2016-09-05,2,13,0.0
2016-09-06,5,3,0.0
2016-09-07,3,8,0.0
2016-09-08,13,0,0.0
2016-09-09,4,0,0.0
2016-09-10,1,0,0.0
2016-09-11,3,0,0.0
2016-09-12,7,0,0.0
2016-09-13,4,0,0.0
2016-09-14,2,0,0.0
2016-09-15,2,0,0.0
2016-09-16,0,1,0.0
2016-09-17,0,0,0.0
2016-09-18,0,0,0.0
2016-09-19,0,1,0.0
2016-09-20,4,0,0.0
2016-09-21,2,1,0.0
2016-09-22,6,0,0.0
2016-09-23,8,2,0.0
2016-09-24,0,0,0.0
2016-09-25,7,0,0.0
2016-09-26,4,0,0.0
2016-09-27,5,0,0.0
2016-09-28,4,0,0.0
2016-09-29,11,0,0.0
2016-09-30,2,0,0.0
2016-10-01,2,0,0.0
2016-10-02,1,0,0.0
2016-10-03,1,2,0.0
2016-10-04,2,2,0.0
2016-10-05,3,0,0.0
2016-10-06,3,3,0.0
2016-10-07,2,1,0.0
2016-10-08,0,2,0.0
2016-10-09,0,0,0.0
2016-10-10,2,0,0.0
2016-10-11,4,12,0.0
2016-10-12,6,0,0.0
2016-10-13,0,0,0.0
2016-10-14,3,1,0.0
2016-10-15,3,2,0.0
2016-10-16,1,1,0.0
2016-10-17,4,2,0.0
2016-10-18,2,2,0.0
2016-10-19,5,0,1.0
2016-10-20,3,0,-0.30000000000000004
2016-10-21,6,2,-0.10499999999999993
2016-10-22,3,0,-0.05949999999999997
2016-10-23,0,0,-0.0401625
2016-10-24,2,0,-0.029720249999999997
2016-10-25,3,4,-0.023280862499999996
2016-10-26,1,4,-0.018957273750000003
2016-10-27,0,14,-0.015876716765625045
2016-10-28,0,10,-0.013583413232812524
2016-10-29,1,0,0.0
2016-10-30,0,0,0.0
2016-10-31,1,0,0.0
2016-11-01,0,0,0.0
2016-11-02,1,0,0.0
2016-11-03,1,0,0.0
2016-11-04,2,0,0.0
2016-11-05,0,3,0.0
2016-11-06,1,0,0.0
2016-11-07,1,0,0.0
2016-11-08,0,0,0.0
2016-11-09,0,0,0.0
2016-11-10,4,0,0.0
2016-11-11,4,0,0.0
2016-11-12,1,0,0.0
2016-11-13,0,0,0.0
2016-11-14,0,0,0.0
2016-11-15,0,0,0.0
2016-11-16,1,0,0.0
2016-11-17,0,0,0.0
2016-11-18,1,1,0.0
2016-11-19,0,0,0.0
2016-11-20,0,0,0.0
2016-11-21,0,0,0.0
2016-11-22,2,0,0.0
2016-11-23,3,1,0.0
2016-11-24,1,1,0.0
2016-11-25,0,1,0.0
2016-11-26,1,0,0.0
2016-11-27,0,0,0.0
2016-11-28,5,2,0.0
2016-11-29,0,1,1.0
2016-11-30,0,1,-0.30000000000000004
2016-12-01,0,2,-0.10499999999999993
2016-12-02,1,0,-0.05949999999999997
2016-12-03,4,0,-0.0401625
2016-12-04,1,0,-0.029720249999999997
2016-12-05,1,0,-0.023280862499999996
2016-12-06,0,2,-0.018957273750000003
2016-12-07,1,0,-0.015876716765625045
2016-12-08,0,5,-0.013583413232812524
2016-12-09,1,0,0.0
2016-12-10,0,0,0.0
2016-12-11,0,0,0.0
2016-12-12,0,0,0.0
2016-12-13,0,6,1.0
2016-12-14,0,7,-0.30000000000000004
2016-12-15,1,2,3.895
2016-12-16,1,0,1.7405
2016-12-17,0,0,-1.3601625
2016-12-18,2,0,-0.5827202499999997
2016-12-19,0,2,-0.3624308624999999
2016-12-20,2,4,1.74167422625
