,redis/redis,tarantool/tarantool,memcached/memcached
2022-09-08,4,0,0
2022-09-09,0,1,0
2022-09-10,0,0,0
2022-09-11,1,0,0
2022-09-12,0,4,0
2022-09-13,1,4,0
2022-09-14,1,21,0
2022-09-15,1,4,1
2022-09-16,0,6,0
2022-09-17,0,0,0
2022-09-18,1,0,0
2022-09-19,2,0,0
2022-09-20,0,0,0
2022-09-21,1,1,0
2022-09-22,5,0,0
2022-09-23,0,3,0
2022-09-24,0,0,0
2022-09-25,0,0,0
2022-09-26,1,2,0
2022-09-27,1,1,1
2022-09-28,4,24,0
2022-09-29,3,15,0
2022-09-30,1,5,0
2022-10-01,0,0,0
2022-10-02,4,0,0
2022-10-03,2,0,0
2022-10-04,0,1,0
2022-10-05,0,1,0
2022-10-06,2,5,0
2022-10-07,2,1,0
2022-10-08,1,0,0
2022-10-09,5,0,0
2022-10-10,0,27,0
2022-10-11,2,2,0
2022-10-12,1,1,0
2022-10-13,2,11,2
2022-10-14,0,10,0
2022-10-15,1,0,0
2022-10-16,3,0,0
2022-10-17,0,1,0
2022-10-18,5,6,0
2022-10-19,1,16,0
2022-10-20,0,2,7
2022-10-21,0,5,1
2022-10-22,2,0,0
2022-10-23,2,0,0
2022-10-24,2,1,0
2022-10-25,2,5,0
2022-10-26,1,1,0
2022-10-27,2,4,0
2022-10-28,0,4,0
2022-10-29,1,0,0
2022-10-30,0,0,0
2022-10-31,0,5,0
2022-11-01,1,4,0
2022-11-02,4,10,1
2022-11-03,2,3,0
2022-11-04,2,0,0
2022-11-05,0,0,0
2022-11-06,2,0,0
2022-11-07,1,8,0
2022-11-08,1,3,1
2022-11-09,3,8,0
2022-11-10,1,4,0
2022-11-11,0,3,0
2022-11-12,1,0,0
2022-11-13,1,0,0
2022-11-14,2,0,0
2022-11-15,1,1,0
2022-11-16,2,0,1
2022-11-17,1,2,0
2022-11-18,0,5,0
2022-11-19,0,0,0
2022-11-20,2,1,0
2022-11-21,1,3,0
2022-11-22,4,1,0
2022-11-23,1,6,0
2022-11-24,5,6,0
2022-11-25,1,1,2
2022-11-26,3,0,0
2022-11-27,4,0,0
2022-11-28,5,3,0
2022-11-29,1,14,1
2022-11-30,4,2,0
2022-12-01,2,0,3
2022-12-02,0,1,3
2022-12-03,0,0,0
2022-12-04,1,0,0
2022-12-05,2,4,0
2022-12-06,2,7,0
2022-12-07,2,8,2
2022-12-08,3,3,1
2022-12-09,3,13,0
2022-12-10,0,0,0
2022-12-11,1,0,0
2022-12-12,2,9,0
2022-12-13,1,9,2
2022-12-14,0,4,0
2022-12-15,2,1,0
2022-12-16,1,4,0
2022-12-17,0,0,0
2022-12-18,2,0,0
2022-12-19,0,4,0
2022-12-20,1,6,0
2022-12-21,0,4,0
2022-12-22,2,7,0
2022-12-23,1,3,0
2022-12-24,0,0,0
2022-12-25,0,1,0
2022-12-26,0,2,0
2022-12-27,0,13,0
2022-12-28,1,3,0
2022-12-29,0,2,0
2022-12-30,0,0,0
2022-12-31,0,0,0
2023-01-01,1,0,0
2023-01-02,1,0,1
2023-01-03,1,0,1
2023-01-04,4,0,0
2023-01-05,3,0,0
2023-01-06,0,0,1
2023-01-07,0,0,0
2023-01-08,1,0,0
2023-01-09,0,0,1
2023-01-10,3,3,3
2023-01-11,6,6,1
2023-01-12,1,5,4
2023-01-13,0,13,0
2023-01-14,0,0,0
2023-01-15,0,0,0
2023-01-16,3,1,0
2023-01-17,0,6,0
2023-01-18,0,20,0
2023-01-19,0,3,0
2023-01-20,2,1,0
2023-01-21,0,0,1
2023-01-22,2,0,1
