,opencv/opencv,scikit-image/scikit-image,davisking/dlib
2011-04-03,2,0,0
2011-04-04,4,0,0
2011-04-05,1,4,0
2011-04-06,3,0,0
2011-04-07,3,3,2
2011-04-08,3,2,1
2011-04-09,0,0,1
2011-04-10,3,0,0
2011-04-11,2,3,0
2011-04-12,0,0,0
2011-04-13,1,0,0
2011-04-14,1,0,0
2011-04-15,6,0,0
2011-04-16,0,0,0
2011-04-17,3,1,1
2011-04-18,8,1,14
2011-04-19,5,4,0
2011-04-20,4,0,0
2011-04-21,8,0,0
2011-04-22,7,0,3
2011-04-23,4,0,2
2011-04-24,3,0,0
2011-04-25,9,0,0
2011-04-26,14,0,0
2011-04-27,5,0,0
2011-04-28,2,0,0
2011-04-29,14,0,9
2011-04-30,15,0,0
2011-05-01,3,0,2
2011-05-02,7,0,0
2011-05-03,8,0,1
2011-05-04,8,0,8
2011-05-05,6,0,1
2011-05-06,17,0,0
2011-05-07,2,0,4
2011-05-08,5,0,0
2011-05-09,15,2,0
2011-05-10,10,0,5
