,saltstack/salt,ansible/ansible,cfengine/core
2020-03-05,0,4,1
2020-03-06,3,4,0
2020-03-07,0,0,0
2020-03-08,1,0,0
2020-03-09,10,0,1
2020-03-10,37,0,1
2020-03-11,63,0,0
2020-03-12,7,0,3
2020-03-13,21,0,3
2020-03-14,9,0,0
2020-03-15,4,0,0
2020-03-16,17,0,1
2020-03-17,53,0,1
2020-03-18,3,0,2
2020-03-19,12,0,7
2020-03-20,11,0,5
2020-03-21,0,0,0
2020-03-22,2,0,0
2020-03-23,11,152,0
2020-03-24,10,11,2
2020-03-25,1,20,1
2020-03-26,8,12,1
2020-03-27,10,4,0
2020-03-28,0,6,0
2020-03-29,5,3,0
2020-03-30,12,7,0
2020-03-31,14,5,1
2020-04-01,10,4,3
2020-04-02,13,1,2
2020-04-03,17,1,0
2020-04-04,8,0,0
2020-04-05,0,0,0
2020-04-06,16,8,3
2020-04-07,87,3,1
2020-04-08,15,9,3
2020-04-09,35,11,5
2020-04-10,29,5,1
2020-04-11,50,0,0
2020-04-12,35,0,0
2020-04-13,61,3,0
2020-04-14,60,7,3
2020-04-15,49,6,1
2020-04-16,32,8,2
2020-04-17,55,6,5
2020-04-18,60,1,0
2020-04-19,15,0,0
2020-04-20,66,1,10
2020-04-21,150,7,0
2020-04-22,154,3,2
2020-04-23,105,10,5
2020-04-24,41,3,3
2020-04-25,1,0,0
2020-04-26,28,0,0
2020-04-27,20,4,26
2020-04-28,11,8,7
2020-04-29,60,1,2
2020-04-30,5,8,0
2020-05-01,9,1,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,18,9,1
2020-05-05,9,12,3
2020-05-06,22,5,0
2020-05-07,119,5,0
2020-05-08,25,4,3
2020-05-09,10,0,0
2020-05-10,44,0,0
2020-05-11,8,5,1
2020-05-12,16,8,4
2020-05-13,4,7,0
2020-05-14,15,16,0
2020-05-15,15,10,1
2020-05-16,11,6,0
2020-05-17,7,0,0
2020-05-18,71,2,4
2020-05-19,42,5,8
2020-05-20,30,8,0
2020-05-21,31,6,0
2020-05-22,60,4,0
2020-05-23,9,0,1
2020-05-24,0,0,0
2020-05-25,4,0,0
2020-05-26,0,8,4
2020-05-27,1,8,0
2020-05-28,0,13,1
2020-05-29,0,22,0
2020-05-30,0,1,0
2020-05-31,0,1,0
2020-06-01,0,5,1
2020-06-02,0,5,1
2020-06-03,0,4,0
2020-06-04,17,10,1
2020-06-05,10,8,3
2020-06-06,0,3,0
2020-06-07,6,0,0
2020-06-08,0,7,8
2020-06-09,37,10,10
2020-06-10,0,15,33
2020-06-11,0,18,2
2020-06-12,0,5,1
2020-06-13,0,1,0
2020-06-14,0,0,0
2020-06-15,0,9,4
2020-06-16,0,15,0
2020-06-17,0,6,7
2020-06-18,0,8,8
2020-06-19,0,12,6
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,6,12
2020-06-23,0,13,5
2020-06-24,0,5,0
2020-06-25,0,8,2
2020-06-26,0,3,3
2020-06-27,1,1,0
2020-06-28,0,0,0
2020-06-29,0,12,2
2020-06-30,0,11,0
2020-07-01,0,11,0
2020-07-02,0,12,0
2020-07-03,0,5,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,3,0
2020-07-07,0,9,0
2020-07-08,0,4,0
2020-07-09,0,7,0
2020-07-10,0,11,0
2020-07-11,0,3,0
2020-07-12,0,0,0
2020-07-13,98,8,0
2020-07-14,32,12,0
2020-07-15,24,9,1
2020-07-16,0,4,0
2020-07-17,0,6,0
2020-07-18,0,0,0
2020-07-19,0,1,0
2020-07-20,0,15,1
2020-07-21,0,9,0
2020-07-22,14,9,5
2020-07-23,6,6,0
2020-07-24,6,5,4
2020-07-25,0,1,0
2020-07-26,0,0,0
2020-07-27,0,3,4
2020-07-28,25,10,7
2020-07-29,64,9,4
2020-07-30,30,15,1
2020-07-31,11,5,3
2020-08-01,0,1,0
2020-08-02,0,0,0
2020-08-03,2,15,10
2020-08-04,1,16,7
2020-08-05,0,4,5
2020-08-06,1,6,5
2020-08-07,3,10,10
2020-08-08,0,2,0
2020-08-09,0,0,0
2020-08-10,1,9,1
2020-08-11,2,2,0
2020-08-12,2,8,1
2020-08-13,27,3,0
2020-08-14,3,3,0
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,0,16,6
2020-08-18,5,16,12
2020-08-19,2,7,3
2020-08-20,3,5,2
2020-08-21,11,9,27
2020-08-22,0,1,0
2020-08-23,0,0,1
2020-08-24,118,4,1
2020-08-25,6,6,1
2020-08-26,23,6,3
2020-08-27,4,8,7
2020-08-28,2,1,3
2020-08-29,0,0,0
2020-08-30,0,0,0
2020-08-31,6,7,0
2020-09-01,8,8,0
2020-09-02,14,10,4
2020-09-03,5,5,2
2020-09-04,29,2,0
2020-09-05,0,2,0
2020-09-06,0,0,0
2020-09-07,0,0,22
2020-09-08,28,1,17
2020-09-09,57,5,1
2020-09-10,8,4,2
2020-09-11,0,1,8
2020-09-12,0,1,0
2020-09-13,0,0,0
2020-09-14,35,3,2
2020-09-15,12,11,2
2020-09-16,3,2,1
2020-09-17,1,9,0
2020-09-18,1,0,0
2020-09-19,0,0,0
2020-09-20,0,0,0
2020-09-21,2,4,1
2020-09-22,1,11,3
2020-09-23,13,2,14
2020-09-24,6,15,3
2020-09-25,42,12,0
2020-09-26,3,0,0
2020-09-27,3,0,0
2020-09-28,7,7,0
2020-09-29,47,6,0
2020-09-30,122,9,0
2020-10-01,50,7,0
2020-10-02,13,11,0
2020-10-03,2,0,0
2020-10-04,2,0,0
2020-10-05,78,3,1
2020-10-06,5,9,5
2020-10-07,65,4,8
2020-10-08,57,4,3
2020-10-09,2,4,5
2020-10-10,1,0,0
2020-10-11,0,1,0
2020-10-12,0,4,16
2020-10-13,12,3,10
2020-10-14,0,4,5
2020-10-15,0,3,1
2020-10-16,0,0,8
2020-10-17,3,0,0
2020-10-18,1,0,0
2020-10-19,9,5,2
2020-10-20,1,5,6
2020-10-21,0,0,6
2020-10-22,0,3,9
2020-10-23,0,5,20
2020-10-24,0,0,5
2020-10-25,0,0,0
2020-10-26,0,3,4
2020-10-27,0,7,1
2020-10-28,4,3,1
2020-10-29,3,1,0
2020-10-30,0,6,0
2020-10-31,0,1,0
2020-11-01,0,0,0
2020-11-02,0,6,2
2020-11-03,1,4,0
2020-11-04,4,10,2
2020-11-05,21,9,5
2020-11-06,3,3,1
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,20,11,0
2020-11-10,13,9,0
2020-11-11,7,3,5
2020-11-12,19,4,2
2020-11-13,2,2,4
2020-11-14,12,0,0
2020-11-15,0,0,0
2020-11-16,8,1,6
2020-11-17,0,6,1
2020-11-18,5,3,5
2020-11-19,0,5,8
2020-11-20,2,2,6
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,8,3,1
2020-11-24,16,0,3
2020-11-25,1,0,3
2020-11-26,0,0,5
2020-11-27,4,0,2
2020-11-28,0,0,0
2020-11-29,1,0,0
2020-11-30,15,5,5
2020-12-01,12,5,1
2020-12-02,5,6,0
2020-12-03,18,12,0
2020-12-04,9,4,0
2020-12-05,2,1,0
2020-12-06,12,0,0
2020-12-07,1,3,9
2020-12-08,0,10,8
2020-12-09,7,6,3
2020-12-10,63,2,5
2020-12-11,7,1,1
2020-12-12,1,0,0
2020-12-13,1,0,1
2020-12-14,3,3,1
2020-12-15,2,7,1
2020-12-16,21,2,6
2020-12-17,0,6,1
2020-12-18,1,9,1
2020-12-19,0,0,0
2020-12-20,0,0,1
2020-12-21,52,2,7
2020-12-22,0,1,3
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,0,0,0
2020-12-26,4,0,0
2020-12-27,0,0,0
2020-12-28,6,0,0
2020-12-29,0,0,1
2020-12-30,2,0,0
2020-12-31,1,0,0
2021-01-01,0,0,0
2021-01-02,3,0,0
2021-01-03,1,0,0
2021-01-04,6,4,3
2021-01-05,63,5,3
2021-01-06,5,7,2
2021-01-07,11,8,2
2021-01-08,35,6,5
2021-01-09,3,0,2
2021-01-10,1,0,0
2021-01-11,8,6,7
2021-01-12,14,1,3
2021-01-13,32,6,2
2021-01-14,0,10,4
2021-01-15,14,1,1
2021-01-16,0,0,0
2021-01-17,2,0,0
2021-01-18,0,5,1
2021-01-19,46,2,1
2021-01-20,2,4,3
2021-01-21,1,4,6
2021-01-22,37,5,0
2021-01-23,4,1,0
2021-01-24,0,0,0
2021-01-25,4,4,8
2021-01-26,0,4,1
2021-01-27,9,7,3
2021-01-28,0,9,4
2021-01-29,5,0,10
2021-01-30,3,0,0
2021-01-31,0,0,0
2021-02-01,189,5,8
2021-02-02,27,8,6
2021-02-03,74,2,2
2021-02-04,20,7,2
2021-02-05,14,7,2
2021-02-06,0,0,0
2021-02-07,0,0,0
2021-02-08,7,1,1
2021-02-09,32,8,3
2021-02-10,46,4,2
2021-02-11,119,7,2
2021-02-12,10,13,3
2021-02-13,3,3,0
2021-02-14,0,0,0
2021-02-15,2,1,2
2021-02-16,35,1,1
2021-02-17,9,2,0
2021-02-18,15,8,0
2021-02-19,43,0,1
2021-02-20,6,0,0
2021-02-21,2,0,0
2021-02-22,36,1,0
2021-02-23,16,7,0
2021-02-24,56,2,13
2021-02-25,26,4,0
2021-02-26,41,1,2
2021-02-27,8,0,0
2021-02-28,0,1,0
2021-03-01,171,8,7
2021-03-02,16,8,4
2021-03-03,21,9,0
2021-03-04,14,2,6
