,jonas/tig,jesseduffield/lazygit,dandavison/delta
2019-07-23,0,0,4.0
2019-07-24,0,0,2.4000000000000004
2019-07-25,0,0,3.9200000000000004
2019-07-26,1,0,-3.1359999999999997
2019-07-27,3,11,0.8575999999999997
2019-07-28,0,0,-1.470208
2019-07-29,0,0,16.2987392
2019-07-30,0,0,-7.273047039999999
2019-07-31,0,0,-2.395084288
2019-08-01,0,0,-1.3699428352
2019-08-02,0,0,0.10474670079999926
2019-08-03,0,0,-1.0227140608000003
2019-08-04,0,0,-0.5406858240000001
2019-08-05,0,0,-0.40189583359999986
2019-08-06,0,0,-0.29924710399999993
2019-08-07,0,0,13.7524793344
2019-08-08,0,0,2.377036800000001
2019-08-09,0,0,-3.898370559999999
2019-08-10,0,0,-2.2711557119999997
2019-08-11,0,0,-1.2271981568000006
2019-08-12,0,0,6.183871999999999
2019-08-13,0,0,-3.4027008
2019-08-14,0,0,-1.31084544
2019-08-15,0,0,-0.8301076479999999
2019-08-16,0,0,-0.6099904512000003
2019-08-17,0,0,-0.3272049664000001
2019-08-18,0,0,-0.17354055680000002
2019-08-19,0,0,-0.12859391999999997
2019-08-20,0,0,-0.10608998399999996
2019-08-21,0,0,-0.08958709759999997
2019-08-22,0,0,0.0
2019-08-23,0,0,0.0
2019-08-24,0,0,0.0
2019-08-25,0,0,0.0
2019-08-26,0,0,0.0
2019-08-27,0,0,0.0
2019-08-28,0,0,0.0
2019-08-29,0,0,0.0
2019-08-30,0,0,0.0
2019-08-31,0,0,0.0
2019-09-01,0,2,0.0
2019-09-02,0,0,0.0
2019-09-03,0,0,3.0
2019-09-04,0,0,-1.1999999999999997
2019-09-05,0,0,-0.36
2019-09-06,0,0,4.808
2019-09-07,0,0,-2.1247999999999996
2019-09-08,0,6,-0.689856
2019-09-09,0,0,-0.38888960000000006
2019-09-10,0,0,-0.26311168000000024
2019-09-11,0,0,-0.19522713600000008
2019-09-12,0,0,-0.15321047040000002
2019-09-13,0,0,-0.09185279999999997
2019-09-14,0,0,-0.07577855999999997
2019-09-15,0,4,-0.06399078399999998
2019-09-16,0,0,1.0
2019-09-17,0,0,-0.3999999999999999
2019-09-18,0,0,-0.12
2019-09-19,0,0,0.9359999999999999
2019-09-20,0,0,-0.44159999999999994
2019-09-21,1,2,0.850048
2019-09-22,0,0,-0.48696319999999993
2019-09-23,0,0,-0.17997056000000003
2019-09-24,0,5,-0.10910771200000001
2019-09-25,0,0,-0.07736135680000006
2019-09-26,0,0,-0.048322560000000014
2019-09-27,0,0,-0.038118912
2019-09-28,0,0,-0.03116871679999999
