,microsoft/TypeScript,definitelytyped/definitelytyped,sindresorhus/type-fest
2023-04-13,5,14,0
2023-04-14,6,10,0
2023-04-15,3,4,0
2023-04-16,2,4,0
2023-04-17,8,10,0
2023-04-18,8,30,0
2023-04-19,4,15,0
2023-04-20,10,17,0
2023-04-21,4,7,0
2023-04-22,1,0,0
2023-04-23,1,3,1
2023-04-24,2,4,0
2023-04-25,6,13,3
2023-04-26,6,19,0
2023-04-27,4,17,1
2023-04-28,2,10,3
2023-04-29,1,6,0
2023-04-30,1,1,0
2023-05-01,1,5,0
2023-05-02,8,11,2
2023-05-03,2,12,0
2023-05-04,2,13,1
2023-05-05,5,10,0
2023-05-06,1,4,0
2023-05-07,0,2,0
2023-05-08,2,11,0
2023-05-09,8,10,0
2023-05-10,1,9,0
2023-05-11,3,5,2
2023-05-12,4,4,0
2023-05-13,2,4,0
2023-05-14,1,2,0
2023-05-15,4,7,0
2023-05-16,3,8,0
2023-05-17,3,9,1
2023-05-18,4,6,0
2023-05-19,3,3,0
2023-05-20,4,0,3
2023-05-21,1,7,0
2023-05-22,4,13,0
2023-05-23,1,8,0
2023-05-24,11,12,0
2023-05-25,4,6,0
2023-05-26,7,3,0
2023-05-27,0,3,0
2023-05-28,0,5,0
2023-05-29,0,3,0
2023-05-30,5,5,3
2023-05-31,1,5,0
2023-06-01,5,3,0
2023-06-02,3,3,0
2023-06-03,1,0,0
2023-06-04,0,0,1
2023-06-05,5,5,0
2023-06-06,5,18,0
2023-06-07,2,4,0
2023-06-08,6,21,0
2023-06-09,4,3,0
2023-06-10,1,5,0
2023-06-11,1,3,0
2023-06-12,5,13,0
2023-06-13,6,13,0
2023-06-14,2,6,2
2023-06-15,1,2,0
2023-06-16,2,8,0
2023-06-17,1,0,0
2023-06-18,0,0,0
2023-06-19,0,11,0
2023-06-20,5,7,1
2023-06-21,3,5,0
2023-06-22,4,3,0
2023-06-23,5,9,0
2023-06-24,1,2,0
2023-06-25,1,3,0
2023-06-26,9,6,0
2023-06-27,5,5,0
2023-06-28,2,8,1
2023-06-29,4,14,0
2023-06-30,6,7,0
2023-07-01,2,0,0
2023-07-02,0,2,0
2023-07-03,3,3,0
2023-07-04,1,1,0
2023-07-05,2,10,0
2023-07-06,4,9,0
2023-07-07,3,12,0
2023-07-08,1,2,0
2023-07-09,0,5,3
2023-07-10,3,9,0
2023-07-11,1,5,0
2023-07-12,4,12,0
2023-07-13,5,9,0
2023-07-14,2,3,0
2023-07-15,1,2,0
2023-07-16,0,2,9
2023-07-17,2,7,0
2023-07-18,3,3,0
2023-07-19,3,4,0
2023-07-20,7,6,0
2023-07-21,4,3,0
2023-07-22,1,4,0
2023-07-23,1,1,0
2023-07-24,6,10,0
2023-07-25,2,20,0
