,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2023-06-25,3,0.0,0
2023-06-26,7,0.0,0
2023-06-27,9,0.0,1
2023-06-28,12,0.0,0
2023-06-29,12,0.0,0
2023-06-30,13,0.0,0
2023-07-01,0,1.0,0
2023-07-02,1,-0.10000000000000009,1
2023-07-03,4,-0.04500000000000003,0
2023-07-04,0,-0.028500000000000022,0
2023-07-05,5,-0.020662499999999924,0
2023-07-06,21,-0.016116749999999947,0
2023-07-07,18,-0.01316201249999996,0
2023-07-08,2,-0.011093696249999967,0
2023-07-09,0,0.990431686984375,0
2023-07-10,4,-0.10839885253593756,0
2023-07-11,5,-0.04500000000000003,0
2023-07-12,3,-0.028500000000000022,0
2023-07-13,3,-0.020662499999999924,1
2023-07-14,12,-0.016116749999999947,0
2023-07-15,5,-0.01316201249999996,0
2023-07-16,3,-0.011093696249999967,0
2023-07-17,11,-0.009568313015624975,0
2023-07-18,3,-0.008398852535937478,0
2023-07-19,5,0.0,0
2023-07-20,2,0.0,1
2023-07-21,1,0.0,0
2023-07-22,0,1.0,1
2023-07-23,0,-0.10000000000000009,0
2023-07-24,2,-0.04500000000000003,0
2023-07-25,0,-0.028500000000000022,0
2023-07-26,15,-0.020662499999999924,0
2023-07-27,2,-0.016116749999999947,0
2023-07-28,3,-0.01316201249999996,0
2023-07-29,0,-0.011093696249999967,0
2023-07-30,0,-0.009568313015624975,0
2023-07-31,28,-0.008398852535937478,0
2023-08-01,15,0.0,0
2023-08-02,3,0.0,0
2023-08-03,0,0.0,0
2023-08-04,0,0.0,0
2023-08-05,2,0.0,0
2023-08-06,1,0.0,0
2023-08-07,7,0.0,0
2023-08-08,7,0.0,0
2023-08-09,2,0.0,0
2023-08-10,2,0.0,0
2023-08-11,5,0.0,0
2023-08-12,1,0.0,18
2023-08-13,0,0.0,1
2023-08-14,3,2.0,0
2023-08-15,11,-0.20000000000000018,2
2023-08-16,6,-0.09000000000000007,0
2023-08-17,11,-0.057000000000000044,0
2023-08-18,16,-0.04132499999999985,0
2023-08-19,0,-0.032233499999999894,1
2023-08-20,1,-0.02632402499999992,1
2023-08-21,8,-0.022187392499999934,0
2023-08-22,12,-0.01913662603124995,0
2023-08-23,11,-0.016797705071874957,0
2023-08-24,29,0.0,0
2023-08-25,35,0.0,0
2023-08-26,3,0.0,0
2023-08-27,1,0.0,0
2023-08-28,4,0.0,0
2023-08-29,28,0.0,0
2023-08-30,0,0.0,0
2023-08-31,8,0.0,4
2023-09-01,3,0.0,0
2023-09-02,4,0.0,0
2023-09-03,3,0.0,0
2023-09-04,2,0.0,0
2023-09-05,0,0.0,0
2023-09-06,1,0.0,0
2023-09-07,1,0.0,0
2023-09-08,0,0.0,0
2023-09-09,0,0.0,0
2023-09-10,0,0.0,0
2023-09-11,5,0.0,0
2023-09-12,1,0.0,0
2023-09-13,3,0.0,0
2023-09-14,16,0.0,0
2023-09-15,11,1.0,0
2023-09-16,2,0.8999999999999999,0
2023-09-17,0,-0.14500000000000013,0
2023-09-18,9,-0.07350000000000005,0
2023-09-19,2,-0.04916249999999994,0
2023-09-20,7,-0.036779249999999875,0
2023-09-21,3,-0.02927876249999991,0
2023-09-22,4,-0.024255708749999928,1
2023-09-23,2,-0.02066200926562494,1
2023-09-24,0,-0.017967165551562456,0
2023-09-25,6,-0.008398852535937478,0
2023-09-26,10,0.0,1
2023-09-27,17,0.0,0
2023-09-28,10,0.0,0
2023-09-29,1,0.0,1
2023-09-30,0,0.0,0
2023-10-01,4,0.0,0
2023-10-02,1,3.0,0
2023-10-03,3,-0.30000000000000027,1
2023-10-04,2,-0.1350000000000001,0
2023-10-05,9,-0.08550000000000006,0
2023-10-06,4,-0.06198749999999977,0
2023-10-07,1,-0.048350249999999845,0
2023-10-08,1,-0.03948603749999988,0
2023-10-09,13,-0.0332810887499999,0
2023-10-10,15,-0.028704939046874926,0
2023-10-11,1,-0.025196557607812434,0
2023-10-12,5,0.0,1
2023-10-13,6,0.0,0
2023-10-14,0,0.0,0
2023-10-15,0,1.0,0
2023-10-16,11,-0.10000000000000009,0
2023-10-17,14,1.955,0
2023-10-18,12,2.7714999999999996,0
2023-10-19,5,-0.41066250000000026,0
2023-10-20,3,-0.20811675000000007,0
2023-10-21,1,-0.13998701249999987,0
2023-10-22,0,-0.10531469624999963,0
2023-10-23,1,-0.08424258801562474,0
2023-10-24,7,-0.0700722825359373,0
2023-10-25,20,-0.052417714781249854,0
2023-10-26,13,-0.04550264411874988,0
2023-10-27,17,-0.025196557607812434,0
2023-10-28,0,0.0,0
2023-10-29,0,0.0,0
2023-10-30,7,0.0,0
2023-10-31,2,0.0,0
2023-11-01,8,0.0,0
2023-11-02,0,0.0,2
2023-11-03,0,0.0,0
2023-11-04,0,0.0,0
2023-11-05,1,0.0,0
2023-11-06,1,0.0,0
2023-11-07,3,0.0,0
2023-11-08,3,0.0,0
2023-11-09,4,1.0,0
2023-11-10,0,-0.10000000000000009,0
2023-11-11,2,-0.04500000000000003,0
2023-11-12,0,-0.028500000000000022,0
2023-11-13,4,-0.020662499999999924,0
2023-11-14,2,-0.016116749999999947,0
2023-11-15,7,-0.01316201249999996,0
2023-11-16,1,-0.011093696249999967,0
2023-11-17,4,-0.009568313015624975,0
2023-11-18,2,-0.008398852535937478,0
2023-11-19,4,0.0,1
2023-11-20,4,2.0,0
2023-11-21,2,-0.20000000000000018,0
2023-11-22,1,-0.09000000000000007,0
2023-11-23,7,-0.057000000000000044,1
2023-11-24,0,-0.04132499999999985,0
2023-11-25,0,-0.032233499999999894,0
2023-11-26,0,-0.02632402499999992,0
2023-11-27,6,0.9778126075000001,0
2023-11-28,5,-0.11913662603125004,3
2023-11-29,15,-0.061797705071874987,1
2023-11-30,8,-0.028500000000000022,1
2023-12-01,19,-0.020662499999999924,0
2023-12-02,0,0.9838832500000001,1
2023-12-03,0,1.8868379874999999,1
2023-12-04,5,1.7439063037499998,0
2023-12-05,3,-0.3280683130156252,0
2023-12-06,13,-0.17606135253593752,4
2023-12-07,2,0.8855582500000001,0
2023-12-08,1,-0.1867205124999998,0
2023-12-09,4,-0.11465122124999982,0
2023-12-10,0,-0.08657973051562486,1
2023-12-11,3,0.9296146289328127,1
2023-12-12,8,-0.15205108110312493,0
2023-12-13,14,-0.07495971757187495,77
2023-12-14,9,-0.03959369624999999,0
2023-12-15,15,-0.0302308130156249,2
2023-12-16,0,-0.024515602535937424,0
2023-12-17,3,4.9868379875,0
2023-12-18,2,1.4889063037499994,0
2023-12-19,4,0.5654316869843747,0
2023-12-20,4,0.6591011474640622,0
2023-12-21,0,1.6946875000000001,0
2023-12-22,0,-0.3954087499999998,0
2023-12-23,0,1.7627939375000004,5
2023-12-24,0,4.62442824375,4
2023-12-25,0,-0.7306327200781251,0
2023-12-26,0,-0.3996200974609374,3
2023-12-27,0,-0.24760873933749977,0
2023-12-28,0,-0.1757005580515619,0
2023-12-29,1,-0.1344432535671871,1
2023-12-30,0,-0.1047951600718747,0
2023-12-31,0,-0.07460510728124978,0
2024-01-01,51,-0.06463927014999983,0
2024-01-02,11,-0.041994262679687394,0
2024-01-03,26,1.0,1
2024-01-04,0,1.9,0
2024-01-05,0,-0.24500000000000022,1
2024-01-06,0,0.8815,1
2024-01-07,1,1.8223375,1
2024-01-08,5,0.6975582499999999,1
2024-01-09,3,0.7361044875,0
2024-01-10,0,-0.26008022124999997,0
2024-01-11,5,-0.16269745551562476,0
2024-01-12,3,-0.12209349106718723,4
2024-01-13,0,-0.09099467632187472,0
2024-01-14,0,0.9389655319843752,2
2024-01-15,7,-0.15179118731718744,0
2024-01-16,8,-0.08245971433749993,2
2024-01-17,2,-0.04646716555156248,1
2024-01-18,2,-0.029061352535937404,2
2024-01-19,0,0.9838832500000001,0
2024-01-20,0,2.8868379875,0
2024-01-21,0,-0.35609369625000026,0
2024-01-22,0,1.8269316869843748,1
2024-01-23,1,0.6854386474640624,0
2024-01-24,9,-0.2681042499999999,0
2024-01-25,14,0.8364877375000002,1
2024-01-26,12,-0.2204047337499998,7
2024-01-27,1,-0.14074540176562472,0
2024-01-28,0,-0.1080445665828123,0
2024-01-29,16,0.9187915373921878,4
2024-01-30,7,1.8536529277187501,0
2024-01-31,3,-0.2845280305875001,2
2024-02-01,1,-0.13799254878593753,3
2024-02-02,3,-0.08723081301562494,0
2024-02-03,0,0.9341593974640627,0
2024-02-04,0,-0.14539551249999993,0
2024-02-05,1,-0.08241772124999992,1
2024-02-06,6,-0.06025570551562494,0
2024-02-07,1,-0.048197978567187355,0
2024-02-08,3,-0.032914455071874904,0
2024-02-09,1,-0.01316201249999996,0
2024-02-10,1,0.98890630375,2
2024-02-11,0,1.890431686984375,0
2024-02-12,0,-0.2533988525359377,0
2024-02-13,0,-0.11850000000000009,0
2024-02-14,4,-0.07766249999999997,1
2024-02-15,4,-0.05744174999999979,0
2024-02-16,1,-0.04539551249999985,0
2024-02-17,0,-0.03741772124999989,0
2024-02-18,0,-0.03175570551562491,0
2024-02-19,5,-0.02753547856718743,0
2024-02-20,4,-0.016797705071874957,0
2024-02-21,8,0.0,0
2024-02-22,4,0.0,0
2024-02-23,5,0.0,2
2024-02-24,0,0.0,0
2024-02-25,0,0.0,0
2024-02-26,9,0.0,0
2024-02-27,9,0.0,0
2024-02-28,7,0.0,0
2024-02-29,6,0.0,2
2024-03-01,9,0.0,0
2024-03-02,2,0.0,0
2024-03-03,0,0.0,0
2024-03-04,0,0.0,0
2024-03-05,1,0.0,0
2024-03-06,2,1.0,1
2024-03-07,0,-0.10000000000000009,0
2024-03-08,0,-0.04500000000000003,0
2024-03-09,0,-0.028500000000000022,0
2024-03-10,0,-0.020662499999999924,0
2024-03-11,0,-0.016116749999999947,1
2024-03-12,1,-0.01316201249999996,0
2024-03-13,8,-0.011093696249999967,0
2024-03-14,0,-0.009568313015624975,0
2024-03-15,1,-0.008398852535937478,0
2024-03-16,0,0.0,0
2024-03-17,0,1.0,0
2024-03-18,0,-0.10000000000000009,1
2024-03-19,5,-0.04500000000000003,0
2024-03-20,3,-0.028500000000000022,0
2024-03-21,2,-0.020662499999999924,0
2024-03-22,3,0.9838832500000001,0
2024-03-23,0,0.8868379875,0
2024-03-24,5,0.8439063037499999,0
2024-03-25,11,-0.18306831301562512,0
2024-03-26,4,-0.10256135253593746,0
2024-03-27,11,-0.0652792499999999,0
2024-03-28,4,-0.04994126249999983,0
2024-03-29,7,-0.040372458749999875,0
2024-03-30,3,-0.0338240217656249,0
2024-03-31,0,1.9709391381984376,0
2024-04-01,10,5.7820328344484375,0
2024-04-02,10,2.301601147464062,1
2024-04-03,4,1.3729999999999996,1
2024-04-04,7,0.4526749999999997,0
2024-04-05,1,1.5682915000000004,0
2024-04-06,0,8.512987975,0
2024-04-07,0,-1.2093347175000002,0
2024-04-08,0,-0.6400808410312497,0
2024-04-09,1,0.5522455530843754,1
2024-04-10,1,0.567356540737501,0
2024-04-11,2,1.628198345110938,0
2024-04-12,1,0.5594884769125003,0
2024-04-13,1,-0.36654124481718725,0
2024-04-14,0,1.7583082277875004,0
2024-04-15,2,3.6253065646765625,0
2024-04-16,2,-0.5671517087500002,0
2024-04-17,9,3.6998972157343752,0
2024-04-18,7,2.391358429448437,0
2024-04-19,5,-0.6335126748171874,0
2024-04-20,0,0.6338429569125001,0
2024-04-21,0,-0.3513842950359371,0
2024-04-22,7,-0.23496591103124945,0
2024-04-23,7,-0.18456925713437458,0
2024-04-24,10,0.8618812673562504,0
2024-04-25,2,-0.18767109081249983,1
2024-04-26,5,-0.12046236169062483,0
2024-04-27,0,-0.06479025385781242,0
2024-04-28,0,-0.0302308130156249,1
2024-04-29,0,0.9754843974640626,0
2024-04-30,3,-0.11316201250000005,0
2024-05-01,7,-0.05609369625,0
2024-05-02,11,-0.038068313015624994,0
2024-05-03,13,-0.029061352535937404,0
2024-05-04,6,-0.016116749999999947,0
2024-05-05,0,-0.01316201249999996,0
2024-05-06,2,-0.011093696249999967,0
2024-05-07,3,-0.009568313015624975,0
2024-05-08,0,-0.008398852535937478,0
2024-05-09,0,0.0,0
2024-05-10,3,0.0,0
2024-05-11,0,0.0,0
2024-05-12,2,0.0,0
2024-05-13,6,1.0,0
2024-05-14,3,0.8999999999999999,0
2024-05-15,0,-0.14500000000000013,0
2024-05-16,4,-0.07350000000000005,1
2024-05-17,1,-0.04916249999999994,0
2024-05-18,0,-0.036779249999999875,0
2024-05-19,1,-0.02927876249999991,0
2024-05-20,7,-0.024255708749999928,0
2024-05-21,2,-0.02066200926562494,0
2024-05-22,7,-0.017967165551562456,2
2024-05-23,10,-0.008398852535937478,0
2024-05-24,0,0.0,0
2024-05-25,1,0.0,0
2024-05-26,0,0.0,0
2024-05-27,14,0.0,0
2024-05-28,5,0.0,0
2024-05-29,1,0.0,0
2024-05-30,6,0.0,0
2024-05-31,0,0.0,0
2024-06-01,0,0.0,0
2024-06-02,1,0.0,0
2024-06-03,1,0.0,0
2024-06-04,8,0.0,0
2024-06-05,0,0.0,1
2024-06-06,1,0.0,1
2024-06-07,0,0.0,0
2024-06-08,0,0.0,0
2024-06-09,0,0.0,0
2024-06-10,1,0.0,2
2024-06-11,5,0.0,0
2024-06-12,10,0.0,0
2024-06-13,8,0.0,0
2024-06-14,2,0.0,0
2024-06-15,0,0.0,0
2024-06-16,0,0.0,0
2024-06-17,2,0.0,0
2024-06-18,5,0.0,0
2024-06-19,15,0.0,0
2024-06-20,10,1.0,1
2024-06-21,16,-0.10000000000000009,4
2024-06-22,1,1.955,2
2024-06-23,1,0.7714999999999999,0
2024-06-24,13,-0.21066250000000009,0
