,apolloauto/apollo,commaai/openpilot,carla-simulator/carla
2021-08-04,0.0,11,0
2021-08-05,12.0,8,0
2021-08-06,-6.0,6,1
2021-08-07,-1.5,1,2
2021-08-08,-0.75,2,0
2021-08-09,1.53125,4,0
2021-08-10,1.671875,6,3
2021-08-11,0.00390625,4,0
2021-08-12,2.306640625,9,0
2021-08-13,7.3272705078125,9,0
2021-08-14,-5.92779541015625,0,0
2021-08-15,-1.701171875,2,0
2021-08-16,1.0703125,5,0
2021-08-17,-0.61553955078125,6,0
2021-08-18,-0.19879150390625,10,0
2021-08-19,-0.0784454345703125,13,0
2021-08-20,-0.000946044921875,10,0
2021-08-21,-0.955810546875,3,0
2021-08-22,-0.404022216796875,6,0
2021-08-23,-0.181640625,5,0
2021-08-24,-0.12921142578125,5,0
2021-08-25,-0.098876953125,4,0
2021-08-26,-0.0606231689453125,5,0
2021-08-27,-0.0401153564453125,2,0
2021-08-28,-0.0240020751953125,4,0
2021-08-29,-0.0109100341796875,3,0
2021-08-30,0.0,15,2
2021-08-31,1.0,22,0
2021-09-01,1.5,13,0
2021-09-02,3.875,11,3
2021-09-03,-2.8125,7,0
2021-09-04,0.2109375,4,0
2021-09-05,-0.91796875,0,0
2021-09-06,0.6044921875,11,0
2021-09-07,-0.75634765625,20,0
2021-09-08,-0.311920166015625,9,0
2021-09-09,0.7924957275390625,6,6
2021-09-10,0.3531494140625,8,0
2021-09-11,0.2769927978515625,4,0
2021-09-12,-0.721099853515625,8,0
2021-09-13,-0.2535858154296875,6,0
2021-09-14,0.858001708984375,19,0
2021-09-15,-0.5978240966796875,9,1
2021-09-16,-0.18896484375,11,20
2021-09-17,-0.112213134765625,10,0
2021-09-18,-0.0791778564453125,5,0
2021-09-19,-0.0513458251953125,10,0
2021-09-20,-0.0314178466796875,4,2
2021-09-21,-0.01611328125,10,0
2021-09-22,-0.013092041015625,7,0
2021-09-23,-0.0109100341796875,15,0
2021-09-24,0.0,14,0
2021-09-25,0.0,4,0
2021-09-26,0.0,0,0
2021-09-27,0.0,4,0
2021-09-28,0.0,12,3
2021-09-29,0.0,13,0
2021-09-30,0.0,7,0
2021-10-01,0.0,8,0
2021-10-02,0.0,2,0
2021-10-03,0.0,2,0
2021-10-04,0.0,20,1
2021-10-05,0.0,7,5
2021-10-06,0.0,7,0
2021-10-07,0.0,24,0
2021-10-08,0.0,11,0
2021-10-09,1.0,4,0
2021-10-10,-0.5,10,0
2021-10-11,-0.125,10,1
2021-10-12,0.9375,11,0
2021-10-13,-0.5390625,8,0
2021-10-14,-0.15234375,13,0
2021-10-15,-0.0830078125,11,0
2021-10-16,-0.05517578125,9,0
2021-10-17,-0.040435791015625,2,0
2021-10-18,0.9685821533203125,15,6
2021-10-19,-0.51611328125,10,0
2021-10-20,-0.138092041015625,12,0
2021-10-21,-0.0734100341796875,12,0
2021-10-22,-0.0390625,4,0
2021-10-23,-0.02734375,8,0
2021-10-24,-0.0205078125,1,0
2021-10-25,0.98388671875,10,0
2021-10-26,-0.513092041015625,13,4
2021-10-27,1.8640899658203125,11,1
2021-10-28,-1.0625,14,1
2021-10-29,-0.2890625,18,0
2021-10-30,-0.15234375,7,0
2021-10-31,-0.0986328125,3,0
2021-11-01,0.92919921875,12,0
2021-11-02,0.445892333984375,11,0
2021-11-03,-0.6681365966796875,1,1
2021-11-04,0.78631591796875,14,0
2021-11-05,-0.623382568359375,7,17
2021-11-06,-0.19140625,0,0
2021-11-07,-0.1103515625,1,0
2021-11-08,0.92431640625,13,9
2021-11-09,-0.556549072265625,10,11
2021-11-10,-0.1695098876953125,14,3
2021-11-11,0.9104766845703125,11,1
2021-11-12,-0.552154541015625,16,0
