,vercel/next.js,tanstack/router,remix-run/react-router
2019-02-14,5,0,0
2019-02-15,2,2,0
2019-02-16,4,0,0
2019-02-17,8,0,0
2019-02-18,3,0,0
2019-02-19,6,0,0
2019-02-20,15,3,1
2019-02-21,8,2,1
2019-02-22,14,0,3
2019-02-23,3,0,0
2019-02-24,2,0,0
2019-02-25,6,0,1
2019-02-26,6,0,4
2019-02-27,10,0,1
2019-02-28,9,0,1
2019-03-01,9,0,2
2019-03-02,4,0,1
2019-03-03,3,0,1
2019-03-04,1,0,1
2019-03-05,7,0,0
2019-03-06,3,0,1
2019-03-07,11,0,0
2019-03-08,7,0,0
2019-03-09,1,0,1
2019-03-10,6,0,0
2019-03-11,9,0,0
2019-03-12,11,3,0
2019-03-13,3,0,0
2019-03-14,4,0,0
2019-03-15,8,0,2
2019-03-16,6,0,2
2019-03-17,3,0,0
2019-03-18,7,0,2
2019-03-19,9,0,1
2019-03-20,12,0,0
2019-03-21,0,0,3
2019-03-22,3,0,2
2019-03-23,6,0,0
2019-03-24,4,0,1
2019-03-25,10,0,0
2019-03-26,5,0,3
2019-03-27,14,0,0
2019-03-28,3,0,0
2019-03-29,5,0,2
2019-03-30,8,0,0
2019-03-31,2,0,0
2019-04-01,4,0,1
2019-04-02,10,0,1
2019-04-03,20,0,1
2019-04-04,12,0,0
2019-04-05,16,0,0
2019-04-06,6,0,1
2019-04-07,9,0,1
2019-04-08,7,0,0
2019-04-09,19,0,2
2019-04-10,17,0,0
2019-04-11,12,0,0
2019-04-12,0,0,0
2019-04-13,6,0,0
2019-04-14,0,0,1
2019-04-15,8,0,0
2019-04-16,7,0,1
2019-04-17,6,0,0
2019-04-18,3,0,0
2019-04-19,4,0,0
2019-04-20,2,0,2
2019-04-21,7,0,0
2019-04-22,9,0,0
2019-04-23,8,0,0
2019-04-24,23,0,0
2019-04-25,13,1,0
2019-04-26,10,0,0
2019-04-27,0,0,0
2019-04-28,9,0,0
2019-04-29,1,2,0
2019-04-30,4,0,0
2019-05-01,9,0,0
2019-05-02,4,0,0
2019-05-03,4,0,0
2019-05-04,2,0,0
2019-05-05,4,0,0
2019-05-06,7,0,0
2019-05-07,4,0,0
2019-05-08,5,0,0
2019-05-09,6,0,0
2019-05-10,4,2,0
2019-05-11,5,0,2
2019-05-12,1,0,0
2019-05-13,2,0,0
2019-05-14,4,0,0
2019-05-15,4,0,2
2019-05-16,7,0,1
2019-05-17,7,0,0
2019-05-18,3,0,0
2019-05-19,2,0,0
2019-05-20,1,0,0
2019-05-21,1,0,0
2019-05-22,5,0,0
2019-05-23,10,0,0
2019-05-24,2,0,0
2019-05-25,0,0,0
2019-05-26,1,0,0
2019-05-27,9,0,0
2019-05-28,7,0,0
2019-05-29,6,0,2
2019-05-30,11,0,0
2019-05-31,4,0,1
2019-06-01,1,0,0
2019-06-02,2,0,1
2019-06-03,0,0,0
2019-06-04,3,0,2
2019-06-05,8,0,0
2019-06-06,8,0,0
2019-06-07,2,0,0
2019-06-08,2,0,0
2019-06-09,2,0,0
2019-06-10,12,0,0
2019-06-11,2,0,2
2019-06-12,0,0,1
2019-06-13,3,0,1
2019-06-14,2,0,1
2019-06-15,0,0,1
2019-06-16,0,0,1
2019-06-17,1,0,0
2019-06-18,5,0,1
2019-06-19,7,0,0
2019-06-20,2,0,0
2019-06-21,4,0,0
2019-06-22,1,0,0
2019-06-23,1,0,0
2019-06-24,9,0,1
2019-06-25,5,0,1
2019-06-26,8,0,0
2019-06-27,4,0,0
2019-06-28,11,0,0
2019-06-29,4,0,0
2019-06-30,0,0,0
2019-07-01,9,0,0
2019-07-02,2,2,0
2019-07-03,11,2,1
