,highcharts/highcharts,d3/d3,chartjs/chart.js
2021-04-17,0,0,7
2021-04-18,0,0,6
2021-04-19,13,0,1
2021-04-20,36,0,0
2021-04-21,9,0,0
2021-04-22,8,0,0
2021-04-23,19,0,0
2021-04-24,4,0,4
2021-04-25,2,0,0
2021-04-26,42,0,0
2021-04-27,19,0,0
2021-04-28,20,0,2
2021-04-29,18,0,0
2021-04-30,11,0,1
2021-05-01,0,0,4
2021-05-02,2,0,0
2021-05-03,18,0,0
2021-05-04,19,0,0
2021-05-05,16,0,3
2021-05-06,27,0,0
2021-05-07,19,0,4
2021-05-08,0,0,2
2021-05-09,0,0,0
2021-05-10,29,0,2
2021-05-11,10,0,0
2021-05-12,24,0,2
2021-05-13,2,1,1
2021-05-14,3,0,3
2021-05-15,0,0,2
2021-05-16,0,0,0
2021-05-17,0,0,1
2021-05-18,22,0,4
2021-05-19,22,0,4
2021-05-20,18,0,2
2021-05-21,36,0,1
2021-05-22,0,0,1
2021-05-23,0,0,0
2021-05-24,7,0,2
2021-05-25,16,0,1
2021-05-26,19,0,2
2021-05-27,26,0,1
2021-05-28,19,0,3
2021-05-29,0,0,3
2021-05-30,0,0,3
2021-05-31,18,0,0
2021-06-01,18,0,1
2021-06-02,7,0,3
2021-06-03,19,0,2
2021-06-04,12,0,0
2021-06-05,0,0,1
2021-06-06,0,0,0
2021-06-07,5,0,0
2021-06-08,7,0,0
2021-06-09,8,0,0
2021-06-10,16,0,0
2021-06-11,8,5,0
2021-06-12,0,0,3
2021-06-13,3,0,1
2021-06-14,12,0,1
2021-06-15,3,0,0
2021-06-16,18,0,0
2021-06-17,37,0,0
2021-06-18,18,0,5
2021-06-19,1,0,2
2021-06-20,0,0,3
2021-06-21,7,0,0
2021-06-22,25,0,0
2021-06-23,20,0,0
2021-06-24,4,0,0
2021-06-25,13,0,4
2021-06-26,0,0,1
2021-06-27,0,0,0
2021-06-28,5,0,1
2021-06-29,3,0,0
2021-06-30,8,0,0
2021-07-01,3,0,6
2021-07-02,17,0,0
2021-07-03,3,0,1
2021-07-04,0,1,4
2021-07-05,20,0,1
2021-07-06,22,0,0
2021-07-07,12,0,1
2021-07-08,8,0,0
2021-07-09,18,0,3
2021-07-10,1,0,4
2021-07-11,0,0,1
2021-07-12,10,0,1
2021-07-13,7,0,3
2021-07-14,9,0,2
2021-07-15,25,0,1
2021-07-16,8,0,2
2021-07-17,1,0,0
2021-07-18,1,0,1
2021-07-19,6,0,2
2021-07-20,4,0,5
2021-07-21,5,0,3
2021-07-22,4,0,0
2021-07-23,9,0,2
2021-07-24,0,0,2
2021-07-25,2,0,1
2021-07-26,5,0,2
2021-07-27,7,0,3
2021-07-28,6,0,2
2021-07-29,5,0,0
2021-07-30,3,0,1
2021-07-31,7,0,0
2021-08-01,5,0,1
2021-08-02,8,0,0
2021-08-03,5,0,0
2021-08-04,5,0,0
2021-08-05,4,0,0
2021-08-06,4,0,0
2021-08-07,0,0,0
2021-08-08,0,0,2
2021-08-09,1,0,0
2021-08-10,6,0,0
2021-08-11,4,0,1
2021-08-12,8,0,0
2021-08-13,112,0,1
2021-08-14,0,0,3
2021-08-15,0,0,0
2021-08-16,16,2,0
2021-08-17,19,0,2
2021-08-18,14,0,3
2021-08-19,15,0,0
2021-08-20,3,0,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,23,0,0
2021-08-24,9,0,0
2021-08-25,6,0,0
2021-08-26,12,0,0
2021-08-27,11,0,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,5,0,0
2021-08-31,11,0,0
2021-09-01,6,0,0
2021-09-02,13,0,2
2021-09-03,11,0,0
2021-09-04,0,0,4
2021-09-05,0,0,4
2021-09-06,11,0,3
2021-09-07,9,0,0
2021-09-08,12,0,1
2021-09-09,6,0,0
2021-09-10,8,0,0
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,16,0,1
2021-09-14,5,0,1
2021-09-15,16,0,0
2021-09-16,4,0,0
2021-09-17,33,0,0
2021-09-18,0,0,0
2021-09-19,0,2,0
2021-09-20,9,2,0
2021-09-21,38,0,0
2021-09-22,14,0,0
2021-09-23,10,0,0
2021-09-24,9,2,2
2021-09-25,0,0,1
2021-09-26,0,0,0
2021-09-27,20,0,0
2021-09-28,9,0,0
2021-09-29,28,0,0
2021-09-30,21,0,0
2021-10-01,13,2,2
2021-10-02,0,0,1
2021-10-03,0,2,2
2021-10-04,18,0,5
2021-10-05,16,0,1
2021-10-06,21,0,1
2021-10-07,8,0,0
2021-10-08,20,0,0
2021-10-09,3,0,0
2021-10-10,0,0,0
2021-10-11,4,0,2
2021-10-12,6,0,0
2021-10-13,7,0,3
