,storybookjs/storybook,histoire-dev/histoire,tajo/ladle
2022-04-21,32,10,0
2022-04-22,43,17,0
2022-04-23,19,3,0
2022-04-24,14,21,0
2022-04-25,22,0,0
2022-04-26,26,0,2
2022-04-27,20,0,0
2022-04-28,33,0,6
2022-04-29,23,0,2
2022-04-30,3,0,0
2022-05-01,2,11,0
2022-05-02,20,9,0
2022-05-03,31,1,10
2022-05-04,38,0,0
2022-05-05,14,0,2
2022-05-06,15,12,0
2022-05-07,4,0,0
2022-05-08,11,10,0
2022-05-09,74,30,0
2022-05-10,28,0,0
2022-05-11,27,2,11
2022-05-12,29,0,0
2022-05-13,9,0,0
2022-05-14,2,0,0
2022-05-15,2,0,0
2022-05-16,15,0,0
2022-05-17,21,0,1
2022-05-18,14,0,0
2022-05-19,18,0,0
2022-05-20,6,0,0
2022-05-21,9,0,0
2022-05-22,0,0,0
2022-05-23,20,0,0
2022-05-24,9,0,1
2022-05-25,16,0,3
2022-05-26,17,0,0
2022-05-27,22,0,0
2022-05-28,3,0,1
2022-05-29,8,0,0
2022-05-30,15,15,0
2022-05-31,45,20,0
2022-06-01,6,11,0
2022-06-02,14,19,0
2022-06-03,10,23,0
2022-06-04,0,7,0
2022-06-05,0,8,0
2022-06-06,46,9,0
2022-06-07,28,3,0
2022-06-08,20,7,0
2022-06-09,14,9,3
2022-06-10,21,1,3
2022-06-11,2,0,0
2022-06-12,8,0,7
2022-06-13,8,0,1
2022-06-14,30,1,1
2022-06-15,31,0,0
2022-06-16,22,0,0
2022-06-17,65,0,0
2022-06-18,10,0,0
2022-06-19,15,1,0
2022-06-20,33,3,0
2022-06-21,56,2,3
2022-06-22,28,9,0
2022-06-23,32,0,2
2022-06-24,17,0,5
2022-06-25,1,0,0
2022-06-26,0,0,0
2022-06-27,20,0,0
2022-06-28,25,0,1
2022-06-29,84,0,0
2022-06-30,44,0,0
2022-07-01,30,0,0
2022-07-02,22,0,0
2022-07-03,3,0,0
2022-07-04,29,0,0
2022-07-05,25,1,0
2022-07-06,54,3,0
2022-07-07,46,1,0
2022-07-08,29,1,0
2022-07-09,9,0,3
2022-07-10,11,0,10
2022-07-11,16,0,2
2022-07-12,21,0,0
2022-07-13,2,0,2
2022-07-14,10,1,0
2022-07-15,11,0,0
2022-07-16,4,0,0
2022-07-17,0,0,0
2022-07-18,15,0,2
2022-07-19,23,12,6
2022-07-20,3,5,1
2022-07-21,26,14,1
2022-07-22,17,10,0
2022-07-23,19,0,0
2022-07-24,2,0,0
2022-07-25,27,0,0
2022-07-26,37,0,0
2022-07-27,24,0,0
2022-07-28,21,4,0
2022-07-29,14,7,0
2022-07-30,0,13,0
2022-07-31,32,1,0
2022-08-01,22,3,0
2022-08-02,40,8,2
2022-08-03,17,1,0
2022-08-04,14,0,5
2022-08-05,12,1,0
2022-08-06,0,0,0
2022-08-07,1,0,1
2022-08-08,16,0,0
2022-08-09,43,9,2
2022-08-10,53,17,0
2022-08-11,22,4,0
2022-08-12,53,14,0
2022-08-13,6,6,0
2022-08-14,18,1,0
2022-08-15,47,0,0
2022-08-16,10,11,3
2022-08-17,47,4,0
2022-08-18,18,0,2
2022-08-19,9,0,0
2022-08-20,3,0,0
2022-08-21,2,0,0
2022-08-22,56,0,0
2022-08-23,38,18,0
2022-08-24,31,0,0
2022-08-25,45,0,4
2022-08-26,43,0,2
2022-08-27,2,0,0
2022-08-28,0,0,1
2022-08-29,35,0,3
2022-08-30,24,1,8
2022-08-31,28,0,3
2022-09-01,43,0,0
2022-09-02,51,0,0
2022-09-03,2,0,0
2022-09-04,11,0,0
2022-09-05,31,0,0
2022-09-06,23,0,0
2022-09-07,40,0,0
2022-09-08,52,0,3
2022-09-09,8,0,0
2022-09-10,5,0,0
2022-09-11,14,0,0
2022-09-12,32,0,0
2022-09-13,47,0,0
2022-09-14,38,0,0
2022-09-15,29,0,0
2022-09-16,15,1,0
2022-09-17,7,4,3
2022-09-18,11,0,0
2022-09-19,3,1,0
2022-09-20,9,0,0
2022-09-21,8,0,0
2022-09-22,9,0,0
2022-09-23,1,0,0
2022-09-24,2,0,0
2022-09-25,0,2,0
2022-09-26,43,1,0
2022-09-27,49,0,0
2022-09-28,17,0,3
2022-09-29,9,0,0
2022-09-30,36,0,0
2022-10-01,20,0,0
2022-10-02,19,15,0
2022-10-03,59,30,0
2022-10-04,60,3,0
2022-10-05,90,0,0
2022-10-06,40,11,1
2022-10-07,29,0,0
2022-10-08,10,7,1
2022-10-09,21,7,1
2022-10-10,120,1,0
2022-10-11,60,0,1
2022-10-12,73,3,0
2022-10-13,71,0,0
2022-10-14,40,2,0
2022-10-15,20,0,0
2022-10-16,7,0,0
2022-10-17,98,6,2
2022-10-18,93,0,1
2022-10-19,53,0,0
2022-10-20,43,1,0
2022-10-21,36,0,1
2022-10-22,41,0,0
2022-10-23,16,0,0
2022-10-24,56,2,0
2022-10-25,75,0,0
2022-10-26,70,5,0
2022-10-27,73,0,0
2022-10-28,63,0,0
2022-10-29,14,0,0
2022-10-30,4,0,0
2022-10-31,19,0,0
2022-11-01,37,0,0
2022-11-02,62,0,0
2022-11-03,71,0,0
2022-11-04,64,0,0
2022-11-05,7,0,0
2022-11-06,3,0,0
2022-11-07,23,0,0
2022-11-08,37,0,0
2022-11-09,33,0,0
2022-11-10,29,0,0
2022-11-11,48,6,0
2022-11-12,0,7,0
2022-11-13,17,0,0
2022-11-14,62,1,0
2022-11-15,45,0,0
2022-11-16,63,0,0
2022-11-17,65,0,0
2022-11-18,32,0,0
2022-11-19,14,0,0
2022-11-20,4,0,0
2022-11-21,44,0,0
2022-11-22,21,0,0
2022-11-23,33,0,0
2022-11-24,48,0,0
2022-11-25,52,0,0
2022-11-26,2,0,0
2022-11-27,7,0,0
2022-11-28,52,0,1
2022-11-29,48,0,0
2022-11-30,54,0,0
2022-12-01,33,0,0
2022-12-02,48,5,0
2022-12-03,22,11,0
2022-12-04,14,0,0
2022-12-05,50,0,1
2022-12-06,76,0,0
2022-12-07,77,0,0
2022-12-08,83,0,0
2022-12-09,50,1,0
2022-12-10,10,0,0
2022-12-11,3,0,0
2022-12-12,34,0,0
2022-12-13,76,0,0
2022-12-14,98,0,0
2022-12-15,50,2,2
2022-12-16,57,0,5
2022-12-17,2,0,0
2022-12-18,6,0,0
2022-12-19,41,12,0
2022-12-20,55,8,0
2022-12-21,21,0,0
2022-12-22,30,0,0
2022-12-23,45,4,0
2022-12-24,10,0,0
2022-12-25,13,0,0
2022-12-26,5,0,0
2022-12-27,5,0,0
2022-12-28,17,1,0
2022-12-29,36,0,0
2022-12-30,45,0,0
2022-12-31,10,0,0
2023-01-01,14,0,0
2023-01-02,11,0,0
2023-01-03,22,0,0
2023-01-04,16,0,0
2023-01-05,24,0,0
2023-01-06,33,0,0
