,chartjs/chart.js,highcharts/highcharts,d3/d3
2021-06-17,0,37,0
2021-06-18,5,18,0
2021-06-19,2,1,0
2021-06-20,3,0,0
2021-06-21,0,7,0
2021-06-22,0,25,0
2021-06-23,0,20,0
2021-06-24,0,4,0
2021-06-25,4,13,0
2021-06-26,1,0,0
2021-06-27,0,0,0
2021-06-28,1,5,0
2021-06-29,0,3,0
2021-06-30,0,8,0
2021-07-01,6,3,0
2021-07-02,0,17,0
2021-07-03,1,3,0
2021-07-04,4,0,1
2021-07-05,1,20,0
2021-07-06,0,22,0
2021-07-07,1,12,0
2021-07-08,0,8,0
2021-07-09,3,18,0
2021-07-10,4,1,0
2021-07-11,1,0,0
2021-07-12,1,10,0
2021-07-13,3,7,0
2021-07-14,2,9,0
2021-07-15,1,25,0
2021-07-16,2,8,0
2021-07-17,0,1,0
2021-07-18,1,1,0
2021-07-19,2,6,0
2021-07-20,5,4,0
2021-07-21,3,5,0
2021-07-22,0,4,0
2021-07-23,2,9,0
2021-07-24,2,0,0
2021-07-25,1,2,0
2021-07-26,2,5,0
2021-07-27,3,7,0
2021-07-28,2,6,0
2021-07-29,0,5,0
2021-07-30,1,3,0
2021-07-31,0,7,0
2021-08-01,1,5,0
2021-08-02,0,8,0
2021-08-03,0,5,0
2021-08-04,0,5,0
2021-08-05,0,4,0
2021-08-06,0,4,0
2021-08-07,0,0,0
2021-08-08,2,0,0
2021-08-09,0,1,0
2021-08-10,0,6,0
2021-08-11,1,4,0
2021-08-12,0,8,0
2021-08-13,1,112,0
2021-08-14,3,0,0
2021-08-15,0,0,0
2021-08-16,0,16,2
2021-08-17,2,19,0
2021-08-18,3,14,0
2021-08-19,0,15,0
2021-08-20,0,3,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,0,23,0
2021-08-24,0,9,0
2021-08-25,0,6,0
2021-08-26,0,12,0
2021-08-27,0,11,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,0,5,0
2021-08-31,0,11,0
2021-09-01,0,6,0
2021-09-02,2,13,0
2021-09-03,0,11,0
2021-09-04,4,0,0
2021-09-05,4,0,0
2021-09-06,3,11,0
2021-09-07,0,9,0
2021-09-08,1,12,0
2021-09-09,0,6,0
2021-09-10,0,8,0
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,1,16,0
2021-09-14,1,5,0
2021-09-15,0,16,0
2021-09-16,0,4,0
2021-09-17,0,33,0
2021-09-18,0,0,0
2021-09-19,0,0,2
2021-09-20,0,9,2
2021-09-21,0,38,0
2021-09-22,0,14,0
2021-09-23,0,10,0
2021-09-24,2,9,2
2021-09-25,1,0,0
2021-09-26,0,0,0
2021-09-27,0,20,0
2021-09-28,0,9,0
2021-09-29,0,28,0
2021-09-30,0,21,0
2021-10-01,2,13,2
2021-10-02,1,0,0
2021-10-03,2,0,2
2021-10-04,5,18,0
2021-10-05,1,16,0
2021-10-06,1,21,0
2021-10-07,0,8,0
2021-10-08,0,20,0
2021-10-09,0,3,0
2021-10-10,0,0,0
2021-10-11,2,4,0
2021-10-12,0,6,0
2021-10-13,3,7,0
2021-10-14,2,5,0
2021-10-15,4,2,0
2021-10-16,3,0,0
2021-10-17,0,2,0
2021-10-18,0,32,0
2021-10-19,0,16,0
2021-10-20,0,16,0
2021-10-21,0,17,0
2021-10-22,0,10,0
2021-10-23,2,2,0
2021-10-24,1,5,0
2021-10-25,1,1,0
2021-10-26,2,9,0
2021-10-27,0,3,0
2021-10-28,0,16,0
2021-10-29,1,2,0
2021-10-30,1,1,0
2021-10-31,0,0,0
2021-11-01,0,11,0
2021-11-02,0,28,0
2021-11-03,0,8,0
2021-11-04,0,11,0
2021-11-05,0,9,0
2021-11-06,0,2,0
2021-11-07,1,2,0
2021-11-08,0,22,0
2021-11-09,0,18,0
2021-11-10,1,6,0
2021-11-11,3,19,0
2021-11-12,0,5,0
2021-11-13,0,12,0
2021-11-14,0,1,0
2021-11-15,2,4,0
2021-11-16,1,36,0
2021-11-17,5,10,0
2021-11-18,0,3,0
2021-11-19,0,6,0
2021-11-20,0,0,0
2021-11-21,0,5,0
2021-11-22,0,10,0
2021-11-23,0,13,0
2021-11-24,0,10,0
2021-11-25,2,3,0
2021-11-26,0,8,0
2021-11-27,1,1,0
2021-11-28,3,1,0
2021-11-29,3,14,0
2021-11-30,2,3,0
2021-12-01,2,18,0
2021-12-02,0,5,0
2021-12-03,0,14,0
2021-12-04,0,0,2
2021-12-05,7,0,0
2021-12-06,3,27,0
2021-12-07,0,13,0
2021-12-08,2,7,0
2021-12-09,1,11,0
2021-12-10,0,4,2
2021-12-11,0,5,0
2021-12-12,0,0,0
2021-12-13,0,22,0
2021-12-14,2,7,0
2021-12-15,0,7,0
2021-12-16,2,9,0
2021-12-17,0,20,0
2021-12-18,0,0,0
2021-12-19,0,0,0
2021-12-20,0,5,0
2021-12-21,1,12,0
2021-12-22,2,9,0
2021-12-23,3,6,0
2021-12-24,0,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,0
2021-12-28,0,0,0
2021-12-29,0,5,0
2021-12-30,0,9,0
2021-12-31,0,0,0
2022-01-01,1,0,0
2022-01-02,0,0,0
2022-01-03,1,3,0
2022-01-04,1,21,0
2022-01-05,0,7,0
2022-01-06,0,17,0
2022-01-07,0,10,2
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,0,2,0
2022-01-11,1,3,0
2022-01-12,0,5,0
2022-01-13,0,20,0
2022-01-14,0,35,0
2022-01-15,0,0,0
2022-01-16,1,3,0
2022-01-17,0,3,0
2022-01-18,0,16,0
2022-01-19,0,3,0
2022-01-20,0,5,0
2022-01-21,0,3,0
2022-01-22,0,0,0
2022-01-23,0,0,0
2022-01-24,0,3,0
2022-01-25,0,4,0
2022-01-26,0,14,0
2022-01-27,1,1,0
2022-01-28,0,12,0
2022-01-29,1,19,0
2022-01-30,0,0,0
2022-01-31,1,10,0
2022-02-01,1,10,0
2022-02-02,0,4,0
2022-02-03,0,17,0
2022-02-04,0,11,0
2022-02-05,3,3,0
2022-02-06,3,2,0
2022-02-07,0,12,0
2022-02-08,0,13,0
2022-02-09,1,14,0
2022-02-10,0,7,0
2022-02-11,0,8,0
2022-02-12,4,0,0
2022-02-13,3,0,0
2022-02-14,1,7,0
2022-02-15,0,7,0
2022-02-16,0,6,0
2022-02-17,0,6,0
2022-02-18,0,1,0
2022-02-19,0,0,0
2022-02-20,0,5,0
2022-02-21,2,1,0
2022-02-22,1,2,0
2022-02-23,0,0,0
2022-02-24,0,4,0
2022-02-25,0,0,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,0,3,0
2022-03-01,0,2,0
2022-03-02,0,2,0
2022-03-03,0,0,0
2022-03-04,0,15,0
2022-03-05,0,0,0
2022-03-06,0,0,0
2022-03-07,0,9,0
2022-03-08,0,0,0
2022-03-09,0,2,0
2022-03-10,0,2,0
2022-03-11,0,6,0
2022-03-12,0,0,0
2022-03-13,0,0,0
2022-03-14,0,3,0
2022-03-15,0,7,0
2022-03-16,0,42,0
2022-03-17,0,4,0
2022-03-18,2,6,0
2022-03-19,0,0,0
2022-03-20,1,0,0
2022-03-21,0,1,0
2022-03-22,0,6,0
2022-03-23,0,24,0
2022-03-24,2,1,0
2022-03-25,0,6,0
2022-03-26,0,1,0
2022-03-27,0,0,0
2022-03-28,0,7,2
2022-03-29,0,4,1
2022-03-30,0,28,0
2022-03-31,3,4,0
2022-04-01,0,5,0
2022-04-02,0,0,2
2022-04-03,3,0,2
2022-04-04,0,6,0
2022-04-05,1,3,0
2022-04-06,0,3,0
2022-04-07,0,0,2
2022-04-08,0,18,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,0,5,2
2022-04-12,0,3,0
2022-04-13,0,4,0
2022-04-14,0,2,0
2022-04-15,2,0,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,0,0,0
2022-04-19,0,7,0
2022-04-20,0,20,0
2022-04-21,0,6,0
2022-04-22,0,15,0
2022-04-23,0,0,0
2022-04-24,0,0,0
2022-04-25,0,16,0
2022-04-26,0,10,0
2022-04-27,0,22,0
2022-04-28,0,10,0
2022-04-29,0,5,0
2022-04-30,0,0,0
2022-05-01,1,0,0
2022-05-02,0,5,0
2022-05-03,1,4,0
2022-05-04,0,0,0
2022-05-05,0,1,0
2022-05-06,0,13,0
2022-05-07,1,0,0
2022-05-08,1,1,0
2022-05-09,0,4,0
2022-05-10,0,5,0
2022-05-11,1,19,0
2022-05-12,0,6,0
2022-05-13,0,9,0
2022-05-14,0,3,0
2022-05-15,0,5,0
2022-05-16,0,9,0
2022-05-17,0,1,0
2022-05-18,0,21,0
2022-05-19,0,5,0
2022-05-20,0,24,0
2022-05-21,1,0,0
2022-05-22,2,0,0
2022-05-23,1,9,0
2022-05-24,0,4,0
2022-05-25,3,1,0
2022-05-26,0,2,0
2022-05-27,0,2,0
