,tensorflow/models,huggingface/transformers,pytorch/vision
2019-01-29,0,4,0
2019-01-30,1,4,0
2019-01-31,1,1,0
2019-02-01,6,4,0
2019-02-02,1,0,0
2019-02-03,1,0,0
2019-02-04,0,5,0
2019-02-05,1,16,0
2019-02-06,2,4,0
2019-02-07,0,12,0
2019-02-08,1,16,0
2019-02-09,1,7,0
2019-02-10,1,0,0
2019-02-11,3,15,1
2019-02-12,4,2,2
2019-02-13,2,8,4
2019-02-14,7,1,4
2019-02-15,1,2,0
2019-02-16,0,1,0
2019-02-17,0,6,0
2019-02-18,0,16,2
2019-02-19,1,3,0
2019-02-20,0,5,0
2019-02-21,5,4,1
2019-02-22,4,1,0
2019-02-23,1,1,1
2019-02-24,1,1,0
2019-02-25,1,0,0
2019-02-26,0,2,1
2019-02-27,2,9,1
2019-02-28,4,1,2
2019-03-01,3,0,1
2019-03-02,1,0,0
2019-03-03,0,2,0
2019-03-04,0,1,0
2019-03-05,0,3,0
2019-03-06,2,11,1
2019-03-07,5,2,3
2019-03-08,0,2,0
2019-03-09,0,5,4
2019-03-10,0,0,0
2019-03-11,1,5,3
2019-03-12,2,4,0
2019-03-13,2,2,0
2019-03-14,0,9,0
2019-03-15,0,2,0
2019-03-16,0,2,0
2019-03-17,0,2,0
2019-03-18,1,7,0
2019-03-19,3,0,1
2019-03-20,2,9,1
2019-03-21,2,12,0
2019-03-22,2,0,0
2019-03-23,0,0,0
2019-03-24,0,6,1
2019-03-25,1,2,2
2019-03-26,4,1,6
2019-03-27,2,8,0
2019-03-28,5,2,2
2019-03-29,4,3,3
2019-03-30,2,2,0
2019-03-31,0,0,0
2019-04-01,2,1,1
2019-04-02,2,4,2
2019-04-03,4,16,1
2019-04-04,2,0,2
2019-04-05,3,0,2
2019-04-06,0,0,0
2019-04-07,0,4,0
2019-04-08,5,0,2
2019-04-09,0,2,5
2019-04-10,2,0,1
2019-04-11,2,11,0
2019-04-12,3,3,2
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,0,24,1
2019-04-16,0,6,1
2019-04-17,7,16,1
2019-04-18,3,0,2
2019-04-19,0,0,0
2019-04-20,3,0,0
2019-04-21,0,4,0
2019-04-22,5,2,0
2019-04-23,3,4,0
2019-04-24,9,3,2
2019-04-25,2,7,7
2019-04-26,4,0,1
2019-04-27,0,1,0
2019-04-28,0,0,0
2019-04-29,5,1,1
2019-04-30,1,7,3
2019-05-01,2,4,1
2019-05-02,2,7,1
2019-05-03,1,0,1
2019-05-04,1,0,0
2019-05-05,0,1,0
2019-05-06,2,0,2
2019-05-07,2,3,4
2019-05-08,2,7,2
2019-05-09,2,3,0
2019-05-10,5,1,1
2019-05-11,2,2,0
2019-05-12,0,0,0
2019-05-13,0,1,0
2019-05-14,3,0,1
2019-05-15,3,0,0
2019-05-16,2,0,0
2019-05-17,0,0,1
2019-05-18,2,4,1
2019-05-19,0,0,7
2019-05-20,1,0,5
2019-05-21,5,0,8
2019-05-22,8,1,8
2019-05-23,6,3,3
2019-05-24,7,0,1
2019-05-25,0,0,1
2019-05-26,1,0,0
2019-05-27,0,2,2
2019-05-28,13,0,0
2019-05-29,7,0,3
2019-05-30,2,4,1
2019-05-31,7,8,1
2019-06-01,0,11,0
2019-06-02,0,0,0
2019-06-03,12,3,3
2019-06-04,2,0,0
2019-06-05,14,0,3
2019-06-06,6,6,1
2019-06-07,1,0,4
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,1,1,0
2019-06-11,2,3,4
2019-06-12,3,1,2
2019-06-13,12,0,4
2019-06-14,4,14,6
2019-06-15,0,5,1
2019-06-16,0,0,0
2019-06-17,0,10,1
2019-06-18,4,32,1
2019-06-19,6,12,1
2019-06-20,8,10,4
2019-06-21,5,5,0
2019-06-22,2,7,0
2019-06-23,0,2,0
2019-06-24,2,5,7
2019-06-25,1,4,1
2019-06-26,1,9,3
2019-06-27,0,3,0
2019-06-28,4,5,2
2019-06-29,0,2,1
2019-06-30,0,0,0
2019-07-01,0,1,1
2019-07-02,3,9,2
2019-07-03,1,9,2
2019-07-04,0,3,6
2019-07-05,0,19,2
2019-07-06,0,0,2
2019-07-07,0,0,0
2019-07-08,5,3,1
2019-07-09,2,17,2
2019-07-10,1,6,1
2019-07-11,5,17,1
2019-07-12,0,11,4
2019-07-13,0,4,0
2019-07-14,0,2,0
2019-07-15,3,19,2
2019-07-16,3,23,1
2019-07-17,0,9,1
2019-07-18,7,6,0
2019-07-19,9,0,4
2019-07-20,3,1,0
2019-07-21,1,2,0
2019-07-22,1,4,1
2019-07-23,5,16,5
2019-07-24,10,3,3
2019-07-25,5,7,0
2019-07-26,2,11,5
2019-07-27,0,3,0
2019-07-28,0,0,0
2019-07-29,2,1,0
2019-07-30,8,0,0
2019-07-31,2,3,3
2019-08-01,5,1,2
2019-08-02,5,0,1
2019-08-03,1,1,0
2019-08-04,0,4,1
2019-08-05,3,20,3
2019-08-06,6,5,4
2019-08-07,5,9,3
2019-08-08,2,8,4
2019-08-09,8,3,0
2019-08-10,2,2,0
2019-08-11,0,1,0
2019-08-12,4,5,1
2019-08-13,9,4,0
2019-08-14,12,4,0
2019-08-15,3,6,0
2019-08-16,9,10,0
2019-08-17,2,2,0
2019-08-18,0,6,0
2019-08-19,13,6,0
2019-08-20,15,32,0
2019-08-21,6,13,1
2019-08-22,8,5,0
2019-08-23,7,8,0
2019-08-24,1,2,0
2019-08-25,1,0,0
2019-08-26,6,5,0
2019-08-27,5,12,0
2019-08-28,5,44,4
2019-08-29,3,6,3
2019-08-30,4,57,4
2019-08-31,0,23,0
2019-09-01,0,1,0
2019-09-02,0,8,2
2019-09-03,3,0,0
2019-09-04,4,10,0
2019-09-05,6,23,0
2019-09-06,7,6,2
2019-09-07,0,0,0
2019-09-08,0,19,0
2019-09-09,3,16,4
2019-09-10,1,10,3
2019-09-11,3,8,1
2019-09-12,2,4,1
2019-09-13,2,3,0
2019-09-14,0,0,0
2019-09-15,0,0,0
2019-09-16,2,8,1
2019-09-17,6,2,3
2019-09-18,6,18,5
2019-09-19,2,27,0
2019-09-20,8,2,5
2019-09-21,0,0,0
2019-09-22,0,1,1
2019-09-23,4,12,4
2019-09-24,2,38,6
2019-09-25,1,14,0
2019-09-26,2,40,1
2019-09-27,2,18,2
2019-09-28,0,2,0
2019-09-29,1,2,0
2019-09-30,3,3,4
2019-10-01,2,6,2
2019-10-02,1,6,3
2019-10-03,3,37,2
2019-10-04,3,10,3
2019-10-05,1,0,0
2019-10-06,0,2,0
2019-10-07,4,20,4
2019-10-08,2,17,4
2019-10-09,4,22,0
2019-10-10,9,26,0
2019-10-11,10,15,1
2019-10-12,3,2,1
2019-10-13,2,3,0
2019-10-14,1,13,0
2019-10-15,6,30,3
2019-10-16,5,8,9
2019-10-17,9,13,2
2019-10-18,6,3,10
2019-10-19,4,1,0
2019-10-20,1,2,0
2019-10-21,8,5,5
2019-10-22,6,11,3
2019-10-23,5,3,1
2019-10-24,6,7,1
2019-10-25,1,0,1
2019-10-26,0,0,3
2019-10-27,0,3,0
2019-10-28,7,9,2
2019-10-29,3,2,3
2019-10-30,1,22,3
2019-10-31,2,7,2
2019-11-01,7,2,0
2019-11-02,1,0,0
2019-11-03,0,1,0
2019-11-04,1,13,2
2019-11-05,3,18,2
2019-11-06,3,11,2
2019-11-07,6,2,1
2019-11-08,1,9,0
2019-11-09,0,2,0
2019-11-10,2,0,0
2019-11-11,5,5,0
2019-11-12,9,12,0
2019-11-13,5,0,1
2019-11-14,7,15,1
2019-11-15,2,2,5
2019-11-16,0,12,0
2019-11-17,0,0,0
2019-11-18,3,7,2
2019-11-19,3,9,0
2019-11-20,2,2,0
2019-11-21,10,6,1
2019-11-22,6,7,0
2019-11-23,3,3,0
2019-11-24,1,0,0
2019-11-25,4,7,3
2019-11-26,1,49,3
2019-11-27,8,31,0
2019-11-28,1,7,0
2019-11-29,1,8,0
2019-11-30,2,2,1
2019-12-01,0,2,0
2019-12-02,3,4,1
2019-12-03,3,41,0
2019-12-04,6,17,3
2019-12-05,6,23,5
2019-12-06,6,10,1
2019-12-07,0,1,0
2019-12-08,1,0,0
2019-12-09,1,14,0
2019-12-10,3,58,2
2019-12-11,1,29,1
2019-12-12,4,15,1
2019-12-13,3,25,0
2019-12-14,5,11,0
2019-12-15,2,2,0
2019-12-16,3,28,4
2019-12-17,6,18,1
2019-12-18,7,33,0
2019-12-19,7,26,6
2019-12-20,3,39,0
2019-12-21,0,45,0
2019-12-22,3,51,0
2019-12-23,0,28,0
2019-12-24,0,15,0
2019-12-25,0,25,0
2019-12-26,1,7,0
2019-12-27,0,7,0
2019-12-28,1,6,0
2019-12-29,0,2,0
2019-12-30,1,0,0
2019-12-31,1,0,0
2020-01-01,0,2,0
2020-01-02,2,0,3
2020-01-03,1,0,1
2020-01-04,1,1,0
2020-01-05,0,4,0
2020-01-06,1,8,0
2020-01-07,4,12,0
2020-01-08,3,5,0
2020-01-09,1,1,0
2020-01-10,1,14,2
2020-01-11,0,8,0
2020-01-12,0,0,0
2020-01-13,3,9,2
2020-01-14,4,17,2
2020-01-15,0,6,0
2020-01-16,1,15,2
2020-01-17,3,3,4
2020-01-18,1,0,0
2020-01-19,0,0,0
2020-01-20,0,4,1
2020-01-21,6,10,1
2020-01-22,4,1,5
2020-01-23,4,33,0
2020-01-24,4,8,0
2020-01-25,1,0,0
2020-01-26,0,0,0
2020-01-27,4,9,8
2020-01-28,6,15,1
2020-01-29,4,14,6
2020-01-30,6,11,1
2020-01-31,4,18,0
2020-02-01,2,2,0
2020-02-02,0,0,0
2020-02-03,1,5,1
2020-02-04,2,13,1
2020-02-05,3,4,0
2020-02-06,1,7,0
2020-02-07,3,13,0
2020-02-08,1,0,0
2020-02-09,0,0,0
2020-02-10,0,15,4
2020-02-11,1,8,0
2020-02-12,5,6,0
2020-02-13,5,5,2
2020-02-14,4,14,4
2020-02-15,2,0,0
2020-02-16,0,1,0
2020-02-17,0,5,0
2020-02-18,4,2,0
2020-02-19,4,9,0
2020-02-20,14,11,0
2020-02-21,9,7,0
2020-02-22,3,6,0
2020-02-23,3,6,0
2020-02-24,5,13,4
2020-02-25,8,10,3
2020-02-26,13,8,0
2020-02-27,1,6,1
2020-02-28,11,0,1
2020-02-29,0,2,0
2020-03-01,2,3,0
2020-03-02,4,11,0
2020-03-03,7,14,0
2020-03-04,7,22,5
2020-03-05,7,33,0
2020-03-06,3,13,0
2020-03-07,1,0,0
2020-03-08,1,6,0
2020-03-09,5,14,0
2020-03-10,6,8,4
2020-03-11,9,47,4
