,mrdoob/three.js,BabylonJS/Babylon.js,playcanvas/engine
2013-09-27,0,0,0
2013-09-28,0,0,0
2013-09-29,1,0,0
2013-09-30,3,0,0
2013-10-01,5,0,2
2013-10-02,8,0,4
2013-10-03,2,0,5
2013-10-04,3,0,8
2013-10-05,3,0,6
2013-10-06,0,4,0
2013-10-07,0,0,0
2013-10-08,1,10,2
2013-10-09,0,1,4
2013-10-10,0,1,19
2013-10-11,3,2,3
2013-10-12,8,0,0
2013-10-13,0,0,0
2013-10-14,10,0,3
2013-10-15,0,0,5
2013-10-16,6,0,7
2013-10-17,13,0,5
2013-10-18,11,5,26
2013-10-19,3,0,0
2013-10-20,5,0,0
2013-10-21,15,0,10
2013-10-22,8,0,11
2013-10-23,6,0,0
2013-10-24,7,0,2
2013-10-25,5,0,10
2013-10-26,3,0,4
2013-10-27,3,0,0
2013-10-28,7,5,2
2013-10-29,4,0,6
2013-10-30,9,0,1
2013-10-31,4,3,18
2013-11-01,15,1,5
2013-11-02,3,0,0
2013-11-03,4,3,0
2013-11-04,5,2,1
2013-11-05,15,3,2
2013-11-06,12,1,0
2013-11-07,2,0,4
2013-11-08,7,1,3
2013-11-09,6,0,0
2013-11-10,9,0,0
2013-11-11,2,0,3
2013-11-12,5,0,0
2013-11-13,2,0,4
2013-11-14,4,0,6
2013-11-15,6,0,10
2013-11-16,4,0,0
2013-11-17,1,0,4
2013-11-18,16,0,11
2013-11-19,3,0,8
2013-11-20,7,0,8
2013-11-21,4,0,12
2013-11-22,4,0,4
2013-11-23,2,0,3
2013-11-24,3,0,1
2013-11-25,14,1,27
2013-11-26,2,1,6
2013-11-27,0,0,5
2013-11-28,0,0,2
2013-11-29,0,2,0
2013-11-30,0,0,0
2013-12-01,2,0,0
2013-12-02,5,0,0
2013-12-03,6,1,0
2013-12-04,14,0,0
2013-12-05,3,1,2
2013-12-06,6,5,0
2013-12-07,1,0,1
2013-12-08,6,0,1
2013-12-09,1,0,1
2013-12-10,5,1,4
2013-12-11,11,3,4
2013-12-12,3,0,0
2013-12-13,1,1,4
2013-12-14,2,0,0
2013-12-15,3,0,0
2013-12-16,5,0,1
2013-12-17,0,0,2
2013-12-18,5,2,3
2013-12-19,7,0,3
2013-12-20,3,0,1
2013-12-21,0,1,2
2013-12-22,1,0,3
2013-12-23,0,0,1
2013-12-24,11,0,0
2013-12-25,6,0,0
2013-12-26,1,0,0
2013-12-27,1,0,0
2013-12-28,2,0,0
2013-12-29,4,0,2
2013-12-30,1,0,3
2013-12-31,6,1,1
2014-01-01,1,1,0
2014-01-02,0,2,17
2014-01-03,4,2,25
2014-01-04,6,1,7
2014-01-05,0,7,2
2014-01-06,3,3,9
2014-01-07,6,3,17
2014-01-08,4,0,16
2014-01-09,10,1,10
2014-01-10,12,1,6
2014-01-11,1,0,0
2014-01-12,0,0,1
2014-01-13,12,5,12
2014-01-14,17,3,9
2014-01-15,31,1,17
2014-01-16,1,5,1
2014-01-17,0,2,8
2014-01-18,0,0,0
