,alacritty/alacritty,mintty/mintty,microsoft/terminal
2017-09-11,1,1,3.0
2017-09-12,0,0,-0.30000000000000027
2017-09-13,0,0,-0.1350000000000001
2017-09-14,0,0,-0.08550000000000006
2017-09-15,0,0,-0.06198749999999977
2017-09-16,0,3,-0.048350249999999845
2017-09-17,0,0,-0.03948603749999988
2017-09-18,0,0,-0.0332810887499999
2017-09-19,0,3,-0.028704939046874926
2017-09-20,0,0,-0.025196557607812434
2017-09-21,0,1,0.0
2017-09-22,0,0,0.0
2017-09-23,0,1,0.0
2017-09-24,0,1,0.0
2017-09-25,0,0,0.0
2017-09-26,0,2,0.0
2017-09-27,0,1,0.0
2017-09-28,1,0,0.0
2017-09-29,0,0,0.0
2017-09-30,2,0,0.0
2017-10-01,0,0,0.0
2017-10-02,0,7,0.0
2017-10-03,0,1,0.0
2017-10-04,1,2,0.0
2017-10-05,0,1,0.0
2017-10-06,2,0,0.0
2017-10-07,1,0,0.0
2017-10-08,0,1,2.0
2017-10-09,11,0,-0.20000000000000018
2017-10-10,0,0,-0.09000000000000007
2017-10-11,0,4,-0.057000000000000044
2017-10-12,0,1,-0.04132499999999985
2017-10-13,0,0,1.9677665000000002
2017-10-14,2,2,-0.2263240250000001
2017-10-15,2,0,-0.1121873925
2017-10-16,1,0,-0.07613662603124999
2017-10-17,3,0,-0.05812270507187481
2017-10-18,0,0,-0.032233499999999894
2017-10-19,0,0,-0.02632402499999992
2017-10-20,1,0,-0.022187392499999934
2017-10-21,4,0,-0.01913662603124995
2017-10-22,4,2,-0.016797705071874957
2017-10-23,0,3,1.0
2017-10-24,0,1,-0.10000000000000009
2017-10-25,0,1,-0.04500000000000003
2017-10-26,0,2,-0.028500000000000022
2017-10-27,2,0,-0.020662499999999924
2017-10-28,0,1,-0.016116749999999947
2017-10-29,0,3,-0.01316201249999996
2017-10-30,2,3,-0.011093696249999967
2017-10-31,1,3,-0.009568313015624975
2017-11-01,0,1,-0.008398852535937478
2017-11-02,0,4,0.0
2017-11-03,0,1,0.0
2017-11-04,0,0,0.0
2017-11-05,0,2,0.0
2017-11-06,0,0,0.0
2017-11-07,0,0,0.0
2017-11-08,0,0,0.0
2017-11-09,0,3,0.0
2017-11-10,0,0,0.0
2017-11-11,9,0,0.0
2017-11-12,2,0,0.0
2017-11-13,0,3,0.0
2017-11-14,0,0,0.0
2017-11-15,0,0,0.0
2017-11-16,0,0,0.0
2017-11-17,0,0,0.0
2017-11-18,0,0,0.0
2017-11-19,2,5,0.0
2017-11-20,1,3,0.0
2017-11-21,0,0,0.0
2017-11-22,0,4,0.0
2017-11-23,0,0,0.0
2017-11-24,0,0,0.0
2017-11-25,0,0,0.0
2017-11-26,0,0,0.0
2017-11-27,0,4,0.0
2017-11-28,0,6,0.0
2017-11-29,0,2,0.0
2017-11-30,0,0,0.0
2017-12-01,0,3,0.0
2017-12-02,0,0,0.0
2017-12-03,8,0,0.0
2017-12-04,0,0,0.0
2017-12-05,0,2,0.0
2017-12-06,0,2,0.0
2017-12-07,0,2,0.0
2017-12-08,0,1,0.0
2017-12-09,0,0,0.0
2017-12-10,0,1,0.0
2017-12-11,0,3,0.0
2017-12-12,0,0,0.0
2017-12-13,2,2,0.0
2017-12-14,0,3,0.0
2017-12-15,0,2,0.0
2017-12-16,0,2,0.0
2017-12-17,1,0,0.0
2017-12-18,0,0,0.0
2017-12-19,0,0,0.0
2017-12-20,0,4,0.0
2017-12-21,0,1,0.0
2017-12-22,17,0,0.0
2017-12-23,4,1,0.0
2017-12-24,23,0,0.0
2017-12-25,0,0,0.0
2017-12-26,0,0,0.0
2017-12-27,0,0,0.0
2017-12-28,0,0,0.0
2017-12-29,1,1,0.0
2017-12-30,0,0,0.0
2017-12-31,0,0,0.0
2018-01-01,0,0,0.0
2018-01-02,4,1,0.0
2018-01-03,7,7,0.0
2018-01-04,0,0,0.0
2018-01-05,1,1,0.0
2018-01-06,4,0,0.0
2018-01-07,2,0,0.0
2018-01-08,3,1,0.0
2018-01-09,0,1,0.0
2018-01-10,2,0,0.0
2018-01-11,1,0,0.0
2018-01-12,0,0,0.0
2018-01-13,0,0,0.0
2018-01-14,0,0,0.0
2018-01-15,1,2,0.0
2018-01-16,1,0,0.0
2018-01-17,0,1,0.0
2018-01-18,1,0,0.0
2018-01-19,0,0,4.0
2018-01-20,0,0,-0.40000000000000036
2018-01-21,1,0,-0.18000000000000013
2018-01-22,0,0,-0.11400000000000009
2018-01-23,0,1,-0.0826499999999997
2018-01-24,0,0,-0.06446699999999979
2018-01-25,0,5,-0.05264804999999984
2018-01-26,1,2,-0.04437478499999987
2018-01-27,0,3,-0.0382732520624999
2018-01-28,0,0,-0.033595410143749914
2018-01-29,0,0,0.0
2018-01-30,1,2,0.0
2018-01-31,1,0,0.0
2018-02-01,0,0,0.0
2018-02-02,0,0,0.0
2018-02-03,0,7,0.0
2018-02-04,0,4,0.0
2018-02-05,0,7,0.0
2018-02-06,0,0,0.0
2018-02-07,1,1,0.0
2018-02-08,0,0,0.0
2018-02-09,0,3,0.0
2018-02-10,0,0,0.0
