,plotly/plotly.js,highcharts/highcharts,apache/echarts
2021-06-30,15,8,7.0
2021-07-01,0,3,5.0
2021-07-02,0,17,7.0
2021-07-03,0,3,3.0
2021-07-04,0,0,0.0
2021-07-05,7,20,4.0
2021-07-06,21,22,7.0
2021-07-07,35,12,3.0
2021-07-08,17,8,9.0
2021-07-09,17,18,5.0
2021-07-10,0,1,2.0
2021-07-11,0,0,4.0
2021-07-12,19,10,8.0
2021-07-13,10,7,13.0
2021-07-14,13,9,5.0
2021-07-15,0,25,13.0
2021-07-16,2,8,10.0
2021-07-17,25,1,0.0
2021-07-18,1,1,1.0
2021-07-19,17,6,1.0
2021-07-20,12,4,11.0
2021-07-21,11,5,8.0
2021-07-22,12,4,4.0
2021-07-23,12,9,9.0
2021-07-24,2,0,0.0
2021-07-25,0,2,1.0
2021-07-26,6,5,0.0
2021-07-27,4,7,4.0
2021-07-28,24,6,3.0
2021-07-29,11,5,3.0
2021-07-30,16,3,1.0
2021-07-31,0,7,5.0
2021-08-01,0,5,0.0
2021-08-02,1,8,1.0
2021-08-03,13,5,1.0
2021-08-04,17,5,4.0
2021-08-05,10,4,2.0
2021-08-06,3,4,2.0
2021-08-07,0,0,0.0
2021-08-08,0,0,0.0
2021-08-09,0,1,0.0
2021-08-10,39,6,0.0
2021-08-11,8,4,1.0
2021-08-12,12,8,0.0
2021-08-13,9,112,1.0
2021-08-14,1,0,0.0
2021-08-15,0,0,1.0
2021-08-16,15,16,0.0
2021-08-17,6,19,0.0
2021-08-18,8,14,0.0
2021-08-19,0,15,4.0
2021-08-20,0,3,5.0
2021-08-21,0,0,3.0
2021-08-22,0,0,8.0
2021-08-23,10,23,1.0
2021-08-24,5,9,7.0
2021-08-25,18,6,2.0
2021-08-26,14,12,2.0
2021-08-27,8,11,2.0
2021-08-28,0,0,3.0
2021-08-29,0,0,0.0
2021-08-30,10,5,0.0
2021-08-31,17,11,0.0
2021-09-01,9,6,1.0
2021-09-02,9,13,5.0
2021-09-03,14,11,10.0
2021-09-04,0,0,0.0
2021-09-05,0,0,2.0
2021-09-06,0,11,1.0
2021-09-07,2,9,5.0
2021-09-08,2,12,4.0
2021-09-09,0,6,7.0
2021-09-10,0,8,3.0
2021-09-11,0,0,0.0
2021-09-12,0,0,0.0
2021-09-13,7,16,5.0
2021-09-14,5,5,7.0
2021-09-15,7,16,5.0
2021-09-16,3,4,3.0
2021-09-17,0,33,3.0
2021-09-18,0,0,0.0
2021-09-19,0,0,0.0
2021-09-20,0,9,0.0
2021-09-21,0,38,1.0
2021-09-22,0,14,4.0
2021-09-23,4,10,1.0
2021-09-24,0,9,2.0
2021-09-25,0,0,0.0
2021-09-26,0,0,0.0
2021-09-27,1,20,0.0
2021-09-28,1,9,2.0
2021-09-29,2,28,5.0
2021-09-30,13,21,0.0
2021-10-01,19,13,0.0
2021-10-02,0,0,0.0
2021-10-03,0,0,1.0
2021-10-04,9,18,2.0
2021-10-05,3,16,0.0
2021-10-06,0,21,3.0
2021-10-07,2,8,0.0
2021-10-08,16,20,2.0
2021-10-09,3,3,4.0
2021-10-10,0,0,0.0
2021-10-11,2,4,5.0
2021-10-12,2,6,7.0
2021-10-13,0,7,2.0
2021-10-14,0,5,4.0
2021-10-15,0,2,10.0
2021-10-16,0,0,0.0
2021-10-17,0,2,4.0
2021-10-18,27,32,1.0
2021-10-19,12,16,1.0
2021-10-20,4,16,4.0
2021-10-21,2,17,2.0
2021-10-22,6,10,0.0
2021-10-23,0,2,0.0
2021-10-24,0,5,1.0
2021-10-25,0,1,10.0
2021-10-26,7,9,3.0
2021-10-27,1,3,6.0
2021-10-28,0,16,0.0
2021-10-29,8,2,0.0
2021-10-30,0,1,0.0
2021-10-31,0,0,0.0
2021-11-01,0,11,5.0
2021-11-02,0,28,2.0
2021-11-03,6,8,2.0
2021-11-04,0,11,6.0
2021-11-05,4,9,0.0
2021-11-06,0,2,0.0
2021-11-07,0,2,0.0
2021-11-08,0,22,1.0
2021-11-09,0,18,2.0
2021-11-10,0,6,0.0
2021-11-11,13,19,1.0
2021-11-12,3,5,0.0
2021-11-13,0,12,0.0
2021-11-14,0,1,0.0
2021-11-15,0,4,3.0
2021-11-16,1,36,5.0
2021-11-17,10,10,0.0
2021-11-18,4,3,4.0
2021-11-19,4,6,7.0
2021-11-20,2,0,0.0
2021-11-21,0,5,1.0
2021-11-22,16,10,2.0
2021-11-23,8,13,4.0
2021-11-24,3,10,7.0
2021-11-25,2,3,4.0
2021-11-26,3,8,10.0
2021-11-27,0,1,0.0
2021-11-28,0,1,0.0
2021-11-29,2,14,12.0
2021-11-30,0,3,3.0
2021-12-01,2,18,2.0
2021-12-02,6,5,0.0
2021-12-03,6,14,3.0
2021-12-04,0,0,0.0
