,elastic/kibana,getsentry/sentry,grafana/grafana
2017-06-22,18,6,17
2017-06-23,12,14,15
2017-06-24,0,1,1
2017-06-25,0,1,3
2017-06-26,9,27,1
2017-06-27,16,21,9
2017-06-28,12,19,5
2017-06-29,13,17,5
2017-06-30,15,13,1
2017-07-01,2,0,0
2017-07-02,0,0,0
2017-07-03,7,11,7
2017-07-04,0,0,10
2017-07-05,7,11,12
2017-07-06,11,21,5
2017-07-07,8,5,4
2017-07-08,0,2,0
2017-07-09,1,0,1
2017-07-10,14,1,3
2017-07-11,20,9,1
2017-07-12,14,14,10
2017-07-13,13,12,1
2017-07-14,19,4,2
2017-07-15,0,0,0
2017-07-16,1,0,0
2017-07-17,10,3,1
2017-07-18,23,12,4
2017-07-19,13,12,3
2017-07-20,16,2,2
2017-07-21,22,7,3
2017-07-22,1,0,0
2017-07-23,0,0,0
2017-07-24,16,9,13
2017-07-25,9,6,1
2017-07-26,18,13,1
2017-07-27,7,21,2
2017-07-28,12,10,1
2017-07-29,1,0,1
2017-07-30,0,0,0
2017-07-31,13,7,25
2017-08-01,27,3,16
2017-08-02,16,2,14
2017-08-03,12,9,9
2017-08-04,14,6,10
2017-08-05,1,2,1
2017-08-06,0,0,0
2017-08-07,14,10,26
2017-08-08,16,8,26
2017-08-09,20,9,17
2017-08-10,16,5,16
2017-08-11,7,3,6
2017-08-12,1,0,0
2017-08-13,0,0,0
2017-08-14,11,9,10
2017-08-15,5,4,15
2017-08-16,14,9,5
2017-08-17,20,5,9
2017-08-18,18,7,11
2017-08-19,2,0,3
2017-08-20,0,2,2
2017-08-21,11,10,10
2017-08-22,9,20,1
2017-08-23,10,16,7
2017-08-24,16,17,14
2017-08-25,25,6,4
2017-08-26,0,1,5
2017-08-27,0,0,0
2017-08-28,14,14,13
2017-08-29,9,7,8
2017-08-30,16,9,2
2017-08-31,7,9,5
2017-09-01,7,6,6
2017-09-02,0,1,1
2017-09-03,3,0,0
2017-09-04,2,0,14
2017-09-05,9,8,8
2017-09-06,7,4,4
2017-09-07,24,10,18
2017-09-08,14,10,10
2017-09-09,0,0,0
2017-09-10,0,0,0
2017-09-11,22,6,5
2017-09-12,24,16,18
2017-09-13,18,9,17
2017-09-14,29,6,27
2017-09-15,18,8,23
2017-09-16,0,0,0
2017-09-17,0,1,0
2017-09-18,5,6,40
2017-09-19,16,5,8
2017-09-20,21,15,4
2017-09-21,12,2,30
2017-09-22,15,23,16
2017-09-23,0,0,0
2017-09-24,0,1,9
2017-09-25,0,5,1
2017-09-26,20,12,7
2017-09-27,3,8,11
2017-09-28,20,14,15
2017-09-29,4,8,54
2017-09-30,1,1,0
2017-10-01,0,0,4
2017-10-02,10,8,20
2017-10-03,16,8,11
2017-10-04,8,9,14
2017-10-05,10,7,42
2017-10-06,17,5,6
2017-10-07,0,1,3
2017-10-08,1,0,2
2017-10-09,10,13,11
2017-10-10,9,9,17
2017-10-11,9,13,31
2017-10-12,9,4,41
2017-10-13,4,12,16
2017-10-14,9,0,3
2017-10-15,1,0,2
2017-10-16,0,6,18
2017-10-17,0,4,24
2017-10-18,11,10,18
2017-10-19,1,20,6
2017-10-20,0,13,7
2017-10-21,0,0,0
2017-10-22,1,0,14
2017-10-23,20,8,19
2017-10-24,15,7,32
2017-10-25,19,11,12
2017-10-26,44,10,22
2017-10-27,15,4,6
2017-10-28,0,0,5
2017-10-29,0,0,5
2017-10-30,11,11,8
2017-10-31,15,12,30
2017-11-01,16,10,21
2017-11-02,29,5,8
2017-11-03,15,6,8
2017-11-04,1,0,1
2017-11-05,0,0,0
2017-11-06,33,1,3
2017-11-07,12,2,1
2017-11-08,13,2,4
2017-11-09,14,0,4
2017-11-10,5,0,1
2017-11-11,1,4,2
2017-11-12,0,0,0
2017-11-13,10,12,14
2017-11-14,8,14,10
2017-11-15,12,19,41
2017-11-16,11,7,22
2017-11-17,18,9,23
2017-11-18,1,0,0
2017-11-19,0,1,0
2017-11-20,9,5,18
2017-11-21,21,9,24
2017-11-22,19,3,14
2017-11-23,3,0,20
2017-11-24,0,0,8
2017-11-25,0,0,0
2017-11-26,0,0,1
2017-11-27,12,5,18
2017-11-28,15,8,11
2017-11-29,17,9,15
2017-11-30,15,6,15
2017-12-01,18,8,25
2017-12-02,1,1,7
2017-12-03,0,0,5
2017-12-04,24,6,13
2017-12-05,11,5,22
2017-12-06,18,6,20
2017-12-07,11,5,52
2017-12-08,9,8,39
2017-12-09,1,1,8
2017-12-10,0,0,9
2017-12-11,14,8,35
2017-12-12,25,11,39
2017-12-13,22,11,69
2017-12-14,10,10,36
2017-12-15,26,5,32
2017-12-16,3,0,1
2017-12-17,0,0,0
2017-12-18,12,25,11
2017-12-19,10,19,38
2017-12-20,8,10,18
2017-12-21,9,22,7
2017-12-22,3,2,9
