,webpack/webpack,parcel-bundler/parcel,rollup/rollup
2018-04-05,4,0,1
2018-04-06,13,0,0
2018-04-07,1,0,0
2018-04-08,8,2,0
2018-04-09,11,2,0
2018-04-10,21,0,0
2018-04-11,35,1,0
2018-04-12,47,0,0
2018-04-13,9,3,6
2018-04-14,6,0,0
2018-04-15,2,3,1
2018-04-16,6,1,45
2018-04-17,16,0,6
2018-04-18,8,0,10
2018-04-19,12,0,0
2018-04-20,5,0,0
2018-04-21,2,0,1
2018-04-22,3,0,0
2018-04-23,7,0,5
2018-04-24,9,2,0
2018-04-25,4,2,0
2018-04-26,7,0,2
2018-04-27,11,3,0
2018-04-28,12,2,1
2018-04-29,7,3,8
2018-04-30,33,0,7
2018-05-01,27,7,1
2018-05-02,11,2,9
2018-05-03,7,8,1
2018-05-04,22,2,0
2018-05-05,2,0,1
2018-05-06,2,6,2
2018-05-07,19,1,0
2018-05-08,6,0,3
2018-05-09,13,1,0
2018-05-10,10,0,0
2018-05-11,18,2,0
2018-05-12,8,0,1
2018-05-13,4,0,2
2018-05-14,7,0,4
2018-05-15,17,0,16
2018-05-16,7,1,5
2018-05-17,13,0,0
2018-05-18,10,0,1
2018-05-19,8,1,0
2018-05-20,6,3,2
2018-05-21,12,1,6
2018-05-22,6,6,15
2018-05-23,2,1,3
2018-05-24,12,2,6
2018-05-25,19,1,5
2018-05-26,3,1,4
2018-05-27,4,2,6
2018-05-28,23,4,3
2018-05-29,32,0,1
2018-05-30,26,0,3
2018-05-31,4,1,2
2018-06-01,7,1,1
2018-06-02,8,0,0
2018-06-03,1,0,0
2018-06-04,24,0,51
2018-06-05,13,1,0
2018-06-06,15,0,8
2018-06-07,15,1,7
2018-06-08,4,0,0
2018-06-09,2,1,0
2018-06-10,2,0,0
2018-06-11,0,0,3
2018-06-12,3,0,2
2018-06-13,3,0,5
2018-06-14,4,9,22
2018-06-15,2,0,0
2018-06-16,0,0,6
2018-06-17,0,3,2
2018-06-18,1,2,0
2018-06-19,11,1,0
2018-06-20,16,0,16
2018-06-21,16,0,8
2018-06-22,6,0,1
2018-06-23,14,1,7
2018-06-24,2,3,0
2018-06-25,25,4,2
2018-06-26,23,0,0
2018-06-27,26,0,4
2018-06-28,16,0,0
2018-06-29,8,1,0
2018-06-30,2,4,0
2018-07-01,0,7,0
2018-07-02,13,2,2
2018-07-03,7,1,0
2018-07-04,10,5,0
2018-07-05,17,0,0
2018-07-06,7,0,0
2018-07-07,0,6,0
2018-07-08,7,2,0
2018-07-09,15,3,0
2018-07-10,22,0,0
2018-07-11,9,7,0
2018-07-12,6,1,4
2018-07-13,17,1,0
2018-07-14,9,0,0
2018-07-15,11,0,0
2018-07-16,8,6,0
2018-07-17,7,0,7
2018-07-18,0,0,6
2018-07-19,2,1,0
2018-07-20,2,0,6
2018-07-21,2,5,0
2018-07-22,0,4,0
2018-07-23,14,1,0
2018-07-24,1,1,0
2018-07-25,13,0,0
2018-07-26,7,0,0
2018-07-27,9,1,0
2018-07-28,1,0,0
2018-07-29,2,0,0
2018-07-30,39,0,1
2018-07-31,7,2,4
2018-08-01,6,0,6
2018-08-02,23,0,0
2018-08-03,6,3,1
2018-08-04,0,0,0
2018-08-05,0,0,7
2018-08-06,9,0,2
2018-08-07,2,0,12
2018-08-08,5,0,0
2018-08-09,9,0,2
2018-08-10,0,0,0
2018-08-11,0,1,1
2018-08-12,2,0,5
2018-08-13,3,0,2
2018-08-14,7,1,3
2018-08-15,2,1,0
2018-08-16,6,2,0
2018-08-17,0,1,0
2018-08-18,0,0,0
2018-08-19,0,1,0
2018-08-20,4,0,0
2018-08-21,12,0,2
2018-08-22,13,1,0
2018-08-23,4,3,2
2018-08-24,6,4,9
2018-08-25,0,0,3
2018-08-26,0,0,0
2018-08-27,0,1,0
2018-08-28,6,1,0
2018-08-29,1,0,0
2018-08-30,1,1,1
2018-08-31,0,0,1
2018-09-01,0,0,0
2018-09-02,1,0,0
2018-09-03,11,0,0
2018-09-04,5,0,0
2018-09-05,3,0,5
2018-09-06,11,1,0
2018-09-07,2,1,2
2018-09-08,0,0,0
2018-09-09,0,0,0
2018-09-10,11,0,2
2018-09-11,0,0,0
2018-09-12,11,1,0
2018-09-13,9,1,3
2018-09-14,1,1,2
2018-09-15,5,0,0
2018-09-16,3,5,10
2018-09-17,4,1,0
2018-09-18,9,1,0
2018-09-19,4,0,5
2018-09-20,3,0,0
2018-09-21,40,0,4
2018-09-22,2,5,1
2018-09-23,0,2,0
2018-09-24,0,1,0
2018-09-25,12,9,0
2018-09-26,2,0,0
2018-09-27,21,3,0
2018-09-28,0,1,0
2018-09-29,1,0,0
2018-09-30,2,0,0
2018-10-01,4,0,0
2018-10-02,9,2,2
2018-10-03,6,0,5
2018-10-04,4,1,3
2018-10-05,1,0,0
2018-10-06,0,8,0
2018-10-07,0,0,0
2018-10-08,0,0,0
2018-10-09,0,0,4
2018-10-10,0,0,3
2018-10-11,1,4,0
2018-10-12,6,0,0
2018-10-13,0,1,0
2018-10-14,0,0,2
2018-10-15,0,4,0
2018-10-16,0,0,0
2018-10-17,69,0,0
2018-10-18,16,2,0
2018-10-19,11,1,0
2018-10-20,1,1,0
2018-10-21,1,1,0
2018-10-22,3,1,0
2018-10-23,18,0,0
2018-10-24,31,0,0
2018-10-25,15,0,0
2018-10-26,2,1,0
2018-10-27,0,1,0
2018-10-28,3,0,4
2018-10-29,14,1,0
2018-10-30,26,1,9
2018-10-31,9,3,0
2018-11-01,14,5,0
2018-11-02,9,10,0
2018-11-03,9,2,0
2018-11-04,7,3,3
2018-11-05,29,2,0
2018-11-06,0,4,0
2018-11-07,4,0,0
2018-11-08,6,3,0
2018-11-09,0,2,0
2018-11-10,0,1,0
2018-11-11,2,0,3
2018-11-12,5,1,0
2018-11-13,1,0,0
2018-11-14,2,1,0
2018-11-15,0,0,0
2018-11-16,4,0,0
2018-11-17,0,1,7
2018-11-18,8,2,0
2018-11-19,4,0,0
2018-11-20,0,0,0
2018-11-21,2,2,0
2018-11-22,0,0,0
2018-11-23,4,0,1
2018-11-24,1,0,0
2018-11-25,6,0,0
2018-11-26,2,0,0
2018-11-27,1,0,0
2018-11-28,0,0,0
2018-11-29,43,0,0
2018-11-30,15,1,0
2018-12-01,2,0,0
2018-12-02,0,1,0
2018-12-03,3,0,3
2018-12-04,6,0,0
2018-12-05,16,0,0
2018-12-06,14,0,0
2018-12-07,15,0,2
2018-12-08,5,0,0
2018-12-09,1,0,0
2018-12-10,5,0,0
2018-12-11,3,6,2
2018-12-12,5,1,2
2018-12-13,1,0,0
2018-12-14,3,1,0
2018-12-15,2,0,3
2018-12-16,2,3,9
2018-12-17,1,4,0
2018-12-18,10,10,0
2018-12-19,6,1,3
2018-12-20,12,1,2
2018-12-21,8,1,0
2018-12-22,4,0,0
2018-12-23,7,0,3
2018-12-24,1,1,0
2018-12-25,13,1,0
2018-12-26,4,0,0
2018-12-27,6,2,0
2018-12-28,16,0,5
2018-12-29,9,0,0
2018-12-30,2,1,0
2018-12-31,18,1,0
2019-01-01,0,1,0
2019-01-02,2,0,0
2019-01-03,4,2,6
2019-01-04,4,1,0
2019-01-05,0,0,7
2019-01-06,0,0,0
2019-01-07,2,5,0
2019-01-08,12,0,0
2019-01-09,9,0,6
2019-01-10,11,0,0
2019-01-11,4,0,0
2019-01-12,2,2,0
2019-01-13,4,0,0
2019-01-14,3,0,0
2019-01-15,7,1,0
2019-01-16,1,3,0
2019-01-17,3,0,0
2019-01-18,5,0,0
2019-01-19,14,0,5
2019-01-20,4,0,0
2019-01-21,0,1,4
2019-01-22,2,1,0
2019-01-23,0,0,0
2019-01-24,5,0,0
2019-01-25,9,0,0
2019-01-26,1,1,0
2019-01-27,3,0,0
2019-01-28,8,0,0
2019-01-29,1,0,0
2019-01-30,1,2,0
2019-01-31,2,1,0
2019-02-01,2,0,0
2019-02-02,3,1,0
2019-02-03,2,1,0
2019-02-04,10,0,0
2019-02-05,24,0,0
2019-02-06,25,1,0
2019-02-07,8,1,0
2019-02-08,1,1,0
2019-02-09,2,1,0
2019-02-10,1,0,0
2019-02-11,4,13,0
2019-02-12,0,0,0
2019-02-13,0,1,0
2019-02-14,2,0,2
2019-02-15,7,0,6
2019-02-16,1,0,2
2019-02-17,0,3,10
2019-02-18,11,0,0
2019-02-19,8,1,3
2019-02-20,2,0,0
2019-02-21,4,2,0
2019-02-22,1,2,0
2019-02-23,0,0,4
2019-02-24,1,0,0
2019-02-25,1,3,0
2019-02-26,1,4,9
2019-02-27,0,2,6
2019-02-28,14,4,0
2019-03-01,1,1,9
2019-03-02,0,5,0
2019-03-03,0,1,0
2019-03-04,0,0,3
2019-03-05,0,12,1
2019-03-06,0,11,0
2019-03-07,0,8,8
2019-03-08,0,2,3
2019-03-09,0,0,0
2019-03-10,5,1,0
2019-03-11,5,4,0
2019-03-12,0,8,0
2019-03-13,0,14,0
2019-03-14,0,18,0
2019-03-15,16,3,0
2019-03-16,0,1,0
2019-03-17,2,0,0
2019-03-18,3,15,0
2019-03-19,4,4,0
2019-03-20,3,17,7
2019-03-21,1,10,0
2019-03-22,1,19,2
2019-03-23,8,1,0
2019-03-24,4,0,8
2019-03-25,5,1,3
2019-03-26,0,7,0
2019-03-27,0,0,0
2019-03-28,1,0,3
2019-03-29,0,2,0
2019-03-30,0,4,0
2019-03-31,0,5,0
2019-04-01,3,0,0
2019-04-02,0,2,4
2019-04-03,2,0,0
2019-04-04,0,5,1
2019-04-05,3,1,6
2019-04-06,0,2,0
2019-04-07,0,1,0
2019-04-08,15,0,0
2019-04-09,1,3,0
2019-04-10,7,1,10
2019-04-11,1,1,5
2019-04-12,4,4,0
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,1,0,0
2019-04-16,0,6,0
2019-04-17,1,5,0
2019-04-18,1,2,0
2019-04-19,0,0,7
2019-04-20,1,0,0
2019-04-21,0,0,0
2019-04-22,0,7,0
2019-04-23,1,6,2
2019-04-24,1,1,0
2019-04-25,3,0,0
2019-04-26,0,2,0
2019-04-27,0,0,0
2019-04-28,1,0,0
2019-04-29,0,0,0
2019-04-30,0,0,0
2019-05-01,0,6,0
2019-05-02,0,1,2
2019-05-03,0,11,8
2019-05-04,1,0,6
2019-05-05,0,0,3
2019-05-06,0,1,0
2019-05-07,0,6,0
2019-05-08,0,14,0
2019-05-09,18,8,0
2019-05-10,32,5,0
2019-05-11,0,1,0
2019-05-12,0,2,0
2019-05-13,11,5,0
2019-05-14,4,3,0
2019-05-15,0,12,4
2019-05-16,6,9,6
2019-05-17,1,7,8
2019-05-18,1,3,0
2019-05-19,1,1,3
2019-05-20,14,3,0
2019-05-21,1,13,0
2019-05-22,22,8,0
2019-05-23,3,11,0
2019-05-24,1,6,0
2019-05-25,2,0,0
2019-05-26,1,5,0
2019-05-27,1,4,4
2019-05-28,0,2,0
2019-05-29,8,7,0
2019-05-30,0,5,3
2019-05-31,3,1,5
2019-06-01,0,4,5
2019-06-02,0,0,0
2019-06-03,3,2,0
2019-06-04,24,10,0
2019-06-05,12,1,11
2019-06-06,2,1,3
2019-06-07,1,1,3
2019-06-08,0,1,2
2019-06-09,2,0,5
2019-06-10,0,1,5
2019-06-11,6,4,7
2019-06-12,20,0,0
2019-06-13,16,3,6
2019-06-14,9,0,7
2019-06-15,4,0,0
2019-06-16,1,1,4
2019-06-17,1,1,0
2019-06-18,16,0,0
2019-06-19,9,0,0
2019-06-20,4,0,0
2019-06-21,4,0,9
2019-06-22,2,0,3
2019-06-23,0,5,0
2019-06-24,2,0,0
2019-06-25,5,0,0
2019-06-26,1,1,0
2019-06-27,0,0,0
2019-06-28,1,17,0
2019-06-29,0,0,4
2019-06-30,4,0,1
2019-07-01,11,1,1
2019-07-02,3,0,7
2019-07-03,1,0,0
2019-07-04,2,0,7
2019-07-05,5,0,1
2019-07-06,1,0,1
2019-07-07,0,0,1
2019-07-08,8,1,0
2019-07-09,5,1,3
2019-07-10,11,0,1
2019-07-11,4,2,0
2019-07-12,8,0,0
2019-07-13,2,1,0
2019-07-14,1,6,0
2019-07-15,6,0,4
2019-07-16,5,1,4
2019-07-17,25,4,0
2019-07-18,9,14,0
2019-07-19,5,1,0
2019-07-20,1,2,0
2019-07-21,2,0,0
2019-07-22,10,1,0
2019-07-23,10,4,0
2019-07-24,6,0,0
2019-07-25,5,6,0
2019-07-26,38,4,0
2019-07-27,3,0,0
2019-07-28,0,0,0
2019-07-29,0,6,0
2019-07-30,3,2,0
2019-07-31,9,4,0
2019-08-01,23,1,3
2019-08-02,6,0,0
2019-08-03,0,1,0
2019-08-04,0,0,0
2019-08-05,8,0,12
2019-08-06,27,1,3
2019-08-07,15,0,7
2019-08-08,2,0,0
2019-08-09,10,4,0
2019-08-10,3,3,0
2019-08-11,2,2,1
2019-08-12,12,9,1
2019-08-13,21,10,5
2019-08-14,3,8,3
2019-08-15,2,8,1
2019-08-16,1,6,2
2019-08-17,8,1,0
2019-08-18,1,0,0
2019-08-19,5,12,0
2019-08-20,11,4,0
2019-08-21,2,2,5
2019-08-22,16,5,4
2019-08-23,6,4,0
2019-08-24,0,0,0
2019-08-25,0,0,3
2019-08-26,4,0,1
2019-08-27,6,1,0
2019-08-28,1,1,6
2019-08-29,0,0,0
2019-08-30,1,2,0
2019-08-31,3,0,0
2019-09-01,1,0,0
2019-09-02,3,0,0
2019-09-03,5,1,0
2019-09-04,5,1,0
2019-09-05,5,0,0
2019-09-06,3,5,0
2019-09-07,0,0,0
2019-09-08,12,0,7
2019-09-09,4,3,6
2019-09-10,4,7,0
2019-09-11,3,2,0
2019-09-12,2,0,0
2019-09-13,13,0,0
2019-09-14,0,0,3
2019-09-15,1,0,0
2019-09-16,0,1,3
2019-09-17,0,0,0
2019-09-18,1,2,0
2019-09-19,1,0,0
2019-09-20,1,0,0
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,5,3,0
2019-09-24,6,2,0
2019-09-25,7,12,0
2019-09-26,8,1,6
2019-09-27,1,0,1
2019-09-28,1,6,0
2019-09-29,3,2,2
2019-09-30,1,0,0
2019-10-01,2,0,0
2019-10-02,8,1,0
2019-10-03,1,2,4
2019-10-04,0,12,1
2019-10-05,0,4,3
2019-10-06,1,2,0
2019-10-07,7,1,0
2019-10-08,11,3,0
2019-10-09,17,2,0
2019-10-10,14,1,0
2019-10-11,10,5,0
2019-10-12,0,0,0
2019-10-13,2,0,0
2019-10-14,6,0,0
2019-10-15,22,5,4
2019-10-16,12,0,0
2019-10-17,5,7,0
2019-10-18,12,2,5
2019-10-19,2,2,0
2019-10-20,6,0,7
2019-10-21,11,1,0
2019-10-22,18,0,0
2019-10-23,4,0,4
2019-10-24,0,1,0
2019-10-25,4,2,0
2019-10-26,1,1,0
2019-10-27,2,1,5
2019-10-28,11,3,0
2019-10-29,5,0,0
2019-10-30,23,1,0
2019-10-31,2,1,7
2019-11-01,8,6,0
2019-11-02,0,2,3
2019-11-03,0,0,0
2019-11-04,10,0,0
2019-11-05,12,3,0
2019-11-06,3,15,0
2019-11-07,2,4,0
2019-11-08,3,0,3
2019-11-09,0,0,3
2019-11-10,23,0,0
2019-11-11,0,1,3
2019-11-12,26,1,3
2019-11-13,6,7,1
2019-11-14,10,6,0
2019-11-15,29,5,1
2019-11-16,0,5,0
2019-11-17,2,5,0
2019-11-18,3,3,8
2019-11-19,9,4,0
2019-11-20,14,5,4
2019-11-21,3,2,0
2019-11-22,1,2,5
2019-11-23,2,1,0
2019-11-24,0,1,0
2019-11-25,6,2,4
2019-11-26,20,2,0
2019-11-27,1,1,0
2019-11-28,10,0,0
2019-11-29,4,0,0
2019-11-30,8,0,4
2019-12-01,1,0,3
2019-12-02,4,0,5
2019-12-03,7,3,0
2019-12-04,5,1,0
2019-12-05,2,0,0
2019-12-06,15,1,0
2019-12-07,2,1,4
2019-12-08,3,1,0
2019-12-09,2,3,0
2019-12-10,1,1,0
2019-12-11,1,0,3
2019-12-12,0,2,3
2019-12-13,2,1,3
2019-12-14,1,1,3
2019-12-15,0,0,0
2019-12-16,16,0,0
2019-12-17,14,1,0
2019-12-18,17,1,0
2019-12-19,15,1,0
2019-12-20,8,0,0
2019-12-21,2,0,0
2019-12-22,3,0,6
2019-12-23,5,0,0
2019-12-24,3,0,0
2019-12-25,0,0,2
2019-12-26,1,0,0
2019-12-27,13,0,0
2019-12-28,1,0,0
2019-12-29,2,0,0
2019-12-30,5,0,0
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,7,1,0
2020-01-03,10,1,0
2020-01-04,0,0,7
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,1,0,0
2020-01-08,7,0,6
2020-01-09,0,0,0
2020-01-10,0,1,0
2020-01-11,0,4,0
2020-01-12,1,4,0
2020-01-13,1,0,0
2020-01-14,9,2,0
2020-01-15,24,1,0
2020-01-16,11,3,0
2020-01-17,9,2,0
2020-01-18,5,4,2
2020-01-19,3,1,0
2020-01-20,3,0,0
2020-01-21,9,1,3
2020-01-22,5,1,0
2020-01-23,9,4,0
2020-01-24,2,2,0
2020-01-25,0,1,0
2020-01-26,0,1,0
2020-01-27,3,2,7
2020-01-28,8,1,0
2020-01-29,21,1,0
2020-01-30,12,1,0
2020-01-31,7,1,3
2020-02-01,0,3,0
2020-02-02,2,0,0
2020-02-03,2,7,1
2020-02-04,12,0,0
2020-02-05,15,6,0
2020-02-06,4,0,0
2020-02-07,5,2,1
2020-02-08,0,1,1
2020-02-09,3,0,0
2020-02-10,13,4,0
2020-02-11,15,5,0
2020-02-12,12,5,0
2020-02-13,1,5,0
2020-02-14,3,5,3
2020-02-15,0,3,0
2020-02-16,0,1,0
2020-02-17,8,1,1
2020-02-18,15,1,0
2020-02-19,4,1,1
2020-02-20,0,1,0
2020-02-21,8,1,0
2020-02-22,1,0,0
2020-02-23,1,0,0
2020-02-24,7,1,0
2020-02-25,2,5,0
2020-02-26,36,3,2
2020-02-27,13,2,0
2020-02-28,21,0,3
2020-02-29,8,0,0
2020-03-01,1,1,0
2020-03-02,7,0,0
2020-03-03,2,2,0
2020-03-04,6,2,0
2020-03-05,2,3,2
2020-03-06,2,2,26
2020-03-07,0,1,6
2020-03-08,0,1,0
2020-03-09,9,2,0
2020-03-10,13,0,6
2020-03-11,3,2,0
2020-03-12,7,0,6
2020-03-13,7,1,4
2020-03-14,1,1,0
2020-03-15,1,1,0
2020-03-16,0,0,0
2020-03-17,2,4,0
2020-03-18,10,0,3
2020-03-19,2,1,0
2020-03-20,1,3,0
2020-03-21,5,6,1
2020-03-22,11,1,0
2020-03-23,12,1,1
2020-03-24,2,6,5
2020-03-25,26,4,0
2020-03-26,13,5,0
2020-03-27,8,3,0
2020-03-28,4,1,0
2020-03-29,0,0,4
2020-03-30,9,1,3
2020-03-31,2,4,5
2020-04-01,1,4,0
2020-04-02,1,0,0
2020-04-03,1,3,3
2020-04-04,2,2,3
2020-04-05,2,1,0
2020-04-06,1,2,0
2020-04-07,1,2,3
2020-04-08,17,2,0
2020-04-09,9,2,6
2020-04-10,3,1,3
2020-04-11,1,4,0
2020-04-12,1,0,4
2020-04-13,10,0,0
2020-04-14,23,5,0
2020-04-15,1,4,0
2020-04-16,2,2,0
2020-04-17,12,2,0
2020-04-18,0,1,0
2020-04-19,6,0,0
2020-04-20,3,1,0
2020-04-21,15,0,6
2020-04-22,11,1,5
2020-04-23,0,2,0
2020-04-24,5,4,0
2020-04-25,5,0,0
2020-04-26,3,0,0
2020-04-27,0,0,3
2020-04-28,22,3,0
2020-04-29,14,3,6
2020-04-30,12,7,3
2020-05-01,3,1,0
2020-05-02,6,0,0
2020-05-03,0,0,0
2020-05-04,1,0,0
2020-05-05,9,2,0
2020-05-06,0,1,3
2020-05-07,5,4,8
2020-05-08,0,1,0
2020-05-09,0,3,0
2020-05-10,3,2,6
2020-05-11,0,3,2
2020-05-12,18,2,1
2020-05-13,2,4,3
2020-05-14,7,0,0
2020-05-15,0,0,6
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,3
2020-05-19,15,3,7
2020-05-20,9,0,0
2020-05-21,0,2,0
2020-05-22,5,0,7
2020-05-23,4,0,6
2020-05-24,0,0,3
2020-05-25,9,0,0
2020-05-26,13,0,0
2020-05-27,15,1,8
2020-05-28,6,0,6
2020-05-29,0,0,0
2020-05-30,3,0,0
2020-05-31,5,0,3
2020-06-01,4,1,0
2020-06-02,18,0,3
2020-06-03,3,1,3
2020-06-04,6,2,3
2020-06-05,18,0,0
2020-06-06,1,2,0
2020-06-07,0,2,4
2020-06-08,3,2,8
2020-06-09,1,1,0
2020-06-10,4,1,0
2020-06-11,0,0,0
2020-06-12,1,0,5
2020-06-13,3,1,4
2020-06-14,0,2,0
2020-06-15,11,2,0
2020-06-16,8,3,0
2020-06-17,14,1,6
2020-06-18,2,2,0
2020-06-19,2,1,2
2020-06-20,0,2,0
2020-06-21,0,3,0
2020-06-22,12,6,3
2020-06-23,2,3,0
2020-06-24,19,0,0
2020-06-25,10,1,0
2020-06-26,2,3,4
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,8,0,0
2020-06-30,1,0,0
2020-07-01,0,1,0
2020-07-02,12,1,3
2020-07-03,10,2,0
2020-07-04,2,0,0
2020-07-05,0,0,3
2020-07-06,14,3,4
2020-07-07,6,3,3
2020-07-08,13,0,0
2020-07-09,15,1,0
2020-07-10,0,1,1
2020-07-11,1,3,0
