,django/django,pallets/flask,rails/rails
2018-04-06,1.0,0,21
2018-04-07,3.0,0,15
2018-04-08,0.0,0,7
2018-04-09,0.0,10,7
2018-04-10,3.0,9,16
2018-04-11,1.0,0,6
2018-04-12,5.0,4,16
2018-04-13,3.0,0,19
2018-04-14,1.0,0,6
2018-04-15,1.0,0,4
2018-04-16,5.0,0,8
2018-04-17,3.0,0,12
2018-04-18,3.0,9,13
2018-04-19,7.0,4,36
2018-04-20,4.0,1,31
2018-04-21,1.0,2,12
2018-04-22,0.0,0,17
2018-04-23,5.0,3,18
2018-04-24,2.0,2,12
2018-04-25,1.0,0,14
2018-04-26,0.0,27,12
2018-04-27,3.0,17,8
2018-04-28,3.0,3,6
2018-04-29,1.0,6,11
2018-04-30,1.0,13,10
2018-05-01,0.0,7,16
2018-05-02,4.0,7,6
2018-05-03,4.0,1,7
2018-05-04,0.0,0,7
2018-05-05,2.0,0,5
2018-05-06,0.0,0,5
2018-05-07,4.0,0,6
2018-05-08,1.0,0,3
2018-05-09,5.0,6,4
2018-05-10,3.0,0,2
2018-05-11,1.0,0,5
2018-05-12,5.0,1,2
2018-05-13,3.0,1,8
2018-05-14,1.0,0,3
2018-05-15,4.0,0,1
2018-05-16,3.0,2,3
2018-05-17,9.0,2,13
2018-05-18,5.0,0,5
2018-05-19,0.0,0,5
2018-05-20,1.0,0,2
2018-05-21,1.0,4,11
2018-05-22,0.0,1,20
2018-05-23,1.0,0,8
2018-05-24,0.0,2,9
2018-05-25,4.0,0,4
2018-05-26,2.0,0,4
2018-05-27,8.0,0,4
2018-05-28,2.0,4,27
2018-05-29,1.0,5,10
2018-05-30,3.0,0,7
2018-05-31,3.0,2,10
2018-06-01,3.0,0,10
2018-06-02,3.0,0,3
2018-06-03,0.0,1,2
2018-06-04,3.0,0,10
2018-06-05,2.0,0,6
2018-06-06,5.0,0,7
2018-06-07,2.0,0,17
2018-06-08,5.0,0,12
2018-06-09,3.0,0,4
2018-06-10,1.0,0,4
2018-06-11,1.0,0,20
2018-06-12,6.0,0,5
2018-06-13,2.0,3,3
2018-06-14,1.0,4,3
2018-06-15,4.0,2,2
2018-06-16,6.0,0,1
2018-06-17,1.0,1,1
2018-06-18,2.0,1,8
2018-06-19,1.0,0,9
2018-06-20,11.0,2,5
2018-06-21,8.0,0,8
2018-06-22,3.0,0,3
2018-06-23,0.0,0,7
2018-06-24,0.0,0,5
2018-06-25,5.0,0,9
2018-06-26,0.0,0,12
2018-06-27,4.0,2,9
2018-06-28,7.0,4,8
2018-06-29,8.0,4,13
2018-06-30,3.0,0,8
2018-07-01,0.0,0,6
2018-07-02,6.0,0,8
2018-07-03,0.0,0,8
2018-07-04,4.0,0,16
2018-07-05,4.0,0,7
2018-07-06,3.0,0,8
2018-07-07,2.0,0,8
2018-07-08,0.0,0,12
2018-07-09,13.0,0,6
2018-07-10,9.0,0,6
2018-07-11,12.0,2,4
2018-07-12,0.0,0,7
2018-07-13,3.0,0,4
2018-07-14,1.0,0,5
2018-07-15,0.0,0,8
2018-07-16,2.0,0,11
2018-07-17,1.0,0,6
2018-07-18,4.0,0,9
2018-07-19,8.0,0,8
2018-07-20,6.0,3,21
2018-07-21,2.0,0,8
2018-07-22,2.0,0,17
2018-07-23,1.0,0,3
2018-07-24,3.0,2,3
2018-07-25,6.0,0,6
2018-07-26,5.0,0,22
2018-07-27,5.0,0,5
2018-07-28,0.0,0,6
2018-07-29,0.0,0,8
2018-07-30,4.0,0,11
2018-07-31,4.0,0,24
2018-08-01,8.0,0,6
2018-08-02,10.0,0,6
2018-08-03,7.0,0,6
2018-08-04,5.0,0,1
2018-08-05,2.0,0,5
2018-08-06,3.0,0,2
2018-08-07,5.0,0,8
2018-08-08,4.0,0,10
2018-08-09,0.0,0,9
2018-08-10,2.0,0,6
2018-08-11,0.0,0,13
2018-08-12,1.0,0,7
2018-08-13,2.0,0,14
2018-08-14,0.0,0,10
2018-08-15,2.0,0,14
2018-08-16,9.0,0,18
2018-08-17,7.0,0,5
2018-08-18,6.0,0,5
2018-08-19,1.0,0,23
2018-08-20,8.0,0,17
2018-08-21,5.0,0,4
2018-08-22,4.0,0,32
2018-08-23,5.0,0,19
2018-08-24,0.0,1,6
2018-08-25,3.0,0,8
2018-08-26,0.0,0,0
2018-08-27,2.0,0,7
2018-08-28,7.0,0,10
2018-08-29,2.0,0,21
2018-08-30,1.0,0,21
2018-08-31,5.0,0,10
2018-09-01,1.0,0,3
2018-09-02,0.0,0,6
2018-09-03,1.0,0,5
2018-09-04,1.0,0,6
2018-09-05,0.0,0,9
2018-09-06,1.0,0,20
2018-09-07,0.0,0,8
2018-09-08,3.0,0,8
2018-09-09,0.0,1,8
2018-09-10,9.0,0,8
2018-09-11,7.0,0,19
2018-09-12,1.0,0,21
2018-09-13,3.0,0,27
2018-09-14,4.0,0,10
2018-09-15,0.0,0,8
2018-09-16,1.0,0,9
2018-09-17,5.0,6,15
2018-09-18,6.0,0,29
2018-09-19,3.0,4,28
2018-09-20,0.0,0,25
2018-09-21,0.0,3,18
2018-09-22,0.0,0,4
2018-09-23,0.0,2,9
2018-09-24,0.0,0,13
2018-09-25,11.0,0,15
2018-09-26,11.0,0,18
2018-09-27,1.0,0,33
2018-09-28,2.0,0,34
2018-09-29,2.0,0,2
2018-09-30,0.0,1,11
2018-10-01,15.0,0,12
2018-10-02,14.0,0,37
2018-10-03,5.0,0,26
2018-10-04,7.0,0,28
2018-10-05,1.0,0,32
2018-10-06,0.0,0,11
2018-10-07,0.0,0,15
2018-10-08,2.0,0,19
2018-10-09,3.0,0,17
2018-10-10,4.0,0,15
2018-10-11,3.0,0,16
2018-10-12,4.0,0,10
2018-10-13,1.0,1,3
2018-10-14,2.0,0,6
2018-10-15,4.0,0,10
2018-10-16,2.0,0,14
2018-10-17,6.0,0,24
2018-10-18,2.0,0,11
2018-10-19,0.0,0,20
2018-10-20,2.0,0,18
2018-10-21,4.0,0,13
2018-10-22,5.0,0,16
2018-10-23,3.0,2,18
2018-10-24,6.0,2,7
2018-10-25,8.0,2,12
2018-10-26,1.0,0,5
2018-10-27,2.0,2,5
2018-10-28,1.0,0,8
2018-10-29,9.0,0,7
2018-10-30,5.0,1,19
2018-10-31,2.0,0,3
2018-11-01,6.0,0,4
2018-11-02,1.0,0,5
2018-11-03,4.0,0,4
2018-11-04,2.0,1,5
2018-11-05,0.0,0,8
2018-11-06,1.0,0,13
2018-11-07,2.0,2,9
2018-11-08,1.0,0,22
2018-11-09,8.0,0,10
2018-11-10,6.0,0,5
2018-11-11,1.0,0,6
2018-11-12,3.0,1,6
2018-11-13,6.0,6,17
2018-11-14,5.0,0,10
2018-11-15,5.0,0,5
2018-11-16,3.0,0,8
2018-11-17,4.0,0,3
2018-11-18,3.0,0,3
2018-11-19,4.0,0,17
2018-11-20,8.0,0,16
2018-11-21,2.0,0,9
2018-11-22,1.0,0,8
2018-11-23,5.0,0,11
