,tensorflow/tensorflow,apache/mxnet,pytorch/pytorch
2019-09-02,32,5,5
2019-09-03,102,5,21
2019-09-04,100,6,38
2019-09-05,116,5,26
2019-09-06,114,8,33
2019-09-07,33,2,10
2019-09-08,12,4,3
2019-09-09,94,3,15
2019-09-10,104,0,39
2019-09-11,110,4,48
2019-09-12,92,7,29
2019-09-13,95,0,40
2019-09-14,50,1,8
2019-09-15,21,1,10
2019-09-16,101,6,24
2019-09-17,110,1,37
2019-09-18,96,10,29
2019-09-19,107,9,49
2019-09-20,128,6,38
2019-09-21,32,1,22
2019-09-22,9,8,4
2019-09-23,76,5,24
2019-09-24,91,10,64
