,laravel/framework,codeigniter4/CodeIgniter4,chriskacerguis/codeigniter-restserver
2015-08-27,2,8,0
2015-08-28,9,0,0
2015-08-29,14,8,1
2015-08-30,11,0,0
2015-08-31,23,2,0
2015-09-01,6,0,1
2015-09-02,14,0,0
2015-09-03,32,0,0
2015-09-04,9,0,0
2015-09-05,2,0,0
2015-09-06,5,0,0
2015-09-07,14,0,0
2015-09-08,5,3,0
2015-09-09,26,1,0
2015-09-10,17,1,0
2015-09-11,13,0,1
2015-09-12,16,4,13
2015-09-13,3,0,0
2015-09-14,9,4,8
2015-09-15,11,2,0
2015-09-16,14,0,0
2015-09-17,28,3,3
2015-09-18,6,0,3
2015-09-19,1,0,1
2015-09-20,7,0,0
2015-09-21,0,0,1
2015-09-22,4,1,0
2015-09-23,9,4,0
2015-09-24,28,0,0
2015-09-25,19,3,0
2015-09-26,9,1,0
2015-09-27,4,0,0
2015-09-28,12,8,3
2015-09-29,10,7,0
2015-09-30,14,1,0
2015-10-01,22,6,0
2015-10-02,14,1,0
2015-10-03,6,8,0
2015-10-04,15,0,0
2015-10-05,8,9,0
2015-10-06,11,4,0
2015-10-07,4,7,1
2015-10-08,9,6,0
2015-10-09,19,3,0
2015-10-10,7,0,0
2015-10-11,7,0,0
2015-10-12,34,10,0
2015-10-13,15,6,0
2015-10-14,21,6,0
2015-10-15,16,0,0
2015-10-16,16,1,0
2015-10-17,4,0,0
2015-10-18,13,1,0
2015-10-19,10,2,0
2015-10-20,15,2,0
2015-10-21,6,1,0
2015-10-22,4,5,0
2015-10-23,15,12,0
2015-10-24,2,0,1
2015-10-25,10,0,0
2015-10-26,10,2,3
2015-10-27,4,11,0
2015-10-28,16,10,1
2015-10-29,32,4,2
2015-10-30,18,5,0
2015-10-31,6,0,0
2015-11-01,1,0,0
2015-11-02,20,3,0
2015-11-03,13,5,0
2015-11-04,11,1,0
2015-11-05,6,3,0
2015-11-06,14,4,0
2015-11-07,4,0,0
2015-11-08,8,0,0
2015-11-09,11,7,0
2015-11-10,15,7,0
2015-11-11,17,3,0
2015-11-12,35,3,0
2015-11-13,25,6,0
2015-11-14,37,2,0
2015-11-15,9,0,1
2015-11-16,48,1,0
2015-11-17,6,0,0
2015-11-18,27,0,0
2015-11-19,6,5,0
2015-11-20,11,1,0
2015-11-21,6,5,0
2015-11-22,0,0,0
2015-11-23,0,10,0
2015-11-24,2,0,0
2015-11-25,8,0,1
2015-11-26,7,0,0
2015-11-27,9,0,0
2015-11-28,12,9,0
2015-11-29,4,6,0
2015-11-30,16,7,0
2015-12-01,59,14,0
2015-12-02,38,2,2
2015-12-03,28,4,0
2015-12-04,17,3,0
2015-12-05,36,0,0
2015-12-06,17,0,0
2015-12-07,47,3,0
2015-12-08,43,8,0
2015-12-09,26,6,0
2015-12-10,15,0,0
2015-12-11,24,0,1
2015-12-12,8,0,0
2015-12-13,7,0,0
2015-12-14,18,2,0
2015-12-15,28,0,0
2015-12-16,16,0,1
2015-12-17,28,1,0
2015-12-18,12,8,0
2015-12-19,30,7,0
2015-12-20,20,0,0
2015-12-21,10,6,7
2015-12-22,23,2,4
2015-12-23,6,1,0
2015-12-24,22,0,0
2015-12-25,4,0,0
2015-12-26,11,0,0
2015-12-27,9,0,0
2015-12-28,23,0,0
2015-12-29,24,0,0
2015-12-30,29,0,0
2015-12-31,12,0,0
2016-01-01,7,0,0
2016-01-02,6,0,0
2016-01-03,6,0,0
2016-01-04,13,1,0
2016-01-05,16,3,0
2016-01-06,17,4,1
2016-01-07,42,0,0
2016-01-08,17,0,1
2016-01-09,1,0,0
2016-01-10,12,2,0
2016-01-11,1,2,0
2016-01-12,8,0,0
2016-01-13,28,1,0
2016-01-14,12,2,0
2016-01-15,28,5,0
2016-01-16,4,0,0
2016-01-17,9,0,0
2016-01-18,6,0,0
2016-01-19,7,1,0
2016-01-20,5,0,0
2016-01-21,8,1,0
2016-01-22,18,0,0
2016-01-23,9,5,0
2016-01-24,8,0,1
2016-01-25,7,0,0
2016-01-26,12,0,0
2016-01-27,11,1,0
2016-01-28,1,0,0
2016-01-29,34,8,0
2016-01-30,1,2,9
2016-01-31,4,3,0
2016-02-01,12,4,0
2016-02-02,18,14,0
2016-02-03,18,5,0
2016-02-04,10,0,0
2016-02-05,8,7,0
2016-02-06,0,6,1
2016-02-07,5,0,0
2016-02-08,13,13,0
2016-02-09,15,7,0
2016-02-10,35,0,0
2016-02-11,37,0,0
2016-02-12,10,15,4
2016-02-13,5,0,0
2016-02-14,15,0,0
2016-02-15,23,0,0
2016-02-16,31,0,0
2016-02-17,31,3,0
2016-02-18,17,8,2
2016-02-19,33,4,0
2016-02-20,20,2,0
2016-02-21,5,0,2
2016-02-22,14,0,0
2016-02-23,7,10,0
2016-02-24,33,0,0
2016-02-25,24,5,0
2016-02-26,25,1,0
2016-02-27,9,0,0
2016-02-28,13,0,0
2016-02-29,17,5,0
2016-03-01,25,0,0
2016-03-02,46,1,0
