,RevenueCat/purchases-ios,apphud/ApphudSDK,bizz84/swiftystorekit
2019-09-04,0.0,0,0
2019-09-05,0.0,0,1
2019-09-06,0.0,3,0
2019-09-07,0.0,0,0
2019-09-08,0.0,0,0
2019-09-09,0.0,1,0
2019-09-10,0.0,1,0
2019-09-11,0.0,0,0
2019-09-12,0.0,0,0
2019-09-13,0.0,0,0
2019-09-14,0.0,0,0
2019-09-15,0.0,0,0
2019-09-16,0.0,0,0
2019-09-17,0.0,0,0
2019-09-18,0.0,0,0
2019-09-19,0.0,1,0
2019-09-20,0.0,0,0
2019-09-21,0.0,0,0
2019-09-22,0.0,0,0
2019-09-23,0.0,1,0
2019-09-24,0.0,2,0
2019-09-25,0.0,1,0
2019-09-26,1.0,2,0
2019-09-27,-0.10000000000000009,1,0
2019-09-28,-0.04500000000000003,0,0
2019-09-29,-0.028500000000000022,1,0
2019-09-30,-0.020662499999999924,0,9
2019-10-01,-0.016116749999999947,1,0
2019-10-02,-0.01316201249999996,0,0
2019-10-03,-0.011093696249999967,0,0
2019-10-04,-0.009568313015624975,2,0
2019-10-05,-0.008398852535937478,0,0
2019-10-06,0.0,0,0
2019-10-07,0.0,0,0
2019-10-08,1.0,0,0
2019-10-09,1.9,0,0
2019-10-10,-0.24500000000000022,5,0
2019-10-11,-0.11850000000000009,0,0
2019-10-12,-0.07766249999999997,6,0
2019-10-13,-0.05744174999999979,0,0
2019-10-14,-0.04539551249999985,0,0
2019-10-15,-0.03741772124999989,0,0
2019-10-16,-0.03175570551562491,1,0
2019-10-17,-0.02753547856718743,0,0
2019-10-18,-0.016797705071874957,2,0
2019-10-19,0.0,0,0
2019-10-20,0.0,0,0
2019-10-21,0.0,0,0
2019-10-22,0.0,0,0
2019-10-23,0.0,1,0
2019-10-24,0.0,0,0
2019-10-25,0.0,0,0
2019-10-26,0.0,0,0
2019-10-27,0.0,0,0
2019-10-28,0.0,0,0
2019-10-29,0.0,1,0
2019-10-30,0.0,0,2
2019-10-31,0.0,4,0
2019-11-01,0.0,0,0
2019-11-02,0.0,0,0
2019-11-03,0.0,0,0
2019-11-04,0.0,0,0
2019-11-05,4.0,0,0
2019-11-06,-0.40000000000000036,0,0
2019-11-07,-0.18000000000000013,0,0
2019-11-08,-0.11400000000000009,0,0
2019-11-09,-0.0826499999999997,0,0
2019-11-10,-0.06446699999999979,0,0
2019-11-11,-0.05264804999999984,0,0
2019-11-12,-0.04437478499999987,0,0
2019-11-13,2.9617267479375,0,0
2019-11-14,-0.33359541014375016,0,0
2019-11-15,0.8649999999999999,0,0
2019-11-16,-0.18550000000000016,1,0
2019-11-17,-0.1069874999999998,0,0
2019-11-18,-0.07685024999999987,0,0
2019-11-19,-0.06014853749999981,0,0
2019-11-20,-0.04939783874999985,0,0
2019-11-21,-0.041866951546874885,0,0
2019-11-22,-0.0362902538578124,0,0
2019-11-23,-0.009568313015624975,0,0
2019-11-24,-0.008398852535937478,1,0
2019-11-25,0.0,0,0
2019-11-26,0.0,0,0
2019-11-27,0.0,0,0
2019-11-28,0.0,0,0
2019-11-29,0.0,0,0
2019-11-30,0.0,0,0
2019-12-01,0.0,3,0
2019-12-02,0.0,0,0
2019-12-03,0.0,0,0
2019-12-04,0.0,0,0
2019-12-05,0.0,0,0
2019-12-06,0.0,0,0
2019-12-07,0.0,0,0
2019-12-08,0.0,0,0
2019-12-09,0.0,2,0
2019-12-10,0.0,0,0
2019-12-11,0.0,0,0
2019-12-12,0.0,0,0
2019-12-13,1.0,0,0
2019-12-14,-0.10000000000000009,0,0
2019-12-15,-0.04500000000000003,0,0
2019-12-16,-0.028500000000000022,1,0
2019-12-17,2.9793375,0,0
2019-12-18,-0.3161167500000002,0,0
2019-12-19,-0.14816201250000005,0,0
2019-12-20,-0.09659369625000003,0,0
2019-12-21,-0.07155581301562475,0,0
2019-12-22,-0.056749102535937325,0,0
2019-12-23,-0.03948603749999988,0,0
2019-12-24,-0.0332810887499999,0,0
2019-12-25,-0.028704939046874926,0,0
2019-12-26,-0.025196557607812434,0,0
2019-12-27,0.0,0,0
2019-12-28,0.0,0,0
2019-12-29,0.0,1,0
2019-12-30,0.0,0,0
2019-12-31,0.0,0,0
2020-01-01,0.0,0,0
2020-01-02,0.0,0,0
2020-01-03,0.0,0,0
2020-01-04,0.0,0,0
2020-01-05,0.0,1,0
2020-01-06,0.0,0,0
2020-01-07,0.0,0,0
2020-01-08,0.0,0,0
2020-01-09,0.0,0,0
2020-01-10,0.0,0,0
2020-01-11,0.0,4,0
2020-01-12,0.0,0,0
2020-01-13,0.0,0,0
2020-01-14,0.0,0,0
2020-01-15,0.0,0,0
2020-01-16,1.0,0,0
2020-01-17,1.9,0,0
2020-01-18,-0.24500000000000022,0,0
2020-01-19,-0.11850000000000009,0,0
2020-01-20,1.9223375,0,0
2020-01-21,-0.25744174999999997,1,0
2020-01-22,2.8646044875000003,0,0
2020-01-23,0.6055822787499998,2,0
2020-01-24,-0.30808070551562494,0,0
2020-01-25,-0.19026897856718744,0,1
2020-01-26,-0.13360923007187467,0,0
2020-01-27,-0.09120014249999969,0,0
2020-01-28,-0.07473941353124978,0,0
2020-01-29,-0.06324080632187482,0,0
2020-01-30,0.9602013647031251,0,0
2020-01-31,-0.1347648706234375,0,0
2020-02-01,-0.05339885253593751,0,0
2020-02-02,-0.028500000000000022,0,0
2020-02-03,-0.020662499999999924,0,0
2020-02-04,-0.016116749999999947,0,0
2020-02-05,0.9868379875000001,0,0
2020-02-06,2.88890630375,0,0
2020-02-07,3.6454316869843746,0,0
2020-02-08,-0.571898852535938,0,0
2020-02-09,-0.2861625000000001,0,0
2020-02-10,-0.1921042499999998,0,0
2020-02-11,-0.1441622624999995,0,0
2020-02-12,-0.11504673374999963,3,0
2020-02-13,4.904502548234375,1,0
2020-02-14,-0.5814785765828128,2,0
2020-02-15,-0.2884698096703125,0,0
2020-02-16,-0.17609541014375002,0,0
2020-02-17,-0.10331249999999961,0,0
2020-02-18,-0.08058374999999973,0,7
2020-02-19,-0.06581006249999981,0,3
2020-02-20,-0.05546848124999983,0,6
2020-02-21,-0.04784156507812488,0,3
2020-02-22,-0.041994262679687394,0,0
2020-02-23,1.0,1,0
2020-02-24,-0.10000000000000009,0,1
2020-02-25,-0.04500000000000003,1,0
2020-02-26,-0.028500000000000022,0,0
2020-02-27,-0.020662499999999924,0,0
2020-02-28,-0.016116749999999947,0,0
2020-02-29,-0.01316201249999996,0,0
2020-03-01,-0.011093696249999967,0,0
2020-03-02,-0.009568313015624975,0,0
2020-03-03,0.9916011474640625,0,0
2020-03-04,-0.10000000000000009,0,0
2020-03-05,1.955,0,0
2020-03-06,-0.2285000000000002,0,0
2020-03-07,-0.1106625,0,0
2020-03-08,-0.07311675,0,0
2020-03-09,-0.05448701249999981,3,0
2020-03-10,-0.04332719624999986,0,0
2020-03-11,-0.0358923380156249,0,0
2020-03-12,-0.03058624503593741,0,0
2020-03-13,-0.01913662603124995,0,0
2020-03-14,-0.016797705071874957,0,0
2020-03-15,0.0,0,0
2020-03-16,4.0,0,0
2020-03-17,3.5999999999999996,0,0
2020-03-18,-0.5800000000000005,0,1
2020-03-19,0.7059999999999997,2,0
2020-03-20,0.7033500000000001,0,0
2020-03-21,-0.2921169999999996,0,2
2020-03-22,-0.1906150499999997,0,2
2020-03-23,-0.14618533499999967,0,0
2020-03-24,0.8805727129375004,0,0
2020-03-25,3.79885257529375,0,0
2020-03-26,0.4971488811062498,0,0
2020-03-27,0.6708379907343749,0,0
2020-03-28,-0.29762966555156256,0,0
2020-03-29,-0.1806656025359372,0,0
2020-03-30,-0.1267915124999997,1,0
2020-03-31,-0.10052099624999969,0,0
2020-04-01,4.916778139484375,0,1
2020-04-02,-0.5709278133484378,0,0
2020-04-03,-0.27925741940937504,0,0
2020-04-04,-0.16046716555156254,1,0
2020-04-05,-0.11171135253593709,0,0
2020-04-06,-0.08058374999999973,1,0
2020-04-07,0.9341899375000002,0,0
2020-04-08,-0.15546848124999993,2,0
2020-04-09,-0.09284156507812491,0,0
2020-04-10,-0.07049426267968742,0,9
2020-04-11,-0.020662499999999924,0,0
2020-04-12,-0.016116749999999947,0,0
2020-04-13,-0.01316201249999996,0,0
2020-04-14,-0.011093696249999967,0,0
2020-04-15,-0.009568313015624975,0,0
2020-04-16,-0.008398852535937478,0,0
2020-04-17,1.0,0,0
2020-04-18,-0.10000000000000009,0,0
2020-04-19,-0.04500000000000003,0,0
2020-04-20,-0.028500000000000022,0,0
2020-04-21,-0.020662499999999924,0,0
2020-04-22,-0.016116749999999947,0,0
2020-04-23,-0.01316201249999996,0,0
2020-04-24,-0.011093696249999967,0,0
2020-04-25,-0.009568313015624975,0,0
2020-04-26,-0.008398852535937478,1,0
2020-04-27,0.0,0,0
2020-04-28,0.0,0,0
2020-04-29,1.0,0,0
2020-04-30,1.9,0,0
2020-05-01,0.7549999999999998,0,0
2020-05-02,-0.2185000000000002,0,0
2020-05-03,-0.12266250000000001,0,0
2020-05-04,-0.08594174999999982,1,0
2020-05-05,0.9339419875000002,0,0
2020-05-06,0.84646552875,0,0
2020-05-07,-0.189917718015625,0,0
2020-05-08,0.8878708251828126,0,0
2020-05-09,-0.17552851808749997,0,0
2020-05-10,-0.09017810253593739,0,0
2020-05-11,0.9422212375000001,0,0
2020-05-12,2.85508179125,1,0
2020-05-13,1.6182212407343748,0,0
2020-05-14,2.605370821948437,0,0
2020-05-15,-0.5156550487859377,0,0
2020-05-16,-0.2796725630156248,0,0
2020-05-17,-0.1967361150359372,0,0
2020-05-18,0.8551992662500005,0,0
2020-05-19,-0.21752367676562473,0,0
2020-05-20,0.8562227784171877,0,0
2020-05-21,-0.2061142723890624,0,0
2020-05-22,-0.11116514411874984,1,0
2020-05-23,-0.0698133076078124,0,0
2020-05-24,-0.03382451249999988,0,0
2020-05-25,-0.027210446249999916,0,0
2020-05-26,-0.022730325515624934,0,0
2020-05-27,-0.019492548785937445,0,0
