,cacti/cacti,netdata/netdata,grafana/grafana
2013-09-17,0,0.0,10
2013-09-18,0,0.0,0
2013-09-19,0,0.0,9
2013-09-20,0,0.0,13
2013-09-21,1,0.0,0
2013-09-22,0,0.0,0
2013-09-23,0,0.0,4
2013-09-24,0,0.0,0
2013-09-25,0,0.0,3
2013-09-26,0,0.0,2
2013-09-27,0,0.0,1
2013-09-28,0,0.0,0
2013-09-29,0,0.0,1
2013-09-30,0,0.0,7
2013-10-01,0,0.0,3
2013-10-02,0,0.0,0
2013-10-03,0,0.0,0
2013-10-04,0,0.0,0
2013-10-05,0,0.0,1
2013-10-06,0,0.0,0
2013-10-07,0,0.0,1
2013-10-08,0,0.0,1
2013-10-09,0,0.0,5
2013-10-10,0,0.0,2
2013-10-11,0,0.0,4
2013-10-12,0,0.0,3
2013-10-13,0,2.0,0
2013-10-14,0,-0.7999999999999998,3
2013-10-15,0,-0.24,6
2013-10-16,0,-0.128,3
2013-10-17,0,-0.0832000000000001,8
2013-10-18,0,-0.059904000000000034,1
2013-10-19,0,-0.04592640000000001,0
2013-10-20,0,-0.03674111999999999,0
2013-10-21,0,-0.030311423999999986,3
2013-10-22,0,10.9744036864,3
2013-10-23,0,-4.399999999999999,4
2013-10-24,0,-1.3199999999999998,3
2013-10-25,0,-0.704,7
2013-10-26,0,-0.4576000000000005,0
2013-10-27,0,-0.3294720000000002,0
2013-10-28,0,-0.2525952000000001,3
2013-10-29,0,-0.20207615999999995,2
2013-10-30,0,-0.16671283199999992,9
2013-10-31,0,-0.14077972479999995,1
2013-11-01,0,0.0,8
2013-11-02,0,0.0,0
2013-11-03,0,0.0,0
2013-11-04,0,0.0,2
2013-11-05,0,0.0,3
2013-11-06,0,0.0,3
2013-11-07,0,0.0,4
2013-11-08,0,0.0,1
2013-11-09,0,0.0,0
2013-11-10,0,0.0,0
2013-11-11,0,0.0,0
2013-11-12,0,0.0,1
2013-11-13,0,0.0,1
2013-11-14,0,0.0,2
2013-11-15,0,0.0,7
2013-11-16,0,0.0,0
2013-11-17,0,0.0,0
2013-11-18,0,0.0,0
2013-11-19,0,0.0,4
2013-11-20,0,0.0,0
2013-11-21,0,0.0,0
2013-11-22,0,0.0,0
2013-11-23,0,0.0,1
2013-11-24,0,0.0,0
2013-11-25,0,0.0,1
2013-11-26,0,0.0,2
2013-11-27,0,0.0,0
2013-11-28,0,0.0,0
2013-11-29,0,0.0,2
2013-11-30,0,0.0,0
2013-12-01,0,0.0,0
2013-12-02,0,0.0,6
2013-12-03,0,0.0,12
2013-12-04,0,0.0,7
2013-12-05,0,0.0,2
2013-12-06,0,0.0,6
2013-12-07,0,0.0,2
2013-12-08,0,0.0,4
2013-12-09,0,0.0,5
2013-12-10,0,0.0,5
2013-12-11,0,0.0,4
2013-12-12,0,0.0,5
2013-12-13,0,0.0,4
2013-12-14,0,0.0,0
2013-12-15,0,0.0,3
2013-12-16,0,0.0,3
2013-12-17,0,0.0,4
2013-12-18,0,0.0,0
2013-12-19,0,0.0,2
2013-12-20,0,0.0,6
2013-12-21,0,0.0,1
2013-12-22,0,0.0,4
2013-12-23,0,0.0,7
2013-12-24,0,0.0,11
2013-12-25,0,0.0,4
2013-12-26,0,0.0,10
2013-12-27,0,0.0,7
2013-12-28,0,0.0,5
2013-12-29,0,0.0,12
2013-12-30,0,0.0,6
2013-12-31,0,0.0,2
2014-01-01,0,0.0,5
2014-01-02,0,0.0,2
2014-01-03,0,0.0,10
2014-01-04,0,0.0,2
2014-01-05,0,0.0,1
2014-01-06,0,0.0,7
2014-01-07,0,0.0,3
2014-01-08,0,0.0,2
2014-01-09,0,0.0,0
2014-01-10,0,0.0,1
2014-01-11,0,0.0,1
2014-01-12,0,0.0,5
2014-01-13,0,0.0,1
2014-01-14,0,0.0,3
2014-01-15,0,0.0,1
2014-01-16,0,0.0,0
2014-01-17,0,0.0,0
2014-01-18,0,0.0,0
2014-01-19,0,0.0,5
2014-01-20,0,0.0,16
2014-01-21,0,0.0,6
2014-01-22,0,0.0,4
2014-01-23,0,0.0,11
2014-01-24,0,0.0,6
2014-01-25,0,0.0,1
2014-01-26,0,0.0,0
2014-01-27,0,0.0,4
2014-01-28,0,0.0,1
2014-01-29,0,0.0,2
2014-01-30,0,0.0,0
2014-01-31,0,0.0,1
2014-02-01,0,0.0,16
2014-02-02,0,0.0,1
2014-02-03,0,0.0,0
2014-02-04,0,0.0,0
2014-02-05,0,0.0,18
2014-02-06,0,0.0,5
2014-02-07,0,0.0,7
2014-02-08,0,0.0,8
2014-02-09,0,0.0,7
2014-02-10,0,0.0,4
2014-02-11,0,0.0,6
2014-02-12,0,0.0,9
2014-02-13,0,0.0,6
2014-02-14,0,0.0,3
2014-02-15,0,0.0,7
2014-02-16,0,0.0,0
2014-02-17,0,0.0,1
2014-02-18,0,0.0,4
2014-02-19,0,0.0,3
2014-02-20,0,0.0,3
2014-02-21,0,0.0,5
2014-02-22,0,0.0,0
2014-02-23,0,0.0,2
2014-02-24,0,0.0,3
2014-02-25,0,0.0,5
2014-02-26,0,0.0,9
2014-02-27,0,0.0,5
2014-02-28,0,0.0,4
2014-03-01,0,0.0,2
2014-03-02,0,0.0,4
2014-03-03,0,0.0,2
2014-03-04,0,0.0,5
2014-03-05,0,0.0,5
2014-03-06,0,0.0,2
2014-03-07,0,0.0,6
2014-03-08,0,0.0,2
2014-03-09,0,0.0,2
2014-03-10,0,0.0,4
2014-03-11,0,0.0,3
2014-03-12,0,0.0,2
2014-03-13,0,0.0,0
2014-03-14,0,0.0,0
2014-03-15,0,0.0,0
2014-03-16,0,0.0,1
2014-03-17,0,0.0,3
2014-03-18,0,0.0,6
2014-03-19,0,0.0,5
2014-03-20,0,0.0,0
2014-03-21,0,0.0,0
2014-03-22,0,2.0,0
2014-03-23,0,10.2,6
2014-03-24,0,-3.639999999999999,5
2014-03-25,0,8.152000000000001,0
2014-03-26,0,-1.9071999999999996,13
2014-03-27,0,2.018496,6
2014-03-28,0,-0.41699839999999977,3
2014-03-29,0,9.27271168,2
2014-03-30,7,-1.1596707839999993,3
2014-03-31,0,-2.3701677056,4
2014-04-01,0,-0.8510906368,4
2014-04-02,0,2.7166610431999993,4
2014-04-03,0,0.7303848960000003,4
2014-04-04,0,-2.0058031103999996,2
2014-04-05,0,-0.78782464,8
2014-04-06,0,4.598053785599999,6
2014-04-07,0,0.7878160384000004,3
2014-04-08,0,-2.791267328,3
2014-04-09,0,1.8248346624,2
2014-04-10,0,-0.9333723136000001,5
2014-04-11,0,-0.27205939200000007,3
2014-04-12,0,7.9456939008,0
2014-04-13,0,4.861169971200001,2
2014-04-14,0,-3.0526706687999994,2
2014-04-15,0,-1.7338533888,2
2014-04-16,0,1.2503804927999995,3
2014-04-17,0,4.821231104,4
2014-04-18,0,-1.8553575423999997,1
2014-04-19,0,-2.3334617088,0
2014-04-20,0,-1.2032130048,2
2014-04-21,0,1.1796548607999995,7
2014-04-22,0,0.6743810048000001,3
2014-04-23,0,0.6434898944000003,2
2014-04-24,0,4.5992143872,1
2014-04-25,0,-1.0324255743999995,3
2014-04-26,0,4.0889974784,0
2014-04-27,0,10.761373286400001,3
2014-04-28,0,-2.8401715199999993,3
2014-04-29,0,0.9601090560000003,0
2014-04-30,0,-2.9159320576,7
2014-05-01,0,10.7698305024,2
2014-05-02,0,8.483221094400001,0
2014-05-03,0,0.5093834752000017,2
2014-05-04,0,0.1110687744000014,0
2014-05-05,0,-2.8880191487999998,1
2014-05-06,0,-1.9839890432000007,4
2014-05-07,0,2.1244566527999997,0
2014-05-08,0,-1.6551797759999998,0
2014-05-09,0,3.4454863872,5
2014-05-10,0,4.147154841600001,0
2014-05-11,0,-0.8417612800000001,0
2014-05-12,0,-2.4992714751999996,0
2014-05-13,0,0.011884646399999754,2
2014-05-14,0,-1.8949970944000003,0
2014-05-15,0,-0.9859111936000002,3
2014-05-16,0,4.322360832,0
2014-05-17,0,-2.4684998655999997,0
2014-05-18,0,1.0456159232000002,0
2014-05-19,0,2.6526949376,5
2014-05-20,0,7.8489105408,16
2014-05-21,0,-2.800869580799999,0
2014-05-22,0,1.5203876864000003,3
2014-05-23,0,-0.7981568000000001,6
2014-05-24,0,0.9344870399999996,0
2014-05-25,0,-1.2713047039999998,4
2014-05-26,0,-1.4477296640000001,1
2014-05-27,0,-0.8308591616000002,6
2014-05-28,0,-0.5800476672000001,0
2014-05-29,0,-0.409157632,0
2014-05-30,0,3.7781981184,5
2014-05-31,0,-0.7595789311999996,7
