,gocolly/colly,puppeteer/puppeteer,seleniumhq/selenium
2021-12-28,0,0.0,0
2021-12-29,2,0.0,3
2021-12-30,0,0.0,4
2021-12-31,0,0.0,5
2022-01-01,0,0.0,7
2022-01-02,0,0.0,0
2022-01-03,0,0.0,1
2022-01-04,0,0.0,8
2022-01-05,0,0.0,3
2022-01-06,0,0.0,3
2022-01-07,0,0.0,1
2022-01-08,0,0.0,2
2022-01-09,0,0.0,2
2022-01-10,0,0.0,5
2022-01-11,0,0.0,2
2022-01-12,1,0.0,2
2022-01-13,0,0.0,2
2022-01-14,0,0.0,0
2022-01-15,0,0.0,1
2022-01-16,1,0.0,1
2022-01-17,0,6.0,4
2022-01-18,0,2.3999999999999995,0
2022-01-19,0,-0.5700000000000005,5
2022-01-20,0,0.6939999999999997,4
2022-01-21,0,0.6905250000000003,4
2022-01-22,0,-0.3036879999999996,1
2022-01-23,0,-0.2008223249999997,1
2022-01-24,0,0.8447892850000004,11
2022-01-25,0,1.7725297831562503,0
2022-01-26,0,1.6466231832375002,0
2022-01-27,0,0.6320477336421874,3
2022-01-28,2,4.7116754907343745,2
2022-01-29,0,-0.6774089155515628,2
2022-01-30,0,-0.3486193650359374,3
2022-01-31,0,2.76718627875,3
2022-02-01,4,0.5224910194843754,2
2022-02-02,0,0.6215313664328128,6
2022-02-03,0,-0.34333808985312486,15
2022-02-04,0,1.7826780006625005,7
2022-02-05,0,-0.35375316761406234,0
2022-02-06,0,-0.20825955017968723,1
2022-02-07,0,3.88044014875,0
2022-02-08,0,-0.49428564779687506,0
2022-02-09,0,3.7419079331265626,5
2022-02-10,0,4.441708809448437,2
2022-02-11,0,3.2067637549640624,3
2022-02-12,0,-0.8226036260312504,0
2022-02-13,0,-0.4745957550718748,0
2022-02-14,0,5.673845715000001,2
2022-02-15,0,5.1458449479375,0
2022-02-16,0,-0.07824725764375007,0
2022-02-17,0,1.3126102166875,0
2022-02-18,0,1.3342132397781254,2
2022-02-19,0,-0.6194430147421868,4
2022-02-20,0,-0.3769304851437494,0
2022-02-21,0,1.7400239975000007,5
2022-02-22,0,2.5893074319062506,6
2022-02-23,0,0.43254578544062516,3
2022-02-24,0,-0.4004728457312499,3
2022-02-25,0,0.7784521289328127,4
2022-02-26,0,-0.25865533110312466,1
2022-02-27,0,-0.1571344800718747,0
2022-02-28,0,1.8937098200000002,3
2022-03-01,0,2.71375777271875,11
2022-03-02,0,-0.46271309036875014,2
2022-03-03,0,1.7600731168765624,8
2022-03-04,0,0.6536824512140624,6
2022-03-05,1,-0.2937893130156248,0
2022-03-06,1,-0.18507312753593733,0
2022-03-07,0,4.86850157,0
2022-03-08,4,-0.6053137147812502,2
2022-03-09,0,3.68705658088125,5
