,plotly/plotly.js,d3/d3,highcharts/highcharts
2017-03-09,23,0,0
2017-03-10,6,2,1
2017-03-11,2,0,0
2017-03-12,0,0,0
2017-03-13,9,2,0
2017-03-14,22,0,12
2017-03-15,4,0,11
2017-03-16,8,0,7
2017-03-17,16,0,2
2017-03-18,1,0,0
2017-03-19,0,0,0
2017-03-20,5,0,6
2017-03-21,14,0,6
2017-03-22,3,1,7
2017-03-23,0,0,6
2017-03-24,0,2,5
2017-03-25,0,0,0
2017-03-26,0,0,0
2017-03-27,7,0,8
2017-03-28,12,0,18
2017-03-29,20,0,12
2017-03-30,10,0,12
2017-03-31,19,0,9
2017-04-01,2,0,0
2017-04-02,0,0,0
2017-04-03,4,0,8
2017-04-04,6,0,5
2017-04-05,8,0,6
2017-04-06,6,0,2
2017-04-07,40,0,16
2017-04-08,5,0,0
2017-04-09,0,0,2
2017-04-10,15,0,10
2017-04-11,7,0,6
2017-04-12,8,0,0
2017-04-13,20,0,0
2017-04-14,11,0,0
2017-04-15,0,2,0
2017-04-16,0,0,0
2017-04-17,11,0,0
2017-04-18,11,0,10
2017-04-19,1,0,0
2017-04-20,11,0,14
2017-04-21,10,0,8
2017-04-22,3,0,0
2017-04-23,0,0,0
2017-04-24,9,0,13
2017-04-25,6,0,7
2017-04-26,13,0,24
2017-04-27,8,0,5
2017-04-28,21,0,4
2017-04-29,2,0,0
2017-04-30,0,0,0
2017-05-01,20,0,0
2017-05-02,17,0,13
2017-05-03,6,0,13
2017-05-04,0,0,5
2017-05-05,0,0,5
2017-05-06,0,0,0
2017-05-07,0,0,0
2017-05-08,15,0,7
2017-05-09,17,0,22
2017-05-10,15,0,5
2017-05-11,3,0,9
2017-05-12,7,0,12
2017-05-13,0,0,0
2017-05-14,0,0,3
2017-05-15,10,2,8
2017-05-16,15,2,6
2017-05-17,3,0,2
2017-05-18,12,0,8
2017-05-19,3,0,20
2017-05-20,0,0,0
2017-05-21,0,0,0
2017-05-22,0,0,4
2017-05-23,17,0,9
2017-05-24,8,0,21
2017-05-25,26,0,2
2017-05-26,26,0,9
2017-05-27,0,0,0
2017-05-28,1,0,0
2017-05-29,2,0,4
2017-05-30,7,0,0
2017-05-31,5,0,0
2017-06-01,4,0,1
2017-06-02,2,0,2
2017-06-03,0,0,0
2017-06-04,0,0,0
2017-06-05,2,0,0
2017-06-06,22,0,0
2017-06-07,6,0,1
2017-06-08,33,0,5
2017-06-09,20,0,6
2017-06-10,3,0,0
2017-06-11,2,0,0
2017-06-12,13,0,1
2017-06-13,12,0,8
2017-06-14,21,0,3
2017-06-15,16,0,6
2017-06-16,34,0,5
2017-06-17,3,0,0
2017-06-18,0,0,0
2017-06-19,7,0,26
2017-06-20,14,0,4
2017-06-21,5,0,9
2017-06-22,7,0,9
2017-06-23,9,0,9
2017-06-24,0,0,0
2017-06-25,0,0,0
2017-06-26,18,0,12
2017-06-27,9,0,0
2017-06-28,10,0,0
2017-06-29,6,0,1
2017-06-30,21,0,0
2017-07-01,0,0,0
2017-07-02,0,0,0
2017-07-03,2,0,1
2017-07-04,0,0,0
2017-07-05,5,0,0
2017-07-06,9,0,0
2017-07-07,11,0,0
2017-07-08,0,0,0
2017-07-09,0,0,0
2017-07-10,8,0,0
2017-07-11,7,0,0
2017-07-12,3,0,0
2017-07-13,17,0,9
2017-07-14,6,2,0
2017-07-15,0,0,0
2017-07-16,0,0,0
2017-07-17,8,0,13
2017-07-18,16,0,10
2017-07-19,15,0,2
2017-07-20,2,0,0
2017-07-21,5,0,0
2017-07-22,0,0,0
2017-07-23,0,0,0
2017-07-24,3,0,3
2017-07-25,13,0,6
2017-07-26,9,0,0
2017-07-27,6,0,10
2017-07-28,3,0,10
2017-07-29,0,0,0
2017-07-30,0,0,0
2017-07-31,0,0,6
2017-08-01,8,0,8
2017-08-02,8,0,12
2017-08-03,3,0,13
2017-08-04,10,0,11
2017-08-05,13,0,1
2017-08-06,0,0,0
2017-08-07,9,0,13
2017-08-08,8,0,13
2017-08-09,0,0,5
2017-08-10,5,0,9
2017-08-11,2,0,4
2017-08-12,0,0,0
2017-08-13,0,0,0
2017-08-14,16,0,9
2017-08-15,11,0,1
2017-08-16,3,0,13
2017-08-17,0,0,8
2017-08-18,0,0,9
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,2,0,16
2017-08-22,1,0,7
2017-08-23,2,0,14
2017-08-24,2,0,7
2017-08-25,1,0,18
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,2,0,15
2017-08-29,0,0,17
2017-08-30,2,0,25
2017-08-31,1,0,31
2017-09-01,3,0,16
2017-09-02,0,3,0
2017-09-03,0,2,0
2017-09-04,0,0,13
2017-09-05,7,0,15
2017-09-06,5,0,11
2017-09-07,1,0,2
2017-09-08,1,0,4
2017-09-09,0,0,0
2017-09-10,0,0,0
2017-09-11,1,0,11
2017-09-12,2,0,15
2017-09-13,25,0,21
2017-09-14,3,0,21
2017-09-15,6,0,14
2017-09-16,0,0,4
2017-09-17,0,0,0
2017-09-18,3,0,13
2017-09-19,15,0,9
2017-09-20,23,0,15
2017-09-21,4,0,4
2017-09-22,28,0,5
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,9,0,9
2017-09-26,2,0,25
2017-09-27,10,0,14
2017-09-28,15,0,36
2017-09-29,3,0,41
2017-09-30,5,0,16
2017-10-01,0,0,3
2017-10-02,8,3,42
2017-10-03,20,2,19
2017-10-04,23,0,24
2017-10-05,27,0,13
2017-10-06,19,0,9
2017-10-07,0,0,11
2017-10-08,0,0,3
2017-10-09,12,0,0
2017-10-10,9,0,3
2017-10-11,0,0,1
2017-10-12,5,0,7
2017-10-13,1,0,11
2017-10-14,0,0,3
2017-10-15,1,0,13
2017-10-16,14,0,7
2017-10-17,9,0,10
2017-10-18,14,0,12
2017-10-19,14,0,13
2017-10-20,19,0,9
2017-10-21,0,0,1
2017-10-22,0,0,3
2017-10-23,23,0,6
2017-10-24,14,0,1
2017-10-25,7,0,0
2017-10-26,13,0,1
2017-10-27,8,0,0
2017-10-28,0,0,3
2017-10-29,0,0,4
2017-10-30,1,0,11
2017-10-31,15,0,11
2017-11-01,6,0,13
2017-11-02,25,0,9
2017-11-03,4,0,13
2017-11-04,0,0,4
2017-11-05,0,0,6
2017-11-06,1,0,7
2017-11-07,0,0,4
2017-11-08,1,0,7
2017-11-09,0,0,8
2017-11-10,0,0,11
2017-11-11,0,0,2
2017-11-12,0,0,0
2017-11-13,4,0,5
2017-11-14,6,0,8
2017-11-15,15,0,15
2017-11-16,12,0,5
2017-11-17,8,0,0
2017-11-18,0,0,0
2017-11-19,0,0,0
2017-11-20,6,0,6
2017-11-21,2,2,4
2017-11-22,3,0,5
2017-11-23,2,0,2
2017-11-24,4,0,0
2017-11-25,0,0,0
2017-11-26,0,0,0
2017-11-27,8,0,9
2017-11-28,6,0,1
2017-11-29,1,0,3
2017-11-30,0,0,0
2017-12-01,1,0,2
2017-12-02,0,0,0
2017-12-03,0,0,0
2017-12-04,1,0,10
2017-12-05,1,0,25
2017-12-06,1,0,11
2017-12-07,11,0,15
2017-12-08,14,0,5
2017-12-09,1,0,0
2017-12-10,0,0,0
2017-12-11,19,0,8
2017-12-12,1,0,12
2017-12-13,0,0,1
2017-12-14,0,0,15
2017-12-15,17,0,13
2017-12-16,1,0,0
2017-12-17,0,0,0
2017-12-18,13,0,10
2017-12-19,8,0,16
2017-12-20,6,0,11
2017-12-21,1,0,7
2017-12-22,6,0,12
2017-12-23,1,0,0
2017-12-24,0,0,0
2017-12-25,0,0,0
2017-12-26,0,4,0
2017-12-27,1,0,0
2017-12-28,4,0,0
2017-12-29,9,0,0
2017-12-30,7,0,0
2017-12-31,0,0,0
2018-01-01,0,0,0
2018-01-02,0,0,12
2018-01-03,6,0,1
2018-01-04,10,0,2
2018-01-05,1,0,5
2018-01-06,0,0,0
2018-01-07,1,0,1
2018-01-08,4,0,7
2018-01-09,4,0,8
2018-01-10,10,0,11
2018-01-11,21,0,2
2018-01-12,4,0,9
2018-01-13,0,0,0
2018-01-14,0,0,0
2018-01-15,11,0,13
2018-01-16,6,0,4
2018-01-17,35,0,2
2018-01-18,27,2,0
2018-01-19,9,0,1
2018-01-20,1,0,0
2018-01-21,1,0,0
2018-01-22,11,0,5
2018-01-23,12,0,14
2018-01-24,10,0,10
2018-01-25,9,0,16
2018-01-26,6,0,23
2018-01-27,1,0,0
2018-01-28,0,3,6
2018-01-29,11,3,12
2018-01-30,23,0,12
2018-01-31,9,0,17
2018-02-01,17,0,18
2018-02-02,20,0,5
2018-02-03,0,0,0
2018-02-04,11,0,0
2018-02-05,12,0,8
2018-02-06,14,0,0
2018-02-07,5,3,0
2018-02-08,29,0,3
2018-02-09,10,0,26
2018-02-10,0,0,3
2018-02-11,0,0,0
2018-02-12,14,0,10
2018-02-13,4,0,16
2018-02-14,5,0,16
2018-02-15,3,0,8
2018-02-16,22,0,13
2018-02-17,6,0,9
2018-02-18,0,0,4
2018-02-19,14,0,5
2018-02-20,14,0,17
2018-02-21,5,0,3
2018-02-22,2,0,3
2018-02-23,7,0,2
2018-02-24,0,0,10
2018-02-25,4,0,6
2018-02-26,11,0,6
2018-02-27,12,0,19
2018-02-28,29,1,6
2018-03-01,22,0,5
2018-03-02,17,0,33
2018-03-03,1,0,0
2018-03-04,0,0,0
2018-03-05,26,0,12
2018-03-06,16,0,14
2018-03-07,22,0,12
2018-03-08,8,0,18
2018-03-09,10,0,17
2018-03-10,0,0,0
2018-03-11,0,0,0
2018-03-12,5,0,22
2018-03-13,5,0,24
2018-03-14,6,0,15
2018-03-15,11,0,22
2018-03-16,4,0,30
2018-03-17,1,0,0
2018-03-18,0,0,0
2018-03-19,7,0,9
2018-03-20,5,0,20
2018-03-21,2,0,9
2018-03-22,3,9,29
2018-03-23,6,0,9
2018-03-24,0,0,0
2018-03-25,0,0,0
2018-03-26,12,0,7
2018-03-27,16,0,11
2018-03-28,29,0,0
2018-03-29,16,0,0
2018-03-30,13,0,0
2018-03-31,0,1,0
2018-04-01,0,0,0
2018-04-02,2,0,0
2018-04-03,1,0,40
2018-04-04,8,0,7
2018-04-05,15,0,8
2018-04-06,18,0,10
2018-04-07,0,0,0
2018-04-08,0,0,0
2018-04-09,11,0,9
2018-04-10,11,0,1
2018-04-11,17,0,9
2018-04-12,9,0,2
2018-04-13,13,0,9
2018-04-14,0,0,0
2018-04-15,0,0,0
2018-04-16,29,2,38
2018-04-17,29,4,9
2018-04-18,7,0,14
2018-04-19,6,0,8
2018-04-20,1,0,46
2018-04-21,0,0,0
2018-04-22,8,0,0
2018-04-23,0,0,0
2018-04-24,10,0,4
2018-04-25,4,0,8
2018-04-26,20,0,3
2018-04-27,10,0,3
2018-04-28,0,0,0
2018-04-29,1,0,0
2018-04-30,20,0,3
2018-05-01,21,0,0
2018-05-02,10,0,11
2018-05-03,6,1,6
2018-05-04,0,0,15
2018-05-05,0,0,0
2018-05-06,1,0,0
2018-05-07,1,2,13
2018-05-08,1,0,16
2018-05-09,14,2,0
2018-05-10,6,0,1
2018-05-11,10,2,0
2018-05-12,0,0,0
2018-05-13,0,0,0
2018-05-14,6,0,2
2018-05-15,3,0,2
2018-05-16,10,0,1
2018-05-17,14,0,0
2018-05-18,12,0,0
2018-05-19,0,0,0
2018-05-20,0,0,0
2018-05-21,5,0,0
2018-05-22,19,0,0
2018-05-23,24,0,0
2018-05-24,9,0,7
2018-05-25,6,0,1
2018-05-26,0,0,0
2018-05-27,0,0,0
2018-05-28,7,0,6
2018-05-29,11,0,16
2018-05-30,14,0,6
2018-05-31,7,0,6
2018-06-01,9,0,12
2018-06-02,1,0,0
2018-06-03,0,0,0
2018-06-04,10,0,8
2018-06-05,12,0,2
2018-06-06,13,0,2
2018-06-07,9,0,0
2018-06-08,6,0,4
2018-06-09,0,0,0
2018-06-10,0,0,0
2018-06-11,23,0,10
2018-06-12,3,0,11
2018-06-13,3,0,8
2018-06-14,2,0,10
2018-06-15,9,0,9
2018-06-16,0,2,0
2018-06-17,0,0,0
2018-06-18,9,0,12
2018-06-19,6,0,11
2018-06-20,8,0,5
2018-06-21,15,0,3
2018-06-22,0,0,8
2018-06-23,0,0,0
2018-06-24,0,0,2
2018-06-25,0,0,3
2018-06-26,5,0,18
2018-06-27,28,0,8
2018-06-28,14,0,12
2018-06-29,11,0,3
2018-06-30,0,0,0
2018-07-01,1,0,0
2018-07-02,1,0,5
2018-07-03,11,0,5
2018-07-04,12,0,15
2018-07-05,21,0,5
2018-07-06,8,0,12
2018-07-07,0,0,5
2018-07-08,1,0,3
2018-07-09,10,0,24
2018-07-10,5,0,3
2018-07-11,7,0,1
2018-07-12,5,0,4
2018-07-13,7,0,7
2018-07-14,0,0,0
2018-07-15,0,0,0
2018-07-16,5,0,2
2018-07-17,2,0,9
2018-07-18,15,0,15
