,typesense/typesense,meilisearch/meilisearch,elastic/elasticsearch
2018-05-22,2.0,0.0,32
2018-05-23,-0.7999999999999998,0.0,28
2018-05-24,1.76,0.0,20
2018-05-25,-0.9279999999999998,0.0,17
2018-05-26,-0.3232000000000001,0.0,3
2018-05-27,-0.18790400000000004,0.0,1
2018-05-28,-0.1291264000000001,0.0,7
2018-05-29,0.90335488,0.0,17
2018-05-30,-0.4762378239999999,0.0,34
2018-05-31,-0.1823374336,0.0,24
2018-06-01,-0.09431142399999999,0.0,25
2018-06-02,-0.06719631360000004,0.0,5
2018-06-03,-0.029952000000000017,0.0,1
2018-06-04,0.9770368,0.0,38
2018-06-05,-0.4183705599999999,0.0,30
2018-06-06,-0.13515571199999998,0.0,28
2018-06-07,-0.0767981568,0.0,28
2018-06-08,0.9583999999999999,0.0,17
2018-06-09,0.5700480000000001,0.0,6
2018-06-10,-0.5429632,0.0,2
2018-06-11,-0.20237055999999998,0.0,18
2018-06-12,-0.12075571200000004,0.0,30
2018-06-13,-0.08435015680000006,0.0,37
2018-06-14,-0.05291520000000002,0.0,22
2018-06-15,-0.04133376,0.0,36
2018-06-16,-0.03352627199999999,0.0,2
2018-06-17,-0.02795386879999999,0.0,2
2018-06-18,-0.012798156799999997,0.0,18
2018-06-19,0.0,0.0,20
2018-06-20,0.0,0.0,21
2018-06-21,0.0,0.0,20
2018-06-22,0.0,0.0,19
2018-06-23,0.0,0.0,5
2018-06-24,0.0,1.0,3
2018-06-25,0.0,0.0,18
2018-06-26,0.0,0.0,16
2018-06-27,0.0,0.0,14
2018-06-28,0.0,0.0,27
2018-06-29,0.0,0.0,22
2018-06-30,0.0,0.0,1
2018-07-01,0.0,0.0,3
2018-07-02,0.0,0.0,10
2018-07-03,0.0,0.0,20
2018-07-04,0.0,0.0,11
2018-07-05,0.0,0.0,20
2018-07-06,0.0,0.0,18
2018-07-07,0.0,0.0,2
2018-07-08,0.0,0.0,3
2018-07-09,0.0,0.0,14
2018-07-10,0.0,0.0,16
2018-07-11,0.0,0.0,21
2018-07-12,0.0,0.0,23
2018-07-13,0.0,0.0,30
2018-07-14,0.0,0.0,3
2018-07-15,0.0,0.0,0
2018-07-16,0.0,0.0,28
2018-07-17,0.0,0.0,25
2018-07-18,0.0,0.0,23
2018-07-19,0.0,0.0,15
2018-07-20,0.0,0.0,30
2018-07-21,0.0,0.0,4
