,sveltejs/svelte,vuejs/core,facebook/react
2022-10-19,0,0,6
2022-10-20,1,2,0
2022-10-21,0,1,7
2022-10-22,0,2,6
2022-10-23,0,0,8
2022-10-24,0,0,9
2022-10-25,0,0,3
2022-10-26,0,15,0
2022-10-27,1,1,19
2022-10-28,0,2,2
2022-10-29,0,0,3
2022-10-30,0,0,1
2022-10-31,1,0,1
2022-11-01,0,1,5
2022-11-02,0,0,2
2022-11-03,1,0,5
2022-11-04,0,0,9
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,3,0,7
2022-11-08,0,31,6
2022-11-09,5,17,5
2022-11-10,5,12,7
2022-11-11,0,14,4
2022-11-12,0,0,0
2022-11-13,0,0,2
2022-11-14,0,36,2
2022-11-15,0,0,6
2022-11-16,0,0,6
2022-11-17,0,0,15
2022-11-18,0,0,3
2022-11-19,0,0,1
2022-11-20,0,0,0
2022-11-21,0,0,14
2022-11-22,0,0,10
2022-11-23,0,0,1
2022-11-24,0,0,6
2022-11-25,0,1,1
2022-11-26,0,0,0
2022-11-27,0,0,0
2022-11-28,0,0,5
2022-11-29,0,0,5
2022-11-30,0,0,2
2022-12-01,0,2,8
2022-12-02,1,0,7
2022-12-03,5,0,0
2022-12-04,0,0,0
2022-12-05,13,0,8
2022-12-06,4,0,7
2022-12-07,1,0,4
2022-12-08,0,0,4
2022-12-09,0,0,5
2022-12-10,0,0,0
2022-12-11,1,0,0
2022-12-12,0,0,7
2022-12-13,1,0,6
2022-12-14,0,0,14
2022-12-15,1,0,10
2022-12-16,1,0,3
2022-12-17,0,0,1
2022-12-18,0,0,2
2022-12-19,1,0,2
2022-12-20,1,0,15
2022-12-21,0,0,13
2022-12-22,4,0,13
2022-12-23,0,1,3
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,0,0
2022-12-28,0,0,0
2022-12-29,0,0,0
2022-12-30,0,0,0
2022-12-31,1,0,0
2023-01-01,2,1,0
2023-01-02,10,0,0
2023-01-03,2,0,3
2023-01-04,0,0,13
2023-01-05,0,0,6
2023-01-06,0,0,1
2023-01-07,0,0,0
2023-01-08,0,0,0
2023-01-09,1,6,11
2023-01-10,6,0,10
2023-01-11,0,0,12
2023-01-12,1,2,11
2023-01-13,0,0,8
2023-01-14,0,0,4
2023-01-15,0,0,1
2023-01-16,0,1,2
2023-01-17,0,0,5
2023-01-18,0,0,5
2023-01-19,0,0,15
2023-01-20,0,1,9
2023-01-21,0,1,0
2023-01-22,0,0,0
2023-01-23,0,0,8
2023-01-24,0,0,8
2023-01-25,1,0,11
2023-01-26,0,19,5
2023-01-27,1,3,3
2023-01-28,4,0,1
2023-01-29,0,1,0
2023-01-30,1,1,11
2023-01-31,0,0,27
2023-02-01,0,10,11
2023-02-02,2,17,13
2023-02-03,1,16,10
2023-02-04,0,1,0
2023-02-05,3,4,0
2023-02-06,0,7,7
2023-02-07,3,0,14
2023-02-08,0,0,12
2023-02-09,0,0,11
2023-02-10,0,1,18
2023-02-11,0,1,0
2023-02-12,0,0,1
2023-02-13,1,0,9
2023-02-14,7,0,14
2023-02-15,0,0,4
2023-02-16,2,0,20
2023-02-17,0,0,10
2023-02-18,0,0,0
2023-02-19,0,0,0
2023-02-20,0,0,8
2023-02-21,12,5,8
2023-02-22,7,0,4
2023-02-23,6,0,2
2023-02-24,2,0,3
2023-02-25,0,0,3
2023-02-26,3,0,0
2023-02-27,14,0,7
2023-02-28,10,0,5
2023-03-01,7,0,7
2023-03-02,5,0,7
2023-03-03,0,0,22
2023-03-04,2,0,11
2023-03-05,0,0,3
2023-03-06,1,0,26
2023-03-07,0,0,9
2023-03-08,3,0,19
2023-03-09,1,0,11
2023-03-10,2,0,7
2023-03-11,0,0,6
2023-03-12,0,0,1
2023-03-13,1,0,9
2023-03-14,7,0,3
2023-03-15,7,0,12
2023-03-16,2,0,9
2023-03-17,2,2,10
2023-03-18,1,0,2
2023-03-19,1,0,0
2023-03-20,2,0,8
2023-03-21,3,0,12
2023-03-22,0,0,19
2023-03-23,1,4,5
2023-03-24,1,1,12
2023-03-25,0,1,3
2023-03-26,0,6,0
2023-03-27,6,4,16
2023-03-28,2,32,9
2023-03-29,2,7,8
2023-03-30,5,10,22
2023-03-31,0,6,15
2023-04-01,0,0,1
2023-04-02,4,2,1
2023-04-03,3,2,4
2023-04-04,0,4,14
2023-04-05,3,8,12
2023-04-06,0,11,8
2023-04-07,0,0,4
2023-04-08,0,6,0
2023-04-09,0,1,1
2023-04-10,0,3,10
2023-04-11,9,12,13
2023-04-12,2,2,2
2023-04-13,0,6,3
2023-04-14,0,0,3
2023-04-15,2,10,2
2023-04-16,0,2,0
2023-04-17,1,4,7
2023-04-18,25,4,8
2023-04-19,3,0,11
2023-04-20,3,13,13
2023-04-21,0,11,13
2023-04-22,0,0,3
2023-04-23,0,0,2
2023-04-24,1,2,7
2023-04-25,0,4,9
2023-04-26,4,0,18
2023-04-27,2,1,7
2023-04-28,1,0,3
2023-04-29,0,0,2
2023-04-30,2,0,0
2023-05-01,0,6,6
2023-05-02,2,4,11
2023-05-03,0,0,12
2023-05-04,7,0,8
2023-05-05,5,3,2
2023-05-06,0,1,0
2023-05-07,0,0,1
2023-05-08,6,14,9
2023-05-09,2,0,4
2023-05-10,1,0,3
2023-05-11,2,6,8
2023-05-12,2,9,6
2023-05-13,4,0,0
2023-05-14,2,0,0
2023-05-15,2,0,5
2023-05-16,3,0,2
2023-05-17,2,5,15
2023-05-18,1,16,9
2023-05-19,4,2,1
2023-05-20,1,0,2
2023-05-21,1,0,0
2023-05-22,4,0,3
2023-05-23,7,0,5
2023-05-24,2,0,4
2023-05-25,9,0,10
2023-05-26,10,1,4
2023-05-27,4,0,0
2023-05-28,0,0,0
2023-05-29,1,0,0
2023-05-30,7,0,2
2023-05-31,0,0,13
2023-06-01,6,0,6
2023-06-02,0,0,5
2023-06-03,0,0,2
2023-06-04,2,0,3
2023-06-05,1,0,13
2023-06-06,0,0,7
2023-06-07,2,0,3
2023-06-08,5,0,10
2023-06-09,2,0,1
2023-06-10,1,8,1
2023-06-11,0,1,0
2023-06-12,2,1,1
2023-06-13,1,0,5
2023-06-14,8,3,4
2023-06-15,2,3,13
2023-06-16,9,0,13
2023-06-17,2,0,0
2023-06-18,2,0,0
2023-06-19,8,0,0
2023-06-20,10,0,13
2023-06-21,10,0,3
2023-06-22,25,0,10
2023-06-23,7,2,6
2023-06-24,3,1,0
2023-06-25,2,0,0
2023-06-26,5,0,1
2023-06-27,4,0,7
2023-06-28,6,1,5
2023-06-29,5,0,2
2023-06-30,4,0,3
2023-07-01,0,0,0
2023-07-02,2,0,1
2023-07-03,9,1,5
2023-07-04,2,0,1
2023-07-05,4,0,5
2023-07-06,7,0,21
2023-07-07,2,0,1
2023-07-08,0,0,7
2023-07-09,2,7,0
2023-07-10,10,8,0
2023-07-11,3,13,6
2023-07-12,0,4,5
2023-07-13,2,0,8
2023-07-14,1,0,10
2023-07-15,0,0,0
2023-07-16,1,0,0
2023-07-17,2,0,2
2023-07-18,5,0,1
2023-07-19,3,1,1
2023-07-20,1,0,1
2023-07-21,2,0,2
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,2,0,1
2023-07-25,0,0,10
2023-07-26,2,0,3
2023-07-27,1,0,7
2023-07-28,2,0,4
2023-07-29,0,0,0
2023-07-30,0,0,0
2023-07-31,1,0,0
2023-08-01,0,0,4
2023-08-02,0,0,4
2023-08-03,1,0,2
2023-08-04,3,0,7
2023-08-05,0,0,0
2023-08-06,0,0,0
2023-08-07,1,0,7
2023-08-08,0,0,1
2023-08-09,0,0,4
2023-08-10,0,0,14
2023-08-11,2,1,9
2023-08-12,1,0,1
2023-08-13,1,0,0
2023-08-14,1,1,14
2023-08-15,1,0,6
2023-08-16,0,0,16
2023-08-17,0,0,14
2023-08-18,1,0,6
2023-08-19,0,0,0
2023-08-20,2,0,0
2023-08-21,1,3,4
2023-08-22,4,2,11
2023-08-23,1,0,6
2023-08-24,2,0,2
2023-08-25,1,0,2
2023-08-26,1,0,2
2023-08-27,0,0,0
2023-08-28,2,0,2
2023-08-29,0,0,14
2023-08-30,1,1,7
2023-08-31,2,0,5
2023-09-01,0,0,3
2023-09-02,0,0,0
2023-09-03,0,0,0
2023-09-04,1,0,0
2023-09-05,0,5,13
2023-09-06,0,2,3
2023-09-07,0,0,14
2023-09-08,0,0,4
2023-09-09,0,0,0
2023-09-10,0,0,0
2023-09-11,0,0,9
2023-09-12,0,0,3
2023-09-13,1,0,5
2023-09-14,0,0,12
2023-09-15,4,0,13
2023-09-16,2,0,0
2023-09-17,0,0,0
2023-09-18,1,0,7
2023-09-19,1,1,1
2023-09-20,10,0,5
2023-09-21,1,1,6
2023-09-22,0,1,5
2023-09-23,0,0,2
2023-09-24,0,0,0
2023-09-25,1,0,4
2023-09-26,0,0,1
2023-09-27,0,0,10
2023-09-28,0,0,4
2023-09-29,0,0,3
2023-09-30,0,0,0
2023-10-01,1,0,0
2023-10-02,0,0,9
2023-10-03,1,0,12
2023-10-04,2,0,13
2023-10-05,1,0,10
2023-10-06,1,0,3
2023-10-07,0,0,0
2023-10-08,0,0,0
2023-10-09,0,0,9
2023-10-10,0,0,7
2023-10-11,0,0,3
2023-10-12,0,0,6
2023-10-13,0,0,2
2023-10-14,0,0,0
2023-10-15,0,0,1
2023-10-16,0,0,5
2023-10-17,0,1,5
2023-10-18,1,0,4
2023-10-19,8,1,4
2023-10-20,1,23,4
2023-10-21,0,8,3
2023-10-22,0,1,0
2023-10-23,1,1,6
2023-10-24,0,4,2
2023-10-25,0,0,6
2023-10-26,0,3,1
2023-10-27,0,5,4
2023-10-28,0,2,0
2023-10-29,0,0,0
2023-10-30,1,2,8
2023-10-31,2,1,11
2023-11-01,0,0,7
2023-11-02,0,2,18
2023-11-03,0,2,6
2023-11-04,0,0,0
2023-11-05,0,0,0
2023-11-06,1,6,6
2023-11-07,1,1,13
2023-11-08,1,0,19
2023-11-09,0,8,15
2023-11-10,12,27,15
2023-11-11,1,0,3
2023-11-12,2,1,2
2023-11-13,12,2,6
2023-11-14,9,0,12
2023-11-15,16,2,7
2023-11-16,4,0,10
2023-11-17,6,1,4
2023-11-18,4,0,0
2023-11-19,1,0,0
2023-11-20,6,0,0
2023-11-21,8,5,3
2023-11-22,10,1,1
2023-11-23,10,0,2
2023-11-24,6,0,0
2023-11-25,1,63,0
2023-11-26,0,0,0
2023-11-27,11,11,3
2023-11-28,4,4,8
2023-11-29,2,3,6
2023-11-30,11,20,3
2023-12-01,1,8,5
2023-12-02,0,0,0
2023-12-03,0,1,0
2023-12-04,8,10,9
2023-12-05,12,4,5
2023-12-06,15,2,6
2023-12-07,15,7,3
2023-12-08,3,18,6
2023-12-09,0,0,0
2023-12-10,1,0,0
2023-12-11,2,12,12
2023-12-12,5,15,6
2023-12-13,4,3,2
2023-12-14,4,4,4
2023-12-15,1,4,10
2023-12-16,0,8,7
2023-12-17,0,0,1
2023-12-18,0,0,2
2023-12-19,0,10,2
2023-12-20,0,1,8
2023-12-21,0,0,0
2023-12-22,0,5,0
2023-12-23,0,0,0
2023-12-24,0,1,0
2023-12-25,0,1,0
2023-12-26,0,17,0
2023-12-27,11,3,0
2023-12-28,0,1,0
2023-12-29,0,5,0
2023-12-30,0,16,0
2023-12-31,0,1,0
2024-01-01,2,0,0
2024-01-02,10,2,3
2024-01-03,4,9,1
2024-01-04,3,8,0
2024-01-05,2,0,0
2024-01-06,0,1,0
2024-01-07,0,0,0
2024-01-08,7,12,1
2024-01-09,14,8,4
2024-01-10,3,5,4
2024-01-11,11,11,4
2024-01-12,3,5,9
2024-01-13,2,5,0
2024-01-14,0,1,1
2024-01-15,3,3,4
2024-01-16,4,0,3
2024-01-17,4,0,3
2024-01-18,2,12,7
2024-01-19,6,0,12
2024-01-20,2,0,2
2024-01-21,0,0,0
2024-01-22,3,0,6
2024-01-23,4,0,10
2024-01-24,4,0,6
2024-01-25,4,0,14
2024-01-26,4,0,21
2024-01-27,0,0,4
2024-01-28,0,0,1
2024-01-29,5,1,13
2024-01-30,5,0,10
2024-01-31,12,0,6
2024-02-01,2,0,23
2024-02-02,0,0,22
2024-02-03,0,0,1
2024-02-04,1,0,4
2024-02-05,10,6,20
2024-02-06,6,5,25
2024-02-07,2,4,8
2024-02-08,4,3,9
2024-02-09,4,6,15
2024-02-10,0,0,1
2024-02-11,0,0,2
2024-02-12,2,0,5
2024-02-13,5,11,9
2024-02-14,4,0,16
2024-02-15,4,0,7
2024-02-16,4,0,11
2024-02-17,7,0,3
2024-02-18,5,0,3
2024-02-19,9,0,6
2024-02-20,15,2,19
2024-02-21,5,0,9
2024-02-22,7,0,10
2024-02-23,7,0,8
2024-02-24,0,0,3
2024-02-25,0,17,1
2024-02-26,4,13,8
2024-02-27,2,0,11
2024-02-28,5,5,4
2024-02-29,3,0,7
2024-03-01,1,0,5
2024-03-02,1,0,0
2024-03-03,0,0,2
2024-03-04,2,0,2
2024-03-05,12,1,7
2024-03-06,3,3,17
2024-03-07,4,2,6
2024-03-08,4,0,7
2024-03-09,0,0,1
2024-03-10,4,0,0
2024-03-11,8,0,12
2024-03-12,11,1,5
2024-03-13,8,3,10
2024-03-14,2,0,11
2024-03-15,2,1,4
2024-03-16,1,1,1
2024-03-17,0,0,0
2024-03-18,2,0,12
2024-03-19,4,2,12
2024-03-20,2,0,9
2024-03-21,7,1,11
2024-03-22,13,0,25
2024-03-23,6,0,1
2024-03-24,4,0,1
2024-03-25,11,1,10
2024-03-26,12,0,21
2024-03-27,3,0,12
2024-03-28,9,1,22
2024-03-29,6,0,13
2024-03-30,4,0,3
2024-03-31,2,0,0
2024-04-01,4,2,13
2024-04-02,10,1,28
2024-04-03,7,0,20
2024-04-04,0,0,6
2024-04-05,2,0,6
2024-04-06,3,0,1
2024-04-07,0,0,0
2024-04-08,4,0,20
2024-04-09,6,1,15
2024-04-10,8,0,26
2024-04-11,5,0,9
2024-04-12,7,3,7
2024-04-13,2,0,0
2024-04-14,6,3,0
2024-04-15,2,24,7
2024-04-16,9,4,8
2024-04-17,8,2,7
2024-04-18,8,4,20
2024-04-19,10,1,10
2024-04-20,2,0,5
2024-04-21,0,0,3
2024-04-22,9,12,6
2024-04-23,3,0,18
2024-04-24,10,6,9
2024-04-25,4,4,12
2024-04-26,1,1,4
2024-04-27,3,1,2
2024-04-28,1,0,0
2024-04-29,13,18,3
2024-04-30,2,2,3
2024-05-01,2,1,8
2024-05-02,6,0,8
2024-05-03,5,5,15
2024-05-04,0,1,0
2024-05-05,1,0,0
2024-05-06,4,5,8
2024-05-07,4,0,15
2024-05-08,5,1,10
2024-05-09,2,0,5
2024-05-10,10,0,4
2024-05-11,5,0,9
2024-05-12,3,0,0
2024-05-13,11,0,4
2024-05-14,11,0,7
2024-05-15,11,1,14
2024-05-16,13,0,10
2024-05-17,1,0,18
