,statsmodels/statsmodels,scikit-learn/scikit-learn,mlpack/mlpack
2022-02-05,0,3,3
2022-02-06,0,1,6
2022-02-07,6,3,5
2022-02-08,1,7,0
2022-02-09,4,8,2
2022-02-10,1,5,8
2022-02-11,0,5,3
2022-02-12,0,4,0
2022-02-13,2,0,0
2022-02-14,0,15,0
2022-02-15,0,10,0
2022-02-16,2,4,1
2022-02-17,1,10,3
2022-02-18,10,5,0
2022-02-19,0,6,4
2022-02-20,0,0,0
2022-02-21,2,1,2
2022-02-22,0,4,1
2022-02-23,4,5,0
2022-02-24,0,5,1
2022-02-25,0,4,8
2022-02-26,0,2,1
2022-02-27,0,4,0
2022-02-28,1,7,0
2022-03-01,5,1,0
2022-03-02,4,15,0
2022-03-03,7,5,0
2022-03-04,0,3,0
2022-03-05,0,2,0
2022-03-06,0,0,3
2022-03-07,0,7,0
2022-03-08,0,10,0
2022-03-09,0,8,0
2022-03-10,0,5,0
2022-03-11,2,5,10
2022-03-12,0,15,0
2022-03-13,0,11,1
2022-03-14,0,12,1
2022-03-15,0,7,0
2022-03-16,0,4,1
2022-03-17,1,18,1
2022-03-18,0,14,3
2022-03-19,1,3,0
2022-03-20,3,1,1
2022-03-21,2,9,0
2022-03-22,0,11,0
2022-03-23,0,3,4
2022-03-24,0,7,3
2022-03-25,0,7,3
2022-03-26,0,4,0
2022-03-27,0,6,8
2022-03-28,0,3,0
2022-03-29,0,9,1
2022-03-30,2,6,7
2022-03-31,0,5,5
2022-04-01,0,8,5
2022-04-02,0,1,12
2022-04-03,0,0,40
2022-04-04,2,6,6
2022-04-05,0,3,3
2022-04-06,0,12,0
2022-04-07,0,9,0
2022-04-08,0,12,2
2022-04-09,2,8,2
2022-04-10,0,1,0
2022-04-11,3,1,7
2022-04-12,0,7,3
2022-04-13,3,7,3
2022-04-14,1,7,4
2022-04-15,3,0,0
2022-04-16,0,1,8
2022-04-17,0,2,7
2022-04-18,0,0,3
2022-04-19,1,9,0
2022-04-20,0,9,0
2022-04-21,1,3,0
2022-04-22,0,6,0
2022-04-23,0,8,0
2022-04-24,4,4,1
2022-04-25,7,3,0
2022-04-26,2,6,0
2022-04-27,1,8,90
2022-04-28,0,1,7
2022-04-29,0,12,10
2022-04-30,5,1,11
2022-05-01,0,1,3
2022-05-02,0,10,0
2022-05-03,6,3,1
2022-05-04,3,8,0
2022-05-05,0,6,1
2022-05-06,1,7,0
2022-05-07,0,1,0
2022-05-08,2,0,0
2022-05-09,3,4,6
2022-05-10,0,5,23
2022-05-11,0,2,6
2022-05-12,3,12,0
2022-05-13,0,8,0
2022-05-14,0,5,1
2022-05-15,0,0,3
2022-05-16,0,7,12
2022-05-17,1,4,3
2022-05-18,2,6,0
2022-05-19,0,8,1
2022-05-20,0,5,0
2022-05-21,0,2,0
2022-05-22,0,0,0
2022-05-23,0,5,1
2022-05-24,0,6,2
2022-05-25,0,10,4
2022-05-26,0,2,0
2022-05-27,0,1,5
2022-05-28,0,1,9
2022-05-29,0,0,3
2022-05-30,10,7,0
2022-05-31,1,5,1
2022-06-01,16,8,0
2022-06-02,0,3,0
2022-06-03,0,4,2
2022-06-04,1,2,2
2022-06-05,1,1,3
2022-06-06,1,4,0
2022-06-07,0,7,2
2022-06-08,1,1,1
2022-06-09,0,7,9
2022-06-10,0,0,9
2022-06-11,1,0,7
2022-06-12,1,0,0
2022-06-13,0,3,7
2022-06-14,5,6,2
2022-06-15,1,6,1
2022-06-16,0,10,4
2022-06-17,0,8,3
2022-06-18,0,0,2
2022-06-19,3,0,1
2022-06-20,4,14,13
2022-06-21,24,9,7
2022-06-22,2,11,1
2022-06-23,0,7,9
2022-06-24,0,15,4
2022-06-25,0,0,1
2022-06-26,0,0,2
2022-06-27,0,7,12
2022-06-28,0,17,3
2022-06-29,3,16,0
2022-06-30,0,11,1
2022-07-01,2,1,1
2022-07-02,0,0,1
2022-07-03,0,0,3
2022-07-04,0,3,1
2022-07-05,0,0,0
2022-07-06,1,11,0
2022-07-07,4,9,3
2022-07-08,1,2,6
2022-07-09,0,0,9
2022-07-10,0,0,0
2022-07-11,0,0,4
2022-07-12,0,2,8
2022-07-13,3,0,1
2022-07-14,0,0,0
2022-07-15,1,1,0
2022-07-16,0,11,0
2022-07-17,0,3,0
2022-07-18,0,1,0
2022-07-19,1,17,1
2022-07-20,2,9,4
2022-07-21,1,13,0
2022-07-22,2,7,9
2022-07-23,0,1,2
2022-07-24,0,0,1
2022-07-25,0,12,0
2022-07-26,0,7,3
2022-07-27,0,11,0
2022-07-28,0,9,0
2022-07-29,0,5,3
2022-07-30,0,0,13
2022-07-31,0,1,18
2022-08-01,3,4,4
2022-08-02,2,2,7
2022-08-03,0,4,0
2022-08-04,0,2,0
2022-08-05,0,12,0
2022-08-06,0,0,1
2022-08-07,0,1,0
2022-08-08,0,2,0
2022-08-09,0,2,0
2022-08-10,3,5,3
2022-08-11,9,4,2
2022-08-12,0,4,6
2022-08-13,0,2,2
2022-08-14,2,0,2
2022-08-15,1,1,14
2022-08-16,4,3,4
2022-08-17,0,2,4
2022-08-18,0,1,14
2022-08-19,0,1,2
2022-08-20,0,0,5
2022-08-21,0,0,0
2022-08-22,2,2,0
2022-08-23,1,1,0
2022-08-24,0,8,0
2022-08-25,0,6,0
2022-08-26,1,5,3
2022-08-27,1,0,0
2022-08-28,0,0,0
2022-08-29,0,11,1
2022-08-30,0,12,0
2022-08-31,0,11,1
2022-09-01,0,4,2
2022-09-02,0,21,9
2022-09-03,0,6,2
2022-09-04,0,3,4
2022-09-05,0,14,0
2022-09-06,0,7,0
2022-09-07,0,10,0
2022-09-08,1,4,1
2022-09-09,2,12,2
2022-09-10,0,3,5
2022-09-11,0,0,3
2022-09-12,1,8,0
2022-09-13,0,3,0
2022-09-14,0,1,0
2022-09-15,0,4,7
2022-09-16,0,10,0
2022-09-17,0,1,0
2022-09-18,0,1,0
2022-09-19,2,6,0
2022-09-20,0,6,0
2022-09-21,0,4,6
2022-09-22,1,4,5
2022-09-23,0,4,1
2022-09-24,0,2,1
2022-09-25,0,6,0
2022-09-26,3,10,1
2022-09-27,0,7,0
2022-09-28,0,5,2
2022-09-29,0,1,0
2022-09-30,0,6,1
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,0,4,0
2022-10-04,0,1,0
2022-10-05,0,0,1
2022-10-06,1,6,1
2022-10-07,0,9,1
2022-10-08,1,0,0
2022-10-09,1,0,1
2022-10-10,8,5,0
2022-10-11,10,2,0
2022-10-12,0,5,0
2022-10-13,0,16,0
2022-10-14,0,8,0
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,0,3,2
2022-10-18,0,4,2
2022-10-19,0,3,3
2022-10-20,1,2,4
2022-10-21,0,0,1
2022-10-22,0,0,1
2022-10-23,1,4,1
2022-10-24,5,5,2
2022-10-25,5,5,6
2022-10-26,5,5,1
2022-10-27,2,2,1
2022-10-28,0,9,0
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,4,2,1
2022-11-01,3,3,1
2022-11-02,9,4,0
2022-11-03,0,19,5
2022-11-04,1,8,3
2022-11-05,0,1,0
2022-11-06,1,0,0
2022-11-07,0,2,2
2022-11-08,1,1,0
2022-11-09,2,0,0
2022-11-10,1,5,0
2022-11-11,1,1,6
2022-11-12,1,5,0
2022-11-13,1,4,0
2022-11-14,0,3,6
2022-11-15,0,17,0
2022-11-16,0,9,4
2022-11-17,0,10,2
2022-11-18,0,11,3
2022-11-19,0,0,2
2022-11-20,0,1,0
2022-11-21,1,2,4
2022-11-22,0,9,0
2022-11-23,0,4,1
2022-11-24,0,8,0
2022-11-25,0,14,0
2022-11-26,3,0,0
2022-11-27,2,0,0
2022-11-28,2,9,1
2022-11-29,5,6,0
2022-11-30,8,8,0
2022-12-01,3,5,8
2022-12-02,0,8,6
2022-12-03,1,1,4
2022-12-04,1,0,0
2022-12-05,8,2,2
2022-12-06,7,6,4
2022-12-07,2,5,1
2022-12-08,12,3,1
2022-12-09,6,5,0
2022-12-10,1,0,0
2022-12-11,0,0,0
2022-12-12,0,2,0
2022-12-13,0,6,0
2022-12-14,0,3,0
2022-12-15,0,5,0
2022-12-16,0,1,0
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,1,4,0
2022-12-20,0,0,0
2022-12-21,0,0,0
2022-12-22,0,5,0
2022-12-23,2,0,1
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,3,7,0
2022-12-28,0,12,0
2022-12-29,0,3,5
2022-12-30,0,0,0
2022-12-31,0,4,0
2023-01-01,0,0,1
2023-01-02,0,4,0
2023-01-03,1,8,0
2023-01-04,0,3,0
2023-01-05,0,6,3
2023-01-06,9,3,0
2023-01-07,0,0,0
2023-01-08,3,0,0
2023-01-09,8,5,3
2023-01-10,5,2,2
2023-01-11,0,12,3
2023-01-12,0,10,4
2023-01-13,0,11,1
2023-01-14,0,6,0
2023-01-15,0,0,0
2023-01-16,0,3,0
2023-01-17,2,2,1
2023-01-18,0,12,2
2023-01-19,1,4,0
2023-01-20,1,5,0
2023-01-21,0,0,0
2023-01-22,0,0,0
2023-01-23,0,6,1
2023-01-24,0,9,12
2023-01-25,3,3,5
2023-01-26,2,5,11
2023-01-27,2,5,7
2023-01-28,0,0,6
2023-01-29,1,0,2
2023-01-30,0,3,0
2023-01-31,0,0,0
2023-02-01,3,1,22
2023-02-02,3,1,3
2023-02-03,2,4,2
2023-02-04,0,3,9
2023-02-05,0,1,1
2023-02-06,0,2,9
2023-02-07,3,7,6
2023-02-08,4,7,0
2023-02-09,1,8,8
2023-02-10,2,2,4
2023-02-11,0,1,7
2023-02-12,0,1,20
2023-02-13,2,2,8
2023-02-14,3,1,19
2023-02-15,3,0,3
2023-02-16,0,0,1
2023-02-17,4,3,9
2023-02-18,0,0,0
2023-02-19,2,7,1
2023-02-20,5,4,1
2023-02-21,0,1,1
2023-02-22,0,1,1
2023-02-23,0,3,0
2023-02-24,2,12,0
2023-02-25,2,1,0
2023-02-26,1,1,3
2023-02-27,0,8,0
2023-02-28,0,16,1
2023-03-01,0,0,3
2023-03-02,0,3,0
2023-03-03,0,2,0
2023-03-04,0,0,0
2023-03-05,0,0,1
2023-03-06,0,14,1
2023-03-07,0,5,0
2023-03-08,1,6,2
2023-03-09,0,11,0
2023-03-10,0,12,1
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,0,12,0
2023-03-14,0,10,0
2023-03-15,0,9,0
2023-03-16,1,10,0
2023-03-17,0,7,0
2023-03-18,1,0,0
2023-03-19,5,0,1
2023-03-20,0,7,0
2023-03-21,0,9,0
2023-03-22,0,11,0
2023-03-23,0,4,0
2023-03-24,0,5,0
2023-03-25,0,1,0
2023-03-26,1,0,0
2023-03-27,0,7,6
2023-03-28,0,6,0
2023-03-29,0,11,0
2023-03-30,0,7,0
2023-03-31,0,0,0
2023-04-01,0,0,0
2023-04-02,0,4,4
2023-04-03,0,17,2
2023-04-04,0,18,1
2023-04-05,2,2,0
2023-04-06,3,5,0
2023-04-07,5,3,1
2023-04-08,0,0,0
2023-04-09,0,0,0
2023-04-10,0,0,2
2023-04-11,0,3,1
2023-04-12,0,10,2
2023-04-13,4,5,2
2023-04-14,6,13,1
2023-04-15,3,0,0
2023-04-16,3,1,0
2023-04-17,5,2,0
2023-04-18,0,2,0
2023-04-19,0,12,0
2023-04-20,3,3,0
2023-04-21,6,1,0
2023-04-22,2,0,0
2023-04-23,9,0,0
2023-04-24,9,6,0
2023-04-25,1,12,0
2023-04-26,10,4,1
2023-04-27,1,5,7
2023-04-28,2,1,4
2023-04-29,1,0,0
2023-04-30,4,0,0
2023-05-01,1,0,0
2023-05-02,5,2,1
2023-05-03,6,0,0
2023-05-04,0,7,0
2023-05-05,7,5,0
2023-05-06,2,1,0
2023-05-07,2,0,1
2023-05-08,2,1,0
2023-05-09,0,5,0
2023-05-10,0,2,0
2023-05-11,3,0,0
2023-05-12,0,0,0
2023-05-13,0,0,0
2023-05-14,0,0,0
2023-05-15,0,3,0
2023-05-16,1,5,0
2023-05-17,2,6,0
2023-05-18,0,0,1
2023-05-19,1,1,0
2023-05-20,0,0,0
2023-05-21,1,0,0
2023-05-22,0,3,0
2023-05-23,0,4,0
2023-05-24,0,7,1
2023-05-25,0,1,0
2023-05-26,0,1,0
2023-05-27,0,0,1
2023-05-28,0,0,0
2023-05-29,0,0,4
2023-05-30,0,4,8
2023-05-31,0,9,4
2023-06-01,2,8,1
2023-06-02,0,4,0
2023-06-03,0,1,6
2023-06-04,0,0,4
2023-06-05,0,1,0
2023-06-06,0,3,0
2023-06-07,0,5,0
2023-06-08,3,5,0
2023-06-09,3,7,4
2023-06-10,2,0,1
2023-06-11,1,0,0
2023-06-12,0,1,2
2023-06-13,0,2,5
2023-06-14,2,9,2
2023-06-15,0,3,0
2023-06-16,0,4,2
2023-06-17,0,0,1
2023-06-18,0,0,0
2023-06-19,0,6,0
2023-06-20,2,7,5
2023-06-21,0,11,0
2023-06-22,1,9,1
2023-06-23,1,10,1
2023-06-24,1,0,1
2023-06-25,1,0,4
2023-06-26,1,4,1
2023-06-27,0,9,0
2023-06-28,0,7,0
2023-06-29,11,9,0
2023-06-30,6,12,0
2023-07-01,0,1,1
2023-07-02,1,0,0
2023-07-03,0,3,0
2023-07-04,0,0,1
2023-07-05,1,5,0
2023-07-06,0,10,2
2023-07-07,0,2,4
2023-07-08,0,0,0
2023-07-09,0,0,1
2023-07-10,0,7,0
2023-07-11,0,2,0
2023-07-12,0,5,0
2023-07-13,0,4,0
2023-07-14,0,2,1
2023-07-15,0,0,0
2023-07-16,0,0,0
2023-07-17,0,2,0
2023-07-18,0,4,0
2023-07-19,0,0,1
2023-07-20,1,2,0
2023-07-21,1,4,3
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,0,4,0
2023-07-25,0,3,5
2023-07-26,0,3,0
2023-07-27,0,7,0
2023-07-28,1,2,1
2023-07-29,0,0,0
2023-07-30,0,2,1
2023-07-31,0,3,0
2023-08-01,0,8,1
2023-08-02,0,10,0
2023-08-03,0,1,0
2023-08-04,0,0,0
2023-08-05,0,0,4
2023-08-06,0,0,0
2023-08-07,0,3,1
2023-08-08,0,8,2
2023-08-09,0,6,10
2023-08-10,4,4,0
2023-08-11,0,3,0
2023-08-12,0,5,1
2023-08-13,0,0,0
2023-08-14,0,2,0
2023-08-15,0,3,0
2023-08-16,0,2,9
2023-08-17,0,0,7
2023-08-18,0,11,2
2023-08-19,0,0,0
2023-08-20,0,1,0
2023-08-21,0,4,0
2023-08-22,0,5,0
2023-08-23,0,8,0
2023-08-24,0,7,1
2023-08-25,0,4,0
2023-08-26,0,1,0
2023-08-27,0,0,0
2023-08-28,0,12,0
2023-08-29,0,3,7
2023-08-30,0,2,0
2023-08-31,2,1,0
2023-09-01,4,4,4
2023-09-02,0,0,0
2023-09-03,0,0,0
2023-09-04,0,0,0
2023-09-05,0,3,3
2023-09-06,0,7,0
2023-09-07,0,11,1
2023-09-08,0,0,0
2023-09-09,0,0,0
2023-09-10,0,1,0
2023-09-11,0,22,0
2023-09-12,0,10,0
2023-09-13,0,39,0
2023-09-14,0,3,0
2023-09-15,0,7,0
2023-09-16,0,3,0
2023-09-17,0,2,0
2023-09-18,0,6,3
2023-09-19,0,8,1
2023-09-20,0,6,1
2023-09-21,0,3,0
2023-09-22,0,0,0
2023-09-23,0,0,0
2023-09-24,0,0,0
2023-09-25,0,12,33
2023-09-26,0,3,0
2023-09-27,0,3,0
2023-09-28,0,7,0
2023-09-29,1,8,0
2023-09-30,0,0,0
2023-10-01,0,0,1
2023-10-02,0,5,2
2023-10-03,0,2,0
2023-10-04,0,1,6
2023-10-05,0,3,5
2023-10-06,0,5,0
2023-10-07,0,0,0
2023-10-08,0,0,0
2023-10-09,0,5,1
2023-10-10,0,5,0
2023-10-11,0,7,2
2023-10-12,0,0,0
2023-10-13,0,3,0
2023-10-14,1,0,1
2023-10-15,2,0,0
2023-10-16,0,3,0
2023-10-17,2,4,0
2023-10-18,0,5,9
2023-10-19,0,5,8
2023-10-20,0,5,4
2023-10-21,0,1,1
2023-10-22,0,1,2
2023-10-23,0,4,7
2023-10-24,0,3,1
2023-10-25,0,2,0
2023-10-26,0,2,1
2023-10-27,0,2,4
2023-10-28,11,0,0
2023-10-29,1,0,9
2023-10-30,0,6,0
2023-10-31,0,6,1
2023-11-01,0,5,53
2023-11-02,0,5,22
2023-11-03,0,5,3
2023-11-04,0,2,0
2023-11-05,0,0,1
2023-11-06,0,2,0
2023-11-07,0,5,2
2023-11-08,1,5,18
2023-11-09,0,3,1
2023-11-10,0,3,5
2023-11-11,0,0,0
2023-11-12,0,1,0
2023-11-13,0,6,57
2023-11-14,0,6,6
2023-11-15,0,4,24
2023-11-16,0,5,10
2023-11-17,0,5,1
2023-11-18,0,3,0
2023-11-19,0,1,0
2023-11-20,0,8,7
2023-11-21,0,3,0
2023-11-22,0,5,20
2023-11-23,0,4,0
2023-11-24,0,5,24
2023-11-25,0,1,1
2023-11-26,0,1,0
2023-11-27,0,10,23
2023-11-28,0,6,4
2023-11-29,0,1,8
2023-11-30,0,3,11
2023-12-01,16,5,0
2023-12-02,0,1,0
2023-12-03,0,2,4
2023-12-04,0,13,5
2023-12-05,3,4,0
2023-12-06,5,4,6
2023-12-07,2,4,1
2023-12-08,5,1,13
2023-12-09,0,0,0
2023-12-10,0,0,0
2023-12-11,5,9,13
2023-12-12,9,4,9
2023-12-13,3,3,20
2023-12-14,0,1,16
2023-12-15,20,0,7
2023-12-16,0,0,4
2023-12-17,0,0,7
2023-12-18,0,6,5
2023-12-19,2,3,9
2023-12-20,0,1,2
2023-12-21,0,1,22
2023-12-22,0,1,6
2023-12-23,0,0,3
2023-12-24,0,0,0
2023-12-25,0,1,0
2023-12-26,0,0,0
2023-12-27,0,1,1
2023-12-28,0,0,0
2023-12-29,37,0,0
2023-12-30,10,0,2
2023-12-31,3,0,5
2024-01-01,1,0,0
2024-01-02,3,5,0
2024-01-03,4,0,3
2024-01-04,2,3,14
2024-01-05,0,1,24
2024-01-06,1,1,1
2024-01-07,0,0,0
2024-01-08,0,4,2
2024-01-09,0,4,1
2024-01-10,0,2,5
2024-01-11,0,8,8
2024-01-12,0,12,14
2024-01-13,0,4,6
2024-01-14,1,2,19
2024-01-15,0,14,4
2024-01-16,0,7,1
2024-01-17,2,11,4
2024-01-18,2,9,10
2024-01-19,0,6,16
2024-01-20,0,4,0
2024-01-21,0,0,0
2024-01-22,0,19,0
2024-01-23,0,2,19
2024-01-24,0,2,0
2024-01-25,0,8,1
2024-01-26,0,20,1
2024-01-27,0,0,21
2024-01-28,0,0,2
2024-01-29,0,0,1
2024-01-30,0,3,16
2024-01-31,0,5,11
2024-02-01,0,7,0
2024-02-02,0,5,0
2024-02-03,0,2,0
2024-02-04,0,1,0
