,mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn
2014-02-05,2,0,11
2014-02-06,18,12,12
2014-02-07,3,19,11
2014-02-08,0,0,5
2014-02-09,0,2,0
2014-02-10,24,1,2
2014-02-11,8,1,2
2014-02-12,2,1,5
2014-02-13,2,6,6
2014-02-14,0,0,4
2014-02-15,0,0,9
2014-02-16,0,4,4
2014-02-17,1,2,11
2014-02-18,1,0,4
2014-02-19,5,2,4
2014-02-20,11,11,3
2014-02-21,2,15,0
2014-02-22,2,27,0
2014-02-23,0,18,6
2014-02-24,0,3,1
2014-02-25,0,7,3
2014-02-26,0,0,3
2014-02-27,0,2,9
2014-02-28,3,4,1
2014-03-01,4,1,8
2014-03-02,1,0,11
2014-03-03,1,0,11
2014-03-04,0,2,4
2014-03-05,1,15,10
2014-03-06,0,0,4
2014-03-07,0,0,5
2014-03-08,0,1,8
2014-03-09,2,0,10
2014-03-10,3,2,48
2014-03-11,4,0,11
2014-03-12,1,3,9
2014-03-13,1,17,3
2014-03-14,0,0,1
2014-03-15,0,8,0
2014-03-16,0,0,2
2014-03-17,0,0,1
2014-03-18,0,0,5
2014-03-19,0,0,8
2014-03-20,0,0,23
2014-03-21,0,0,9
2014-03-22,0,0,8
2014-03-23,0,5,6
2014-03-24,2,2,9
2014-03-25,4,2,3
2014-03-26,0,10,6
2014-03-27,0,7,12
2014-03-28,4,10,4
2014-03-29,0,0,4
2014-03-30,0,0,6
2014-03-31,2,8,2
2014-04-01,0,8,1
2014-04-02,0,7,7
2014-04-03,0,33,10
2014-04-04,0,58,5
2014-04-05,0,7,1
2014-04-06,0,8,7
2014-04-07,7,0,2
2014-04-08,0,4,1
2014-04-09,2,27,0
2014-04-10,0,32,3
2014-04-11,0,0,2
2014-04-12,0,0,10
2014-04-13,0,0,9
2014-04-14,6,9,10
2014-04-15,2,0,7
2014-04-16,14,0,7
2014-04-17,0,0,20
2014-04-18,0,8,3
2014-04-19,3,2,5
2014-04-20,0,11,1
2014-04-21,0,14,21
2014-04-22,0,0,0
2014-04-23,0,0,2
2014-04-24,0,2,7
2014-04-25,0,0,1
2014-04-26,1,0,1
2014-04-27,0,0,3
2014-04-28,0,3,4
2014-04-29,0,2,0
2014-04-30,0,1,3
2014-05-01,0,0,1
2014-05-02,0,0,2
2014-05-03,0,0,1
2014-05-04,0,0,2
2014-05-05,0,0,6
2014-05-06,0,4,6
2014-05-07,0,0,0
2014-05-08,0,0,13
2014-05-09,0,0,1
2014-05-10,0,0,4
2014-05-11,0,0,0
2014-05-12,0,0,4
2014-05-13,1,1,0
2014-05-14,0,0,1
2014-05-15,0,0,7
2014-05-16,0,0,5
2014-05-17,1,0,1
2014-05-18,0,1,5
2014-05-19,2,0,1
2014-05-20,4,8,8
2014-05-21,6,23,9
2014-05-22,3,10,12
2014-05-23,1,59,13
2014-05-24,0,2,15
2014-05-25,0,2,12
2014-05-26,3,0,12
2014-05-27,13,6,4
2014-05-28,0,3,47
2014-05-29,0,2,0
2014-05-30,3,0,1
2014-05-31,0,8,2
2014-06-01,0,3,7
2014-06-02,2,1,2
2014-06-03,3,5,23
2014-06-04,2,7,6
2014-06-05,2,3,41
2014-06-06,1,1,4
2014-06-07,0,0,3
2014-06-08,0,0,13
2014-06-09,3,0,11
2014-06-10,1,0,11
2014-06-11,4,0,3
2014-06-12,3,0,10
2014-06-13,2,0,1
2014-06-14,0,0,4
2014-06-15,0,0,6
2014-06-16,0,0,1
2014-06-17,0,1,4
2014-06-18,0,8,6
2014-06-19,2,0,4
2014-06-20,0,0,2
2014-06-21,0,0,1
2014-06-22,0,0,0
2014-06-23,6,0,12
2014-06-24,8,0,9
2014-06-25,5,0,9
2014-06-26,5,0,4
2014-06-27,4,0,8
2014-06-28,0,0,0
2014-06-29,0,0,0
2014-06-30,4,0,1
2014-07-01,2,0,5
2014-07-02,14,0,15
2014-07-03,14,0,0
2014-07-04,1,0,11
2014-07-05,0,0,1
2014-07-06,2,1,4
2014-07-07,10,0,0
2014-07-08,15,6,5
2014-07-09,13,24,7
2014-07-10,10,0,4
2014-07-11,1,55,7
2014-07-12,2,2,6
2014-07-13,0,0,10
2014-07-14,5,0,69
2014-07-15,2,0,19
2014-07-16,6,5,20
2014-07-17,2,0,46
2014-07-18,3,4,27
2014-07-19,2,3,33
2014-07-20,3,13,7
2014-07-21,4,0,10
2014-07-22,3,15,66
2014-07-23,2,0,15
2014-07-24,1,0,12
2014-07-25,15,0,7
2014-07-26,1,0,1
2014-07-27,2,2,2
2014-07-28,11,3,13
2014-07-29,6,4,12
2014-07-30,5,1,9
2014-07-31,0,0,28
2014-08-01,4,4,10
2014-08-02,1,0,3
2014-08-03,0,6,0
2014-08-04,3,0,16
2014-08-05,30,0,13
2014-08-06,5,2,8
2014-08-07,9,0,13
2014-08-08,1,0,3
2014-08-09,2,0,3
2014-08-10,0,0,1
2014-08-11,3,0,6
2014-08-12,1,0,3
2014-08-13,0,2,6
2014-08-14,7,4,3
2014-08-15,3,4,1
2014-08-16,4,11,0
2014-08-17,13,2,1
2014-08-18,6,0,9
2014-08-19,7,0,2
2014-08-20,11,24,7
2014-08-21,3,8,15
2014-08-22,5,6,1
2014-08-23,4,2,0
2014-08-24,0,0,11
2014-08-25,2,0,6
2014-08-26,2,0,5
2014-08-27,0,0,0
2014-08-28,0,5,1
2014-08-29,3,3,6
2014-08-30,1,3,6
2014-08-31,0,0,11
2014-09-01,0,4,9
2014-09-02,1,0,6
2014-09-03,0,0,7
2014-09-04,0,1,12
2014-09-05,0,1,12
2014-09-06,0,1,9
2014-09-07,0,0,2
2014-09-08,0,0,0
2014-09-09,0,0,2
2014-09-10,0,0,8
2014-09-11,3,0,4
2014-09-12,1,0,2
2014-09-13,3,0,7
2014-09-14,0,0,1
2014-09-15,2,0,0
2014-09-16,3,0,2
2014-09-17,0,0,19
2014-09-18,0,9,3
2014-09-19,0,0,12
2014-09-20,0,24,2
2014-09-21,0,38,5
2014-09-22,0,7,18
2014-09-23,0,5,6
2014-09-24,3,48,6
2014-09-25,0,15,8
2014-09-26,0,49,3
2014-09-27,2,0,2
2014-09-28,0,6,4
2014-09-29,1,0,6
2014-09-30,0,0,3
2014-10-01,0,0,3
2014-10-02,0,0,6
2014-10-03,0,0,7
2014-10-04,0,1,1
2014-10-05,0,0,3
2014-10-06,0,9,2
2014-10-07,0,4,9
2014-10-08,0,8,7
2014-10-09,8,24,19
2014-10-10,5,2,12
2014-10-11,2,0,1
2014-10-12,8,2,11
2014-10-13,9,0,16
2014-10-14,3,0,4
2014-10-15,0,25,2
2014-10-16,0,1,14
2014-10-17,0,0,6
2014-10-18,0,2,1
2014-10-19,0,0,2
2014-10-20,0,3,2
2014-10-21,0,9,13
2014-10-22,0,0,0
2014-10-23,0,0,4
2014-10-24,0,0,6
2014-10-25,0,2,1
2014-10-26,0,0,1
2014-10-27,0,0,0
2014-10-28,0,1,1
2014-10-29,0,1,2
2014-10-30,0,0,0
2014-10-31,1,0,0
2014-11-01,0,0,0
2014-11-02,7,0,0
2014-11-03,6,0,3
2014-11-04,0,0,2
2014-11-05,11,0,6
2014-11-06,1,4,26
2014-11-07,2,12,2
2014-11-08,0,0,0
2014-11-09,0,0,1
2014-11-10,6,0,1
2014-11-11,3,0,1
2014-11-12,0,0,3
2014-11-13,0,0,1
2014-11-14,1,2,5
2014-11-15,6,0,2
2014-11-16,0,0,0
2014-11-17,1,8,4
2014-11-18,7,0,8
2014-11-19,9,5,2
2014-11-20,0,5,9
2014-11-21,0,19,12
2014-11-22,0,1,2
2014-11-23,0,0,1
2014-11-24,5,1,5
2014-11-25,4,0,8
2014-11-26,5,0,11
2014-11-27,0,0,15
2014-11-28,0,0,7
2014-11-29,0,0,6
2014-11-30,0,2,12
2014-12-01,0,0,11
2014-12-02,1,4,6
2014-12-03,6,0,5
2014-12-04,2,9,17
2014-12-05,0,0,32
2014-12-06,1,0,2
2014-12-07,0,1,0
2014-12-08,0,0,2
2014-12-09,0,0,4
2014-12-10,4,0,6
2014-12-11,4,0,2
2014-12-12,0,0,6
2014-12-13,0,0,2
2014-12-14,0,0,6
2014-12-15,0,1,18
2014-12-16,0,3,68
2014-12-17,3,3,6
2014-12-18,0,1,77
2014-12-19,1,0,13
2014-12-20,0,0,3
2014-12-21,0,0,4
2014-12-22,0,0,7
2014-12-23,0,0,5
2014-12-24,0,0,9
2014-12-25,0,0,13
2014-12-26,0,6,3
2014-12-27,0,3,9
2014-12-28,9,0,0
2014-12-29,4,0,18
2014-12-30,11,0,9
2014-12-31,17,2,1
2015-01-01,11,2,1
2015-01-02,9,0,3
2015-01-03,10,0,2
2015-01-04,7,0,1
2015-01-05,7,0,2
2015-01-06,7,0,5
2015-01-07,7,1,3
2015-01-08,2,7,6
2015-01-09,3,6,2
2015-01-10,1,0,3
2015-01-11,4,0,15
2015-01-12,12,5,6
2015-01-13,10,0,9
2015-01-14,1,0,7
2015-01-15,5,0,8
2015-01-16,13,2,15
2015-01-17,1,0,6
2015-01-18,0,13,33
2015-01-19,4,6,1
2015-01-20,5,0,6
2015-01-21,20,0,10
2015-01-22,6,11,2
2015-01-23,0,0,5
2015-01-24,0,1,10
2015-01-25,1,3,3
2015-01-26,2,1,7
2015-01-27,0,5,3
2015-01-28,0,4,10
2015-01-29,13,0,6
2015-01-30,1,0,3
2015-01-31,0,0,0
2015-02-01,0,0,12
2015-02-02,11,2,0
2015-02-03,3,0,13
2015-02-04,4,1,2
2015-02-05,0,44,3
2015-02-06,7,8,7
2015-02-07,0,3,5
2015-02-08,0,14,11
2015-02-09,10,9,5
2015-02-10,0,6,7
2015-02-11,0,12,3
2015-02-12,1,176,3
2015-02-13,2,5,8
2015-02-14,0,7,2
