,emberjs/ember.js,facebook/react,angular/angular
2018-10-18,12,4,14.0
2018-10-19,11,8,36.0
2018-10-20,4,11,17.0
2018-10-21,0,5,2.0
2018-10-22,2,1,3.0
2018-10-23,7,23,28.0
2018-10-24,5,2,14.0
2018-10-25,0,0,6.0
2018-10-26,2,0,33.0
2018-10-27,0,3,0.0
2018-10-28,0,0,0.0
2018-10-29,4,23,16.0
2018-10-30,1,3,15.0
2018-10-31,5,3,17.0
2018-11-01,1,2,40.0
2018-11-02,1,5,14.0
2018-11-03,1,0,0.0
2018-11-04,0,0,0.0
2018-11-05,4,9,8.0
2018-11-06,3,9,6.0
2018-11-07,2,15,7.0
2018-11-08,4,4,10.0
2018-11-09,6,14,10.0
2018-11-10,0,2,0.0
2018-11-11,6,0,0.0
2018-11-12,3,1,9.0
2018-11-13,3,4,14.0
2018-11-14,0,3,10.0
2018-11-15,1,1,1.0
2018-11-16,0,1,10.0
2018-11-17,0,0,5.0
2018-11-18,0,0,0.0
2018-11-19,4,5,3.0
2018-11-20,1,2,11.0
2018-11-21,3,0,9.0
2018-11-22,4,5,0.0
2018-11-23,3,3,0.0
2018-11-24,0,1,0.0
2018-11-25,0,0,0.0
2018-11-26,5,2,10.0
2018-11-27,0,4,23.0
2018-11-28,9,2,9.0
2018-11-29,2,1,2.0
2018-11-30,2,3,56.0
2018-12-01,0,1,1.0
2018-12-02,0,2,0.0
2018-12-03,0,3,14.0
2018-12-04,22,2,12.0
2018-12-05,39,2,52.0
2018-12-06,56,2,31.0
2018-12-07,35,2,16.0
2018-12-08,32,0,0.0
2018-12-09,30,0,0.0
2018-12-10,16,0,6.0
2018-12-11,12,0,12.0
2018-12-12,32,2,10.0
2018-12-13,0,2,16.0
2018-12-14,10,2,26.0
2018-12-15,5,0,0.0
2018-12-16,0,0,0.0
2018-12-17,5,0,14.0
2018-12-18,4,3,26.0
2018-12-19,18,0,7.0
2018-12-20,5,3,13.0
2018-12-21,5,0,8.0
2018-12-22,4,0,0.0
2018-12-23,2,0,0.0
2018-12-24,3,0,0.0
2018-12-25,0,1,0.0
2018-12-26,1,0,8.0
2018-12-27,1,0,0.0
2018-12-28,1,0,0.0
2018-12-29,0,0,0.0
2018-12-30,0,0,0.0
2018-12-31,0,0,0.0
2019-01-01,0,0,0.0
2019-01-02,7,1,0.0
2019-01-03,0,0,16.0
2019-01-04,7,0,14.0
2019-01-05,4,0,3.0
2019-01-06,0,0,3.0
2019-01-07,3,1,31.0
2019-01-08,3,2,16.0
2019-01-09,9,1,34.0
2019-01-10,1,2,22.0
