,metabase/metabase,getredash/redash,apache/superset
2019-08-02,1,0.0,2
2019-08-03,0,0.0,0
2019-08-04,0,3.0,0
2019-08-05,2,-0.10000000000000053,5
2019-08-06,4,0.2849999999999997,7
2019-08-07,2,-0.7465000000000002,5
2019-08-08,6,-0.07948749999999993,4
2019-08-09,9,0.9998732499999999,3
2019-08-10,1,-1.6744840875000002,0
2019-08-11,0,5.63094465875,1
2019-08-12,6,-0.40005408779687635,2
2019-08-13,9,-0.5634175921609379,4
2019-08-14,14,0.12399448946562464,3
2019-08-15,8,0.19255763873124998,3
2019-08-16,6,-1.7918558821421877,3
2019-08-17,1,-1.3940474914078123,0
2019-08-18,0,2.510524481746875,0
2019-08-19,8,-2.39466306309375,1
2019-08-20,8,-0.5236202580718747,5
2019-08-21,7,0.7349248394468751,3
2019-08-22,6,0.1409391073234374,3
2019-08-23,7,-0.9062612026765626,8
2019-08-24,1,-0.21295747789531244,1
2019-08-25,0,0.8942440908734375,0
2019-08-26,7,0.23443471470312494,4
2019-08-27,2,-0.8525964911296876,6
2019-08-28,12,-0.17224440124999996,1
2019-08-29,14,0.911589449484375,1
2019-08-30,3,1.2432069453578123,6
2019-08-31,0,-1.5406269053765629,0
2019-09-01,0,2.72275559875,0
2019-09-02,2,2.7660894494843746,2
2019-09-03,2,-2.8979555546421882,2
2019-09-04,9,0.5856058446234376,2
2019-09-05,4,-1.8451067637500003,2
2019-09-06,2,-0.46423183926562483,2
2019-09-07,2,-0.26136515390781234,0
2019-09-08,1,-0.17154476450312492,5
2019-09-09,0,5.884107408453125,5
2019-09-10,0,-4.288966201207813,7
2019-09-11,3,1.3139584463515628,3
2019-09-12,4,0.30625818359218737,1
2019-09-13,9,-0.7789445857531252,2
2019-09-14,0,-1.1046035,0
2019-09-15,0,1.6774258250000003,0
2019-09-16,2,1.4114232674999998,0
2019-09-17,2,-2.4397177955937503,5
2019-09-18,4,1.4973351902406251,8
2019-09-19,3,-1.6346959635312501,5
2019-09-20,16,0.6408818519656252,1
2019-09-21,2,-0.8868995725187501,0
2019-09-22,1,5.780826542123438,2
2019-09-23,2,-3.322900139781251,5
2019-09-24,2,0.58498265395,1
2019-09-25,1,0.16803929387031236,1
2019-09-26,3,-1.8396068860312502,0
2019-09-27,8,0.5478948754968751,2
2019-09-28,1,-0.942219936765625,1
2019-09-29,0,-0.2664363878765624,2
2019-09-30,2,0.8415751656562501,2
2019-10-01,10,-0.8129385715250002,4
2019-10-02,10,1.8382518560921877,2
2019-10-03,4,-0.4846014717843754,0
2019-10-04,3,-0.9575016245031251,6
2019-10-05,1,0.7793542382343751,0
2019-10-06,0,5.183815344623437,3
2019-10-07,9,-2.3750665387500014,0
2019-10-08,7,-2.124895486765625,1
2019-10-09,10,-0.5462612328765624,1
2019-10-10,2,2.71063118771875,3
2019-10-11,0,-0.2876514600187505,2
2019-10-12,0,-1.8391380066265626,1
2019-10-13,0,-0.43484546926562484,0
2019-10-14,0,0.7615175590296877,0
2019-10-15,7,4.1452074692093746,2
2019-10-16,1,-1.6886286732531257,1
2019-10-17,1,0.9766416587499998,3
2019-10-18,0,-2.6045371127968755,1
2019-10-19,1,1.4132088478390628,0
2019-10-20,0,-1.6995056982531254,0
2019-10-21,6,-0.3942658512499998,3
2019-10-22,0,1.7782223194843751,2
2019-10-23,2,1.4489339832953123,4
2019-10-24,0,2.582675895835937,3
2019-10-25,0,-2.9648548460500006,3
2019-10-26,0,-1.4505184561296876,1
2019-10-27,0,0.5397209764687502,0
2019-10-28,1,2.0351664392468747,5
2019-10-29,0,-1.3733624150000003,2
2019-10-30,3,-0.18250720228124995,5
2019-10-31,8,-0.06099017729999989,5
2019-11-01,0,-1.0104712262078126,1
2019-11-02,0,0.7218584113515626,2
2019-11-03,0,-0.8414086691265625,0
2019-11-04,3,-0.19629174051562492,7
2019-11-05,0,0.8873680205765626,7
2019-11-06,2,0.22676020835468735,3
2019-11-07,4,1.1549999066078125,2
2019-11-08,8,-1.5762381671421877,2
2019-11-09,1,-0.2970168316265624,0
