,flutter/flutter,NativeScript/NativeScript,facebook/react-native
2019-02-28,10,3,21
2019-03-01,20,5,11
2019-03-02,3,0,9
2019-03-03,1,0,19
2019-03-04,8,2,20
2019-03-05,0,2,21
2019-03-06,16,0,7
2019-03-07,9,0,5
2019-03-08,14,1,6
2019-03-09,15,0,0
2019-03-10,6,0,0
2019-03-11,9,0,3
2019-03-12,14,3,9
2019-03-13,8,1,24
2019-03-14,10,5,10
2019-03-15,24,6,23
2019-03-16,6,0,5
2019-03-17,2,0,1
2019-03-18,11,2,19
2019-03-19,13,0,29
2019-03-20,15,6,15
2019-03-21,21,7,15
2019-03-22,7,6,12
2019-03-23,4,0,7
2019-03-24,2,0,3
2019-03-25,6,4,11
2019-03-26,12,3,15
2019-03-27,17,0,10
2019-03-28,11,4,5
2019-03-29,17,5,13
2019-03-30,8,0,3
2019-03-31,3,0,2
2019-04-01,6,0,18
2019-04-02,14,2,10
2019-04-03,11,6,18
2019-04-04,19,0,19
2019-04-05,17,1,6
2019-04-06,3,0,2
2019-04-07,2,0,3
2019-04-08,9,0,10
2019-04-09,13,0,7
2019-04-10,16,3,23
2019-04-11,17,0,9
2019-04-12,2,3,7
2019-04-13,2,0,0
2019-04-14,0,0,2
2019-04-15,12,3,18
2019-04-16,16,0,11
2019-04-17,13,1,12
2019-04-18,18,0,7
2019-04-19,13,0,2
2019-04-20,1,0,4
2019-04-21,0,0,1
2019-04-22,19,0,4
2019-04-23,15,1,18
2019-04-24,17,0,12
2019-04-25,29,0,16
2019-04-26,17,0,11
2019-04-27,6,0,3
2019-04-28,1,0,0
2019-04-29,21,0,16
2019-04-30,17,0,28
2019-05-01,23,2,11
2019-05-02,22,0,5
2019-05-03,17,6,23
2019-05-04,9,0,2
2019-05-05,0,0,0
2019-05-06,16,3,6
2019-05-07,8,11,23
2019-05-08,9,9,20
2019-05-09,13,10,25
2019-05-10,20,6,11
2019-05-11,2,1,1
2019-05-12,3,0,1
2019-05-13,13,2,15
2019-05-14,19,2,11
2019-05-15,14,4,15
2019-05-16,13,1,21
2019-05-17,10,2,5
2019-05-18,3,0,4
2019-05-19,2,0,0
2019-05-20,20,1,27
2019-05-21,22,6,13
2019-05-22,8,9,27
2019-05-23,8,1,11
2019-05-24,9,0,27
2019-05-25,3,0,2
2019-05-26,2,0,1
2019-05-27,2,0,1
2019-05-28,13,0,12
2019-05-29,15,0,8
2019-05-30,31,0,20
2019-05-31,14,3,29
2019-06-01,8,0,6
2019-06-02,1,0,3
2019-06-03,25,5,11
2019-06-04,23,2,15
2019-06-05,14,3,10
2019-06-06,23,4,18
2019-06-07,19,2,20
2019-06-08,13,0,1
2019-06-09,6,0,3
2019-06-10,19,1,15
2019-06-11,18,0,15
2019-06-12,15,1,14
2019-06-13,16,1,18
2019-06-14,16,0,8
2019-06-15,7,0,3
2019-06-16,4,0,0
2019-06-17,5,2,6
2019-06-18,16,2,12
2019-06-19,23,0,12
2019-06-20,19,1,12
2019-06-21,11,5,31
2019-06-22,7,0,2
2019-06-23,4,0,3
2019-06-24,9,3,24
2019-06-25,13,8,7
2019-06-26,14,8,24
2019-06-27,17,6,18
2019-06-28,26,9,13
2019-06-29,0,0,3
2019-06-30,0,0,0
