,lodash/lodash,ramda/ramda,jashkenas/underscore
2013-07-21,3,0,0
2013-07-22,6,0,0
2013-07-23,2,0,2
2013-07-24,1,0,12
2013-07-25,4,0,7
2013-07-26,2,0,0
2013-07-27,4,0,3
2013-07-28,4,0,6
2013-07-29,2,0,0
2013-07-30,2,0,0
2013-07-31,3,0,2
2013-08-01,4,0,1
2013-08-02,3,0,1
2013-08-03,6,0,0
2013-08-04,8,0,0
2013-08-05,0,0,0
2013-08-06,5,0,0
2013-08-07,3,0,3
2013-08-08,2,0,0
2013-08-09,9,0,2
2013-08-10,9,0,0
2013-08-11,1,1,2
2013-08-12,1,0,1
2013-08-13,0,5,0
2013-08-14,2,3,0
2013-08-15,3,0,3
2013-08-16,3,0,0
2013-08-17,2,0,0
2013-08-18,1,0,0
2013-08-19,1,1,2
2013-08-20,2,3,0
2013-08-21,1,1,0
2013-08-22,2,2,2
2013-08-23,1,0,0
2013-08-24,1,0,0
2013-08-25,6,0,0
2013-08-26,6,0,0
2013-08-27,5,1,0
2013-08-28,4,2,0
2013-08-29,3,1,0
2013-08-30,13,0,0
2013-08-31,2,0,0
2013-09-01,1,0,0
2013-09-02,4,1,0
2013-09-03,0,5,0
2013-09-04,6,4,4
2013-09-05,2,0,0
2013-09-06,2,2,0
2013-09-07,3,0,10
2013-09-08,4,1,0
2013-09-09,4,0,2
2013-09-10,1,0,0
2013-09-11,2,0,0
2013-09-12,1,0,0
2013-09-13,5,0,0
2013-09-14,6,0,0
2013-09-15,0,0,0
2013-09-16,5,0,0
2013-09-17,6,0,0
2013-09-18,6,0,0
2013-09-19,6,0,0
2013-09-20,5,0,1
2013-09-21,3,0,0
2013-09-22,1,0,0
2013-09-23,3,0,1
2013-09-24,1,0,2
2013-09-25,3,0,0
2013-09-26,4,0,0
2013-09-27,4,0,0
2013-09-28,2,0,0
2013-09-29,7,0,0
2013-09-30,3,0,0
2013-10-01,4,0,0
2013-10-02,2,0,0
2013-10-03,5,0,0
2013-10-04,1,0,0
2013-10-05,3,0,0
2013-10-06,1,1,0
2013-10-07,1,0,0
2013-10-08,4,1,0
2013-10-09,1,0,0
2013-10-10,1,0,0
2013-10-11,1,0,2
2013-10-12,2,0,0
2013-10-13,7,0,0
2013-10-14,4,1,0
2013-10-15,3,0,1
2013-10-16,1,1,0
2013-10-17,2,0,0
2013-10-18,3,0,0
2013-10-19,7,0,0
2013-10-20,1,0,0
2013-10-21,8,0,0
2013-10-22,4,0,0
2013-10-23,2,0,0
2013-10-24,5,0,0
2013-10-25,4,0,0
2013-10-26,3,0,0
2013-10-27,1,0,0
2013-10-28,11,0,0
2013-10-29,9,0,2
2013-10-30,8,0,0
2013-10-31,8,0,0
2013-11-01,1,0,0
2013-11-02,14,0,0
2013-11-03,12,0,0
2013-11-04,7,0,0
2013-11-05,10,0,0
2013-11-06,14,0,10
2013-11-07,7,0,6
2013-11-08,8,0,0
2013-11-09,2,0,0
2013-11-10,5,0,0
2013-11-11,5,0,0
2013-11-12,5,0,0
2013-11-13,6,0,0
2013-11-14,5,0,0
2013-11-15,3,0,0
2013-11-16,8,0,0
2013-11-17,1,0,0
2013-11-18,3,0,8
2013-11-19,3,0,6
2013-11-20,5,0,3
2013-11-21,5,0,0
2013-11-22,4,0,0
2013-11-23,3,0,0
2013-11-24,4,0,0
2013-11-25,1,0,0
2013-11-26,3,0,0
2013-11-27,3,0,0
2013-11-28,1,0,0
2013-11-29,4,0,0
2013-11-30,11,0,0
2013-12-01,4,0,0
2013-12-02,5,0,0
2013-12-03,3,0,2
2013-12-04,3,0,0
2013-12-05,7,2,0
2013-12-06,3,0,0
2013-12-07,4,0,0
2013-12-08,7,0,0
2013-12-09,3,0,0
2013-12-10,0,0,0
2013-12-11,4,0,0
2013-12-12,1,1,0
2013-12-13,3,0,0
2013-12-14,8,2,0
2013-12-15,1,0,0
2013-12-16,16,1,0
2013-12-17,7,0,0
2013-12-18,0,0,3
2013-12-19,6,0,0
2013-12-20,4,0,0
2013-12-21,7,3,2
2013-12-22,1,0,1
2013-12-23,4,0,0
2013-12-24,1,1,0
2013-12-25,1,0,0
2013-12-26,1,0,0
2013-12-27,1,2,0
2013-12-28,0,1,0
2013-12-29,2,0,0
2013-12-30,0,0,0
2013-12-31,2,0,0
2014-01-01,3,2,1
2014-01-02,1,0,1
2014-01-03,5,0,4
2014-01-04,0,0,0
2014-01-05,5,0,0
2014-01-06,0,0,0
2014-01-07,2,0,0
2014-01-08,0,0,0
2014-01-09,5,0,0
2014-01-10,2,1,0
2014-01-11,1,1,0
2014-01-12,5,0,0
2014-01-13,3,0,0
2014-01-14,2,0,0
2014-01-15,1,0,1
2014-01-16,4,0,2
2014-01-17,6,0,0
2014-01-18,1,0,0
2014-01-19,5,0,0
2014-01-20,6,0,2
2014-01-21,0,0,7
2014-01-22,9,0,2
2014-01-23,8,0,1
2014-01-24,4,0,2
2014-01-25,6,0,0
2014-01-26,9,0,2
2014-01-27,0,0,7
2014-01-28,5,0,0
2014-01-29,16,0,1
2014-01-30,6,0,1
2014-01-31,3,0,7
2014-02-01,0,0,9
2014-02-02,1,0,13
2014-02-03,2,0,16
2014-02-04,3,0,0
2014-02-05,5,0,0
2014-02-06,5,0,0
2014-02-07,0,0,3
2014-02-08,1,0,3
2014-02-09,4,0,0
2014-02-10,1,0,17
2014-02-11,4,0,4
2014-02-12,9,2,3
2014-02-13,2,4,4
2014-02-14,5,0,6
2014-02-15,7,3,2
2014-02-16,4,0,3
2014-02-17,1,0,5
2014-02-18,0,1,0
2014-02-19,2,0,2
2014-02-20,0,0,3
2014-02-21,4,6,1
2014-02-22,5,0,2
2014-02-23,10,2,0
2014-02-24,3,1,0
2014-02-25,3,0,0
2014-02-26,1,0,0
2014-02-27,1,2,0
2014-02-28,0,0,0
2014-03-01,2,0,2
2014-03-02,1,0,2
2014-03-03,3,0,6
2014-03-04,6,2,2
2014-03-05,2,4,8
2014-03-06,3,0,1
2014-03-07,0,2,1
2014-03-08,5,0,0
2014-03-09,6,2,1
2014-03-10,9,1,2
2014-03-11,6,1,1
2014-03-12,5,0,0
2014-03-13,7,2,2
2014-03-14,6,0,0
2014-03-15,6,0,0
2014-03-16,9,0,0
2014-03-17,9,0,0
2014-03-18,0,2,0
2014-03-19,2,0,0
2014-03-20,2,0,6
2014-03-21,3,0,1
2014-03-22,1,0,2
2014-03-23,6,2,0
2014-03-24,1,0,7
2014-03-25,12,0,0
2014-03-26,8,0,6
2014-03-27,3,0,2
2014-03-28,4,0,3
2014-03-29,3,0,0
2014-03-30,5,0,0
2014-03-31,0,0,0
2014-04-01,4,0,0
2014-04-02,6,0,4
2014-04-03,2,0,0
2014-04-04,4,0,0
2014-04-05,2,0,0
2014-04-06,5,0,1
2014-04-07,4,3,7
2014-04-08,5,1,0
2014-04-09,1,0,0
2014-04-10,3,0,5
2014-04-11,0,0,3
2014-04-12,12,0,0
2014-04-13,8,0,0
2014-04-14,4,0,1
2014-04-15,13,0,5
2014-04-16,12,0,0
2014-04-17,5,0,0
2014-04-18,5,0,5
2014-04-19,7,0,1
2014-04-20,6,0,4
2014-04-21,0,0,1
2014-04-22,1,0,0
2014-04-23,0,0,8
2014-04-24,3,0,4
2014-04-25,3,0,2
2014-04-26,2,0,0
2014-04-27,5,0,0
2014-04-28,13,0,1
2014-04-29,8,0,0
2014-04-30,10,0,0
2014-05-01,9,0,0
2014-05-02,6,0,2
2014-05-03,12,2,2
2014-05-04,25,0,0
2014-05-05,1,0,0
2014-05-06,8,4,3
2014-05-07,5,2,5
2014-05-08,0,0,0
2014-05-09,5,0,0
2014-05-10,0,0,0
2014-05-11,2,0,0
2014-05-12,5,0,0
2014-05-13,8,0,1
2014-05-14,0,0,0
2014-05-15,0,0,0
2014-05-16,14,1,4
2014-05-17,0,2,4
2014-05-18,0,13,5
2014-05-19,8,0,1
2014-05-20,0,2,10
2014-05-21,11,0,0
2014-05-22,0,0,0
2014-05-23,3,0,0
2014-05-24,2,7,0
2014-05-25,6,0,2
2014-05-26,5,0,0
2014-05-27,0,2,0
2014-05-28,6,1,0
2014-05-29,0,0,0
2014-05-30,8,0,0
2014-05-31,0,1,0
2014-06-01,6,5,0
2014-06-02,7,2,0
2014-06-03,0,1,3
2014-06-04,4,0,2
2014-06-05,3,1,2
2014-06-06,1,5,2
2014-06-07,1,0,1
2014-06-08,0,0,6
2014-06-09,5,4,1
2014-06-10,3,0,6
2014-06-11,8,4,2
2014-06-12,9,0,3
2014-06-13,3,1,8
2014-06-14,3,3,0
2014-06-15,7,10,1
2014-06-16,6,2,4
2014-06-17,5,0,2
2014-06-18,0,7,3
2014-06-19,9,0,2
2014-06-20,0,1,9
2014-06-21,11,17,5
2014-06-22,16,12,0
2014-06-23,2,11,2
2014-06-24,0,6,5
2014-06-25,0,5,3
2014-06-26,11,14,2
2014-06-27,0,9,3
2014-06-28,0,14,7
2014-06-29,6,5,0
2014-06-30,4,24,1
2014-07-01,6,11,6
2014-07-02,3,10,0
2014-07-03,6,2,0
2014-07-04,2,11,0
2014-07-05,6,2,0
2014-07-06,2,5,0
2014-07-07,7,4,7
2014-07-08,5,4,5
2014-07-09,15,6,3
2014-07-10,2,8,1
2014-07-11,8,18,1
2014-07-12,1,27,4
2014-07-13,4,15,0
2014-07-14,7,9,7
2014-07-15,0,5,4
2014-07-16,15,4,0
2014-07-17,3,0,0
2014-07-18,3,1,2
2014-07-19,2,2,0
2014-07-20,6,2,0
2014-07-21,7,6,5
2014-07-22,8,1,2
