,redis/redis,tarantool/tarantool,memcached/memcached
2018-10-08,3,1,0
2018-10-09,13,0,0
2018-10-10,5,3,0
2018-10-11,5,0,0
2018-10-12,1,9,0
2018-10-13,2,2,0
2018-10-14,0,0,0
2018-10-15,7,0,0
2018-10-16,10,0,0
2018-10-17,12,1,0
2018-10-18,1,2,0
2018-10-19,4,1,0
2018-10-20,1,0,0
2018-10-21,1,0,0
2018-10-22,5,0,0
2018-10-23,0,2,1
2018-10-24,5,11,0
2018-10-25,6,20,0
2018-10-26,2,10,0
2018-10-27,0,0,0
2018-10-28,0,0,0
2018-10-29,1,3,0
2018-10-30,4,2,0
2018-10-31,8,0,0
2018-11-01,0,13,0
2018-11-02,1,7,0
2018-11-03,2,5,0
2018-11-04,0,0,0
2018-11-05,10,1,0
2018-11-06,7,0,0
2018-11-07,1,1,0
2018-11-08,2,0,0
2018-11-09,0,4,0
2018-11-10,0,0,0
2018-11-11,1,0,0
2018-11-12,1,0,0
2018-11-13,0,2,0
2018-11-14,0,2,0
2018-11-15,1,15,0
2018-11-16,1,1,0
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,6,8,0
2018-11-20,1,2,0
2018-11-21,1,0,0
2018-11-22,2,1,0
2018-11-23,4,3,0
2018-11-24,0,0,0
2018-11-25,2,0,0
2018-11-26,0,2,0
2018-11-27,0,8,0
2018-11-28,12,2,0
2018-11-29,0,13,0
2018-11-30,1,0,0
2018-12-01,0,0,0
2018-12-02,1,0,0
2018-12-03,0,7,0
2018-12-04,3,2,0
2018-12-05,1,0,0
2018-12-06,1,8,0
2018-12-07,12,0,0
2018-12-08,0,0,0
2018-12-09,0,13,0
2018-12-10,6,10,0
2018-12-11,12,11,0
2018-12-12,5,4,0
2018-12-13,1,1,0
2018-12-14,0,9,0
2018-12-15,0,0,0
2018-12-16,0,0,0
2018-12-17,0,1,0
2018-12-18,3,7,0
2018-12-19,3,3,0
2018-12-20,7,4,0
2018-12-21,1,5,0
2018-12-22,0,1,0
2018-12-23,0,0,0
2018-12-24,0,7,0
2018-12-25,0,10,0
2018-12-26,0,0,0
2018-12-27,1,3,0
2018-12-28,0,0,0
2018-12-29,0,10,0
2018-12-30,0,0,0
2018-12-31,1,0,0
2019-01-01,0,0,0
2019-01-02,2,0,0
2019-01-03,1,0,0
2019-01-04,0,0,0
2019-01-05,0,1,0
2019-01-06,1,0,0
