,jetbrains/kotlin,scala/scala,apache/groovy
2023-08-22,43,0,3
2023-08-23,33,5,1
2023-08-24,40,0,1
2023-08-25,51,2,3
2023-08-26,1,2,2
2023-08-27,0,1,0
2023-08-28,29,13,1
2023-08-29,74,1,1
2023-08-30,70,4,0
2023-08-31,41,2,3
2023-09-01,20,3,0
2023-09-02,1,1,2
2023-09-03,3,1,0
2023-09-04,27,1,0
2023-09-05,66,1,0
2023-09-06,55,1,0
2023-09-07,17,1,1
2023-09-08,48,2,2
2023-09-09,2,2,0
2023-09-10,0,0,4
2023-09-11,17,0,12
2023-09-12,15,0,0
2023-09-13,72,1,2
2023-09-14,51,0,0
2023-09-15,42,0,2
2023-09-16,0,1,1
2023-09-17,0,0,0
2023-09-18,40,0,4
2023-09-19,118,5,1
2023-09-20,44,5,2
2023-09-21,48,7,0
2023-09-22,47,0,0
2023-09-23,7,0,1
2023-09-24,6,0,0
2023-09-25,1,1,0
2023-09-26,4,9,0
2023-09-27,1,5,0
2023-09-28,4,1,4
2023-09-29,1,0,1
2023-09-30,0,0,2
2023-10-01,0,0,0
2023-10-02,29,0,0
2023-10-03,21,0,7
2023-10-04,19,0,2
2023-10-05,41,1,1
2023-10-06,29,0,0
2023-10-07,0,0,0
2023-10-08,1,2,0
2023-10-09,21,0,0
2023-10-10,41,0,0
2023-10-11,16,1,0
2023-10-12,69,0,0
2023-10-13,47,0,0
2023-10-14,0,1,0
2023-10-15,0,0,0
2023-10-16,48,2,1
2023-10-17,51,3,6
2023-10-18,72,10,1
2023-10-19,61,0,1
2023-10-20,47,0,0
2023-10-21,0,0,1
2023-10-22,0,0,0
2023-10-23,26,1,2
2023-10-24,51,1,0
2023-10-25,40,0,4
2023-10-26,36,1,2
2023-10-27,29,3,0
2023-10-28,0,2,2
2023-10-29,0,0,0
2023-10-30,25,1,0
2023-10-31,15,0,1
2023-11-01,22,4,0
2023-11-02,39,4,1
2023-11-03,9,0,2
2023-11-04,0,1,1
2023-11-05,6,3,0
2023-11-06,52,9,11
2023-11-07,38,6,3
2023-11-08,36,2,0
2023-11-09,45,2,0
2023-11-10,41,0,0
2023-11-11,2,1,0
2023-11-12,0,0,0
2023-11-13,31,0,4
2023-11-14,56,5,1
2023-11-15,49,7,1
2023-11-16,87,0,0
2023-11-17,28,0,0
2023-11-18,2,0,10
2023-11-19,0,0,1
2023-11-20,69,0,0
2023-11-21,40,0,5
2023-11-22,42,2,1
