,rclone/rclone,iterate-ch/cyberduck,aws/aws-cli
2013-02-18,0,0,1
2013-02-19,0,0,5
2013-02-20,0,0,0
2013-02-21,0,0,0
2013-02-22,0,0,6
2013-02-23,0,0,1
2013-02-24,0,0,2
2013-02-25,0,0,1
2013-02-26,0,0,0
2013-02-27,0,0,2
2013-02-28,0,0,0
2013-03-01,0,0,2
2013-03-02,0,0,0
2013-03-03,0,0,0
2013-03-04,0,0,0
2013-03-05,0,0,0
2013-03-06,0,0,10
2013-03-07,0,0,1
2013-03-08,0,1,0
2013-03-09,0,0,6
2013-03-10,0,0,4
2013-03-11,0,0,15
2013-03-12,0,0,0
2013-03-13,0,0,2
2013-03-14,0,0,4
2013-03-15,0,0,5
2013-03-16,0,2,0
2013-03-17,0,0,0
2013-03-18,0,0,2
2013-03-19,0,0,0
2013-03-20,0,0,0
2013-03-21,0,11,0
2013-03-22,0,3,0
2013-03-23,0,3,0
2013-03-24,0,2,0
2013-03-25,0,0,2
2013-03-26,0,0,3
2013-03-27,0,0,0
2013-03-28,0,0,0
2013-03-29,0,0,0
2013-03-30,0,0,0
2013-03-31,0,0,0
2013-04-01,0,0,0
2013-04-02,0,0,0
2013-04-03,0,16,1
2013-04-04,0,9,0
2013-04-05,0,6,0
2013-04-06,0,0,0
2013-04-07,0,1,0
2013-04-08,0,13,1
2013-04-09,0,2,0
2013-04-10,0,12,5
2013-04-11,0,12,4
2013-04-12,0,0,7
2013-04-13,0,0,0
2013-04-14,0,0,0
2013-04-15,0,3,0
2013-04-16,0,10,0
2013-04-17,0,8,1
2013-04-18,0,9,6
2013-04-19,0,12,5
2013-04-20,0,8,3
2013-04-21,0,0,2
2013-04-22,0,4,1
2013-04-23,0,27,6
2013-04-24,0,9,1
2013-04-25,0,9,1
2013-04-26,0,0,0
2013-04-27,0,0,0
2013-04-28,0,0,0
2013-04-29,0,21,2
2013-04-30,0,3,5
2013-05-01,0,2,3
2013-05-02,0,21,8
2013-05-03,0,12,0
2013-05-04,0,0,0
2013-05-05,0,0,2
2013-05-06,0,8,0
2013-05-07,0,0,7
2013-05-08,0,0,1
2013-05-09,0,3,2
2013-05-10,0,3,1
2013-05-11,0,0,2
2013-05-12,0,0,2
2013-05-13,0,6,1
2013-05-14,0,0,2
2013-05-15,0,0,1
2013-05-16,0,10,7
2013-05-17,0,3,8
2013-05-18,0,0,0
2013-05-19,0,0,1
2013-05-20,0,0,5
2013-05-21,0,2,7
2013-05-22,0,1,1
2013-05-23,0,7,3
2013-05-24,0,15,2
2013-05-25,0,0,3
2013-05-26,0,0,0
2013-05-27,0,0,0
2013-05-28,0,0,3
2013-05-29,0,0,2
2013-05-30,0,5,4
2013-05-31,0,1,2
2013-06-01,0,0,0
2013-06-02,0,0,0
2013-06-03,0,3,0
2013-06-04,0,8,0
2013-06-05,0,3,4
2013-06-06,0,0,1
2013-06-07,0,17,0
2013-06-08,0,1,0
2013-06-09,0,0,0
2013-06-10,0,12,8
2013-06-11,0,26,19
2013-06-12,0,0,2
2013-06-13,0,0,0
2013-06-14,0,20,3
2013-06-15,0,0,0
2013-06-16,0,3,0
2013-06-17,0,0,0
2013-06-18,0,6,0
2013-06-19,0,6,0
2013-06-20,0,6,0
2013-06-21,0,69,0
2013-06-22,0,2,1
2013-06-23,0,20,0
2013-06-24,0,12,0
2013-06-25,0,58,0
2013-06-26,0,71,3
2013-06-27,6,29,0
2013-06-28,2,39,2
2013-06-29,5,64,0
2013-06-30,0,6,0
2013-07-01,0,7,6
2013-07-02,1,38,9
2013-07-03,0,21,0
2013-07-04,0,28,0
2013-07-05,0,47,0
2013-07-06,0,7,0
2013-07-07,0,38,0
2013-07-08,0,39,0
2013-07-09,0,51,4
2013-07-10,0,42,14
2013-07-11,2,15,7
2013-07-12,0,0,5
2013-07-13,0,46,3
2013-07-14,0,15,3
2013-07-15,0,37,8
2013-07-16,0,55,0
2013-07-17,0,34,4
2013-07-18,0,37,18
2013-07-19,0,38,2
2013-07-20,0,2,0
2013-07-21,0,28,0
2013-07-22,0,9,2
2013-07-23,0,46,0
2013-07-24,0,56,0
2013-07-25,0,9,3
2013-07-26,0,30,2
2013-07-27,0,3,2
2013-07-28,0,45,4
2013-07-29,0,20,0
2013-07-30,0,37,3
2013-07-31,0,25,6
2013-08-01,0,0,3
2013-08-02,0,0,3
2013-08-03,0,0,0
2013-08-04,0,2,0
2013-08-05,0,3,2
2013-08-06,0,0,1
2013-08-07,0,5,1
2013-08-08,0,8,1
2013-08-09,0,13,1
2013-08-10,0,3,0
2013-08-11,0,5,0
2013-08-12,0,2,5
2013-08-13,0,13,25
2013-08-14,0,4,11
2013-08-15,0,2,0
2013-08-16,0,0,19
2013-08-17,0,0,0
2013-08-18,0,22,0
2013-08-19,0,3,13
2013-08-20,0,1,5
2013-08-21,0,10,20
2013-08-22,0,8,5
2013-08-23,0,10,15
2013-08-24,0,0,0
2013-08-25,0,12,0
2013-08-26,0,7,12
2013-08-27,0,0,6
2013-08-28,0,18,13
2013-08-29,0,0,25
2013-08-30,0,0,17
