,scikit-learn/scikit-learn,mlpack/mlpack,statsmodels/statsmodels
2018-03-05,3,2,40
2018-03-06,2,13,2
2018-03-07,6,6,0
2018-03-08,4,4,0
2018-03-09,1,28,0
2018-03-10,1,5,0
2018-03-11,0,14,0
2018-03-12,1,5,1
2018-03-13,2,5,1
2018-03-14,2,12,0
2018-03-15,2,18,0
2018-03-16,2,30,0
2018-03-17,1,4,0
2018-03-18,2,2,0
2018-03-19,0,6,6
2018-03-20,0,5,8
2018-03-21,0,6,7
2018-03-22,5,8,20
2018-03-23,0,6,5
2018-03-24,2,7,17
2018-03-25,1,2,2
2018-03-26,1,12,1
2018-03-27,2,3,0
2018-03-28,1,7,0
2018-03-29,1,8,2
2018-03-30,1,24,3
2018-03-31,1,14,0
2018-04-01,1,3,0
2018-04-02,2,6,0
2018-04-03,4,22,0
2018-04-04,2,8,0
2018-04-05,1,8,4
2018-04-06,2,8,10
2018-04-07,0,6,1
2018-04-08,0,1,0
2018-04-09,2,5,0
2018-04-10,1,8,2
2018-04-11,2,4,1
2018-04-12,2,1,3
2018-04-13,3,8,12
2018-04-14,2,1,5
2018-04-15,0,5,1
2018-04-16,5,13,2
2018-04-17,2,12,12
2018-04-18,1,2,12
2018-04-19,1,4,23
2018-04-20,1,5,4
2018-04-21,3,5,2
2018-04-22,2,1,11
2018-04-23,5,7,3
2018-04-24,0,4,7
2018-04-25,7,6,7
2018-04-26,4,5,8
2018-04-27,0,4,9
2018-04-28,0,1,2
2018-04-29,0,0,5
2018-04-30,0,8,4
2018-05-01,0,2,3
2018-05-02,3,3,3
2018-05-03,3,4,2
2018-05-04,5,8,0
2018-05-05,0,5,4
2018-05-06,3,0,0
2018-05-07,2,1,4
2018-05-08,1,2,4
2018-05-09,2,2,2
2018-05-10,0,4,0
2018-05-11,1,9,2
2018-05-12,1,3,1
2018-05-13,0,1,7
2018-05-14,0,5,9
2018-05-15,2,5,2
2018-05-16,1,7,4
2018-05-17,0,14,2
2018-05-18,3,7,32
2018-05-19,0,8,40
2018-05-20,1,7,2
2018-05-21,0,7,2
2018-05-22,2,2,0
2018-05-23,4,14,1
2018-05-24,4,1,2
2018-05-25,3,1,3
2018-05-26,1,2,9
2018-05-27,0,5,4
2018-05-28,0,2,1
2018-05-29,3,0,10
2018-05-30,9,2,1
2018-05-31,3,8,4
2018-06-01,3,7,8
2018-06-02,1,3,5
2018-06-03,0,3,4
2018-06-04,8,12,5
2018-06-05,0,3,3
2018-06-06,7,6,2
2018-06-07,1,2,7
2018-06-08,2,13,3
2018-06-09,0,22,0
2018-06-10,3,8,7
2018-06-11,3,6,8
2018-06-12,3,8,6
