,spring-projects/spring-framework,apache/tomcat,apache/struts
2020-09-10,1,6,2
2020-09-11,5,3,1
2020-09-12,2,0,0
2020-09-13,6,0,0
2020-09-14,16,3,0
2020-09-15,15,12,0
2020-09-16,1,19,0
2020-09-17,1,12,2
2020-09-18,11,9,0
2020-09-19,1,0,0
2020-09-20,0,0,0
2020-09-21,2,4,1
2020-09-22,1,1,0
2020-09-23,1,4,0
2020-09-24,3,11,0
2020-09-25,36,10,0
2020-09-26,3,0,0
2020-09-27,0,0,0
2020-09-28,1,2,0
2020-09-29,2,7,0
2020-09-30,4,3,0
2020-10-01,2,6,0
2020-10-02,6,3,0
2020-10-03,0,4,0
2020-10-04,0,0,0
2020-10-05,0,7,0
2020-10-06,17,5,0
2020-10-07,9,1,0
2020-10-08,2,2,0
2020-10-09,5,8,1
2020-10-10,1,3,0
2020-10-11,0,1,0
2020-10-12,28,4,0
2020-10-13,13,1,2
2020-10-14,4,1,4
2020-10-15,11,9,0
2020-10-16,11,12,0
2020-10-17,0,0,4
2020-10-18,0,3,0
2020-10-19,5,3,0
2020-10-20,3,1,0
2020-10-21,5,3,0
2020-10-22,8,1,0
2020-10-23,15,0,0
2020-10-24,5,0,0
2020-10-25,2,0,0
2020-10-26,35,4,0
2020-10-27,16,1,0
2020-10-28,0,1,0
2020-10-29,4,3,0
2020-10-30,3,6,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,5,4,0
2020-11-03,5,2,0
2020-11-04,15,0,0
2020-11-05,8,4,2
2020-11-06,1,10,0
2020-11-07,0,0,0
2020-11-08,3,0,1
2020-11-09,18,4,0
2020-11-10,5,4,0
2020-11-11,1,3,0
2020-11-12,13,1,0
2020-11-13,3,0,3
2020-11-14,0,0,1
2020-11-15,1,0,0
2020-11-16,9,0,0
2020-11-17,9,2,1
2020-11-18,5,6,1
2020-11-19,11,6,4
2020-11-20,4,1,3
2020-11-21,0,0,1
2020-11-22,0,0,1
2020-11-23,8,2,1
2020-11-24,4,0,0
2020-11-25,3,3,0
2020-11-26,4,3,0
2020-11-27,2,0,0
2020-11-28,0,0,3
2020-11-29,0,0,3
2020-11-30,3,2,0
2020-12-01,4,4,0
2020-12-02,4,12,2
2020-12-03,8,0,2
2020-12-04,4,13,1
2020-12-05,0,0,0
2020-12-06,0,1,1
2020-12-07,13,6,5
2020-12-08,9,17,0
2020-12-09,1,2,0
2020-12-10,2,3,1
2020-12-11,4,1,1
2020-12-12,1,1,1
2020-12-13,0,0,1
2020-12-14,1,3,0
2020-12-15,5,4,0
2020-12-16,3,0,0
2020-12-17,4,2,2
2020-12-18,1,1,0
2020-12-19,1,0,0
2020-12-20,1,0,0
2020-12-21,2,1,1
2020-12-22,0,1,1
2020-12-23,1,2,0
2020-12-24,0,0,2
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,0,3
2020-12-28,2,1,4
2020-12-29,0,2,0
2020-12-30,1,1,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,2,0,4
2021-01-03,1,0,5
2021-01-04,5,6,2
2021-01-05,4,5,0
2021-01-06,7,0,3
2021-01-07,3,2,0
2021-01-08,4,1,2
2021-01-09,0,0,0
2021-01-10,0,0,4
2021-01-11,14,0,5
2021-01-12,11,0,0
2021-01-13,1,0,0
2021-01-14,5,1,0
2021-01-15,0,7,0
2021-01-16,0,0,0
2021-01-17,0,1,0
2021-01-18,1,7,0
2021-01-19,4,1,0
2021-01-20,0,2,0
2021-01-21,4,2,0
2021-01-22,6,10,0
2021-01-23,0,0,5
2021-01-24,3,1,0
2021-01-25,3,0,0
2021-01-26,7,13,0
2021-01-27,5,7,0
2021-01-28,4,13,0
2021-01-29,3,1,1
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,1,11,0
2021-02-02,9,6,0
2021-02-03,7,0,0
2021-02-04,8,1,0
2021-02-05,8,8,0
2021-02-06,0,0,0
2021-02-07,0,0,1
2021-02-08,3,3,1
2021-02-09,3,1,0
2021-02-10,3,0,0
2021-02-11,8,1,0
2021-02-12,3,3,0
2021-02-13,1,0,0
2021-02-14,8,0,0
2021-02-15,26,0,0
2021-02-16,11,2,0
2021-02-17,6,3,0
2021-02-18,2,6,0
2021-02-19,2,5,0
2021-02-20,0,0,0
2021-02-21,2,0,0
2021-02-22,7,2,0
2021-02-23,5,2,1
2021-02-24,7,1,0
2021-02-25,11,8,0
2021-02-26,5,8,1
2021-02-27,0,0,0
2021-02-28,0,0,1
2021-03-01,3,2,0
2021-03-02,6,3,0
2021-03-03,3,5,0
2021-03-04,6,3,0
2021-03-05,1,3,0
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,8,0,0
2021-03-09,6,3,0
2021-03-10,5,3,0
2021-03-11,4,2,0
2021-03-12,7,3,0
2021-03-13,3,0,0
2021-03-14,0,0,0
2021-03-15,16,10,4
2021-03-16,10,6,0
2021-03-17,0,3,0
2021-03-18,1,2,0
2021-03-19,0,9,0
2021-03-20,0,0,0
2021-03-21,0,0,0
2021-03-22,4,9,2
2021-03-23,1,9,1
2021-03-24,0,12,0
2021-03-25,0,4,0
2021-03-26,0,4,2
2021-03-27,0,0,0
2021-03-28,0,0,1
2021-03-29,4,6,1
2021-03-30,3,2,0
2021-03-31,2,1,0
2021-04-01,3,1,0
2021-04-02,2,0,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,0,0
2021-04-06,1,0,2
2021-04-07,2,15,0
2021-04-08,5,11,0
2021-04-09,6,1,0
2021-04-10,0,0,0
2021-04-11,0,0,0
2021-04-12,10,2,0
2021-04-13,9,12,0
2021-04-14,0,0,0
2021-04-15,6,1,0
2021-04-16,4,1,0
2021-04-17,0,0,0
2021-04-18,1,0,0
2021-04-19,0,3,0
2021-04-20,7,14,0
2021-04-21,8,1,0
2021-04-22,6,5,0
2021-04-23,0,0,0
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,3,3,0
2021-04-27,2,0,0
2021-04-28,7,3,0
2021-04-29,10,0,0
2021-04-30,6,2,0
2021-05-01,0,0,0
2021-05-02,0,0,2
2021-05-03,4,0,0
2021-05-04,12,1,2
2021-05-05,5,7,0
2021-05-06,1,0,0
2021-05-07,5,5,0
2021-05-08,3,6,0
2021-05-09,0,0,0
2021-05-10,7,1,0
2021-05-11,13,0,0
2021-05-12,6,1,0
2021-05-13,2,2,0
2021-05-14,2,3,0
2021-05-15,0,0,0
2021-05-16,5,1,0
2021-05-17,7,5,0
2021-05-18,4,2,0
2021-05-19,0,5,0
2021-05-20,2,5,0
2021-05-21,1,4,0
2021-05-22,0,2,0
2021-05-23,4,1,0
2021-05-24,1,14,0
2021-05-25,0,16,0
2021-05-26,8,15,0
2021-05-27,2,7,0
2021-05-28,2,0,0
2021-05-29,0,0,0
2021-05-30,2,0,0
2021-05-31,3,0,2
2021-06-01,2,8,0
2021-06-02,3,3,0
2021-06-03,0,5,1
2021-06-04,5,7,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,3,5,1
2021-06-08,18,12,0
2021-06-09,3,2,0
2021-06-10,0,1,0
2021-06-11,1,1,0
2021-06-12,0,0,0
2021-06-13,0,1,0
2021-06-14,1,0,1
2021-06-15,6,14,1
2021-06-16,0,6,0
2021-06-17,0,2,0
2021-06-18,0,3,1
2021-06-19,0,1,1
2021-06-20,0,0,1
2021-06-21,7,3,0
2021-06-22,5,10,0
2021-06-23,2,11,0
2021-06-24,4,4,0
2021-06-25,1,8,0
2021-06-26,0,0,0
2021-06-27,0,0,5
2021-06-28,1,2,0
2021-06-29,3,0,0
2021-06-30,7,4,0
2021-07-01,0,4,1
2021-07-02,6,2,0
2021-07-03,0,0,0
2021-07-04,0,0,2
2021-07-05,0,0,0
2021-07-06,2,2,0
2021-07-07,5,2,0
2021-07-08,1,4,0
2021-07-09,13,3,0
2021-07-10,0,0,0
2021-07-11,3,0,0
2021-07-12,12,0,0
2021-07-13,11,2,0
2021-07-14,1,0,0
2021-07-15,0,2,0
2021-07-16,1,3,0
2021-07-17,2,0,0
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,0,0,0
2021-07-21,0,10,0
2021-07-22,0,4,0
2021-07-23,5,5,0
2021-07-24,1,0,0
2021-07-25,1,0,0
2021-07-26,0,9,0
2021-07-27,3,18,0
2021-07-28,2,42,0
2021-07-29,9,2,0
2021-07-30,3,1,0
2021-07-31,2,0,0
2021-08-01,0,0,0
2021-08-02,0,0,0
2021-08-03,0,4,0
2021-08-04,4,0,0
2021-08-05,0,0,0
2021-08-06,0,2,0
2021-08-07,1,2,0
2021-08-08,2,0,0
2021-08-09,1,0,0
2021-08-10,0,0,0
2021-08-11,2,0,0
2021-08-12,2,0,0
2021-08-13,0,0,0
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,0,1,0
2021-08-17,2,12,0
2021-08-18,2,7,0
2021-08-19,5,4,0
2021-08-20,0,1,0
2021-08-21,0,8,0
2021-08-22,6,0,0
2021-08-23,8,6,0
2021-08-24,0,1,0
2021-08-25,2,1,0
2021-08-26,2,3,0
2021-08-27,0,1,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,5,1,0
2021-08-31,3,7,0
2021-09-01,1,4,0
2021-09-02,5,13,0
2021-09-03,3,3,0
2021-09-04,0,0,0
2021-09-05,0,1,0
2021-09-06,9,5,0
2021-09-07,7,2,0
2021-09-08,1,1,0
2021-09-09,3,6,0
2021-09-10,5,1,0
2021-09-11,0,0,0
2021-09-12,2,0,0
2021-09-13,12,4,0
2021-09-14,17,3,0
2021-09-15,13,4,0
2021-09-16,2,3,0
2021-09-17,16,8,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,5,2,0
2021-09-21,21,0,0
2021-09-22,4,10,1
2021-09-23,8,9,2
2021-09-24,3,7,5
2021-09-25,1,0,0
2021-09-26,0,0,0
2021-09-27,8,13,0
2021-09-28,16,7,1
2021-09-29,5,3,0
2021-09-30,11,2,0
2021-10-01,13,1,0
2021-10-02,4,0,0
2021-10-03,2,0,0
2021-10-04,0,2,1
2021-10-05,12,0,0
2021-10-06,8,1,0
2021-10-07,5,6,0
2021-10-08,10,1,0
2021-10-09,0,0,0
2021-10-10,2,0,0
