,flutter/flutter,necolas/react-native-web,microsoft/reactxp
2017-05-22,12,2,0
2017-05-23,5,0,2
2017-05-24,17,2,4
2017-05-25,7,5,4
2017-05-26,11,3,6
2017-05-27,4,2,0
2017-05-28,0,0,0
2017-05-29,5,0,0
2017-05-30,2,0,1
2017-05-31,10,0,2
2017-06-01,6,5,4
2017-06-02,14,2,1
2017-06-03,4,0,0
2017-06-04,0,0,0
2017-06-05,12,0,0
2017-06-06,8,2,0
2017-06-07,10,2,2
2017-06-08,10,0,1
2017-06-09,7,14,1
2017-06-10,1,2,3
2017-06-11,0,4,0
2017-06-12,6,2,3
2017-06-13,12,3,0
2017-06-14,11,1,4
2017-06-15,10,2,1
2017-06-16,21,2,3
2017-06-17,3,1,0
2017-06-18,1,11,0
2017-06-19,7,2,1
2017-06-20,13,5,1
2017-06-21,11,0,0
2017-06-22,4,0,0
2017-06-23,19,4,1
2017-06-24,4,3,0
2017-06-25,0,0,0
2017-06-26,10,2,5
2017-06-27,9,1,0
2017-06-28,3,3,1
2017-06-29,10,4,0
2017-06-30,11,0,5
2017-07-01,1,0,0
2017-07-02,1,0,0
2017-07-03,0,3,2
2017-07-04,0,0,2
2017-07-05,6,0,0
2017-07-06,2,0,0
2017-07-07,6,0,0
2017-07-08,0,0,0
2017-07-09,0,7,0
2017-07-10,8,6,0
2017-07-11,5,3,0
2017-07-12,8,1,1
2017-07-13,12,0,1
2017-07-14,8,4,3
2017-07-15,2,1,4
2017-07-16,0,0,2
2017-07-17,10,0,0
2017-07-18,4,0,2
2017-07-19,17,0,2
2017-07-20,7,0,0
2017-07-21,11,0,0
2017-07-22,1,3,1
2017-07-23,0,0,0
2017-07-24,3,0,3
2017-07-25,2,0,1
2017-07-26,1,4,0
2017-07-27,6,7,0
2017-07-28,6,2,0
2017-07-29,0,1,1
2017-07-30,1,1,3
2017-07-31,5,6,0
2017-08-01,8,4,1
2017-08-02,3,0,2
2017-08-03,6,0,1
2017-08-04,9,0,1
2017-08-05,1,0,1
2017-08-06,0,0,0
2017-08-07,5,0,0
2017-08-08,8,0,0
2017-08-09,6,1,1
2017-08-10,4,0,0
2017-08-11,3,1,0
2017-08-12,1,0,0
2017-08-13,0,0,0
2017-08-14,2,0,0
2017-08-15,7,0,0
2017-08-16,5,8,0
2017-08-17,2,0,0
2017-08-18,1,0,2
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,7,0,0
2017-08-22,7,0,0
2017-08-23,16,0,0
2017-08-24,6,0,1
2017-08-25,6,0,1
2017-08-26,1,0,0
2017-08-27,0,0,0
2017-08-28,5,0,2
2017-08-29,11,0,2
2017-08-30,9,0,0
2017-08-31,13,2,0
2017-09-01,19,1,1
2017-09-02,3,1,0
2017-09-03,2,0,0
2017-09-04,0,0,0
2017-09-05,11,0,5
2017-09-06,8,0,10
2017-09-07,9,3,0
2017-09-08,7,1,1
2017-09-09,0,0,0
2017-09-10,0,6,2
2017-09-11,8,3,1
2017-09-12,13,7,3
2017-09-13,7,1,1
2017-09-14,8,7,0
2017-09-15,11,3,3
2017-09-16,1,0,0
2017-09-17,0,1,0
2017-09-18,2,1,0
2017-09-19,5,12,3
2017-09-20,11,1,0
2017-09-21,11,7,14
2017-09-22,11,0,7
2017-09-23,3,0,0
2017-09-24,8,0,0
2017-09-25,3,1,1
2017-09-26,11,3,0
2017-09-27,4,1,0
2017-09-28,9,4,0
2017-09-29,10,1,3
2017-09-30,1,0,0
2017-10-01,0,4,0
2017-10-02,10,4,2
2017-10-03,11,2,0
2017-10-04,6,3,1
2017-10-05,10,2,0
2017-10-06,7,3,1
2017-10-07,1,0,0
2017-10-08,0,0,1
2017-10-09,1,1,1
2017-10-10,6,0,0
2017-10-11,3,3,0
2017-10-12,10,0,0
2017-10-13,7,3,0
2017-10-14,5,0,0
2017-10-15,0,0,1
2017-10-16,2,0,9
