,scikit-learn/scikit-learn,statsmodels/statsmodels,mlpack/mlpack
2018-04-05,1,4,8
2018-04-06,2,10,8
2018-04-07,0,1,6
2018-04-08,0,0,1
2018-04-09,2,0,5
2018-04-10,1,2,8
2018-04-11,2,1,4
2018-04-12,2,3,1
2018-04-13,3,12,8
2018-04-14,2,5,1
2018-04-15,0,1,5
2018-04-16,5,2,13
2018-04-17,2,12,12
2018-04-18,1,12,2
2018-04-19,1,23,4
2018-04-20,1,4,5
2018-04-21,3,2,5
2018-04-22,2,11,1
2018-04-23,5,3,7
2018-04-24,0,7,4
2018-04-25,7,7,6
2018-04-26,4,8,5
2018-04-27,0,9,4
2018-04-28,0,2,1
2018-04-29,0,5,0
2018-04-30,0,4,8
2018-05-01,0,3,2
2018-05-02,3,3,3
2018-05-03,3,2,4
2018-05-04,5,0,8
2018-05-05,0,4,5
2018-05-06,3,0,0
2018-05-07,2,4,1
2018-05-08,1,4,2
2018-05-09,2,2,2
2018-05-10,0,0,4
2018-05-11,1,2,9
2018-05-12,1,1,3
2018-05-13,0,7,1
2018-05-14,0,9,5
2018-05-15,2,2,5
2018-05-16,1,4,7
2018-05-17,0,2,14
2018-05-18,3,32,7
2018-05-19,0,40,8
2018-05-20,1,2,7
2018-05-21,0,2,7
2018-05-22,2,0,2
2018-05-23,4,1,14
2018-05-24,4,2,1
2018-05-25,3,3,1
2018-05-26,1,9,2
2018-05-27,0,4,5
2018-05-28,0,1,2
2018-05-29,3,10,0
2018-05-30,9,1,2
2018-05-31,3,4,8
2018-06-01,3,8,7
2018-06-02,1,5,3
2018-06-03,0,4,3
2018-06-04,8,5,12
2018-06-05,0,3,3
2018-06-06,7,2,6
2018-06-07,1,7,2
2018-06-08,2,3,13
2018-06-09,0,0,22
2018-06-10,3,7,8
2018-06-11,3,8,6
2018-06-12,3,6,8
2018-06-13,2,34,9
2018-06-14,9,1,6
2018-06-15,5,3,0
2018-06-16,1,0,7
2018-06-17,4,2,28
2018-06-18,5,1,3
2018-06-19,1,1,6
2018-06-20,7,8,2
2018-06-21,9,12,11
2018-06-22,4,1,11
2018-06-23,4,4,8
2018-06-24,3,0,5
2018-06-25,1,0,5
2018-06-26,5,2,0
2018-06-27,2,5,8
2018-06-28,8,5,4
2018-06-29,3,13,4
2018-06-30,1,2,2
2018-07-01,1,0,8
2018-07-02,6,1,9
2018-07-03,4,0,7
2018-07-04,5,3,6
2018-07-05,3,2,5
2018-07-06,0,8,4
2018-07-07,0,2,7
2018-07-08,1,0,9
2018-07-09,5,3,3
2018-07-10,5,0,2
2018-07-11,1,0,4
2018-07-12,5,0,3
2018-07-13,1,0,1
2018-07-14,6,0,3
2018-07-15,6,0,2
2018-07-16,19,0,2
2018-07-17,41,0,9
2018-07-18,9,2,5
2018-07-19,9,2,4
2018-07-20,8,5,7
2018-07-21,4,1,6
2018-07-22,6,0,7
2018-07-23,3,2,7
2018-07-24,3,0,2
2018-07-25,3,0,9
2018-07-26,1,1,5
2018-07-27,6,2,8
2018-07-28,1,2,9
2018-07-29,7,0,2
2018-07-30,1,1,1
2018-07-31,8,1,8
2018-08-01,2,5,2
2018-08-02,3,2,12
2018-08-03,2,3,7
2018-08-04,0,2,10
2018-08-05,1,0,2
2018-08-06,4,8,3
2018-08-07,8,4,7
2018-08-08,0,5,2
2018-08-09,4,15,2
2018-08-10,2,4,0
2018-08-11,1,5,4
2018-08-12,2,5,0
2018-08-13,2,14,0
2018-08-14,4,1,1
2018-08-15,4,7,1
2018-08-16,6,1,1
2018-08-17,2,15,0
2018-08-18,10,0,1
2018-08-19,4,1,0
2018-08-20,3,26,0
2018-08-21,5,6,2
2018-08-22,8,5,1
2018-08-23,2,27,2
2018-08-24,0,26,3
2018-08-25,3,9,3
2018-08-26,1,21,0
2018-08-27,2,8,0
2018-08-28,0,3,0
2018-08-29,4,2,1
2018-08-30,7,14,0
2018-08-31,1,2,1
2018-09-01,4,10,2
2018-09-02,3,6,0
2018-09-03,5,8,3
2018-09-04,1,2,3
2018-09-05,8,16,0
2018-09-06,5,3,2
2018-09-07,1,11,2
2018-09-08,3,22,0
2018-09-09,3,15,0
2018-09-10,0,13,0
2018-09-11,1,5,0
2018-09-12,3,21,0
2018-09-13,11,10,1
2018-09-14,4,15,2
2018-09-15,0,14,0
2018-09-16,4,20,6
2018-09-17,4,4,5
2018-09-18,1,3,2
2018-09-19,1,6,1
2018-09-20,4,2,3
2018-09-21,2,6,7
2018-09-22,3,1,2
2018-09-23,0,6,2
2018-09-24,4,0,1
2018-09-25,6,3,1
2018-09-26,10,1,0
2018-09-27,5,2,0
2018-09-28,5,0,5
2018-09-29,2,5,0
2018-09-30,3,0,0
2018-10-01,3,1,0
2018-10-02,7,3,0
2018-10-03,5,3,0
2018-10-04,13,2,0
2018-10-05,9,1,0
2018-10-06,1,3,0
2018-10-07,3,0,0
2018-10-08,2,0,0
2018-10-09,4,1,9
2018-10-10,5,0,0
2018-10-11,4,0,4
2018-10-12,0,2,0
2018-10-13,3,1,0
2018-10-14,5,8,3
2018-10-15,2,0,1
2018-10-16,2,4,3
2018-10-17,1,10,5
2018-10-18,2,0,3
2018-10-19,2,1,2
2018-10-20,0,0,3
2018-10-21,2,0,1
2018-10-22,4,0,6
2018-10-23,4,0,3
2018-10-24,3,1,3
2018-10-25,1,0,17
2018-10-26,1,0,6
2018-10-27,2,1,2
2018-10-28,0,3,0
2018-10-29,4,0,1
2018-10-30,3,0,2
2018-10-31,4,0,10
2018-11-01,0,0,0
2018-11-02,2,11,2
2018-11-03,1,5,2
2018-11-04,1,3,0
2018-11-05,3,0,4
2018-11-06,7,0,5
2018-11-07,6,0,1
2018-11-08,1,0,5
2018-11-09,0,0,5
2018-11-10,1,0,1
2018-11-11,5,0,0
2018-11-12,6,0,6
2018-11-13,4,0,3
2018-11-14,6,3,6
2018-11-15,1,1,8
2018-11-16,1,0,1
2018-11-17,1,1,6
2018-11-18,2,1,1
2018-11-19,4,0,2
2018-11-20,4,0,4
2018-11-21,4,0,2
2018-11-22,9,1,0
2018-11-23,2,0,0
2018-11-24,3,0,0
2018-11-25,2,0,0
2018-11-26,2,1,0
2018-11-27,3,5,0
2018-11-28,2,6,4
2018-11-29,0,1,0
2018-11-30,3,0,1
2018-12-01,0,0,0
2018-12-02,0,0,6
2018-12-03,3,0,3
2018-12-04,1,0,5
2018-12-05,0,0,3
2018-12-06,2,0,8
2018-12-07,2,0,2
2018-12-08,1,0,1
2018-12-09,3,0,4
2018-12-10,3,0,3
2018-12-11,1,0,0
2018-12-12,0,2,1
2018-12-13,4,1,3
2018-12-14,8,1,4
2018-12-15,4,0,0
2018-12-16,1,0,0
2018-12-17,2,0,3
2018-12-18,5,2,2
2018-12-19,9,0,0
2018-12-20,4,0,0
2018-12-21,1,0,0
2018-12-22,0,2,3
2018-12-23,3,0,2
2018-12-24,0,0,0
2018-12-25,0,0,4
2018-12-26,0,0,6
2018-12-27,2,4,12
2018-12-28,3,1,3
2018-12-29,1,0,1
2018-12-30,0,0,4
2018-12-31,1,0,1
2019-01-01,0,0,0
2019-01-02,2,0,10
2019-01-03,4,0,6
2019-01-04,0,1,14
2019-01-05,3,0,19
2019-01-06,1,0,20
2019-01-07,4,1,18
2019-01-08,5,0,7
2019-01-09,4,0,1
2019-01-10,2,0,14
2019-01-11,0,0,20
2019-01-12,1,1,16
2019-01-13,6,0,9
2019-01-14,4,0,16
2019-01-15,3,1,16
2019-01-16,4,0,12
2019-01-17,11,0,9
2019-01-18,1,0,13
2019-01-19,1,0,11
2019-01-20,1,0,3
2019-01-21,0,0,6
2019-01-22,2,0,0
2019-01-23,0,0,8
2019-01-24,0,0,14
2019-01-25,2,0,8
2019-01-26,2,0,7
2019-01-27,4,0,7
2019-01-28,1,0,9
2019-01-29,1,69,2
2019-01-30,7,4,3
2019-01-31,1,4,2
2019-02-01,1,1,1
2019-02-02,3,14,0
2019-02-03,3,15,2
2019-02-04,6,0,12
2019-02-05,2,0,0
2019-02-06,1,0,7
2019-02-07,2,0,1
2019-02-08,5,0,0
2019-02-09,0,0,15
2019-02-10,2,0,6
2019-02-11,1,0,18
2019-02-12,5,0,5
2019-02-13,3,1,3
2019-02-14,3,3,8
2019-02-15,2,1,7
2019-02-16,0,0,19
2019-02-17,0,0,5
2019-02-18,0,0,7
2019-02-19,7,0,9
2019-02-20,5,0,15
2019-02-21,6,2,4
2019-02-22,4,2,10
2019-02-23,3,2,6
2019-02-24,2,11,10
2019-02-25,12,0,7
2019-02-26,16,1,2
2019-02-27,13,0,1
2019-02-28,16,0,11
2019-03-01,17,0,10
2019-03-02,5,0,11
2019-03-03,5,0,9
2019-03-04,11,0,0
2019-03-05,2,0,4
2019-03-06,3,0,5
2019-03-07,4,0,0
2019-03-08,0,0,8
2019-03-09,0,0,13
2019-03-10,3,0,7
2019-03-11,3,0,3
2019-03-12,3,0,4
2019-03-13,2,0,2
2019-03-14,1,0,8
2019-03-15,3,0,8
2019-03-16,2,0,7
2019-03-17,1,0,8
2019-03-18,3,0,11
2019-03-19,2,0,9
2019-03-20,2,1,18
2019-03-21,4,0,14
2019-03-22,0,0,21
2019-03-23,1,20,9
2019-03-24,2,6,4
2019-03-25,3,2,13
2019-03-26,4,0,7
2019-03-27,5,1,11
2019-03-28,5,0,13
2019-03-29,1,0,9
2019-03-30,0,1,20
2019-03-31,0,0,10
2019-04-01,3,0,2
2019-04-02,2,0,13
2019-04-03,4,0,8
2019-04-04,5,1,19
2019-04-05,2,0,7
2019-04-06,3,0,23
2019-04-07,3,0,3
2019-04-08,0,0,50
2019-04-09,5,0,5
2019-04-10,2,0,3
2019-04-11,0,0,3
2019-04-12,2,3,3
2019-04-13,2,2,2
2019-04-14,2,0,5
2019-04-15,4,0,1
2019-04-16,6,1,14
2019-04-17,7,1,1
2019-04-18,6,0,2
2019-04-19,3,1,1
2019-04-20,2,0,2
2019-04-21,1,1,1
2019-04-22,3,0,0
2019-04-23,6,0,3
2019-04-24,5,9,7
2019-04-25,4,2,5
2019-04-26,6,0,12
2019-04-27,4,0,7
2019-04-28,0,0,4
2019-04-29,6,0,1
2019-04-30,5,35,2
2019-05-01,3,54,0
2019-05-02,3,50,0
2019-05-03,1,58,10
2019-05-04,4,25,4
2019-05-05,4,12,2
2019-05-06,2,28,2
2019-05-07,6,36,0
2019-05-08,7,52,1
2019-05-09,16,17,18
2019-05-10,3,15,10
2019-05-11,2,19,6
2019-05-12,1,14,12
2019-05-13,4,11,13
2019-05-14,5,20,1
2019-05-15,5,17,11
2019-05-16,3,11,2
2019-05-17,0,22,6
2019-05-18,1,5,9
2019-05-19,0,2,9
2019-05-20,4,1,1
2019-05-21,3,3,4
2019-05-22,4,11,5
2019-05-23,6,3,14
2019-05-24,2,8,4
