,gohugoio/hugo,hexojs/hexo,sphinx-doc/sphinx
2013-10-04,3,0,1
2013-10-05,0,0,1
2013-10-06,0,2,0
2013-10-07,3,0,1
2013-10-08,20,0,1
2013-10-09,3,2,1
2013-10-10,1,0,1
2013-10-11,0,6,0
2013-10-12,0,0,8
2013-10-13,0,0,1
2013-10-14,0,0,0
2013-10-15,2,0,0
2013-10-16,0,2,0
2013-10-17,0,0,0
2013-10-18,4,0,0
2013-10-19,0,0,0
2013-10-20,0,0,1
2013-10-21,0,0,1
2013-10-22,0,0,1
2013-10-23,0,4,1
2013-10-24,6,0,0
2013-10-25,4,0,2
2013-10-26,3,10,0
2013-10-27,0,0,0
2013-10-28,0,0,2
2013-10-29,0,0,1
2013-10-30,0,0,0
2013-10-31,4,0,0
2013-11-01,3,0,0
2013-11-02,1,0,0
2013-11-03,0,0,0
2013-11-04,0,0,0
2013-11-05,6,0,0
2013-11-06,0,0,0
2013-11-07,1,0,0
2013-11-08,1,0,3
2013-11-09,4,0,0
2013-11-10,0,0,0
2013-11-11,0,0,0
2013-11-12,3,0,2
2013-11-13,0,0,3
2013-11-14,2,1,1
2013-11-15,0,1,1
2013-11-16,3,3,2
2013-11-17,0,0,2
2013-11-18,2,0,0
2013-11-19,0,0,0
2013-11-20,1,0,0
2013-11-21,0,0,0
2013-11-22,0,2,0
2013-11-23,2,0,0
2013-11-24,1,1,1
2013-11-25,0,1,3
2013-11-26,0,7,0
2013-11-27,0,3,1
2013-11-28,0,0,1
2013-11-29,0,0,0
2013-11-30,0,5,0
2013-12-01,0,1,0
2013-12-02,0,0,0
2013-12-03,1,3,0
2013-12-04,0,0,0
2013-12-05,3,0,0
2013-12-06,0,0,0
2013-12-07,4,0,0
2013-12-08,2,5,2
2013-12-09,0,2,4
2013-12-10,0,0,12
2013-12-11,4,0,0
2013-12-12,0,0,0
2013-12-13,0,0,0
2013-12-14,0,0,0
2013-12-15,0,2,3
2013-12-16,6,0,0
2013-12-17,0,0,6
2013-12-18,0,0,0
2013-12-19,0,0,0
2013-12-20,2,1,0
2013-12-21,0,0,0
2013-12-22,0,0,0
2013-12-23,0,3,0
2013-12-24,0,1,0
2013-12-25,0,3,0
2013-12-26,0,6,0
2013-12-27,0,5,2
2013-12-28,8,10,0
2013-12-29,1,8,0
2013-12-30,0,0,0
2013-12-31,0,0,0
2014-01-01,1,0,0
2014-01-02,0,0,1
2014-01-03,1,0,0
2014-01-04,0,0,0
2014-01-05,0,0,1
2014-01-06,0,0,1
2014-01-07,0,0,0
2014-01-08,0,0,0
2014-01-09,0,5,0
2014-01-10,0,0,26
2014-01-11,8,5,25
2014-01-12,0,5,30
2014-01-13,2,4,4
2014-01-14,0,4,1
2014-01-15,2,3,3
2014-01-16,0,1,0
2014-01-17,0,2,4
2014-01-18,3,1,8
2014-01-19,3,1,43
2014-01-20,0,0,17
2014-01-21,0,0,10
2014-01-22,5,0,13
2014-01-23,1,0,3
2014-01-24,0,0,3
2014-01-25,0,1,0
2014-01-26,0,6,3
2014-01-27,3,0,0
2014-01-28,0,0,0
2014-01-29,7,0,0
2014-01-30,0,0,1
2014-01-31,1,0,1
2014-02-01,2,0,0
2014-02-02,1,0,3
2014-02-03,1,0,0
2014-02-04,0,0,2
2014-02-05,2,2,1
2014-02-06,1,0,0
2014-02-07,0,4,0
2014-02-08,0,0,0
2014-02-09,0,2,0
2014-02-10,0,2,0
2014-02-11,0,0,1
2014-02-12,0,0,2
2014-02-13,0,0,0
2014-02-14,0,3,0
2014-02-15,0,5,0
2014-02-16,0,1,0
2014-02-17,0,0,0
2014-02-18,11,0,0
2014-02-19,1,0,0
2014-02-20,1,0,3
2014-02-21,5,0,0
2014-02-22,0,0,0
2014-02-23,0,2,0
2014-02-24,0,0,0
2014-02-25,0,2,0
2014-02-26,1,0,0
2014-02-27,0,0,0
2014-02-28,4,0,0
2014-03-01,6,0,28
2014-03-02,0,0,8
2014-03-03,0,0,0
2014-03-04,0,1,1
2014-03-05,2,0,3
2014-03-06,1,0,3
2014-03-07,0,2,0
2014-03-08,0,1,2
2014-03-09,0,4,1
2014-03-10,0,2,1
2014-03-11,0,0,1
2014-03-12,0,0,0
2014-03-13,8,4,0
2014-03-14,0,10,0
2014-03-15,0,6,0
2014-03-16,0,6,0
2014-03-17,0,3,0
2014-03-18,0,1,0
2014-03-19,0,10,0
2014-03-20,0,5,1
2014-03-21,1,0,2
2014-03-22,0,1,0
2014-03-23,0,0,1
2014-03-24,5,0,0
2014-03-25,0,0,4
2014-03-26,0,2,2
2014-03-27,0,3,0
2014-03-28,0,2,2
2014-03-29,0,0,0
2014-03-30,0,0,0
2014-03-31,4,0,0
2014-04-01,0,0,1
2014-04-02,0,0,0
2014-04-03,0,0,0
2014-04-04,0,0,3
2014-04-05,1,0,0
2014-04-06,0,1,0
2014-04-07,2,3,0
2014-04-08,4,0,0
2014-04-09,7,0,0
2014-04-10,2,0,0
2014-04-11,0,0,2
2014-04-12,0,0,0
2014-04-13,0,5,0
2014-04-14,0,1,0
2014-04-15,0,3,0
2014-04-16,0,0,0
2014-04-17,0,0,0
2014-04-18,0,0,0
2014-04-19,0,0,3
2014-04-20,0,0,1
2014-04-21,0,0,0
2014-04-22,0,2,0
2014-04-23,4,0,0
2014-04-24,4,0,0
2014-04-25,0,2,0
2014-04-26,0,10,1
2014-04-27,5,8,0
2014-04-28,0,1,2
2014-04-29,0,0,7
2014-04-30,0,0,5
2014-05-01,6,0,7
2014-05-02,6,1,0
2014-05-03,0,0,3
2014-05-04,0,1,0
2014-05-05,0,0,4
2014-05-06,0,0,0
2014-05-07,0,0,0
2014-05-08,1,0,0
2014-05-09,5,13,0
2014-05-10,10,11,0
2014-05-11,0,7,0
2014-05-12,2,0,4
2014-05-13,1,0,0
2014-05-14,1,1,0
2014-05-15,3,0,0
2014-05-16,3,0,0
