,tensorflow/models,pytorch/vision,huggingface/transformers
2019-01-29,0,0,4
2019-01-30,1,0,4
2019-01-31,1,0,1
2019-02-01,6,0,4
2019-02-02,1,0,0
2019-02-03,1,0,0
2019-02-04,0,0,5
2019-02-05,1,0,16
2019-02-06,2,0,4
2019-02-07,0,0,12
2019-02-08,1,0,16
2019-02-09,1,0,7
2019-02-10,1,0,0
2019-02-11,3,1,15
2019-02-12,4,2,2
2019-02-13,2,4,8
2019-02-14,7,4,1
2019-02-15,1,0,2
2019-02-16,0,0,1
2019-02-17,0,0,6
2019-02-18,0,2,16
2019-02-19,1,0,3
2019-02-20,0,0,5
2019-02-21,5,1,4
2019-02-22,4,0,1
2019-02-23,1,1,1
2019-02-24,1,0,1
2019-02-25,1,0,0
2019-02-26,0,1,2
2019-02-27,2,1,9
2019-02-28,4,2,1
2019-03-01,3,1,0
2019-03-02,1,0,0
2019-03-03,0,0,2
2019-03-04,0,0,1
2019-03-05,0,0,3
2019-03-06,2,1,11
2019-03-07,5,3,2
2019-03-08,0,0,2
2019-03-09,0,4,5
2019-03-10,0,0,0
2019-03-11,1,3,5
2019-03-12,2,0,4
2019-03-13,2,0,2
2019-03-14,0,0,9
2019-03-15,0,0,2
2019-03-16,0,0,2
2019-03-17,0,0,2
2019-03-18,1,0,7
2019-03-19,3,1,0
2019-03-20,2,1,9
2019-03-21,2,0,12
2019-03-22,2,0,0
2019-03-23,0,0,0
2019-03-24,0,1,6
2019-03-25,1,2,2
2019-03-26,4,6,1
2019-03-27,2,0,8
2019-03-28,5,2,2
2019-03-29,4,3,3
2019-03-30,2,0,2
2019-03-31,0,0,0
2019-04-01,2,1,1
2019-04-02,2,2,4
2019-04-03,4,1,16
2019-04-04,2,2,0
2019-04-05,3,2,0
2019-04-06,0,0,0
2019-04-07,0,0,4
2019-04-08,5,2,0
2019-04-09,0,5,2
2019-04-10,2,1,0
2019-04-11,2,0,11
2019-04-12,3,2,3
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,0,1,24
2019-04-16,0,1,6
2019-04-17,7,1,16
2019-04-18,3,2,0
2019-04-19,0,0,0
2019-04-20,3,0,0
2019-04-21,0,0,4
2019-04-22,5,0,2
2019-04-23,3,0,4
2019-04-24,9,2,3
2019-04-25,2,7,7
2019-04-26,4,1,0
2019-04-27,0,0,1
2019-04-28,0,0,0
2019-04-29,5,1,1
2019-04-30,1,3,7
2019-05-01,2,1,4
2019-05-02,2,1,7
2019-05-03,1,1,0
2019-05-04,1,0,0
2019-05-05,0,0,1
