,redis/redis,memcached/memcached,tarantool/tarantool
2018-12-08,0,0,0
2018-12-09,0,0,13
2018-12-10,6,0,10
2018-12-11,12,0,11
2018-12-12,5,0,4
2018-12-13,1,0,1
2018-12-14,0,0,9
2018-12-15,0,0,0
2018-12-16,0,0,0
2018-12-17,0,0,1
2018-12-18,3,0,7
2018-12-19,3,0,3
2018-12-20,7,0,4
2018-12-21,1,0,5
2018-12-22,0,0,1
2018-12-23,0,0,0
2018-12-24,0,0,7
2018-12-25,0,0,10
2018-12-26,0,0,0
2018-12-27,1,0,3
2018-12-28,0,0,0
2018-12-29,0,0,10
2018-12-30,0,0,0
2018-12-31,1,0,0
2019-01-01,0,0,0
2019-01-02,2,0,0
2019-01-03,1,0,0
2019-01-04,0,0,0
2019-01-05,0,0,1
2019-01-06,1,0,0
2019-01-07,0,0,0
2019-01-08,0,0,0
2019-01-09,74,0,1
2019-01-10,6,0,6
2019-01-11,7,0,0
2019-01-12,0,0,0
2019-01-13,0,0,0
2019-01-14,9,0,1
2019-01-15,9,1,6
2019-01-16,5,0,6
2019-01-17,5,0,0
2019-01-18,3,0,0
2019-01-19,1,0,0
2019-01-20,0,0,0
2019-01-21,10,0,0
2019-01-22,15,0,0
2019-01-23,10,0,0
2019-01-24,3,0,7
2019-01-25,12,0,3
2019-01-26,1,0,0
2019-01-27,1,0,0
2019-01-28,13,0,0
2019-01-29,4,0,3
2019-01-30,9,0,4
2019-01-31,5,0,0
2019-02-01,4,0,0
2019-02-02,0,0,0
2019-02-03,0,0,0
2019-02-04,6,0,8
2019-02-05,4,0,7
2019-02-06,3,0,4
2019-02-07,9,0,4
2019-02-08,4,0,12
2019-02-09,0,0,0
2019-02-10,0,0,0
2019-02-11,6,0,4
2019-02-12,10,0,6
2019-02-13,6,0,11
2019-02-14,2,0,5
2019-02-15,0,0,8
2019-02-16,0,0,0
2019-02-17,0,0,0
2019-02-18,5,0,5
2019-02-19,4,0,0
2019-02-20,1,0,0
2019-02-21,12,0,9
2019-02-22,7,0,12
2019-02-23,0,0,0
2019-02-24,1,0,1
2019-02-25,8,0,23
2019-02-26,2,0,4
2019-02-27,10,0,15
2019-02-28,8,0,8
