,huggingface/transformers,flairNLP/flair,allenai/allennlp
2019-02-22,1,15,0
2019-02-23,1,0,0
2019-02-24,1,1,0
2019-02-25,0,0,0
2019-02-26,2,0,2
2019-02-27,9,0,0
2019-02-28,1,0,2
2019-03-01,0,1,1
2019-03-02,0,0,4
2019-03-03,2,2,0
2019-03-04,1,4,1
2019-03-05,3,0,0
2019-03-06,11,10,0
2019-03-07,2,1,3
2019-03-08,2,0,3
2019-03-09,5,0,0
2019-03-10,0,0,0
2019-03-11,5,0,1
2019-03-12,4,0,1
2019-03-13,2,2,3
2019-03-14,9,0,5
2019-03-15,2,0,3
2019-03-16,2,0,0
2019-03-17,2,0,0
2019-03-18,7,0,9
2019-03-19,0,5,2
2019-03-20,9,0,1
2019-03-21,12,0,0
2019-03-22,0,2,2
2019-03-23,0,2,0
2019-03-24,6,3,0
2019-03-25,2,5,2
2019-03-26,1,0,4
2019-03-27,8,0,1
2019-03-28,2,2,5
2019-03-29,3,0,4
2019-03-30,2,0,1
2019-03-31,0,0,0
2019-04-01,1,0,0
2019-04-02,4,0,2
2019-04-03,16,1,0
2019-04-04,0,0,1
2019-04-05,0,0,0
2019-04-06,0,0,1
2019-04-07,4,0,0
2019-04-08,0,0,3
2019-04-09,2,8,0
2019-04-10,0,0,0
2019-04-11,11,0,1
2019-04-12,3,0,1
2019-04-13,0,1,0
2019-04-14,0,0,0
2019-04-15,24,1,1
2019-04-16,6,15,1
2019-04-17,16,3,0
2019-04-18,0,0,0
2019-04-19,0,0,0
2019-04-20,0,4,1
2019-04-21,4,0,0
2019-04-22,2,1,2
2019-04-23,4,2,7
2019-04-24,3,3,4
2019-04-25,7,1,5
2019-04-26,0,7,1
2019-04-27,1,0,3
2019-04-28,0,0,0
2019-04-29,1,1,2
2019-04-30,7,2,2
2019-05-01,4,0,0
2019-05-02,7,8,4
2019-05-03,0,0,1
2019-05-04,0,0,0
2019-05-05,1,0,0
2019-05-06,0,0,5
2019-05-07,3,1,1
2019-05-08,7,1,0
2019-05-09,3,1,2
2019-05-10,1,4,3
2019-05-11,2,0,0
2019-05-12,0,0,0
2019-05-13,1,2,3
2019-05-14,0,0,0
2019-05-15,0,9,0
2019-05-16,0,10,2
2019-05-17,0,6,1
