,libbitcoin/libbitcoin-system,bitcoin/bitcoin,bitcoinj/bitcoinj
2019-06-19,0.0,12,1
2019-06-20,0.0,13,1
2019-06-21,0.0,9,0
2019-06-22,0.0,1,0
2019-06-23,0.0,2,4
2019-06-24,0.0,4,0
2019-06-25,0.0,8,0
2019-06-26,0.0,10,0
2019-06-27,0.0,4,0
2019-06-28,0.0,3,0
2019-06-29,0.0,8,0
2019-06-30,0.0,3,0
2019-07-01,0.0,5,0
2019-07-02,0.0,15,0
2019-07-03,0.0,15,1
2019-07-04,0.0,4,0
2019-07-05,0.0,7,4
2019-07-06,0.0,2,0
2019-07-07,0.0,4,1
2019-07-08,0.0,28,0
2019-07-09,0.0,19,0
2019-07-10,0.0,10,1
2019-07-11,0.0,4,0
2019-07-12,0.0,9,0
2019-07-13,0.0,0,0
2019-07-14,0.0,0,0
2019-07-15,0.0,5,3
2019-07-16,0.0,8,0
2019-07-17,0.0,8,0
2019-07-18,0.0,12,0
2019-07-19,2.0,11,0
2019-07-20,-0.3999999999999999,0,3
2019-07-21,-0.16000000000000014,1,0
2019-07-22,-0.09600000000000007,7,0
2019-07-23,-0.06720000000000002,8,0
2019-07-24,-0.05107200000000003,25,0
2019-07-25,0.9591424,7,0
2019-07-26,0.76614656,6,4
2019-07-27,-0.3087754239999999,18,0
2019-07-28,-0.15293870080000005,4,0
2019-07-29,-0.08160000000000005,15,0
2019-07-30,6.940864,16,0
2019-07-31,-1.4459647999999996,15,0
2019-08-01,-0.5973555200000005,12,0
2019-08-02,-0.3673144320000002,11,0
2019-08-03,-0.2620570624,1,0
2019-08-04,-0.19122135040000007,1,0
2019-08-05,0.8569983999999999,6,0
2019-08-06,-0.31848704000000005,8,0
2019-08-07,-0.18071398399999966,3,0
2019-08-08,-0.1352854527999998,2,1
2019-08-09,1.9664,8,2
2019-08-10,-0.4255359999999999,1,0
2019-08-11,-0.18042880000000017,6,0
2019-08-12,-0.11292672000000008,5,0
2019-08-13,-0.08158771199999997,6,0
2019-08-14,-0.06354135039999999,31,0
2019-08-15,3.9591424,20,0
2019-08-16,4.1661465600000005,23,0
2019-08-17,-1.3487754239999998,1,0
2019-08-18,1.3830612991999995,4,0
2019-08-19,0.2255999999999998,20,0
2019-08-20,-0.6301440000000003,8,0
2019-08-21,-0.38539520000000027,6,0
2019-08-22,-0.2850508800000002,7,0
2019-08-23,-0.22685644799999985,12,0
2019-08-24,-0.18820956159999958,11,0
2019-08-25,-0.11662899199999986,5,0
2019-08-26,-0.04570214399999989,9,0
2019-08-27,-0.03932641279999987,9,1
2019-08-28,-0.012469350399999964,11,0
2019-08-29,0.0,21,0
2019-08-30,6.0,9,0
2019-08-31,-1.1999999999999997,5,3
2019-09-01,-0.4800000000000004,1,0
2019-09-02,10.712,4,0
2019-09-03,-0.4015999999999993,13,0
2019-09-04,0.5667839999999993,11,0
2019-09-05,9.789427199999999,14,0
2019-09-06,-2.9271603199999996,8,0
2019-09-07,-1.4104222720000008,5,0
2019-09-08,-0.9458049024000003,10,0
2019-09-09,-0.6477235200000002,9,0
2019-09-10,-0.5138718719999995,10,0
2019-09-11,-0.4245085183999996,5,3
2019-09-12,-0.2399080447999999,8,0
2019-09-13,-0.18320353279999926,7,0
2019-09-14,-0.13716285439999962,4,0
2019-09-15,0.0,4,0
2019-09-16,0.0,16,0
2019-09-17,0.0,13,0
2019-09-18,0.0,13,1
2019-09-19,0.0,16,0
2019-09-20,0.0,9,0
2019-09-21,1.0,4,0
2019-09-22,-0.19999999999999996,5,0
2019-09-23,0.9199999999999999,7,0
2019-09-24,-0.248,7,0
2019-09-25,0.8863999999999999,11,0
2019-09-26,-0.273536,12,0
2019-09-27,2.8659711999999997,4,0
2019-09-28,-0.69046272,2,0
2019-09-29,-0.3084165120000002,1,0
2019-09-30,0.8010679295999998,26,0
2019-10-01,-0.3356165119999999,23,3
2019-10-02,-0.18600407040000008,27,0
2019-10-03,-0.123674112,11,0
2019-10-04,-0.0968495104,7,0
2019-10-05,-0.06869913599999983,1,0
2019-10-06,-0.0578368511999999,3,0
2019-10-07,-0.01692672000000001,6,0
2019-10-08,-0.01438771199999994,19,1
2019-10-09,-0.012469350399999964,25,0
2019-10-10,0.0,20,0
2019-10-11,1.0,7,0
2019-10-12,-0.19999999999999996,4,0
2019-10-13,0.9199999999999999,6,1
2019-10-14,-0.248,16,0
2019-10-15,-0.11360000000000009,20,0
2019-10-16,0.926464,10,0
2019-10-17,-0.2540288,11,0
2019-10-18,-0.1224627200000001,17,0
2019-10-19,-0.08281651199999998,1,0
2019-10-20,0.9370039296,4,0
2019-10-21,1.760076288,18,3
2019-10-22,-0.5128981504,7,4
2019-10-23,-0.2249267200000002,15,0
2019-10-24,-0.14398771200000002,26,0
2019-10-25,-0.10520535040000001,17,0
2019-10-26,1.9284992,11,0
2019-10-27,-0.4577843199999999,1,0
2019-10-28,6.791758848,21,0
2019-10-29,5.4627552256000005,20,0
2019-10-30,1.9478612992,32,0
2019-10-31,-1.7470720000000006,10,0
2019-11-01,3.0679423999999993,19,0
2019-11-02,-1.4398054400000002,23,0
2019-11-03,-0.8049290240000004,6,0
2019-11-04,-0.5805713408000003,29,0
2019-11-05,-0.4353162239999997,41,0
2019-11-06,-0.3578503167999994,25,2
2019-11-07,4.773448499200001,17,0
2019-11-08,-1.1175842815999997,17,0
2019-11-09,-0.4575508480000001,3,0
2019-11-10,-0.28987740160000003,8,5
2019-11-11,-0.16800000000000007,11,0
2019-11-12,-0.12768000000000007,18,0
2019-11-13,-0.10214400000000005,16,0
2019-11-14,-0.08463360000000004,7,0
2019-11-15,0.9280614400000003,11,0
2019-11-16,-0.2623467519999998,3,0
2019-11-17,-0.08000000000000007,3,0
2019-11-18,-0.048000000000000036,26,0
2019-11-19,-0.03360000000000001,19,0
2019-11-20,-0.025536000000000014,16,4
2019-11-21,-0.02042880000000001,18,1
2019-11-22,-0.01692672000000001,18,0
2019-11-23,-0.01438771199999994,9,0
2019-11-24,-0.012469350399999964,14,0
2019-11-25,0.0,14,0
2019-11-26,0.0,13,5
2019-11-27,0.0,3,0
2019-11-28,10.0,3,0
2019-11-29,-1.9999999999999996,3,1
2019-11-30,-0.8000000000000007,2,0
2019-12-01,-0.48000000000000037,3,0
2019-12-02,-0.33600000000000013,6,0
2019-12-03,-0.25536000000000014,9,0
2019-12-04,-0.2042880000000001,10,0
2019-12-05,-0.1692672000000001,15,0
2019-12-06,-0.1438771199999994,27,0
2019-12-07,-0.12469350399999965,4,0
2019-12-08,0.0,4,3
2019-12-09,0.0,19,0
2019-12-10,0.0,18,0
2019-12-11,0.0,13,0
2019-12-12,0.0,15,0
2019-12-13,0.0,12,0
2019-12-14,0.0,1,1
2019-12-15,0.0,8,0
2019-12-16,0.0,19,0
2019-12-17,0.0,13,0
