,facebook/react-native,flutter/flutter,NativeScript/NativeScript
2019-02-28,21,10,3
2019-03-01,11,20,5
2019-03-02,9,3,0
2019-03-03,19,1,0
2019-03-04,20,8,2
2019-03-05,21,0,2
2019-03-06,7,16,0
2019-03-07,5,9,0
2019-03-08,6,14,1
2019-03-09,0,15,0
2019-03-10,0,6,0
2019-03-11,3,9,0
2019-03-12,9,14,3
2019-03-13,24,8,1
2019-03-14,10,10,5
2019-03-15,23,24,6
2019-03-16,5,6,0
2019-03-17,1,2,0
2019-03-18,19,11,2
2019-03-19,29,13,0
2019-03-20,15,15,6
2019-03-21,15,21,7
2019-03-22,12,7,6
2019-03-23,7,4,0
2019-03-24,3,2,0
2019-03-25,11,6,4
2019-03-26,15,12,3
2019-03-27,10,17,0
2019-03-28,5,11,4
2019-03-29,13,17,5
2019-03-30,3,8,0
2019-03-31,2,3,0
2019-04-01,18,6,0
2019-04-02,10,14,2
2019-04-03,18,11,6
2019-04-04,19,19,0
2019-04-05,6,17,1
2019-04-06,2,3,0
2019-04-07,3,2,0
2019-04-08,10,9,0
2019-04-09,7,13,0
2019-04-10,23,16,3
2019-04-11,9,17,0
2019-04-12,7,2,3
2019-04-13,0,2,0
2019-04-14,2,0,0
2019-04-15,18,12,3
2019-04-16,11,16,0
2019-04-17,12,13,1
2019-04-18,7,18,0
2019-04-19,2,13,0
2019-04-20,4,1,0
2019-04-21,1,0,0
2019-04-22,4,19,0
2019-04-23,18,15,1
2019-04-24,12,17,0
2019-04-25,16,29,0
2019-04-26,11,17,0
2019-04-27,3,6,0
2019-04-28,0,1,0
2019-04-29,16,21,0
2019-04-30,28,17,0
2019-05-01,11,23,2
2019-05-02,5,22,0
2019-05-03,23,17,6
2019-05-04,2,9,0
2019-05-05,0,0,0
2019-05-06,6,16,3
2019-05-07,23,8,11
2019-05-08,20,9,9
2019-05-09,25,13,10
2019-05-10,11,20,6
2019-05-11,1,2,1
2019-05-12,1,3,0
2019-05-13,15,13,2
2019-05-14,11,19,2
2019-05-15,15,14,4
2019-05-16,21,13,1
2019-05-17,5,10,2
2019-05-18,4,3,0
2019-05-19,0,2,0
2019-05-20,27,20,1
2019-05-21,13,22,6
2019-05-22,27,8,9
2019-05-23,11,8,1
2019-05-24,27,9,0
2019-05-25,2,3,0
2019-05-26,1,2,0
2019-05-27,1,2,0
2019-05-28,12,13,0
2019-05-29,8,15,0
2019-05-30,20,31,0
2019-05-31,29,14,3
2019-06-01,6,8,0
2019-06-02,3,1,0
2019-06-03,11,25,5
2019-06-04,15,23,2
2019-06-05,10,14,3
2019-06-06,18,23,4
2019-06-07,20,19,2
2019-06-08,1,13,0
2019-06-09,3,6,0
2019-06-10,15,19,1
2019-06-11,15,18,0
2019-06-12,14,15,1
2019-06-13,18,16,1
2019-06-14,8,16,0
2019-06-15,3,7,0
2019-06-16,0,4,0
2019-06-17,6,5,2
2019-06-18,12,16,2
2019-06-19,12,23,0
2019-06-20,12,19,1
2019-06-21,31,11,5
2019-06-22,2,7,0
2019-06-23,3,4,0
2019-06-24,24,9,3
2019-06-25,7,13,8
2019-06-26,24,14,8
2019-06-27,18,17,6
2019-06-28,13,26,9
2019-06-29,3,0,0
2019-06-30,0,0,0
2019-07-01,16,8,1
2019-07-02,17,5,0
2019-07-03,5,13,5
2019-07-04,17,2,2
2019-07-05,4,1,0
2019-07-06,1,0,0
2019-07-07,1,0,0
2019-07-08,16,17,2
2019-07-09,7,16,5
2019-07-10,14,13,11
2019-07-11,18,15,1
2019-07-12,9,16,0
2019-07-13,8,5,0
2019-07-14,0,0,0
2019-07-15,14,7,1
2019-07-16,6,13,13
2019-07-17,29,27,11
2019-07-18,23,14,4
2019-07-19,16,23,5
2019-07-20,4,3,1
2019-07-21,0,6,0
2019-07-22,8,19,4
2019-07-23,9,16,0
2019-07-24,25,17,1
2019-07-25,14,11,4
2019-07-26,9,15,4
2019-07-27,1,9,0
2019-07-28,0,2,2
2019-07-29,13,11,1
2019-07-30,6,16,2
2019-07-31,14,15,3
2019-08-01,10,19,4
2019-08-02,25,19,9
2019-08-03,1,5,0
2019-08-04,0,3,0
2019-08-05,9,8,2
2019-08-06,5,25,0
2019-08-07,7,19,6
2019-08-08,19,18,2
2019-08-09,8,22,0
2019-08-10,0,5,0
2019-08-11,1,0,0
2019-08-12,16,13,2
2019-08-13,9,6,2
2019-08-14,20,23,5
2019-08-15,18,30,5
2019-08-16,4,28,1
2019-08-17,0,5,0
2019-08-18,0,3,2
2019-08-19,16,14,5
2019-08-20,3,32,4
2019-08-21,10,20,2
2019-08-22,10,19,4
2019-08-23,10,16,3
2019-08-24,1,3,0
2019-08-25,0,2,0
2019-08-26,2,14,1
2019-08-27,6,17,0
2019-08-28,6,31,4
2019-08-29,7,15,3
2019-08-30,8,15,2
2019-08-31,19,10,0
2019-09-01,0,0,0
2019-09-02,5,13,0
