,golang/go,pote/gpm,masterminds/glide
2014-08-09,0,0,0
2014-08-10,0,0,0
2014-08-11,10,0,1
2014-08-12,37,0,0
2014-08-13,38,0,0
2014-08-14,18,0,0
2014-08-15,12,0,0
2014-08-16,4,0,0
2014-08-17,0,0,0
2014-08-18,9,0,0
2014-08-19,23,0,0
2014-08-20,5,0,1
2014-08-21,19,0,2
2014-08-22,10,0,0
2014-08-23,4,0,0
2014-08-24,12,0,0
2014-08-25,35,0,0
2014-08-26,11,0,1
2014-08-27,9,0,0
2014-08-28,33,0,0
2014-08-29,25,0,0
2014-08-30,16,0,0
2014-08-31,1,0,0
2014-09-01,15,0,0
2014-09-02,17,0,0
2014-09-03,14,0,0
2014-09-04,23,0,0
2014-09-05,18,0,0
2014-09-06,8,0,0
2014-09-07,10,0,0
2014-09-08,28,0,0
2014-09-09,17,0,0
2014-09-10,4,0,0
2014-09-11,11,0,0
2014-09-12,17,2,0
2014-09-13,0,0,0
2014-09-14,3,6,0
2014-09-15,12,0,0
2014-09-16,23,1,0
2014-09-17,13,0,0
2014-09-18,14,0,2
2014-09-19,22,0,3
2014-09-20,0,0,0
2014-09-21,1,0,0
2014-09-22,7,0,4
2014-09-23,5,0,0
2014-09-24,21,0,1
2014-09-25,16,0,15
2014-09-26,21,0,20
2014-09-27,1,0,0
2014-09-28,1,2,2
2014-09-29,14,0,4
2014-09-30,22,0,3
2014-10-01,12,0,3
2014-10-02,9,0,0
2014-10-03,9,0,6
2014-10-04,4,0,0
2014-10-05,1,0,0
2014-10-06,18,0,0
2014-10-07,13,0,2
2014-10-08,13,0,1
2014-10-09,11,0,0
2014-10-10,2,0,0
2014-10-11,3,0,0
2014-10-12,1,0,0
2014-10-13,5,0,0
2014-10-14,6,2,0
2014-10-15,19,0,4
2014-10-16,10,0,5
2014-10-17,9,0,4
2014-10-18,2,0,0
2014-10-19,5,0,0
2014-10-20,16,0,5
2014-10-21,7,0,6
2014-10-22,10,0,1
2014-10-23,3,0,0
2014-10-24,9,0,1
2014-10-25,1,0,3
2014-10-26,1,0,0
2014-10-27,17,0,1
2014-10-28,21,0,0
2014-10-29,22,0,0
2014-10-30,16,0,1
2014-10-31,9,0,0
2014-11-01,2,0,0
2014-11-02,1,0,0
2014-11-03,8,0,0
2014-11-04,4,0,0
2014-11-05,8,0,0
2014-11-06,14,0,0
2014-11-07,4,0,0
2014-11-08,1,0,0
2014-11-09,7,0,0
2014-11-10,13,0,0
2014-11-11,26,0,0
2014-11-12,16,0,0
2014-11-13,7,0,0
2014-11-14,21,0,0
2014-11-15,2,0,0
2014-11-16,4,0,0
2014-11-17,10,0,0
2014-11-18,11,0,0
2014-11-19,6,0,0
2014-11-20,9,0,0
2014-11-21,13,0,0
2014-11-22,4,0,0
2014-11-23,1,0,0
2014-11-24,4,0,0
2014-11-25,4,0,0
2014-11-26,0,0,0
2014-11-27,0,0,0
2014-11-28,0,0,0
2014-11-29,0,0,0
2014-11-30,0,0,0
2014-12-01,2,0,0
2014-12-02,2,0,1
2014-12-03,2,0,0
2014-12-04,2,0,0
2014-12-05,11,0,0
2014-12-06,4,1,0
2014-12-07,0,0,0
2014-12-08,13,0,0
2014-12-09,7,0,0
2014-12-10,7,0,0
2014-12-11,9,0,0
2014-12-12,12,1,0
2014-12-13,4,0,0
2014-12-14,3,0,0
2014-12-15,4,0,0
2014-12-16,9,0,0
2014-12-17,2,0,0
2014-12-18,21,0,0
2014-12-19,7,0,0
2014-12-20,8,0,0
2014-12-21,2,0,0
2014-12-22,27,1,1
2014-12-23,22,0,0
2014-12-24,5,1,0
2014-12-25,1,0,0
2014-12-26,5,0,1
2014-12-27,2,0,0
2014-12-28,7,0,0
2014-12-29,6,0,0
2014-12-30,7,2,0
2014-12-31,3,0,0
2015-01-01,6,0,0
2015-01-02,7,1,0
2015-01-03,2,0,0
2015-01-04,7,0,0
2015-01-05,11,0,0
2015-01-06,22,6,0
2015-01-07,25,0,2
2015-01-08,17,0,1
2015-01-09,8,0,2
2015-01-10,3,0,0
2015-01-11,2,1,0
2015-01-12,12,0,0
2015-01-13,8,0,0
2015-01-14,21,0,0
2015-01-15,14,0,0
2015-01-16,6,0,0
2015-01-17,2,0,0
2015-01-18,3,0,0
2015-01-19,15,0,0
2015-01-20,9,0,0
2015-01-21,30,0,0
2015-01-22,5,0,0
2015-01-23,10,0,0
2015-01-24,4,0,0
2015-01-25,1,0,0
2015-01-26,10,0,0
2015-01-27,10,1,0
2015-01-28,29,1,0
2015-01-29,16,0,0
2015-01-30,27,1,0
