,gfx-rs/wgpu,vulkano-rs/vulkano,gfx-rs/gfx
2018-09-25,1.0,0,0
2018-09-26,2.8,0,0
2018-09-27,2.3200000000000003,0,0
2018-09-28,10.112,0,2
2018-09-29,-1.6175999999999995,2,0
2018-09-30,-1.3503360000000009,2,3
2018-10-01,2.1941631999999993,0,2
2018-10-02,2.82757888,1,1
2018-10-03,3.5190497279999997,0,0
2018-10-04,-1.8206654464,0,0
2018-10-05,-0.9799939072000003,1,2
2018-10-06,-0.6636076031999996,1,1
2018-10-07,4.5170190336000005,2,0
2018-10-08,-1.2726447103999998,0,0
2018-10-09,-0.6130140160000003,0,0
2018-10-10,-0.41959249919999986,0,0
2018-10-11,-0.2898159615999996,1,0
2018-10-12,3.809973248,1,0
2018-10-13,-0.9021439999999998,0,0
2018-10-14,-0.4046336000000003,0,0
2018-10-15,-0.2639385599999998,1,0
2018-10-16,-0.19674675199999986,1,1
2018-10-17,-0.10214400000000005,1,2
2018-10-18,0.9182847999999999,0,2
2018-10-19,3.73229312,1,1
2018-10-20,-0.9375508479999997,0,0
2018-10-21,-0.4178774016000002,0,0
2018-10-22,0.7743999999999999,0,0
2018-10-23,-0.35993600000000003,0,0
2018-10-24,-0.20257280000000014,0,1
2018-10-25,0.8533580799999999,0,0
2018-10-26,3.684305408,4,0
2018-10-27,0.02444380160000037,3,0
2018-10-28,-0.6383062016000002,3,0
2018-10-29,-0.32252672000000027,0,0
2018-10-30,1.7776762879999999,0,0
2018-10-31,2.4313578496,0,0
2018-11-01,-0.8841779200000001,1,0
2018-11-02,1.5614766079999998,0,0
2018-11-03,1.3018530816000002,1,0
2018-11-04,-0.7761371135999999,0,0
2018-11-05,-0.38593495040000025,0,0
2018-11-06,0.7416601599999999,0,0
2018-11-07,-0.3978275839999999,0,0
2018-11-08,0.7599685632000002,3,1
2018-11-09,-0.36011909119999996,0,0
2018-11-10,-0.17622886399999999,0,2
2018-11-11,3.8727498752000002,1,0
2018-11-12,1.1210324992000003,0,0
2018-11-13,-0.7624627200000003,0,0
2018-11-14,-0.3868165120000002,1,1
2018-11-15,-0.2597960704000001,1,0
2018-11-16,-0.18373171200000002,1,0
2018-11-17,-0.14525655040000005,0,0
2018-11-18,-0.10856448000000006,0,0
2018-11-19,-0.09140428799999978,0,0
2018-11-20,-0.07865282559999974,0,3
2018-11-21,-0.02493870079999993,0,3
2018-11-22,0.0,0,0
2018-11-23,0.0,0,0
2018-11-24,0.0,0,0
2018-11-25,0.0,1,0
2018-11-26,0.0,0,0
2018-11-27,1.0,0,0
2018-11-28,-0.19999999999999996,1,1
2018-11-29,-0.08000000000000007,0,0
2018-11-30,-0.048000000000000036,2,1
2018-12-01,-0.03360000000000001,0,0
2018-12-02,0.974464,0,1
2018-12-03,-0.22042879999999998,0,1
2018-12-04,0.9030732799999999,1,2
2018-12-05,-0.26238771199999994,0,1
2018-12-06,-0.12606935040000006,0,0
2018-12-07,-0.07353600000000005,2,0
2018-12-08,-0.05402880000000002,0,0
2018-12-09,-0.04246272000000002,0,1
