,elastic/elasticsearch,meilisearch/meilisearch,typesense/typesense
2022-08-04,25,2.0,4
2022-08-05,3,0.0,3
2022-08-06,0,0.0,0
2022-08-07,1,0.0,2
2022-08-08,20,1.0,2
2022-08-09,17,0.0,1
2022-08-10,10,18.0,2
2022-08-11,16,3.0,0
2022-08-12,13,3.0,0
2022-08-13,2,0.0,1
2022-08-14,0,0.0,0
2022-08-15,15,0.0,0
2022-08-16,16,3.0,3
2022-08-17,32,52.0,2
2022-08-18,15,16.0,2
2022-08-19,0,1.0,1
2022-08-20,0,0.0,0
2022-08-21,0,0.0,0
2022-08-22,20,20.0,0
2022-08-23,16,13.0,0
2022-08-24,14,8.0,1
2022-08-25,11,0.0,2
2022-08-26,21,0.0,0
2022-08-27,1,1.0,2
2022-08-28,0,0.0,0
2022-08-29,15,3.0,2
2022-08-30,19,1.0,2
2022-08-31,12,5.0,2
2022-09-01,22,8.0,2
2022-09-02,3,3.0,2
2022-09-03,0,2.0,2
2022-09-04,0,3.0,0
2022-09-05,7,2.0,1
2022-09-06,17,2.0,2
2022-09-07,37,15.0,1
2022-09-08,34,3.0,2
2022-09-09,23,1.0,2
2022-09-10,1,0.0,1
2022-09-11,0,0.0,3
2022-09-12,25,1.0,1
2022-09-13,22,4.0,1
2022-09-14,16,4.0,1
2022-09-15,22,0.0,3
2022-09-16,1,0.0,1
2022-09-17,0,0.0,2
2022-09-18,0,0.0,0
2022-09-19,18,1.0,0
2022-09-20,28,0.0,2
2022-09-21,18,6.0,3
2022-09-22,15,4.0,2
2022-09-23,13,0.0,0
2022-09-24,1,0.0,0
2022-09-25,1,0.0,1
2022-09-26,33,0.0,0
2022-09-27,28,0.0,0
2022-09-28,18,1.0,0
2022-09-29,23,3.0,2
2022-09-30,17,1.0,0
2022-10-01,1,1.0,0
2022-10-02,0,2.0,0
2022-10-03,15,7.0,0
2022-10-04,21,8.0,0
2022-10-05,23,6.0,1
2022-10-06,15,12.0,1
2022-10-07,3,2.0,3
2022-10-08,0,0.0,0
2022-10-09,1,3.0,0
2022-10-10,25,5.0,0
2022-10-11,28,2.0,2
2022-10-12,31,11.0,0
2022-10-13,19,8.0,0
2022-10-14,38,4.0,0
2022-10-15,1,0.0,2
2022-10-16,0,0.0,0
2022-10-17,15,11.0,1
2022-10-18,21,15.0,3
2022-10-19,13,12.0,1
2022-10-20,19,3.0,1
2022-10-21,4,0.0,1
2022-10-22,0,0.0,0
2022-10-23,0,0.0,0
2022-10-24,15,7.0,1
2022-10-25,15,9.0,1
2022-10-26,13,80.0,0
2022-10-27,6,376.0,0
2022-10-28,7,6.0,0
2022-10-29,0,1.0,0
2022-10-30,0,4.0,1
2022-10-31,18,7.0,3
2022-11-01,25,0.0,1
2022-11-02,20,1.0,1
2022-11-03,25,5.0,1
2022-11-04,23,2.0,0
2022-11-05,3,0.0,0
2022-11-06,0,0.0,1
2022-11-07,19,0.0,0
2022-11-08,31,10.0,1
2022-11-09,28,1.0,2
2022-11-10,35,4.0,0
2022-11-11,9,0.0,1
2022-11-12,0,2.0,0
2022-11-13,0,2.0,0
2022-11-14,24,3.0,1
2022-11-15,29,4.0,2
2022-11-16,26,1.0,1
2022-11-17,22,8.0,2
2022-11-18,27,0.0,1
2022-11-19,3,0.0,1
2022-11-20,1,0.0,0
2022-11-21,21,1.0,0
2022-11-22,28,0.0,0
2022-11-23,24,3.0,1
2022-11-24,30,6.0,2
2022-11-25,1,0.0,1
2022-11-26,0,3.0,0
2022-11-27,1,0.0,0
2022-11-28,17,11.0,0
2022-11-29,14,2.0,0
2022-11-30,13,7.0,2
2022-12-01,9,14.0,1
2022-12-02,11,0.0,0
2022-12-03,0,8.0,2
2022-12-04,0,3.0,0
2022-12-05,20,11.0,0
2022-12-06,24,11.0,1
2022-12-07,28,18.0,2
2022-12-08,19,13.0,2
2022-12-09,3,2.0,1
2022-12-10,0,1.0,1
2022-12-11,3,4.0,0
2022-12-12,31,7.0,0
2022-12-13,18,13.0,2
2022-12-14,25,8.0,2
2022-12-15,15,3.0,5
2022-12-16,15,3.0,0
2022-12-17,2,0.0,0
2022-12-18,1,0.0,1
2022-12-19,12,14.0,2
2022-12-20,18,7.0,4
2022-12-21,27,13.0,3
2022-12-22,28,17.0,1
2022-12-23,12,0.0,2
2022-12-24,1,0.0,0
2022-12-25,0,1.0,1
2022-12-26,6,3.0,0
2022-12-27,9,0.0,0
2022-12-28,7,0.0,1
2022-12-29,3,0.0,1
2022-12-30,7,0.0,0
2022-12-31,1,0.0,0
2023-01-01,0,0.0,1
2023-01-02,0,5.0,2
2023-01-03,18,3.0,7
2023-01-04,24,9.0,1
2023-01-05,17,14.0,4
2023-01-06,3,1.0,3
2023-01-07,0,0.0,1
2023-01-08,0,0.0,0
2023-01-09,29,8.0,8
2023-01-10,24,6.0,4
2023-01-11,30,13.0,4
2023-01-12,23,9.0,0
2023-01-13,34,1.0,1
2023-01-14,3,0.0,0
2023-01-15,0,0.0,1
2023-01-16,24,10.0,2
2023-01-17,30,16.0,5
2023-01-18,24,16.0,3
2023-01-19,32,18.0,5
2023-01-20,4,0.0,1
2023-01-21,3,0.0,4
2023-01-22,1,0.0,1
2023-01-23,39,12.0,0
2023-01-24,43,8.0,1
2023-01-25,31,18.0,3
2023-01-26,30,4.0,4
2023-01-27,35,0.0,4
2023-01-28,1,0.0,1
2023-01-29,0,0.0,0
2023-01-30,33,5.0,5
2023-01-31,26,26.0,2
2023-02-01,30,9.0,0
2023-02-02,40,15.0,3
2023-02-03,3,0.0,3
2023-02-04,3,0.0,5
2023-02-05,0,0.0,3
2023-02-06,37,9.0,3
2023-02-07,47,0.0,2
2023-02-08,25,9.0,0
2023-02-09,27,5.0,5
2023-02-10,26,2.0,3
2023-02-11,5,0.0,0
2023-02-12,1,0.0,2
2023-02-13,25,13.0,1
2023-02-14,28,14.0,2
2023-02-15,13,2.0,2
2023-02-16,19,13.0,33
2023-02-17,6,1.0,3
2023-02-18,1,0.0,2
2023-02-19,0,0.0,0
2023-02-20,21,19.0,4
2023-02-21,26,8.0,4
2023-02-22,25,16.0,3
2023-02-23,27,21.0,0
2023-02-24,14,0.0,1
2023-02-25,1,0.0,0
2023-02-26,0,0.0,3
2023-02-27,18,2.0,4
2023-02-28,24,1.0,1
2023-03-01,27,1.0,2
2023-03-02,26,0.0,3
2023-03-03,3,3.0,9
2023-03-04,2,0.0,0
2023-03-05,0,0.0,3
2023-03-06,26,9.0,3
2023-03-07,23,4.0,2
2023-03-08,35,10.0,0
2023-03-09,17,15.0,0
2023-03-10,32,0.0,54
2023-03-11,3,0.0,2
2023-03-12,0,0.0,0
2023-03-13,3,3.0,2
2023-03-14,7,2.0,3
2023-03-15,5,6.0,2
2023-03-16,6,1.0,8
2023-03-17,1,0.0,0
2023-03-18,3,0.0,4
2023-03-19,0,0.0,4
2023-03-20,22,75.0,2
2023-03-21,32,3.0,0
2023-03-22,28,2.0,3
2023-03-23,20,8.0,3
2023-03-24,22,0.0,0
2023-03-25,1,0.0,1
2023-03-26,2,1.0,0
2023-03-27,41,8.0,0
2023-03-28,36,6.0,1
2023-03-29,29,11.0,1
2023-03-30,34,25.0,0
2023-03-31,34,1.0,2
2023-04-01,0,0.0,1
2023-04-02,0,0.0,4
2023-04-03,12,16.0,2
2023-04-04,23,12.0,0
2023-04-05,34,12.0,6
2023-04-06,20,25.0,1
2023-04-07,6,6.0,2
2023-04-08,0,0.0,0
2023-04-09,2,0.0,0
2023-04-10,16,0.0,4
2023-04-11,39,1.0,3
2023-04-12,25,16.0,1
2023-04-13,24,16.0,2
2023-04-14,5,0.0,0
2023-04-15,1,0.0,0
2023-04-16,0,0.0,0
2023-04-17,48,0.0,2
2023-04-18,40,4.0,3
2023-04-19,22,0.0,2
2023-04-20,43,0.0,1
2023-04-21,35,0.0,1
2023-04-22,4,0.0,1
2023-04-23,0,0.0,0
2023-04-24,33,8.0,1
2023-04-25,24,7.0,1
2023-04-26,22,9.0,0
2023-04-27,29,3.0,0
2023-04-28,20,1.0,1
2023-04-29,3,4.0,1
2023-04-30,1,0.0,0
2023-05-01,13,0.0,6
2023-05-02,28,18.0,2
2023-05-03,39,33.0,3
2023-05-04,33,14.0,8
2023-05-05,21,0.0,0
2023-05-06,1,1.0,4
2023-05-07,2,0.0,2
2023-05-08,18,3.0,4
2023-05-09,32,0.0,4
2023-05-10,25,6.0,4
2023-05-11,25,1.0,2
2023-05-12,17,0.0,59
2023-05-13,1,0.0,3
2023-05-14,0,0.0,3
2023-05-15,22,7.0,3
2023-05-16,31,10.0,57
2023-05-17,28,2.0,19
2023-05-18,10,0.0,4
2023-05-19,1,0.0,5
2023-05-20,0,0.0,2
2023-05-21,0,0.0,0
2023-05-22,29,2.0,5
2023-05-23,24,4.0,8
2023-05-24,29,4.0,7
2023-05-25,29,11.0,8
2023-05-26,22,0.0,5
2023-05-27,2,0.0,2
2023-05-28,2,0.0,0
2023-05-29,8,11.0,2
2023-05-30,24,2.0,8
2023-05-31,16,0.0,80
2023-06-01,32,0.0,6
2023-06-02,20,0.0,2
2023-06-03,3,0.0,2
2023-06-04,0,0.0,1
2023-06-05,24,1.0,7
2023-06-06,32,3.0,2
2023-06-07,33,1.0,4
2023-06-08,29,3.0,3
2023-06-09,20,0.0,0
2023-06-10,2,0.0,0
2023-06-11,0,0.0,0
2023-06-12,27,1.0,1
2023-06-13,25,0.0,3
2023-06-14,39,3.0,7
2023-06-15,22,0.0,5
2023-06-16,6,0.0,15
2023-06-17,1,0.0,5
2023-06-18,3,0.0,4
2023-06-19,17,1.0,7
2023-06-20,36,7.0,4
2023-06-21,16,1.0,3
2023-06-22,36,14.0,5
2023-06-23,16,3.0,6
2023-06-24,7,0.0,2
2023-06-25,1,0.0,0
2023-06-26,29,23.0,84
2023-06-27,27,43.0,42
2023-06-28,28,39.0,4
2023-06-29,34,28.0,2
2023-06-30,21,2.0,6
2023-07-01,2,1.0,5
2023-07-02,3,0.0,5
2023-07-03,19,9.0,10
2023-07-04,20,2.0,14
2023-07-05,20,2.0,0
2023-07-06,20,10.0,10
2023-07-07,33,0.0,10
2023-07-08,2,0.0,5
2023-07-09,2,0.0,2
2023-07-10,36,6.0,4
2023-07-11,34,0.0,6
2023-07-12,29,6.0,4
2023-07-13,22,4.0,4
2023-07-14,20,11.0,2
2023-07-15,3,0.0,0
2023-07-16,0,0.0,0
2023-07-17,19,2.0,0
2023-07-18,29,6.0,6
2023-07-19,22,1.0,3
2023-07-20,27,3.0,5
2023-07-21,4,0.0,5
2023-07-22,0,0.0,0
2023-07-23,0,0.0,1
2023-07-24,20,5.0,12
2023-07-25,28,6.0,5
2023-07-26,27,3.0,14
2023-07-27,27,3.0,8
2023-07-28,18,0.0,5
2023-07-29,4,1.0,1
2023-07-30,1,0.0,2
2023-07-31,20,1.0,5
2023-08-01,31,2.0,4
2023-08-02,25,0.0,13
2023-08-03,26,0.0,10
2023-08-04,29,0.0,5
2023-08-05,1,1.0,8
2023-08-06,2,0.0,1
2023-08-07,15,0.0,4
2023-08-08,25,11.0,6
2023-08-09,28,1.0,2
2023-08-10,24,13.0,13
2023-08-11,25,0.0,3
2023-08-12,4,0.0,0
2023-08-13,4,0.0,0
2023-08-14,25,1.0,1
2023-08-15,36,0.0,10
2023-08-16,36,1.0,2
2023-08-17,38,0.0,6
2023-08-18,6,0.0,2
2023-08-19,1,0.0,6
2023-08-20,2,0.0,3
2023-08-21,26,0.0,6
2023-08-22,53,1.0,3
2023-08-23,36,3.0,6
2023-08-24,21,1.0,1
2023-08-25,24,0.0,2
2023-08-26,5,0.0,8
2023-08-27,4,0.0,0
2023-08-28,20,2.0,5
2023-08-29,35,0.0,5
2023-08-30,24,0.0,0
2023-08-31,30,0.0,3
2023-09-01,14,0.0,6
2023-09-02,2,0.0,4
2023-09-03,1,0.0,2
2023-09-04,18,2.0,6
2023-09-05,16,1.0,3
2023-09-06,41,6.0,2
2023-09-07,33,2.0,4
2023-09-08,47,3.0,1
2023-09-09,1,0.0,1
2023-09-10,1,0.0,0
2023-09-11,36,11.0,2
2023-09-12,24,8.0,1
2023-09-13,30,0.0,1
2023-09-14,19,0.0,7
2023-09-15,5,0.0,6
2023-09-16,1,0.0,4
2023-09-17,1,0.0,3
2023-09-18,24,2.0,3
2023-09-19,29,0.0,4
2023-09-20,26,0.0,3
2023-09-21,24,2.0,2
2023-09-22,25,0.0,4
2023-09-23,3,0.0,0
2023-09-24,1,0.0,6
2023-09-25,21,0.0,8
2023-09-26,22,2.0,4
2023-09-27,27,0.0,5
2023-09-28,35,0.0,8
2023-09-29,39,0.0,5
2023-09-30,3,0.0,0
2023-10-01,5,0.0,1
2023-10-02,38,0.0,3
2023-10-03,45,1.0,3
2023-10-04,37,0.0,5
2023-10-05,28,2.0,8
2023-10-06,37,0.0,5
2023-10-07,6,0.0,1
2023-10-08,3,0.0,3
2023-10-09,43,5.0,14
2023-10-10,46,3.0,5
2023-10-11,46,9.0,4
2023-10-12,28,7.0,0
2023-10-13,36,14.0,12
2023-10-14,3,0.0,1
2023-10-15,4,0.0,3
2023-10-16,33,3.0,3
2023-10-17,33,1.0,6
2023-10-18,40,4.0,1
2023-10-19,40,1.0,0
2023-10-20,5,0.0,2
2023-10-21,1,0.0,1
2023-10-22,1,0.0,0
2023-10-23,20,6.0,7
2023-10-24,20,1.0,4
2023-10-25,31,0.0,12
2023-10-26,34,1.0,4
2023-10-27,35,0.0,8
2023-10-28,6,0.0,0
2023-10-29,3,0.0,0
2023-10-30,33,82.0,7
2023-10-31,35,12.0,7
2023-11-01,23,4.0,3
2023-11-02,39,13.0,5
2023-11-03,32,0.0,2
2023-11-04,3,0.0,2
2023-11-05,1,0.0,1
2023-11-06,23,6.0,2
2023-11-07,30,0.0,4
2023-11-08,22,5.0,2
2023-11-09,32,9.0,2
2023-11-10,30,1.0,2
2023-11-11,2,0.0,1
2023-11-12,5,1.0,2
2023-11-13,38,5.0,7
2023-11-14,42,2.0,13
2023-11-15,48,1.0,7
2023-11-16,46,0.0,5
2023-11-17,5,0.0,9
2023-11-18,3,0.0,0
2023-11-19,4,0.0,1
2023-11-20,31,5.0,3
2023-11-21,31,1.0,4
2023-11-22,35,1.0,6
2023-11-23,43,4.0,6
2023-11-24,42,0.0,2
2023-11-25,2,1.0,2
2023-11-26,1,0.0,3
2023-11-27,50,3.0,7
2023-11-28,35,11.0,11
2023-11-29,25,0.0,4
2023-11-30,39,0.0,6
2023-12-01,45,0.0,10
2023-12-02,2,0.0,1
2023-12-03,4,0.0,1
2023-12-04,33,0.0,3
2023-12-05,48,0.0,5
2023-12-06,30,7.0,5
2023-12-07,36,0.0,3
2023-12-08,21,0.0,2
2023-12-09,4,0.0,0
2023-12-10,3,0.0,2
2023-12-11,42,2.0,7
2023-12-12,45,2.0,10
2023-12-13,17,2.0,8
2023-12-14,38,31.0,2
2023-12-15,6,0.0,0
2023-12-16,3,0.0,0
2023-12-17,1,0.0,1
2023-12-18,20,7.0,13
2023-12-19,25,12.0,13
2023-12-20,23,9.0,6
2023-12-21,21,2.0,6
2023-12-22,19,0.0,1
2023-12-23,2,0.0,1
2023-12-24,2,0.0,0
2023-12-25,2,0.0,4
2023-12-26,4,0.0,9
2023-12-27,18,0.0,11
2023-12-28,8,0.0,3
2023-12-29,8,0.0,4
2023-12-30,6,0.0,0
2023-12-31,2,0.0,0
2024-01-01,1,0.0,0
2024-01-02,40,3.0,9
2024-01-03,34,3.0,4
2024-01-04,38,0.0,4
2024-01-05,30,0.0,6
2024-01-06,4,0.0,1
2024-01-07,3,0.0,0
2024-01-08,46,2.0,3
2024-01-09,50,1.0,6
2024-01-10,41,1.0,11
2024-01-11,33,9.0,1
2024-01-12,35,1.0,3
2024-01-13,6,0.0,0
2024-01-14,2,0.0,0
2024-01-15,17,1.0,2
2024-01-16,26,15.0,1
2024-01-17,38,2.0,2
2024-01-18,46,2.0,2
2024-01-19,4,0.0,4
2024-01-20,3,0.0,3
2024-01-21,4,0.0,1
2024-01-22,25,7.0,2
2024-01-23,11,0.0,2
2024-01-24,31,1.0,1
2024-01-25,23,1.0,2
2024-01-26,24,0.0,5
2024-01-27,3,0.0,1
2024-01-28,2,0.0,1
2024-01-29,42,0.0,0
2024-01-30,42,0.0,1
2024-01-31,26,0.0,0
2024-02-01,26,9.0,1
2024-02-02,28,0.0,4
2024-02-03,1,0.0,0
2024-02-04,4,0.0,0
2024-02-05,30,0.0,2
2024-02-06,53,3.0,5
2024-02-07,31,9.0,4
2024-02-08,35,64.0,1
2024-02-09,38,0.0,0
2024-02-10,2,0.0,0
2024-02-11,2,0.0,0
2024-02-12,40,5.0,5
2024-02-13,24,5.0,5
2024-02-14,30,5.0,2
2024-02-15,38,5.0,2
2024-02-16,5,0.0,1
2024-02-17,1,0.0,0
2024-02-18,5,0.0,1
2024-02-19,18,1.0,4
2024-02-20,18,2.0,3
2024-02-21,31,4.0,1
2024-02-22,33,3.0,5
2024-02-23,26,0.0,0
2024-02-24,5,0.0,1
2024-02-25,2,0.0,0
2024-02-26,6,13.0,2
2024-02-27,5,0.0,1
2024-02-28,6,1.0,3
2024-02-29,4,1.0,3
2024-03-01,6,0.0,2
2024-03-02,2,0.0,2
2024-03-03,4,0.0,2
2024-03-04,29,2.0,3
2024-03-05,25,16.0,4
2024-03-06,29,1.0,2
2024-03-07,22,0.0,3
2024-03-08,33,0.0,4
2024-03-09,5,0.0,0
2024-03-10,1,0.0,0
2024-03-11,26,1.0,1
2024-03-12,42,7.0,2
2024-03-13,42,9.0,1
2024-03-14,27,1.0,2
2024-03-15,2,0.0,2
2024-03-16,1,0.0,2
2024-03-17,3,0.0,0
2024-03-18,25,4.0,2
2024-03-19,41,20.0,2
2024-03-20,32,5.0,2
2024-03-21,42,3.0,1
2024-03-22,34,1.0,2
2024-03-23,2,0.0,1
2024-03-24,2,0.0,0
2024-03-25,20,15.0,2
2024-03-26,29,15.0,1
2024-03-27,34,14.0,1
2024-03-28,27,3.0,1
2024-03-29,17,0.0,1
2024-03-30,7,0.0,3
2024-03-31,5,0.0,0
2024-04-01,21,0.0,2
2024-04-02,28,2.0,1
2024-04-03,34,2.0,1
2024-04-04,29,16.0,3
2024-04-05,23,1.0,1
2024-04-06,1,0.0,1
2024-04-07,0,0.0,3
2024-04-08,27,0.0,1
2024-04-09,27,1.0,2
2024-04-10,39,0.0,1
2024-04-11,30,2.0,3
2024-04-12,27,0.0,0
2024-04-13,3,0.0,0
2024-04-14,2,1.0,0
2024-04-15,33,0.0,0
2024-04-16,37,18.0,0
2024-04-17,24,6.0,1
2024-04-18,29,2.0,1
2024-04-19,3,0.0,1
2024-04-20,4,0.0,0
2024-04-21,2,0.0,0
2024-04-22,38,4.0,1
2024-04-23,30,1.0,3
2024-04-24,37,4.0,2
2024-04-25,30,2.0,1
2024-04-26,24,0.0,1
2024-04-27,2,0.0,0
2024-04-28,3,0.0,0
2024-04-29,38,0.0,3
2024-04-30,33,2.0,1
2024-05-01,31,0.0,1
2024-05-02,35,2.0,0
2024-05-03,25,1.0,1
2024-05-04,5,0.0,1
2024-05-05,2,0.0,1
2024-05-06,24,1.0,2
2024-05-07,33,5.0,0
2024-05-08,30,0.0,1
2024-05-09,28,0.0,0
2024-05-10,29,0.0,1
2024-05-11,4,0.0,0
2024-05-12,2,0.0,1
2024-05-13,42,0.0,0
2024-05-14,35,8.0,3
2024-05-15,31,5.0,3
2024-05-16,27,5.0,4
2024-05-17,42,0.0,0
2024-05-18,3,0.0,0
2024-05-19,6,0.0,0
2024-05-20,18,15.0,3
2024-05-21,26,7.0,3
2024-05-22,37,5.0,2
2024-05-23,35,3.0,0
2024-05-24,28,0.0,2
2024-05-25,2,0.0,0
2024-05-26,1,0.0,0
2024-05-27,30,4.0,0
2024-05-28,32,11.0,3
2024-05-29,35,8.0,4
2024-05-30,24,18.0,0
2024-05-31,24,0.0,1
2024-06-01,1,0.0,0
2024-06-02,4,0.0,0
2024-06-03,29,1.0,3
2024-06-04,34,3.0,3
2024-06-05,35,19.0,4
2024-06-06,22,38.0,4
2024-06-07,22,0.0,5
2024-06-08,1,1.0,0
2024-06-09,0,0.0,0
2024-06-10,30,6.0,1
2024-06-11,33,6.0,4
2024-06-12,37,13.0,2
2024-06-13,31,5.0,1
2024-06-14,2,0.0,1
2024-06-15,2,0.0,0
2024-06-16,3,0.0,1
2024-06-17,30,4.0,2
2024-06-18,33,1.0,1
2024-06-19,30,1.0,1
2024-06-20,26,8.0,0
2024-06-21,44,0.0,1
2024-06-22,2,0.0,1
2024-06-23,0,0.0,0
2024-06-24,19,6.0,1
2024-06-25,28,10.0,1
2024-06-26,32,7.0,0
2024-06-27,29,4.0,2
2024-06-28,34,0.0,0
2024-06-29,1,0.0,0
2024-06-30,2,0.0,0
2024-07-01,31,1.0,1
2024-07-02,39,8.0,4
2024-07-03,40,0.0,2
2024-07-04,16,2.0,3
2024-07-05,24,0.0,2
2024-07-06,0,0.0,0
2024-07-07,1,2.0,0
2024-07-08,35,8.0,0
2024-07-09,26,6.0,0
2024-07-10,28,47.0,3
2024-07-11,31,12.0,1
2024-07-12,21,0.0,1
2024-07-13,1,0.0,0
2024-07-14,0,0.0,2
2024-07-15,28,7.0,0
2024-07-16,316,8.0,2
2024-07-17,31,5.0,0
2024-07-18,40,1.0,2
2024-07-19,31,0.0,0
2024-07-20,10,0.0,0
2024-07-21,2,0.0,0
2024-07-22,24,1.0,4
2024-07-23,18,1.0,0
2024-07-24,20,9.0,1
2024-07-25,37,19.0,0
2024-07-26,37,0.0,1
2024-07-27,7,0.0,0
2024-07-28,0,0.0,0
2024-07-29,30,4.0,2
2024-07-30,31,17.0,3
2024-07-31,16,15.0,3
2024-08-01,20,1.0,4
2024-08-02,15,0.0,1
2024-08-03,0,0.0,0
2024-08-04,1,0.0,0
2024-08-05,23,0.0,0
2024-08-06,26,1.0,1
2024-08-07,22,2.0,2
2024-08-08,23,2.0,2
2024-08-09,18,0.0,0
2024-08-10,0,0.0,0
2024-08-11,0,0.0,0
2024-08-12,28,0.0,1
2024-08-13,17,0.0,1
2024-08-14,20,2.0,1
2024-08-15,24,0.0,3
2024-08-16,2,0.0,3
2024-08-17,1,0.0,2
2024-08-18,0,0.0,0
2024-08-19,21,0.0,1
2024-08-20,29,0.0,0
2024-08-21,25,2.0,0
2024-08-22,27,0.0,3
2024-08-23,25,0.0,3
2024-08-24,5,0.0,0
2024-08-25,3,0.0,0
2024-08-26,23,0.0,2
2024-08-27,29,0.0,1
2024-08-28,32,0.0,1
2024-08-29,42,0.0,2
2024-08-30,26,13.0,3
2024-08-31,3,0.0,0
2024-09-01,2,1.0,0
2024-09-02,11,25.0,0
2024-09-03,24,13.0,1
2024-09-04,40,13.0,1
2024-09-05,23,12.0,3
2024-09-06,32,1.0,7
2024-09-07,4,0.0,1
2024-09-08,3,0.0,2
2024-09-09,36,2.0,0
2024-09-10,27,5.0,1
2024-09-11,35,8.0,0
2024-09-12,30,9.0,1
2024-09-13,16,4.0,2
2024-09-14,4,2.0,0
2024-09-15,1,1.0,1
2024-09-16,25,8.0,1
2024-09-17,43,37.0,1
2024-09-18,62,6.0,1
2024-09-19,40,25.0,0
2024-09-20,44,0.0,3
2024-09-21,12,0.0,0
2024-09-22,2,0.0,1
2024-09-23,42,10.0,0
2024-09-24,37,17.0,3
2024-09-25,37,12.0,2
2024-09-26,56,1.0,0
2024-09-27,36,2.0,1
2024-09-28,3,1.0,1
2024-09-29,3,1.0,0
2024-09-30,36,8.0,4
2024-10-01,43,18.0,1
2024-10-02,36,4.0,0
2024-10-03,40,12.0,3
2024-10-04,48,2.0,0
2024-10-05,2,0.0,0
2024-10-06,5,0.0,0
2024-10-07,38,6.0,0
2024-10-08,47,5.0,4
2024-10-09,37,2.0,0
2024-10-10,47,3.0,2
2024-10-11,46,0.0,2
2024-10-12,2,0.0,0
2024-10-13,1,0.0,2
2024-10-14,57,22.0,3
2024-10-15,52,3.0,3
2024-10-16,44,13.0,0
2024-10-17,33,14.0,3
2024-10-18,32,0.0,0
2024-10-19,3,1.0,0
2024-10-20,1,5.0,0
2024-10-21,41,11.0,1
2024-10-22,46,0.0,0
2024-10-23,46,1.0,1
2024-10-24,59,0.0,3
2024-10-25,47,0.0,1
2024-10-26,3,0.0,1
2024-10-27,1,0.0,1
2024-10-28,37,14.0,1
2024-10-29,29,3.0,3
2024-10-30,34,5.0,0
2024-10-31,32,1.0,3
2024-11-01,44,0.0,1
2024-11-02,8,1.0,0
2024-11-03,3,0.0,0
2024-11-04,31,13.0,1
2024-11-05,38,13.0,1
2024-11-06,45,7.0,0
2024-11-07,44,17.0,2
2024-11-08,42,1.0,2
2024-11-09,1,0.0,2
2024-11-10,1,0.0,2
2024-11-11,38,0.0,0
2024-11-12,35,11.0,0
2024-11-13,35,8.0,1
2024-11-14,38,6.0,3
2024-11-15,13,0.0,1
2024-11-16,1,0.0,1
2024-11-17,1,0.0,0
2024-11-18,36,22.0,0
2024-11-19,47,2.0,0
2024-11-20,51,76.0,0
2024-11-21,48,16.0,3
2024-11-22,50,0.0,0
2024-11-23,6,0.0,2
2024-11-24,4,0.0,0
2024-11-25,41,5.0,4
2024-11-26,31,7.0,1
2024-11-27,37,15.0,0
2024-11-28,25,12.0,1
2024-11-29,20,0.0,3
2024-11-30,7,0.0,0
2024-12-01,3,0.0,0
2024-12-02,22,21.0,1
2024-12-03,42,3.0,2
2024-12-04,46,22.0,0
2024-12-05,36,12.0,1
