,etcd-io/etcd,hashicorp/consul,apache/zookeeper
2021-12-04,0,17,0
2021-12-05,0,0,1
2021-12-06,0,18,0
2021-12-07,0,14,0
2021-12-08,0,18,0
2021-12-09,1,12,0
2021-12-10,0,12,0
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,0,14,0
2021-12-14,0,33,0
2021-12-15,3,22,0
2021-12-16,2,4,0
2021-12-17,2,14,0
2021-12-18,1,0,1
2021-12-19,0,0,0
2021-12-20,0,4,0
2021-12-21,7,15,0
2021-12-22,1,11,0
2021-12-23,1,0,0
2021-12-24,1,2,0
2021-12-25,0,0,0
2021-12-26,0,0,1
2021-12-27,2,2,0
2021-12-28,0,1,0
2021-12-29,3,0,0
2021-12-30,0,0,0
2021-12-31,2,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,0,13,0
2022-01-04,3,12,1
2022-01-05,0,14,0
2022-01-06,1,22,0
2022-01-07,0,8,0
2022-01-08,0,1,3
2022-01-09,0,0,0
2022-01-10,1,40,0
2022-01-11,0,45,0
2022-01-12,10,31,0
2022-01-13,4,13,0
2022-01-14,8,14,0
2022-01-15,7,5,0
2022-01-16,7,0,0
2022-01-17,11,6,0
2022-01-18,1,17,0
2022-01-19,6,13,0
2022-01-20,11,19,0
2022-01-21,4,11,0
2022-01-22,3,6,1
2022-01-23,0,0,0
2022-01-24,7,15,0
2022-01-25,2,4,1
2022-01-26,10,32,0
2022-01-27,5,39,3
2022-01-28,12,7,1
2022-01-29,0,2,0
2022-01-30,1,0,0
2022-01-31,0,9,1
2022-02-01,5,18,1
2022-02-02,3,9,1
2022-02-03,0,27,2
2022-02-04,0,19,1
2022-02-05,0,0,0
2022-02-06,0,0,0
2022-02-07,1,12,0
2022-02-08,1,8,0
2022-02-09,0,5,0
2022-02-10,1,8,0
2022-02-11,5,13,1
2022-02-12,0,0,0
2022-02-13,3,0,0
2022-02-14,13,9,1
2022-02-15,2,12,1
2022-02-16,2,5,0
2022-02-17,0,19,1
2022-02-18,2,12,0
2022-02-19,0,0,0
2022-02-20,2,1,0
2022-02-21,15,3,0
2022-02-22,9,22,0
2022-02-23,3,21,0
2022-02-24,6,20,0
2022-02-25,5,14,1
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,4,5,1
2022-03-01,12,12,2
2022-03-02,3,7,0
2022-03-03,1,9,0
2022-03-04,0,7,1
2022-03-05,0,0,0
2022-03-06,0,0,0
2022-03-07,3,8,0
2022-03-08,5,2,1
2022-03-09,5,7,0
2022-03-10,1,2,0
2022-03-11,4,10,0
2022-03-12,1,0,1
2022-03-13,0,0,0
2022-03-14,3,2,0
2022-03-15,5,12,0
2022-03-16,3,6,0
2022-03-17,4,3,0
2022-03-18,16,9,0
2022-03-19,5,1,0
2022-03-20,2,0,0
2022-03-21,5,4,1
2022-03-22,2,9,0
