,spring-projects/spring-framework,apache/tomcat,apache/struts
2012-08-10,2,4,0
2012-08-11,1,5,0
2012-08-12,0,6,0
2012-08-13,4,2,0
2012-08-14,1,4,0
2012-08-15,0,8,0
2012-08-16,2,26,0
2012-08-17,4,0,0
2012-08-18,0,2,0
2012-08-19,0,2,0
2012-08-20,2,0,0
2012-08-21,5,0,0
2012-08-22,5,0,1
2012-08-23,2,0,1
2012-08-24,3,2,0
2012-08-25,1,6,0
2012-08-26,0,14,0
2012-08-27,3,15,0
2012-08-28,3,11,0
2012-08-29,7,8,0
2012-08-30,1,9,0
2012-08-31,4,8,4
2012-09-01,0,2,0
2012-09-02,0,3,0
2012-09-03,0,11,1
2012-09-04,6,13,0
2012-09-05,4,2,0
2012-09-06,4,3,4
2012-09-07,1,0,2
2012-09-08,3,6,0
2012-09-09,4,3,0
2012-09-10,16,2,0
2012-09-11,13,3,0
2012-09-12,2,13,4
2012-09-13,0,0,0
2012-09-14,0,0,0
2012-09-15,0,1,1
2012-09-16,0,1,0
2012-09-17,3,0,0
2012-09-18,1,4,0
2012-09-19,1,1,0
2012-09-20,0,1,0
2012-09-21,5,1,0
2012-09-22,0,3,0
2012-09-23,1,15,0
2012-09-24,9,1,1
2012-09-25,7,2,0
2012-09-26,5,6,2
2012-09-27,2,2,0
2012-09-28,0,0,0
2012-09-29,0,0,0
2012-09-30,0,1,0
2012-10-01,0,8,0
2012-10-02,1,3,0
2012-10-03,0,2,0
2012-10-04,1,2,0
2012-10-05,2,0,6
2012-10-06,2,0,0
2012-10-07,3,0,0
2012-10-08,1,0,0
2012-10-09,0,0,0
2012-10-10,24,4,0
2012-10-11,0,3,7
2012-10-12,25,13,4
2012-10-13,3,13,0
2012-10-14,0,17,0
2012-10-15,4,0,0
2012-10-16,1,1,1
2012-10-17,1,2,2
2012-10-18,1,1,0
2012-10-19,0,0,2
2012-10-20,2,0,0
2012-10-21,0,0,0
2012-10-22,9,6,4
2012-10-23,3,3,0
2012-10-24,7,7,0
2012-10-25,8,11,0
2012-10-26,8,17,0
2012-10-27,9,2,0
2012-10-28,11,1,0
2012-10-29,2,1,0
2012-10-30,21,0,0
2012-10-31,27,1,0
2012-11-01,7,4,0
2012-11-02,8,3,0
2012-11-03,10,10,0
2012-11-04,9,1,0
2012-11-05,9,1,1
2012-11-06,3,10,14
2012-11-07,2,8,0
2012-11-08,9,0,0
2012-11-09,0,2,0
2012-11-10,2,0,0
2012-11-11,0,4,0
2012-11-12,3,8,0
2012-11-13,0,19,0
2012-11-14,4,0,0
2012-11-15,3,1,0
2012-11-16,2,5,0
2012-11-17,0,9,0
2012-11-18,0,2,0
2012-11-19,1,0,1
2012-11-20,6,2,0
2012-11-21,5,4,4
2012-11-22,11,1,3
2012-11-23,1,0,0
2012-11-24,0,29,0
2012-11-25,18,3,0
2012-11-26,21,5,0
2012-11-27,9,12,1
2012-11-28,3,1,1
2012-11-29,14,6,0
2012-11-30,2,1,2
2012-12-01,0,2,0
2012-12-02,0,4,0
2012-12-03,8,10,0
2012-12-04,12,15,0
2012-12-05,9,22,3
2012-12-06,3,2,0
2012-12-07,6,0,0
2012-12-08,2,0,0
2012-12-09,0,0,6
2012-12-10,17,0,0
2012-12-11,6,2,0
2012-12-12,30,4,4
2012-12-13,15,1,2
2012-12-14,2,0,1
2012-12-15,0,5,0
2012-12-16,0,0,5
2012-12-17,1,0,2
2012-12-18,0,0,6
2012-12-19,3,6,0
2012-12-20,4,1,4
2012-12-21,0,9,0
2012-12-22,2,3,1
2012-12-23,0,7,0
2012-12-24,0,16,0
2012-12-25,0,3,0
2012-12-26,1,11,0
2012-12-27,0,9,0
2012-12-28,43,7,0
2012-12-29,3,0,1
2012-12-30,0,6,0
2012-12-31,4,0,0
2013-01-01,4,0,0
2013-01-02,7,7,7
2013-01-03,20,4,16
2013-01-04,17,7,0
2013-01-05,0,5,0
2013-01-06,0,0,0
2013-01-07,10,10,0
2013-01-08,12,16,0
2013-01-09,1,10,2
2013-01-10,16,21,2
2013-01-11,17,3,0
2013-01-12,0,3,0
2013-01-13,0,1,8
2013-01-14,7,8,0
2013-01-15,12,0,3
2013-01-16,4,10,3
2013-01-17,0,26,2
2013-01-18,16,1,0
2013-01-19,0,10,0
2013-01-20,0,3,3
2013-01-21,14,13,7
2013-01-22,22,10,6
2013-01-23,20,8,0
2013-01-24,8,9,0
2013-01-25,5,6,0
2013-01-26,4,0,0
2013-01-27,0,1,4
2013-01-28,1,9,4
2013-01-29,3,9,0
2013-01-30,2,1,0
2013-01-31,7,9,0
2013-02-01,2,5,1
2013-02-02,0,1,0
2013-02-03,0,3,1
2013-02-04,7,1,4
2013-02-05,0,0,1
2013-02-06,10,5,0
2013-02-07,9,8,3
2013-02-08,7,3,0
2013-02-09,4,7,0
2013-02-10,10,4,0
2013-02-11,12,9,0
2013-02-12,7,18,0
2013-02-13,6,7,1
2013-02-14,0,16,0
2013-02-15,17,11,0
2013-02-16,0,20,0
2013-02-17,0,6,0
2013-02-18,0,11,2
2013-02-19,4,24,3
2013-02-20,0,24,0
2013-02-21,2,4,2
2013-02-22,0,1,0
2013-02-23,0,1,0
2013-02-24,0,2,0
2013-02-25,6,4,0
2013-02-26,19,0,0
2013-02-27,2,4,0
2013-02-28,11,5,4
2013-03-01,17,1,0
2013-03-02,0,12,0
2013-03-03,0,4,0
2013-03-04,3,11,2
2013-03-05,0,10,0
2013-03-06,4,12,3
2013-03-07,4,13,0
2013-03-08,0,2,0
2013-03-09,1,1,0
2013-03-10,7,6,0
2013-03-11,4,7,0
2013-03-12,0,5,0
2013-03-13,15,7,0
2013-03-14,1,16,0
2013-03-15,0,25,3
2013-03-16,0,2,2
2013-03-17,0,14,4
2013-03-18,0,15,13
2013-03-19,33,23,3
2013-03-20,6,18,3
2013-03-21,1,10,0
2013-03-22,0,17,9
2013-03-23,0,5,0
2013-03-24,0,10,3
2013-03-25,0,22,0
2013-03-26,1,8,3
2013-03-27,5,2,5
2013-03-28,8,2,5
2013-03-29,6,3,0
2013-03-30,4,0,0
2013-03-31,0,0,0
2013-04-01,0,1,0
2013-04-02,0,0,0
2013-04-03,0,0,2
2013-04-04,0,1,0
2013-04-05,0,0,1
2013-04-06,0,0,0
2013-04-07,0,0,0
2013-04-08,0,4,1
2013-04-09,0,7,1
2013-04-10,0,0,1
2013-04-11,0,1,0
2013-04-12,1,0,0
2013-04-13,3,0,0
2013-04-14,0,0,0
2013-04-15,17,2,0
2013-04-16,0,3,0
2013-04-17,6,0,2
2013-04-18,0,2,5
2013-04-19,1,16,0
2013-04-20,0,0,0
2013-04-21,1,0,0
2013-04-22,1,2,0
2013-04-23,15,9,0
2013-04-24,2,2,0
2013-04-25,3,9,2
2013-04-26,2,2,3
2013-04-27,2,0,0
2013-04-28,6,3,0
2013-04-29,1,16,0
2013-04-30,11,5,0
2013-05-01,2,15,0
2013-05-02,6,12,0
2013-05-03,11,11,0
2013-05-04,0,7,0
2013-05-05,2,1,0
2013-05-06,13,1,0
2013-05-07,12,4,0
2013-05-08,5,1,1
2013-05-09,8,7,0
2013-05-10,8,17,1
2013-05-11,0,3,0
2013-05-12,0,3,0
2013-05-13,1,4,0
2013-05-14,12,10,0
2013-05-15,8,12,0
2013-05-16,8,8,1
2013-05-17,3,8,4
2013-05-18,0,0,0
2013-05-19,0,1,1
2013-05-20,0,7,3
2013-05-21,0,8,1
2013-05-22,7,6,5
2013-05-23,0,11,8
2013-05-24,0,12,2
2013-05-25,0,1,2
2013-05-26,1,1,0
2013-05-27,0,2,1
2013-05-28,5,8,1
2013-05-29,0,7,2
2013-05-30,8,9,2
2013-05-31,1,4,3
2013-06-01,0,0,1
2013-06-02,0,5,0
2013-06-03,7,8,0
2013-06-04,4,12,0
2013-06-05,0,4,0
2013-06-06,0,0,3
2013-06-07,0,0,0
2013-06-08,7,0,0
2013-06-09,4,0,0
2013-06-10,3,3,1
2013-06-11,3,13,0
2013-06-12,4,14,2
2013-06-13,7,12,6
2013-06-14,4,24,4
2013-06-15,7,0,0
2013-06-16,4,8,0
2013-06-17,3,7,0
2013-06-18,2,18,0
2013-06-19,9,3,0
2013-06-20,3,21,2
2013-06-21,8,10,0
2013-06-22,1,2,0
2013-06-23,2,2,0
2013-06-24,8,10,0
2013-06-25,2,11,0
2013-06-26,5,17,0
2013-06-27,4,15,0
2013-06-28,6,12,2
2013-06-29,1,0,0
2013-06-30,0,0,0
2013-07-01,6,16,0
2013-07-02,0,21,0
2013-07-03,0,28,1
2013-07-04,8,16,0
2013-07-05,4,7,1
2013-07-06,1,2,1
2013-07-07,1,3,0
2013-07-08,1,22,0
2013-07-09,0,21,0
2013-07-10,3,15,1
2013-07-11,2,12,0
2013-07-12,4,13,8
2013-07-13,1,6,0
2013-07-14,0,15,0
2013-07-15,2,24,5
2013-07-16,1,14,2
2013-07-17,6,12,2
2013-07-18,8,5,0
2013-07-19,14,4,0
2013-07-20,0,6,0
2013-07-21,2,9,2
2013-07-22,12,5,0
2013-07-23,5,10,0
2013-07-24,15,1,1
2013-07-25,1,7,2
2013-07-26,0,0,1
