,home-assistant/core,node-red/node-red,ioBroker/ioBroker
2022-09-12,36,10,0
2022-09-13,84,2,0
2022-09-14,41,0,0
2022-09-15,45,5,0
2022-09-16,20,1,0
2022-09-17,29,1,0
2022-09-18,50,3,0
2022-09-19,43,1,0
2022-09-20,23,2,0
2022-09-21,36,0,0
2022-09-22,45,2,0
2022-09-23,28,0,0
2022-09-24,7,0,0
2022-09-25,19,0,0
2022-09-26,59,0,0
2022-09-27,31,0,0
2022-09-28,62,0,0
2022-09-29,63,5,0
2022-09-30,36,1,0
2022-10-01,20,0,0
2022-10-02,48,1,0
2022-10-03,43,0,0
2022-10-04,50,14,0
2022-10-05,33,0,0
2022-10-06,34,0,0
2022-10-07,35,0,0
2022-10-08,28,0,0
2022-10-09,32,0,0
2022-10-10,54,0,0
2022-10-11,44,0,0
2022-10-12,36,2,0
2022-10-13,23,0,0
2022-10-14,69,0,0
2022-10-15,10,0,0
2022-10-16,20,4,0
2022-10-17,24,0,0
2022-10-18,35,0,0
2022-10-19,31,0,0
2022-10-20,47,0,0
2022-10-21,38,0,0
2022-10-22,18,0,0
2022-10-23,34,0,0
2022-10-24,35,0,0
2022-10-25,51,4,0
2022-10-26,64,0,0
2022-10-27,42,0,0
2022-10-28,20,0,0
2022-10-29,53,4,0
2022-10-30,20,0,0
2022-10-31,58,2,0
2022-11-01,51,5,0
2022-11-02,39,0,2
2022-11-03,32,0,0
2022-11-04,8,1,0
2022-11-05,16,2,0
2022-11-06,16,0,0
2022-11-07,33,11,0
2022-11-08,87,0,0
2022-11-09,28,1,1
2022-11-10,20,1,0
2022-11-11,11,0,0
2022-11-12,6,0,0
2022-11-13,22,0,0
2022-11-14,19,0,0
2022-11-15,29,3,0
2022-11-16,91,0,0
2022-11-17,44,0,0
2022-11-18,17,0,1
2022-11-19,14,0,0
2022-11-20,29,0,0
2022-11-21,24,0,0
2022-11-22,31,0,0
2022-11-23,25,0,0
2022-11-24,46,0,0
2022-11-25,29,0,0
2022-11-26,16,0,0
2022-11-27,18,0,0
2022-11-28,59,2,0
2022-11-29,57,3,0
2022-11-30,59,20,0
2022-12-01,37,3,3
2022-12-02,29,6,0
2022-12-03,58,13,0
2022-12-04,19,1,0
2022-12-05,78,11,0
2022-12-06,77,9,0
2022-12-07,35,2,0
2022-12-08,47,4,0
2022-12-09,38,1,8
2022-12-10,26,0,0
2022-12-11,28,1,0
2022-12-12,53,0,0
2022-12-13,39,0,0
2022-12-14,26,0,0
2022-12-15,12,0,0
2022-12-16,12,0,3
2022-12-17,13,0,0
2022-12-18,27,0,0
2022-12-19,42,3,0
2022-12-20,32,0,0
2022-12-21,64,0,0
2022-12-22,32,0,3
2022-12-23,12,0,0
2022-12-24,11,3,0
2022-12-25,2,0,0
2022-12-26,8,0,0
2022-12-27,42,9,0
2022-12-28,45,0,0
2022-12-29,35,1,0
2022-12-30,58,1,4
2022-12-31,18,0,0
2023-01-01,17,7,0
2023-01-02,56,0,0
2023-01-03,57,1,0
2023-01-04,32,0,0
2023-01-05,33,3,0
2023-01-06,47,0,0
2023-01-07,33,0,0
2023-01-08,24,0,0
2023-01-09,54,1,0
2023-01-10,57,0,0
2023-01-11,16,0,0
2023-01-12,52,0,0
2023-01-13,21,0,0
2023-01-14,12,0,8
2023-01-15,35,1,0
2023-01-16,65,0,0
2023-01-17,56,0,0
2023-01-18,30,0,0
