,microsoft/terminal,mintty/mintty,alacritty/alacritty
2017-09-11,3.0,1,1
2017-09-12,-0.30000000000000027,0,0
2017-09-13,-0.1350000000000001,0,0
2017-09-14,-0.08550000000000006,0,0
2017-09-15,-0.06198749999999977,0,0
2017-09-16,-0.048350249999999845,3,0
2017-09-17,-0.03948603749999988,0,0
2017-09-18,-0.0332810887499999,0,0
2017-09-19,-0.028704939046874926,3,0
2017-09-20,-0.025196557607812434,0,0
2017-09-21,0.0,1,0
2017-09-22,0.0,0,0
2017-09-23,0.0,1,0
2017-09-24,0.0,1,0
2017-09-25,0.0,0,0
2017-09-26,0.0,2,0
2017-09-27,0.0,1,0
2017-09-28,0.0,0,1
2017-09-29,0.0,0,0
2017-09-30,0.0,0,2
2017-10-01,0.0,0,0
2017-10-02,0.0,7,0
2017-10-03,0.0,1,0
2017-10-04,0.0,2,1
2017-10-05,0.0,1,0
2017-10-06,0.0,0,2
2017-10-07,0.0,0,1
2017-10-08,2.0,1,0
2017-10-09,-0.20000000000000018,0,11
2017-10-10,-0.09000000000000007,0,0
2017-10-11,-0.057000000000000044,4,0
2017-10-12,-0.04132499999999985,1,0
2017-10-13,1.9677665000000002,0,0
2017-10-14,-0.2263240250000001,2,2
2017-10-15,-0.1121873925,0,2
2017-10-16,-0.07613662603124999,0,1
2017-10-17,-0.05812270507187481,0,3
2017-10-18,-0.032233499999999894,0,0
2017-10-19,-0.02632402499999992,0,0
2017-10-20,-0.022187392499999934,0,1
2017-10-21,-0.01913662603124995,0,4
2017-10-22,-0.016797705071874957,2,4
2017-10-23,1.0,3,0
2017-10-24,-0.10000000000000009,1,0
2017-10-25,-0.04500000000000003,1,0
2017-10-26,-0.028500000000000022,2,0
2017-10-27,-0.020662499999999924,0,2
2017-10-28,-0.016116749999999947,1,0
2017-10-29,-0.01316201249999996,3,0
2017-10-30,-0.011093696249999967,3,2
2017-10-31,-0.009568313015624975,3,1
2017-11-01,-0.008398852535937478,1,0
2017-11-02,0.0,4,0
2017-11-03,0.0,1,0
2017-11-04,0.0,0,0
2017-11-05,0.0,2,0
2017-11-06,0.0,0,0
2017-11-07,0.0,0,0
2017-11-08,0.0,0,0
2017-11-09,0.0,3,0
2017-11-10,0.0,0,0
2017-11-11,0.0,0,9
2017-11-12,0.0,0,2
2017-11-13,0.0,3,0
2017-11-14,0.0,0,0
2017-11-15,0.0,0,0
2017-11-16,0.0,0,0
2017-11-17,0.0,0,0
2017-11-18,0.0,0,0
2017-11-19,0.0,5,2
2017-11-20,0.0,3,1
2017-11-21,0.0,0,0
2017-11-22,0.0,4,0
2017-11-23,0.0,0,0
2017-11-24,0.0,0,0
2017-11-25,0.0,0,0
2017-11-26,0.0,0,0
2017-11-27,0.0,4,0
2017-11-28,0.0,6,0
2017-11-29,0.0,2,0
2017-11-30,0.0,0,0
2017-12-01,0.0,3,0
2017-12-02,0.0,0,0
2017-12-03,0.0,0,8
2017-12-04,0.0,0,0
2017-12-05,0.0,2,0
2017-12-06,0.0,2,0
2017-12-07,0.0,2,0
2017-12-08,0.0,1,0
2017-12-09,0.0,0,0
2017-12-10,0.0,1,0
2017-12-11,0.0,3,0
2017-12-12,0.0,0,0
2017-12-13,0.0,2,2
2017-12-14,0.0,3,0
2017-12-15,0.0,2,0
2017-12-16,0.0,2,0
2017-12-17,0.0,0,1
2017-12-18,0.0,0,0
2017-12-19,0.0,0,0
2017-12-20,0.0,4,0
2017-12-21,0.0,1,0
2017-12-22,0.0,0,17
2017-12-23,0.0,1,4
2017-12-24,0.0,0,23
2017-12-25,0.0,0,0
2017-12-26,0.0,0,0
2017-12-27,0.0,0,0
2017-12-28,0.0,0,0
2017-12-29,0.0,1,1
2017-12-30,0.0,0,0
2017-12-31,0.0,0,0
2018-01-01,0.0,0,0
2018-01-02,0.0,1,4
2018-01-03,0.0,7,7
2018-01-04,0.0,0,0
2018-01-05,0.0,1,1
2018-01-06,0.0,0,4
2018-01-07,0.0,0,2
2018-01-08,0.0,1,3
2018-01-09,0.0,1,0
2018-01-10,0.0,0,2
2018-01-11,0.0,0,1
2018-01-12,0.0,0,0
2018-01-13,0.0,0,0
2018-01-14,0.0,0,0
2018-01-15,0.0,2,1
2018-01-16,0.0,0,1
2018-01-17,0.0,1,0
2018-01-18,0.0,0,1
2018-01-19,4.0,0,0
2018-01-20,-0.40000000000000036,0,0
2018-01-21,-0.18000000000000013,0,1
2018-01-22,-0.11400000000000009,0,0
2018-01-23,-0.0826499999999997,1,0
2018-01-24,-0.06446699999999979,0,0
2018-01-25,-0.05264804999999984,5,0
2018-01-26,-0.04437478499999987,2,1
2018-01-27,-0.0382732520624999,3,0
2018-01-28,-0.033595410143749914,0,0
2018-01-29,0.0,0,0
2018-01-30,0.0,2,1
2018-01-31,0.0,0,1
2018-02-01,0.0,0,0
2018-02-02,0.0,0,0
2018-02-03,0.0,7,0
2018-02-04,0.0,4,0
2018-02-05,0.0,7,0
2018-02-06,0.0,0,0
2018-02-07,0.0,1,1
2018-02-08,0.0,0,0
2018-02-09,0.0,3,0
2018-02-10,0.0,0,0
2018-02-11,0.0,0,1
2018-02-12,0.0,1,0
2018-02-13,0.0,4,2
2018-02-14,2.0,1,0
2018-02-15,-0.20000000000000018,2,0
2018-02-16,-0.09000000000000007,0,0
2018-02-17,-0.057000000000000044,0,0
2018-02-18,-0.04132499999999985,0,0
2018-02-19,-0.032233499999999894,0,0
2018-02-20,-0.02632402499999992,1,0
2018-02-21,-0.022187392499999934,0,0
2018-02-22,-0.01913662603124995,0,0
2018-02-23,-0.016797705071874957,0,0
2018-02-24,0.0,0,0
2018-02-25,0.0,0,0
2018-02-26,0.0,0,0
2018-02-27,0.0,0,0
2018-02-28,0.0,0,3
2018-03-01,0.0,0,0
2018-03-02,0.0,0,0
2018-03-03,0.0,0,0
2018-03-04,0.0,0,1
2018-03-05,0.0,0,0
2018-03-06,0.0,0,0
2018-03-07,0.0,0,1
2018-03-08,0.0,0,0
2018-03-09,0.0,0,2
2018-03-10,0.0,0,1
2018-03-11,0.0,0,0
2018-03-12,0.0,0,0
2018-03-13,0.0,0,11
2018-03-14,0.0,0,0
2018-03-15,0.0,0,0
2018-03-16,0.0,0,0
2018-03-17,0.0,0,0
2018-03-18,0.0,0,0
2018-03-19,0.0,0,0
2018-03-20,0.0,0,0
2018-03-21,0.0,0,0
2018-03-22,0.0,3,0
2018-03-23,0.0,0,2
2018-03-24,0.0,0,0
2018-03-25,0.0,0,0
2018-03-26,0.0,0,0
2018-03-27,0.0,0,1
2018-03-28,0.0,4,0
2018-03-29,0.0,0,0
2018-03-30,0.0,1,2
2018-03-31,0.0,0,0
2018-04-01,0.0,0,0
2018-04-02,0.0,0,0
2018-04-03,0.0,7,0
2018-04-04,0.0,1,0
2018-04-05,0.0,0,0
2018-04-06,0.0,1,0
2018-04-07,0.0,1,0
2018-04-08,0.0,0,0
2018-04-09,0.0,0,0
2018-04-10,0.0,2,0
2018-04-11,0.0,3,0
2018-04-12,0.0,0,0
2018-04-13,0.0,1,0
2018-04-14,0.0,0,1
2018-04-15,0.0,6,0
2018-04-16,0.0,1,0
2018-04-17,0.0,2,0
2018-04-18,0.0,1,0
2018-04-19,0.0,0,0
2018-04-20,0.0,2,0
2018-04-21,0.0,5,0
2018-04-22,0.0,0,0
2018-04-23,0.0,0,0
2018-04-24,0.0,0,0
2018-04-25,12.0,4,0
2018-04-26,-0.20000000000000107,1,0
2018-04-27,-0.6400000000000005,0,0
2018-04-28,-0.3870000000000003,0,1
2018-04-29,-0.2764499999999991,0,0
2018-04-30,0.7859365000000007,0,0
2018-05-01,-0.2740608999999996,0,1
2018-05-02,-0.1912863674999996,0,0
2018-05-03,-0.1544134524374997,0,0
2018-05-04,-0.13101704344687462,0,0
2018-05-05,-0.024515602535937424,0,1
2018-05-06,-0.01316201249999996,0,0
2018-05-07,-0.011093696249999967,0,0
2018-05-08,-0.009568313015624975,0,0
2018-05-09,-0.008398852535937478,0,0
2018-05-10,0.0,0,0
2018-05-11,0.0,2,2
2018-05-12,0.0,0,0
2018-05-13,0.0,0,0
2018-05-14,0.0,0,4
2018-05-15,0.0,0,0
2018-05-16,6.0,0,0
2018-05-17,1.3999999999999995,1,0
2018-05-18,-0.47000000000000036,0,0
2018-05-19,-0.2610000000000002,0,0
2018-05-20,0.8190250000000004,0,0
2018-05-21,0.7619745000000004,0,0
2018-05-22,-0.2562055749999998,0,0
2018-05-23,-0.16638620249999977,0,0
2018-05-24,-0.12875977059374974,1,0
2018-05-25,-0.10630899124687468,0,2
2018-05-26,-0.04607646757187486,0,0
2018-05-27,-0.024255708749999928,0,0
2018-05-28,-0.02066200926562494,0,0
2018-05-29,-0.017967165551562456,0,1
