,kamranahmedse/developer-roadmap,bregman-arie/devops-exercises,liuchong/awesome-roadmaps
2019-11-03,4.0,0,0
2019-11-04,-0.40000000000000036,0,0
2019-11-05,0.8199999999999998,0,0
2019-11-06,7.786,0,0
2019-11-07,3.0723499999999997,1,0
2019-11-08,8.147033,1,0
2019-11-09,5.618689449999999,0,0
2019-11-10,2.5552084649999998,1,0
2019-11-11,-1.2345192645624998,0,0
2019-11-12,0.22008529360625106,1,0
2019-11-13,20.345345816984377,0,0
2019-11-14,9.411754495839062,1,0
2019-11-15,-2.535408426100001,1,0
2019-11-16,12.590823348965625,1,0
2019-11-17,-2.3789718989328117,0,1
2019-11-18,-1.3266289823140607,0,1
2019-11-19,0.08650763110625137,1,0
2019-11-20,-0.7897550842656229,0,0
2019-11-21,1.3869077191359391,0,0
2019-11-22,-0.7039638344421864,0,0
2019-11-23,0.6332395220687508,1,0
2019-11-24,0.6929268677812502,1,0
2019-11-25,0.6829290519968754,1,0
2019-11-26,-0.21682719625,6,0
2019-11-27,1.8699451619843752,3,0
2019-11-28,-0.2958654950359375,11,0
2019-11-29,8.84092211146875,4,0
2019-11-30,12.985829836178125,1,0
2019-12-01,13.119850978234373,4,0
2019-12-02,3.5522056381984357,6,0
2019-12-03,6.095746309448437,2,0
2019-12-04,-1.962411995035937,5,0
2019-12-05,-1.2041667385312482,1,0
2019-12-06,1.105364603678127,2,0
2019-12-07,-0.9008572521406228,0,0
2019-12-08,-0.6738575737921859,2,0
2019-12-09,-0.4899669082374989,2,0
2019-12-10,-0.3134672361328116,2,0
2019-12-11,-0.15917311934062456,2,0
2019-12-12,-0.09351484528749975,0,0
2019-12-13,-0.022187392499999934,2,0
2019-12-14,-0.01913662603124995,0,0
2019-12-15,-0.016797705071874957,1,0
2019-12-16,0.0,2,0
2019-12-17,0.0,2,0
2019-12-18,0.0,3,0
2019-12-19,0.0,6,0
2019-12-20,0.0,2,0
2019-12-21,0.0,21,0
2019-12-22,0.0,3,0
2019-12-23,0.0,3,0
2019-12-24,0.0,2,0
2019-12-25,0.0,0,0
2019-12-26,0.0,0,0
2019-12-27,0.0,0,0
2019-12-28,0.0,1,0
2019-12-29,0.0,2,0
2019-12-30,0.0,2,0
2019-12-31,0.0,1,0
2020-01-01,0.0,2,0
2020-01-02,5.0,2,0
2020-01-03,-0.5000000000000004,2,0
2020-01-04,7.7749999999999995,1,0
2020-01-05,-0.9425000000000008,0,0
2020-01-06,-0.4633124999999999,1,0
2020-01-07,-0.30858374999999993,0,0
2020-01-08,-0.2311100624999992,1,0
2020-01-09,-0.18440248124999942,7,0
2020-01-10,3.8468623349218753,1,0
2020-01-11,1.4692561673203124,1,0
2020-01-12,0.5434534958749999,4,0
2020-01-13,-0.37119082028750006,0,0
2020-01-14,-0.1846499999999998,1,0
2020-01-15,-0.13429199999999966,2,0
2020-01-16,-0.10554404999999967,1,0
2020-01-17,8.91318444,5,0
2020-01-18,5.026377342937499,0,0
2020-01-19,-1.0688257324250006,3,0
2020-01-20,5.4471339819125,5,0
2020-01-21,0.03463864746406253,18,0
2020-01-22,1.3609742500000006,4,0
2020-01-23,-0.6311586124999997,0,0
2020-01-24,-0.42129034124999915,6,0
2020-01-25,-0.3270399946406242,0,0
2020-01-26,-0.2694133759171867,19,0
2020-01-27,1.8376491947843754,0,0
2020-01-28,0.7051724006562501,0,0
2020-01-29,6.72785117926875,0,0
2020-01-30,-0.8295354785671881,0,0
2020-01-31,-0.40162270507187503,2,0
2020-02-01,5.747604,1,0
2020-02-02,-0.7870782749999998,1,0
2020-02-03,1.5818333450000002,1,0
2020-02-04,-0.49336440978124996,0,0
2020-02-05,-0.3179968918374993,0,0
2020-02-06,-0.22907754364531205,0,0
2020-02-07,0.8209109572484381,0,0
2020-02-08,-0.1987956774999998,0,0
2020-02-09,-0.1287339030937498,0,0
2020-02-10,-0.10108050771562482,2,0
2020-02-11,3.96020087396875,0,0
2020-02-12,-0.43291445507187526,4,0
2020-02-13,-0.1931620125000001,0,0
2020-02-14,-0.12509369625000005,9,0
2020-02-15,-0.09221831301562466,0,0
2020-02-16,-0.07286585253593726,0,0
2020-02-17,-0.05264804999999984,0,0
2020-02-18,-0.04437478499999987,0,0
2020-02-19,-0.0382732520624999,4,0
2020-02-20,-0.033595410143749914,0,1
2020-02-21,0.0,0,0
2020-02-22,1.0,0,0
2020-02-23,-0.10000000000000009,0,0
2020-02-24,-0.04500000000000003,0,1
2020-02-25,-0.028500000000000022,0,0
2020-02-26,0.9793375000000001,0,0
2020-02-27,1.88388325,1,0
2020-02-28,0.7418379874999999,2,0
2020-02-29,0.7704063037499999,0,0
2020-03-01,0.7677691869843749,0,0
2020-03-02,3.7606593974640625,0,0
2020-03-03,-0.5395580125000001,0,0
2020-03-04,-0.28269697124999993,0,0
2020-03-05,-0.1956969680156248,0,0
2020-03-06,-0.150557937317187,1,0
2020-03-07,-0.11508872683749966,0,0
2020-03-08,-0.08170891180156226,0,0
2020-03-09,-0.062341950551562324,0,0
2020-03-10,-0.04667210459843738,0,0
2020-03-11,-0.033595410143749914,0,0
2020-03-12,0.0,0,0
2020-03-13,6.0,0,0
2020-03-14,2.3999999999999995,0,0
2020-03-15,0.4299999999999995,0,0
2020-03-16,-0.4060000000000003,1,0
2020-03-17,-0.2544749999999996,0,0
2020-03-18,-0.1871879999999995,0,0
2020-03-19,-0.14798482499999954,0,0
2020-03-20,-0.12216496499999964,0,0
2020-03-21,-0.10385297934374971,2,0
2020-03-22,-0.09019175051249977,0,0
2020-03-23,0.9652351293765626,0,0
2020-03-24,-0.10839885253593756,0,0
2020-03-25,0.955,0,0
2020-03-26,-0.12850000000000011,1,0
2020-03-27,-0.06566249999999996,0,0
2020-03-28,1.9553832500000001,0,0
2020-03-29,0.7661754875,0,0
2020-03-30,-0.21721044625000008,0,0
2020-03-31,-0.12473032551562502,0,0
2020-04-01,-0.08931754878593731,0,0
2020-04-02,-0.062464313015624794,0,0
2020-04-03,1.9491603724640627,0,0
2020-04-04,-0.23534940500000007,1,0
2020-04-05,-0.12023032228124998,0,0
2020-04-06,-0.08336601808749998,1,0
2020-04-07,-0.04972385253593733,0,1
2020-04-08,-0.032233499999999894,1,1
2020-04-09,-0.02632402499999992,0,0
2020-04-10,-0.022187392499999934,0,0
2020-04-11,-0.01913662603124995,1,0
2020-04-12,-0.016797705071874957,1,0
2020-04-13,0.0,0,0
2020-04-14,0.0,0,0
2020-04-15,0.0,0,0
2020-04-16,0.0,0,0
2020-04-17,0.0,0,0
2020-04-18,0.0,0,0
2020-04-19,0.0,0,0
2020-04-20,0.0,0,0
2020-04-21,0.0,0,0
2020-04-22,1.0,0,0
2020-04-23,-0.10000000000000009,0,0
2020-04-24,1.955,0,0
2020-04-25,-0.2285000000000002,3,0
2020-04-26,-0.1106625,0,0
2020-04-27,-0.07311675,1,0
2020-04-28,1.9455129875000001,3,0
2020-04-29,-0.24332719625000004,0,0
2020-04-30,-0.12589233801562497,0,0
2020-05-01,-0.08758624503593745,0,0
2020-05-02,-0.0604616260312498,0,0
2020-05-03,-0.04903120507187485,0,0
2020-05-04,2.973675975,0,0
2020-05-05,-0.3221873925000002,0,0
2020-05-06,-0.15413662603125006,1,0
2020-05-07,-0.10229770507187502,0,0
2020-05-08,-0.06198749999999977,0,0
2020-05-09,-0.048350249999999845,1,0
2020-05-10,-0.03948603749999988,1,0
2020-05-11,-0.0332810887499999,0,0
2020-05-12,-0.028704939046874926,0,0
2020-05-13,0.9748034423921875,1,0
2020-05-14,-0.10000000000000009,0,0
2020-05-15,-0.04500000000000003,0,0
2020-05-16,-0.028500000000000022,0,0
2020-05-17,-0.020662499999999924,0,0
2020-05-18,0.9838832500000001,0,0
2020-05-19,-0.11316201250000005,0,0
2020-05-20,-0.05609369625,0,0
2020-05-21,-0.038068313015624994,0,0
2020-05-22,-0.029061352535937404,0,0
2020-05-23,-0.016116749999999947,0,0
2020-05-24,-0.01316201249999996,0,0
2020-05-25,1.98890630375,0,0
2020-05-26,7.790431686984375,0,0
2020-05-27,-0.8983988525359382,0,0
2020-05-28,-0.4170000000000003,0,0
2020-05-29,0.730675,0,0
2020-05-30,-0.29753349999999934,0,0
2020-05-31,-0.20025802499999953,0,0
2020-06-01,-0.15598349249999965,2,0
2020-06-02,-0.1285486960312496,0,0
2020-06-03,-0.10946095919687471,0,0
2020-06-04,0.9196471672125002,0,0
2020-06-05,-0.11109369625000005,0,0
2020-06-06,-0.05456831301562501,0,0
2020-06-07,-0.0368988525359375,0,0
2020-06-08,-0.020662499999999924,0,0
2020-06-09,-0.016116749999999947,0,0
2020-06-10,-0.01316201249999996,0,0
2020-06-11,0.98890630375,0,0
2020-06-12,-0.10956831301562506,0,0
2020-06-13,-0.05339885253593751,0,0
2020-06-14,-0.028500000000000022,0,0
2020-06-15,-0.020662499999999924,2,0
2020-06-16,-0.016116749999999947,0,0
2020-06-17,-0.01316201249999996,0,0
2020-06-18,-0.011093696249999967,0,0
2020-06-19,-0.009568313015624975,0,0
2020-06-20,0.9916011474640625,0,0
2020-06-21,7.9,0,0
2020-06-22,-0.8450000000000008,0,0
2020-06-23,-0.3885000000000003,0,0
2020-06-24,-0.2486625000000001,0,0
2020-06-25,-0.18141674999999935,0,0
2020-06-26,-0.14209601249999954,0,0
2020-06-27,-0.11638979624999965,0,0
2020-06-28,-0.09831788301562472,0,0
2020-06-29,-0.08494535666093728,0,0
2020-06-30,-0.06719082028749983,0,0
2020-07-01,0.0,0,0
2020-07-02,2.0,0,0
2020-07-03,-0.20000000000000018,4,0
2020-07-04,-0.09000000000000007,0,0
2020-07-05,-0.057000000000000044,0,0
2020-07-06,-0.04132499999999985,0,0
2020-07-07,-0.032233499999999894,0,0
2020-07-08,-0.02632402499999992,0,0
2020-07-09,-0.022187392499999934,0,0
2020-07-10,-0.01913662603124995,0,0
2020-07-11,-0.016797705071874957,0,0
2020-07-12,0.0,0,0
2020-07-13,0.0,0,0
2020-07-14,0.0,0,0
2020-07-15,0.0,0,0
2020-07-16,1.0,0,0
2020-07-17,5.9,0,0
2020-07-18,2.3549999999999995,1,0
2020-07-19,-0.5985000000000005,1,0
2020-07-20,0.6733374999999999,0,0
2020-07-21,-0.3255917499999996,0,0
2020-07-22,-0.21685001249999947,0,0
2020-07-23,-0.1669160212499996,0,0
2020-07-24,-0.13627902801562458,0,0
2020-07-25,-0.11520656937968717,0,0
2020-07-26,2.9077399332375,0,0
2020-07-27,0.6637097461421874,0,0
2020-07-28,-0.24456831301562515,2,0
2020-07-29,-0.13889885253593756,2,0
2020-07-30,-0.09048749999999979,2,0
2020-07-31,-0.06901274999999976,0,0
2020-08-01,-0.055602787499999834,0,0
2020-08-02,1.95355689875,0,0
2020-08-03,-0.23979863529687506,0,0
2020-08-04,-0.12476487062343747,0,0
2020-08-05,-0.06539885253593752,1,0
2020-08-06,-0.04132499999999985,2,0
2020-08-07,-0.032233499999999894,0,0
2020-08-08,-0.02632402499999992,0,0
2020-08-09,0.9778126075000001,0,0
2020-08-10,-0.11913662603125004,0,0
2020-08-11,-0.061797705071874987,0,0
2020-08-12,-0.028500000000000022,0,0
2020-08-13,-0.020662499999999924,0,0
2020-08-14,-0.016116749999999947,0,0
2020-08-15,-0.01316201249999996,0,0
2020-08-16,0.98890630375,1,0
2020-08-17,-0.10956831301562506,0,0
2020-08-18,-0.05339885253593751,0,0
2020-08-19,-0.028500000000000022,1,0
2020-08-20,-0.020662499999999924,0,0
2020-08-21,-0.016116749999999947,0,0
2020-08-22,-0.01316201249999996,0,0
2020-08-23,-0.011093696249999967,3,0
2020-08-24,-0.009568313015624975,0,0
2020-08-25,-0.008398852535937478,0,0
2020-08-26,0.0,0,0
2020-08-27,0.0,0,0
2020-08-28,0.0,1,0
2020-08-29,0.0,2,0
2020-08-30,0.0,0,0
2020-08-31,1.0,0,0
2020-09-01,-0.10000000000000009,4,0
2020-09-02,-0.04500000000000003,0,0
2020-09-03,-0.028500000000000022,1,0
2020-09-04,-0.020662499999999924,0,0
2020-09-05,-0.016116749999999947,0,0
2020-09-06,-0.01316201249999996,0,0
2020-09-07,-0.011093696249999967,5,0
2020-09-08,-0.009568313015624975,0,0
2020-09-09,0.9916011474640625,0,0
2020-09-10,-0.10000000000000009,1,0
2020-09-11,-0.04500000000000003,1,0
2020-09-12,-0.028500000000000022,0,0
2020-09-13,-0.020662499999999924,0,0
2020-09-14,-0.016116749999999947,1,0
2020-09-15,-0.01316201249999996,2,0
2020-09-16,-0.011093696249999967,0,0
2020-09-17,-0.009568313015624975,1,0
2020-09-18,-0.008398852535937478,3,0
2020-09-19,2.0,0,0
2020-09-20,-0.20000000000000018,0,0
2020-09-21,0.9099999999999999,0,0
2020-09-22,-0.15700000000000014,0,0
2020-09-23,-0.08632499999999987,0,0
2020-09-24,-0.06073349999999991,0,0
2020-09-25,-0.04698652499999985,0,0
2020-09-26,0.9616958575000001,0,0
2020-09-27,-0.13229863853125,0,0
2020-09-28,-0.07289140132187497,0,0
2020-09-29,-0.038068313015624994,0,0
2020-09-30,-0.029061352535937404,0,0
2020-10-01,-0.016116749999999947,2,0
2020-10-02,-0.01316201249999996,0,0
2020-10-03,-0.011093696249999967,0,0
2020-10-04,0.990431686984375,0,0
2020-10-05,0.8916011474640624,0,0
2020-10-06,-0.14500000000000013,0,0
2020-10-07,-0.07350000000000005,0,0
2020-10-08,-0.04916249999999994,0,0
2020-10-09,-0.036779249999999875,0,0
2020-10-10,-0.02927876249999991,0,0
2020-10-11,-0.024255708749999928,0,1
2020-10-12,-0.02066200926562494,0,1
2020-10-13,-0.017967165551562456,0,0
2020-10-14,-0.008398852535937478,0,0
2020-10-15,0.0,0,0
2020-10-16,2.0,0,0
2020-10-17,-0.20000000000000018,0,0
2020-10-18,-0.09000000000000007,0,0
2020-10-19,-0.057000000000000044,0,0
2020-10-20,-0.04132499999999985,0,0
2020-10-21,-0.032233499999999894,0,0
2020-10-22,-0.02632402499999992,0,0
2020-10-23,-0.022187392499999934,0,0
2020-10-24,1.98086337396875,0,0
2020-10-25,-0.21679770507187512,0,0
2020-10-26,-0.09000000000000007,0,0
2020-10-27,-0.057000000000000044,0,0
2020-10-28,-0.04132499999999985,0,0
2020-10-29,-0.032233499999999894,0,1
2020-10-30,-0.02632402499999992,0,0
2020-10-31,-0.022187392499999934,0,0
2020-11-01,-0.01913662603124995,0,0
2020-11-02,-0.016797705071874957,0,1
2020-11-03,0.0,0,1
2020-11-04,0.0,0,0
2020-11-05,0.0,0,0
2020-11-06,1.0,0,0
2020-11-07,-0.10000000000000009,0,0
