,godotengine/godot,MonoGame/MonoGame,4ian/GDevelop
2021-05-10,10,0,0
2021-05-11,13,0,3
2021-05-12,9,0,2
2021-05-13,13,0,3
2021-05-14,20,0,0
2021-05-15,8,6,2
2021-05-16,10,0,0
2021-05-17,27,0,1
2021-05-18,15,0,1
2021-05-19,29,0,0
2021-05-20,33,0,1
2021-05-21,29,0,2
2021-05-22,27,0,0
2021-05-23,13,0,0
2021-05-24,29,3,1
2021-05-25,26,2,5
2021-05-26,17,0,2
2021-05-27,8,0,3
2021-05-28,6,0,1
2021-05-29,8,0,0
2021-05-30,4,0,2
2021-05-31,36,0,2
2021-06-01,27,0,0
2021-06-02,8,3,1
2021-06-03,41,0,0
2021-06-04,34,0,1
2021-06-05,9,0,2
2021-06-06,7,0,4
2021-06-07,32,0,1
2021-06-08,22,0,0
2021-06-09,13,0,2
2021-06-10,13,0,0
2021-06-11,34,0,5
2021-06-12,12,0,5
2021-06-13,33,0,0
2021-06-14,38,0,2
2021-06-15,33,0,0
2021-06-16,30,0,5
2021-06-17,32,0,1
2021-06-18,27,0,0
2021-06-19,24,0,0
2021-06-20,18,0,0
2021-06-21,13,0,0
2021-06-22,4,0,2
2021-06-23,19,0,0
2021-06-24,17,0,0
2021-06-25,9,0,2
2021-06-26,3,0,0
2021-06-27,4,0,0
2021-06-28,20,0,0
2021-06-29,42,0,0
2021-06-30,25,1,1
2021-07-01,26,1,1
2021-07-02,29,4,0
2021-07-03,23,0,2
2021-07-04,16,0,1
2021-07-05,14,0,0
2021-07-06,40,0,5
2021-07-07,25,0,1
2021-07-08,11,0,1
2021-07-09,11,0,2
2021-07-10,11,0,4
2021-07-11,17,0,6
2021-07-12,27,0,3
2021-07-13,43,0,5
2021-07-14,12,0,4
2021-07-15,30,0,2
2021-07-16,10,0,0
2021-07-17,19,0,1
2021-07-18,10,0,0
2021-07-19,25,0,2
2021-07-20,45,0,3
2021-07-21,39,1,1
2021-07-22,23,1,1
2021-07-23,31,0,0
2021-07-24,17,0,0
2021-07-25,24,0,0
2021-07-26,41,0,0
2021-07-27,24,0,1
2021-07-28,15,0,0
2021-07-29,30,0,0
2021-07-30,45,0,0
2021-07-31,23,0,1
2021-08-01,22,0,3
2021-08-02,32,0,2
2021-08-03,32,0,3
2021-08-04,16,0,4
2021-08-05,25,0,3
2021-08-06,36,0,0
2021-08-07,19,0,1
2021-08-08,11,0,0
2021-08-09,40,0,1
2021-08-10,34,1,0
2021-08-11,48,0,1
2021-08-12,74,0,4
2021-08-13,56,1,2
2021-08-14,17,0,0
2021-08-15,12,0,0
2021-08-16,50,0,5
2021-08-17,44,0,4
2021-08-18,44,0,2
2021-08-19,19,0,3
2021-08-20,24,0,4
2021-08-21,13,0,0
2021-08-22,34,0,0
2021-08-23,34,0,3
2021-08-24,23,0,2
2021-08-25,34,0,2
2021-08-26,21,1,0
2021-08-27,34,0,3
2021-08-28,23,0,1
2021-08-29,15,0,0
2021-08-30,25,0,3
2021-08-31,21,3,2
2021-09-01,27,0,0
2021-09-02,20,1,0
2021-09-03,18,1,1
2021-09-04,5,0,0
2021-09-05,9,0,0
2021-09-06,18,0,3
2021-09-07,35,0,3
2021-09-08,19,0,0
2021-09-09,16,2,3
2021-09-10,24,1,0
2021-09-11,15,1,0
2021-09-12,12,0,0
2021-09-13,43,0,5
2021-09-14,57,0,2
2021-09-15,76,0,1
