,meilisearch/meilisearch,elastic/elasticsearch,typesense/typesense
2022-05-22,0.0,1,0
2022-05-23,1.0,29,1
2022-05-24,7.0,33,1
2022-05-25,29.0,18,1
2022-05-26,3.0,16,1
2022-05-27,0.0,2,4
2022-05-28,0.0,0,2
2022-05-29,0.0,0,1
2022-05-30,4.0,9,2
2022-05-31,16.0,17,0
2022-06-01,28.0,11,1
2022-06-02,22.0,12,3
2022-06-03,0.0,18,0
2022-06-04,0.0,5,1
2022-06-05,5.0,1,2
2022-06-06,6.0,10,0
2022-06-07,12.0,29,1
2022-06-08,22.0,25,1
2022-06-09,23.0,22,0
2022-06-10,0.0,0,0
2022-06-11,2.0,1,0
2022-06-12,0.0,0,0
2022-06-13,3.0,17,4
2022-06-14,1.0,20,1
2022-06-15,7.0,12,0
2022-06-16,5.0,28,1
2022-06-17,0.0,26,3
2022-06-18,0.0,2,1
2022-06-19,0.0,1,2
2022-06-20,4.0,23,0
2022-06-21,5.0,21,0
2022-06-22,9.0,20,0
2022-06-23,2.0,31,1
2022-06-24,1.0,15,2
2022-06-25,0.0,2,1
2022-06-26,0.0,0,2
2022-06-27,2.0,23,3
2022-06-28,5.0,29,2
2022-06-29,1.0,25,0
2022-06-30,0.0,18,1
2022-07-01,0.0,2,1
2022-07-02,0.0,0,1
2022-07-03,0.0,0,0
2022-07-04,1.0,13,1
2022-07-05,22.0,23,0
2022-07-06,6.0,13,0
2022-07-07,4.0,18,5
2022-07-08,0.0,15,1
2022-07-09,0.0,1,0
2022-07-10,0.0,0,0
2022-07-11,3.0,11,0
2022-07-12,32.0,28,1
2022-07-13,0.0,16,0
2022-07-14,0.0,20,3
2022-07-15,0.0,4,1
2022-07-16,0.0,0,0
2022-07-17,0.0,0,0
2022-07-18,11.0,23,1
2022-07-19,19.0,13,2
2022-07-20,2.0,13,4
2022-07-21,6.0,20,1
2022-07-22,0.0,28,2
2022-07-23,0.0,1,0
2022-07-24,0.0,0,1
2022-07-25,0.0,29,1
2022-07-26,0.0,30,2
2022-07-27,0.0,26,1
2022-07-28,5.0,17,1
2022-07-29,0.0,17,0
2022-07-30,0.0,1,0
2022-07-31,0.0,1,0
2022-08-01,0.0,27,1
2022-08-02,2.0,24,4
2022-08-03,1.0,31,1
2022-08-04,2.0,25,4
2022-08-05,0.0,3,3
2022-08-06,0.0,0,0
2022-08-07,0.0,1,2
2022-08-08,1.0,20,2
2022-08-09,0.0,17,1
2022-08-10,18.0,10,2
2022-08-11,3.0,16,0
2022-08-12,3.0,13,0
2022-08-13,0.0,2,1
2022-08-14,0.0,0,0
2022-08-15,0.0,15,0
2022-08-16,3.0,16,3
2022-08-17,52.0,32,2
2022-08-18,16.0,15,2
2022-08-19,1.0,0,1
2022-08-20,0.0,0,0
2022-08-21,0.0,0,0
2022-08-22,20.0,20,0
2022-08-23,13.0,16,0
2022-08-24,8.0,14,1
2022-08-25,0.0,11,2
2022-08-26,0.0,21,0
2022-08-27,1.0,1,2
2022-08-28,0.0,0,0
2022-08-29,3.0,15,2
2022-08-30,1.0,19,2
2022-08-31,5.0,12,2
2022-09-01,8.0,22,2
2022-09-02,3.0,3,2
2022-09-03,2.0,0,2
2022-09-04,3.0,0,0
2022-09-05,2.0,7,1
2022-09-06,2.0,17,2
2022-09-07,15.0,37,1
2022-09-08,3.0,34,2
2022-09-09,1.0,23,2
2022-09-10,0.0,1,1
2022-09-11,0.0,0,3
2022-09-12,1.0,25,1
2022-09-13,4.0,22,1
2022-09-14,4.0,16,1
2022-09-15,0.0,22,3
2022-09-16,0.0,1,1
2022-09-17,0.0,0,2
2022-09-18,0.0,0,0
2022-09-19,1.0,18,0
2022-09-20,0.0,28,2
2022-09-21,6.0,18,3
2022-09-22,4.0,15,2
2022-09-23,0.0,13,0
2022-09-24,0.0,1,0
2022-09-25,0.0,1,1
2022-09-26,0.0,33,0
2022-09-27,0.0,28,0
2022-09-28,1.0,18,0
2022-09-29,3.0,23,2
2022-09-30,1.0,17,0
2022-10-01,1.0,1,0
2022-10-02,2.0,0,0
2022-10-03,7.0,15,0
2022-10-04,8.0,21,0
2022-10-05,6.0,23,1
2022-10-06,12.0,15,1
2022-10-07,2.0,3,3
2022-10-08,0.0,0,0
2022-10-09,3.0,1,0
2022-10-10,5.0,25,0
2022-10-11,2.0,28,2
2022-10-12,11.0,31,0
2022-10-13,8.0,19,0
2022-10-14,4.0,38,0
2022-10-15,0.0,1,2
2022-10-16,0.0,0,0
2022-10-17,11.0,15,1
2022-10-18,15.0,21,3
2022-10-19,12.0,13,1
2022-10-20,3.0,19,1
2022-10-21,0.0,4,1
2022-10-22,0.0,0,0
2022-10-23,0.0,0,0
2022-10-24,7.0,15,1
2022-10-25,9.0,15,1
2022-10-26,80.0,13,0
2022-10-27,376.0,6,0
2022-10-28,6.0,7,0
2022-10-29,1.0,0,0
2022-10-30,4.0,0,1
2022-10-31,7.0,18,3
2022-11-01,0.0,25,1
2022-11-02,1.0,20,1
2022-11-03,5.0,25,1
2022-11-04,2.0,23,0
2022-11-05,0.0,3,0
2022-11-06,0.0,0,1
2022-11-07,0.0,19,0
2022-11-08,10.0,31,1
2022-11-09,1.0,28,2
2022-11-10,4.0,35,0
2022-11-11,0.0,9,1
2022-11-12,2.0,0,0
2022-11-13,2.0,0,0
2022-11-14,3.0,24,1
2022-11-15,4.0,29,2
2022-11-16,1.0,26,1
2022-11-17,8.0,22,2
2022-11-18,0.0,27,1
2022-11-19,0.0,3,1
2022-11-20,0.0,1,0
2022-11-21,1.0,21,0
2022-11-22,0.0,28,0
2022-11-23,3.0,24,1
2022-11-24,6.0,30,2
2022-11-25,0.0,1,1
2022-11-26,3.0,0,0
2022-11-27,0.0,1,0
2022-11-28,11.0,17,0
2022-11-29,2.0,14,0
2022-11-30,7.0,13,2
2022-12-01,14.0,9,1
2022-12-02,0.0,11,0
2022-12-03,8.0,0,2
2022-12-04,3.0,0,0
2022-12-05,11.0,20,0
2022-12-06,11.0,24,1
2022-12-07,18.0,28,2
2022-12-08,13.0,19,2
2022-12-09,2.0,3,1
2022-12-10,1.0,0,1
2022-12-11,4.0,3,0
2022-12-12,7.0,31,0
2022-12-13,13.0,18,2
2022-12-14,8.0,25,2
2022-12-15,3.0,15,5
2022-12-16,3.0,15,0
2022-12-17,0.0,2,0
2022-12-18,0.0,1,1
2022-12-19,14.0,12,2
2022-12-20,7.0,18,4
2022-12-21,13.0,27,3
2022-12-22,17.0,28,1
2022-12-23,0.0,12,2
2022-12-24,0.0,1,0
2022-12-25,1.0,0,1
2022-12-26,3.0,6,0
2022-12-27,0.0,9,0
2022-12-28,0.0,7,1
2022-12-29,0.0,3,1
2022-12-30,0.0,7,0
2022-12-31,0.0,1,0
2023-01-01,0.0,0,1
2023-01-02,5.0,0,2
2023-01-03,3.0,18,7
2023-01-04,9.0,24,1
2023-01-05,14.0,17,4
2023-01-06,1.0,3,3
2023-01-07,0.0,0,1
2023-01-08,0.0,0,0
2023-01-09,8.0,29,8
2023-01-10,6.0,24,4
2023-01-11,13.0,30,4
2023-01-12,9.0,23,0
2023-01-13,1.0,34,1
2023-01-14,0.0,3,0
2023-01-15,0.0,0,1
2023-01-16,10.0,24,2
2023-01-17,16.0,30,5
2023-01-18,16.0,24,3
2023-01-19,18.0,32,5
2023-01-20,0.0,4,1
2023-01-21,0.0,3,4
2023-01-22,0.0,1,1
2023-01-23,12.0,39,0
2023-01-24,8.0,43,1
2023-01-25,18.0,31,3
2023-01-26,4.0,30,4
2023-01-27,0.0,35,4
2023-01-28,0.0,1,1
2023-01-29,0.0,0,0
2023-01-30,5.0,33,5
2023-01-31,26.0,26,2
2023-02-01,9.0,30,0
2023-02-02,15.0,40,3
2023-02-03,0.0,3,3
2023-02-04,0.0,3,5
2023-02-05,0.0,0,3
2023-02-06,9.0,37,3
2023-02-07,0.0,47,2
2023-02-08,9.0,25,0
2023-02-09,5.0,27,5
2023-02-10,2.0,26,3
2023-02-11,0.0,5,0
2023-02-12,0.0,1,2
2023-02-13,13.0,25,1
2023-02-14,14.0,28,2
2023-02-15,2.0,13,2
2023-02-16,13.0,19,33
2023-02-17,1.0,6,3
2023-02-18,0.0,1,2
2023-02-19,0.0,0,0
2023-02-20,19.0,21,4
2023-02-21,8.0,26,4
2023-02-22,16.0,25,3
2023-02-23,21.0,27,0
2023-02-24,0.0,14,1
2023-02-25,0.0,1,0
2023-02-26,0.0,0,3
2023-02-27,2.0,18,4
2023-02-28,1.0,24,1
2023-03-01,1.0,27,2
2023-03-02,0.0,26,3
2023-03-03,3.0,3,9
2023-03-04,0.0,2,0
2023-03-05,0.0,0,3
2023-03-06,9.0,26,3
2023-03-07,4.0,23,2
2023-03-08,10.0,35,0
2023-03-09,15.0,17,0
2023-03-10,0.0,32,54
2023-03-11,0.0,3,2
2023-03-12,0.0,0,0
2023-03-13,3.0,3,2
2023-03-14,2.0,7,3
2023-03-15,6.0,5,2
2023-03-16,1.0,6,8
2023-03-17,0.0,1,0
2023-03-18,0.0,3,4
2023-03-19,0.0,0,4
2023-03-20,75.0,22,2
2023-03-21,3.0,32,0
2023-03-22,2.0,28,3
2023-03-23,8.0,20,3
2023-03-24,0.0,22,0
2023-03-25,0.0,1,1
2023-03-26,1.0,2,0
2023-03-27,8.0,41,0
2023-03-28,6.0,36,1
2023-03-29,11.0,29,1
2023-03-30,25.0,34,0
2023-03-31,1.0,34,2
2023-04-01,0.0,0,1
2023-04-02,0.0,0,4
2023-04-03,16.0,12,2
2023-04-04,12.0,23,0
2023-04-05,12.0,34,6
2023-04-06,25.0,20,1
2023-04-07,6.0,6,2
2023-04-08,0.0,0,0
2023-04-09,0.0,2,0
2023-04-10,0.0,16,4
2023-04-11,1.0,39,3
2023-04-12,16.0,25,1
2023-04-13,16.0,24,2
2023-04-14,0.0,5,0
2023-04-15,0.0,1,0
2023-04-16,0.0,0,0
2023-04-17,0.0,48,2
2023-04-18,4.0,40,3
2023-04-19,0.0,22,2
2023-04-20,0.0,43,1
2023-04-21,0.0,35,1
2023-04-22,0.0,4,1
2023-04-23,0.0,0,0
2023-04-24,8.0,33,1
2023-04-25,7.0,24,1
2023-04-26,9.0,22,0
2023-04-27,3.0,29,0
2023-04-28,1.0,20,1
2023-04-29,4.0,3,1
2023-04-30,0.0,1,0
2023-05-01,0.0,13,6
2023-05-02,18.0,28,2
2023-05-03,33.0,39,3
2023-05-04,14.0,33,8
2023-05-05,0.0,21,0
2023-05-06,1.0,1,4
2023-05-07,0.0,2,2
2023-05-08,3.0,18,4
2023-05-09,0.0,32,4
2023-05-10,6.0,25,4
2023-05-11,1.0,25,2
2023-05-12,0.0,17,59
2023-05-13,0.0,1,3
2023-05-14,0.0,0,3
2023-05-15,7.0,22,3
2023-05-16,10.0,31,57
2023-05-17,2.0,28,19
2023-05-18,0.0,10,4
2023-05-19,0.0,1,5
2023-05-20,0.0,0,2
2023-05-21,0.0,0,0
2023-05-22,2.0,29,5
2023-05-23,4.0,24,8
2023-05-24,4.0,29,7
2023-05-25,11.0,29,8
2023-05-26,0.0,22,5
2023-05-27,0.0,2,2
2023-05-28,0.0,2,0
2023-05-29,11.0,8,2
2023-05-30,2.0,24,8
2023-05-31,0.0,16,80
2023-06-01,0.0,32,6
2023-06-02,0.0,20,2
2023-06-03,0.0,3,2
2023-06-04,0.0,0,1
2023-06-05,1.0,24,7
2023-06-06,3.0,32,2
2023-06-07,1.0,33,4
2023-06-08,3.0,29,3
2023-06-09,0.0,20,0
2023-06-10,0.0,2,0
2023-06-11,0.0,0,0
2023-06-12,1.0,27,1
2023-06-13,0.0,25,3
2023-06-14,3.0,39,7
2023-06-15,0.0,22,5
2023-06-16,0.0,6,15
2023-06-17,0.0,1,5
2023-06-18,0.0,3,4
2023-06-19,1.0,17,7
2023-06-20,7.0,36,4
2023-06-21,1.0,16,3
2023-06-22,14.0,36,5
2023-06-23,3.0,16,6
2023-06-24,0.0,7,2
2023-06-25,0.0,1,0
2023-06-26,23.0,29,84
2023-06-27,43.0,27,42
2023-06-28,39.0,28,4
2023-06-29,28.0,34,2
2023-06-30,2.0,21,6
2023-07-01,1.0,2,5
2023-07-02,0.0,3,5
2023-07-03,9.0,19,10
2023-07-04,2.0,20,14
2023-07-05,2.0,20,0
2023-07-06,10.0,20,10
2023-07-07,0.0,33,10
2023-07-08,0.0,2,5
2023-07-09,0.0,2,2
2023-07-10,6.0,36,4
2023-07-11,0.0,34,6
2023-07-12,6.0,29,4
2023-07-13,4.0,22,4
2023-07-14,11.0,20,2
2023-07-15,0.0,3,0
2023-07-16,0.0,0,0
2023-07-17,2.0,19,0
2023-07-18,6.0,29,6
2023-07-19,1.0,22,3
2023-07-20,3.0,27,5
2023-07-21,0.0,4,5
2023-07-22,0.0,0,0
2023-07-23,0.0,0,1
2023-07-24,5.0,20,12
2023-07-25,6.0,28,5
2023-07-26,3.0,27,14
2023-07-27,3.0,27,8
2023-07-28,0.0,18,5
2023-07-29,1.0,4,1
2023-07-30,0.0,1,2
2023-07-31,1.0,20,5
2023-08-01,2.0,31,4
2023-08-02,0.0,25,13
2023-08-03,0.0,26,10
2023-08-04,0.0,29,5
2023-08-05,1.0,1,8
2023-08-06,0.0,2,1
2023-08-07,0.0,15,4
2023-08-08,11.0,25,6
2023-08-09,1.0,28,2
2023-08-10,13.0,24,13
2023-08-11,0.0,25,3
2023-08-12,0.0,4,0
2023-08-13,0.0,4,0
2023-08-14,1.0,25,1
2023-08-15,0.0,36,10
2023-08-16,1.0,36,2
2023-08-17,0.0,38,6
2023-08-18,0.0,6,2
2023-08-19,0.0,1,6
2023-08-20,0.0,2,3
2023-08-21,0.0,26,6
2023-08-22,1.0,53,3
2023-08-23,3.0,36,6
2023-08-24,1.0,21,1
2023-08-25,0.0,24,2
2023-08-26,0.0,5,8
2023-08-27,0.0,4,0
2023-08-28,2.0,20,5
2023-08-29,0.0,35,5
2023-08-30,0.0,24,0
2023-08-31,0.0,30,3
2023-09-01,0.0,14,6
2023-09-02,0.0,2,4
2023-09-03,0.0,1,2
2023-09-04,2.0,18,6
2023-09-05,1.0,16,3
2023-09-06,6.0,41,2
2023-09-07,2.0,33,4
2023-09-08,3.0,47,1
2023-09-09,0.0,1,1
2023-09-10,0.0,1,0
2023-09-11,11.0,36,2
2023-09-12,8.0,24,1
2023-09-13,0.0,30,1
2023-09-14,0.0,19,7
2023-09-15,0.0,5,6
2023-09-16,0.0,1,4
2023-09-17,0.0,1,3
2023-09-18,2.0,24,3
2023-09-19,0.0,29,4
2023-09-20,0.0,26,3
2023-09-21,2.0,24,2
2023-09-22,0.0,25,4
2023-09-23,0.0,3,0
2023-09-24,0.0,1,6
2023-09-25,0.0,21,8
2023-09-26,2.0,22,4
2023-09-27,0.0,27,5
2023-09-28,0.0,35,8
2023-09-29,0.0,39,5
2023-09-30,0.0,3,0
2023-10-01,0.0,5,1
2023-10-02,0.0,38,3
2023-10-03,1.0,45,3
2023-10-04,0.0,37,5
2023-10-05,2.0,28,8
2023-10-06,0.0,37,5
2023-10-07,0.0,6,1
2023-10-08,0.0,3,3
2023-10-09,5.0,43,14
2023-10-10,3.0,46,5
2023-10-11,9.0,46,4
2023-10-12,7.0,28,0
2023-10-13,14.0,36,12
2023-10-14,0.0,3,1
2023-10-15,0.0,4,3
2023-10-16,3.0,33,3
2023-10-17,1.0,33,6
2023-10-18,4.0,40,1
2023-10-19,1.0,40,0
2023-10-20,0.0,5,2
2023-10-21,0.0,1,1
2023-10-22,0.0,1,0
2023-10-23,6.0,20,7
2023-10-24,1.0,20,4
2023-10-25,0.0,31,12
2023-10-26,1.0,34,4
2023-10-27,0.0,35,8
2023-10-28,0.0,6,0
2023-10-29,0.0,3,0
2023-10-30,82.0,33,7
2023-10-31,12.0,35,7
2023-11-01,4.0,23,3
2023-11-02,13.0,39,5
2023-11-03,0.0,32,2
2023-11-04,0.0,3,2
2023-11-05,0.0,1,1
2023-11-06,6.0,23,2
2023-11-07,0.0,30,4
2023-11-08,5.0,22,2
2023-11-09,9.0,32,2
2023-11-10,1.0,30,2
2023-11-11,0.0,2,1
2023-11-12,1.0,5,2
2023-11-13,5.0,38,7
2023-11-14,2.0,42,13
2023-11-15,1.0,48,7
2023-11-16,0.0,46,5
2023-11-17,0.0,5,9
2023-11-18,0.0,3,0
2023-11-19,0.0,4,1
2023-11-20,5.0,31,3
2023-11-21,1.0,31,4
2023-11-22,1.0,35,6
2023-11-23,4.0,43,6
2023-11-24,0.0,42,2
2023-11-25,1.0,2,2
2023-11-26,0.0,1,3
2023-11-27,3.0,50,7
2023-11-28,11.0,35,11
