,apache/echarts,highcharts/highcharts,plotly/plotly.js
2021-06-30,7.0,8,15
2021-07-01,5.0,3,0
2021-07-02,7.0,17,0
2021-07-03,3.0,3,0
2021-07-04,0.0,0,0
2021-07-05,4.0,20,7
2021-07-06,7.0,22,21
2021-07-07,3.0,12,35
2021-07-08,9.0,8,17
2021-07-09,5.0,18,17
2021-07-10,2.0,1,0
2021-07-11,4.0,0,0
2021-07-12,8.0,10,19
2021-07-13,13.0,7,10
2021-07-14,5.0,9,13
2021-07-15,13.0,25,0
2021-07-16,10.0,8,2
2021-07-17,0.0,1,25
2021-07-18,1.0,1,1
2021-07-19,1.0,6,17
2021-07-20,11.0,4,12
2021-07-21,8.0,5,11
2021-07-22,4.0,4,12
2021-07-23,9.0,9,12
2021-07-24,0.0,0,2
2021-07-25,1.0,2,0
2021-07-26,0.0,5,6
2021-07-27,4.0,7,4
2021-07-28,3.0,6,24
2021-07-29,3.0,5,11
2021-07-30,1.0,3,16
2021-07-31,5.0,7,0
2021-08-01,0.0,5,0
2021-08-02,1.0,8,1
2021-08-03,1.0,5,13
2021-08-04,4.0,5,17
2021-08-05,2.0,4,10
2021-08-06,2.0,4,3
2021-08-07,0.0,0,0
2021-08-08,0.0,0,0
2021-08-09,0.0,1,0
2021-08-10,0.0,6,39
2021-08-11,1.0,4,8
2021-08-12,0.0,8,12
2021-08-13,1.0,112,9
2021-08-14,0.0,0,1
2021-08-15,1.0,0,0
2021-08-16,0.0,16,15
2021-08-17,0.0,19,6
2021-08-18,0.0,14,8
2021-08-19,4.0,15,0
2021-08-20,5.0,3,0
2021-08-21,3.0,0,0
2021-08-22,8.0,0,0
2021-08-23,1.0,23,10
2021-08-24,7.0,9,5
2021-08-25,2.0,6,18
2021-08-26,2.0,12,14
2021-08-27,2.0,11,8
2021-08-28,3.0,0,0
2021-08-29,0.0,0,0
2021-08-30,0.0,5,10
2021-08-31,0.0,11,17
2021-09-01,1.0,6,9
2021-09-02,5.0,13,9
2021-09-03,10.0,11,14
2021-09-04,0.0,0,0
2021-09-05,2.0,0,0
2021-09-06,1.0,11,0
2021-09-07,5.0,9,2
2021-09-08,4.0,12,2
2021-09-09,7.0,6,0
2021-09-10,3.0,8,0
2021-09-11,0.0,0,0
2021-09-12,0.0,0,0
2021-09-13,5.0,16,7
2021-09-14,7.0,5,5
2021-09-15,5.0,16,7
2021-09-16,3.0,4,3
2021-09-17,3.0,33,0
2021-09-18,0.0,0,0
2021-09-19,0.0,0,0
2021-09-20,0.0,9,0
2021-09-21,1.0,38,0
2021-09-22,4.0,14,0
2021-09-23,1.0,10,4
2021-09-24,2.0,9,0
2021-09-25,0.0,0,0
2021-09-26,0.0,0,0
2021-09-27,0.0,20,1
2021-09-28,2.0,9,1
2021-09-29,5.0,28,2
2021-09-30,0.0,21,13
2021-10-01,0.0,13,19
2021-10-02,0.0,0,0
2021-10-03,1.0,0,0
2021-10-04,2.0,18,9
2021-10-05,0.0,16,3
2021-10-06,3.0,21,0
2021-10-07,0.0,8,2
2021-10-08,2.0,20,16
2021-10-09,4.0,3,3
2021-10-10,0.0,0,0
2021-10-11,5.0,4,2
2021-10-12,7.0,6,2
2021-10-13,2.0,7,0
2021-10-14,4.0,5,0
2021-10-15,10.0,2,0
2021-10-16,0.0,0,0
2021-10-17,4.0,2,0
2021-10-18,1.0,32,27
2021-10-19,1.0,16,12
2021-10-20,4.0,16,4
2021-10-21,2.0,17,2
2021-10-22,0.0,10,6
2021-10-23,0.0,2,0
2021-10-24,1.0,5,0
2021-10-25,10.0,1,0
2021-10-26,3.0,9,7
2021-10-27,6.0,3,1
2021-10-28,0.0,16,0
2021-10-29,0.0,2,8
2021-10-30,0.0,1,0
2021-10-31,0.0,0,0
2021-11-01,5.0,11,0
2021-11-02,2.0,28,0
2021-11-03,2.0,8,6
2021-11-04,6.0,11,0
2021-11-05,0.0,9,4
2021-11-06,0.0,2,0
2021-11-07,0.0,2,0
2021-11-08,1.0,22,0
2021-11-09,2.0,18,0
2021-11-10,0.0,6,0
2021-11-11,1.0,19,13
2021-11-12,0.0,5,3
2021-11-13,0.0,12,0
2021-11-14,0.0,1,0
2021-11-15,3.0,4,0
2021-11-16,5.0,36,1
2021-11-17,0.0,10,10
2021-11-18,4.0,3,4
2021-11-19,7.0,6,4
2021-11-20,0.0,0,2
2021-11-21,1.0,5,0
2021-11-22,2.0,10,16
2021-11-23,4.0,13,8
2021-11-24,7.0,10,3
2021-11-25,4.0,3,2
2021-11-26,10.0,8,3
2021-11-27,0.0,1,0
2021-11-28,0.0,1,0
2021-11-29,12.0,14,2
2021-11-30,3.0,3,0
2021-12-01,2.0,18,2
2021-12-02,0.0,5,6
2021-12-03,3.0,14,6
2021-12-04,0.0,0,0
2021-12-05,1.0,0,2
2021-12-06,0.0,27,3
2021-12-07,4.0,13,1
2021-12-08,3.0,7,2
2021-12-09,9.0,11,10
2021-12-10,5.0,4,8
2021-12-11,4.0,5,0
2021-12-12,4.0,0,0
2021-12-13,2.0,22,0
2021-12-14,2.0,7,0
2021-12-15,2.0,7,3
2021-12-16,4.0,9,2
2021-12-17,3.0,20,0
2021-12-18,0.0,0,0
2021-12-19,0.0,0,0
2021-12-20,7.0,5,10
2021-12-21,6.0,12,0
2021-12-22,1.0,9,2
2021-12-23,3.0,6,1
2021-12-24,7.0,0,1
2021-12-25,0.0,0,0
2021-12-26,0.0,0,0
2021-12-27,0.0,0,0
2021-12-28,3.0,0,0
2021-12-29,7.0,5,0
2021-12-30,4.0,9,0
2021-12-31,2.0,0,0
2022-01-01,0.0,0,0
2022-01-02,0.0,0,0
2022-01-03,0.0,3,3
2022-01-04,13.0,21,5
2022-01-05,8.0,7,5
2022-01-06,8.0,17,6
2022-01-07,11.0,10,4
2022-01-08,4.0,0,1
2022-01-09,2.0,0,0
2022-01-10,8.0,2,3
2022-01-11,2.0,3,0
2022-01-12,1.0,5,3
2022-01-13,6.0,20,8
2022-01-14,6.0,35,0
2022-01-15,3.0,0,0
2022-01-16,0.0,3,0
2022-01-17,4.0,3,0
2022-01-18,2.0,16,0
2022-01-19,2.0,3,8
2022-01-20,5.0,5,0
