,typesense/typesense,meilisearch/meilisearch,elastic/elasticsearch
2022-07-22,2,0.0,28
2022-07-23,0,0.0,1
2022-07-24,1,0.0,0
2022-07-25,1,0.0,29
2022-07-26,2,0.0,30
2022-07-27,1,0.0,26
2022-07-28,1,5.0,17
2022-07-29,0,0.0,17
2022-07-30,0,0.0,1
2022-07-31,0,0.0,1
2022-08-01,1,0.0,27
2022-08-02,4,2.0,24
2022-08-03,1,1.0,31
2022-08-04,4,2.0,25
2022-08-05,3,0.0,3
2022-08-06,0,0.0,0
2022-08-07,2,0.0,1
2022-08-08,2,1.0,20
2022-08-09,1,0.0,17
2022-08-10,2,18.0,10
2022-08-11,0,3.0,16
2022-08-12,0,3.0,13
2022-08-13,1,0.0,2
2022-08-14,0,0.0,0
2022-08-15,0,0.0,15
2022-08-16,3,3.0,16
2022-08-17,2,52.0,32
2022-08-18,2,16.0,15
2022-08-19,1,1.0,0
2022-08-20,0,0.0,0
2022-08-21,0,0.0,0
2022-08-22,0,20.0,20
2022-08-23,0,13.0,16
2022-08-24,1,8.0,14
2022-08-25,2,0.0,11
2022-08-26,0,0.0,21
2022-08-27,2,1.0,1
2022-08-28,0,0.0,0
2022-08-29,2,3.0,15
2022-08-30,2,1.0,19
2022-08-31,2,5.0,12
2022-09-01,2,8.0,22
2022-09-02,2,3.0,3
2022-09-03,2,2.0,0
2022-09-04,0,3.0,0
2022-09-05,1,2.0,7
2022-09-06,2,2.0,17
2022-09-07,1,15.0,37
2022-09-08,2,3.0,34
2022-09-09,2,1.0,23
2022-09-10,1,0.0,1
2022-09-11,3,0.0,0
2022-09-12,1,1.0,25
2022-09-13,1,4.0,22
2022-09-14,1,4.0,16
2022-09-15,3,0.0,22
2022-09-16,1,0.0,1
2022-09-17,2,0.0,0
2022-09-18,0,0.0,0
2022-09-19,0,1.0,18
2022-09-20,2,0.0,28
2022-09-21,3,6.0,18
2022-09-22,2,4.0,15
2022-09-23,0,0.0,13
2022-09-24,0,0.0,1
2022-09-25,1,0.0,1
2022-09-26,0,0.0,33
2022-09-27,0,0.0,28
2022-09-28,0,1.0,18
2022-09-29,2,3.0,23
2022-09-30,0,1.0,17
2022-10-01,0,1.0,1
2022-10-02,0,2.0,0
2022-10-03,0,7.0,15
2022-10-04,0,8.0,21
2022-10-05,1,6.0,23
2022-10-06,1,12.0,15
2022-10-07,3,2.0,3
2022-10-08,0,0.0,0
2022-10-09,0,3.0,1
2022-10-10,0,5.0,25
2022-10-11,2,2.0,28
2022-10-12,0,11.0,31
2022-10-13,0,8.0,19
2022-10-14,0,4.0,38
2022-10-15,2,0.0,1
2022-10-16,0,0.0,0
2022-10-17,1,11.0,15
2022-10-18,3,15.0,21
2022-10-19,1,12.0,13
2022-10-20,1,3.0,19
2022-10-21,1,0.0,4
2022-10-22,0,0.0,0
2022-10-23,0,0.0,0
2022-10-24,1,7.0,15
2022-10-25,1,9.0,15
2022-10-26,0,80.0,13
2022-10-27,0,376.0,6
2022-10-28,0,6.0,7
2022-10-29,0,1.0,0
2022-10-30,1,4.0,0
2022-10-31,3,7.0,18
2022-11-01,1,0.0,25
2022-11-02,1,1.0,20
2022-11-03,1,5.0,25
2022-11-04,0,2.0,23
2022-11-05,0,0.0,3
2022-11-06,1,0.0,0
2022-11-07,0,0.0,19
2022-11-08,1,10.0,31
2022-11-09,2,1.0,28
2022-11-10,0,4.0,35
2022-11-11,1,0.0,9
2022-11-12,0,2.0,0
2022-11-13,0,2.0,0
2022-11-14,1,3.0,24
2022-11-15,2,4.0,29
2022-11-16,1,1.0,26
2022-11-17,2,8.0,22
2022-11-18,1,0.0,27
2022-11-19,1,0.0,3
2022-11-20,0,0.0,1
2022-11-21,0,1.0,21
2022-11-22,0,0.0,28
2022-11-23,1,3.0,24
2022-11-24,2,6.0,30
2022-11-25,1,0.0,1
2022-11-26,0,3.0,0
2022-11-27,0,0.0,1
2022-11-28,0,11.0,17
2022-11-29,0,2.0,14
2022-11-30,2,7.0,13
2022-12-01,1,14.0,9
2022-12-02,0,0.0,11
2022-12-03,2,8.0,0
2022-12-04,0,3.0,0
2022-12-05,0,11.0,20
2022-12-06,1,11.0,24
2022-12-07,2,18.0,28
2022-12-08,2,13.0,19
2022-12-09,1,2.0,3
2022-12-10,1,1.0,0
2022-12-11,0,4.0,3
2022-12-12,0,7.0,31
2022-12-13,2,13.0,18
2022-12-14,2,8.0,25
2022-12-15,5,3.0,15
2022-12-16,0,3.0,15
2022-12-17,0,0.0,2
2022-12-18,1,0.0,1
2022-12-19,2,14.0,12
2022-12-20,4,7.0,18
2022-12-21,3,13.0,27
2022-12-22,1,17.0,28
2022-12-23,2,0.0,12
2022-12-24,0,0.0,1
2022-12-25,1,1.0,0
2022-12-26,0,3.0,6
2022-12-27,0,0.0,9
2022-12-28,1,0.0,7
2022-12-29,1,0.0,3
2022-12-30,0,0.0,7
2022-12-31,0,0.0,1
2023-01-01,1,0.0,0
2023-01-02,2,5.0,0
2023-01-03,7,3.0,18
2023-01-04,1,9.0,24
2023-01-05,4,14.0,17
2023-01-06,3,1.0,3
2023-01-07,1,0.0,0
2023-01-08,0,0.0,0
2023-01-09,8,8.0,29
2023-01-10,4,6.0,24
2023-01-11,4,13.0,30
2023-01-12,0,9.0,23
2023-01-13,1,1.0,34
2023-01-14,0,0.0,3
2023-01-15,1,0.0,0
2023-01-16,2,10.0,24
2023-01-17,5,16.0,30
2023-01-18,3,16.0,24
2023-01-19,5,18.0,32
2023-01-20,1,0.0,4
2023-01-21,4,0.0,3
2023-01-22,1,0.0,1
2023-01-23,0,12.0,39
2023-01-24,1,8.0,43
2023-01-25,3,18.0,31
2023-01-26,4,4.0,30
2023-01-27,4,0.0,35
2023-01-28,1,0.0,1
2023-01-29,0,0.0,0
2023-01-30,5,5.0,33
2023-01-31,2,26.0,26
2023-02-01,0,9.0,30
2023-02-02,3,15.0,40
2023-02-03,3,0.0,3
2023-02-04,5,0.0,3
2023-02-05,3,0.0,0
2023-02-06,3,9.0,37
2023-02-07,2,0.0,47
2023-02-08,0,9.0,25
2023-02-09,5,5.0,27
2023-02-10,3,2.0,26
2023-02-11,0,0.0,5
