,agda/agda,idris-lang/Idris2,idris-lang/Idris-dev
2020-08-16,1,9.0,0
2020-08-17,3,2.0,0
2020-08-18,0,23.0,0
2020-08-19,8,8.0,0
2020-08-20,33,10.0,0
2020-08-21,1,7.0,0
2020-08-22,0,1.0,0
2020-08-23,1,0.0,1
2020-08-24,0,4.0,0
2020-08-25,2,14.0,0
2020-08-26,8,1.0,0
2020-08-27,0,6.0,1
2020-08-28,1,6.0,3
2020-08-29,4,0.0,0
2020-08-30,23,1.0,0
2020-08-31,1,6.0,0
2020-09-01,30,19.0,0
2020-09-02,5,2.0,0
2020-09-03,2,1.0,0
2020-09-04,0,1.0,0
2020-09-05,1,2.0,0
2020-09-06,8,0.0,0
2020-09-07,4,0.0,0
2020-09-08,5,0.0,0
2020-09-09,1,3.0,0
2020-09-10,5,10.0,0
2020-09-11,0,0.0,0
2020-09-12,0,0.0,0
2020-09-13,0,2.0,0
2020-09-14,5,2.0,0
2020-09-15,0,3.0,0
2020-09-16,1,8.0,0
2020-09-17,1,0.0,0
2020-09-18,1,0.0,0
2020-09-19,11,16.0,0
2020-09-20,0,6.0,0
2020-09-21,2,1.0,0
2020-09-22,3,3.0,0
2020-09-23,6,6.0,0
2020-09-24,0,4.0,0
2020-09-25,10,0.0,0
2020-09-26,5,0.0,0
2020-09-27,1,0.0,0
2020-09-28,4,4.0,0
2020-09-29,24,1.0,0
2020-09-30,0,4.0,0
2020-10-01,6,6.0,0
2020-10-02,4,4.0,0
2020-10-03,6,8.0,0
2020-10-04,0,0.0,0
2020-10-05,23,3.0,0
2020-10-06,1,1.0,0
2020-10-07,4,1.0,0
2020-10-08,3,0.0,0
2020-10-09,2,0.0,0
2020-10-10,0,0.0,0
2020-10-11,0,11.0,0
2020-10-12,12,5.0,2
2020-10-13,16,0.0,0
2020-10-14,19,3.0,0
2020-10-15,5,2.0,0
2020-10-16,6,2.0,0
2020-10-17,0,0.0,0
2020-10-18,1,0.0,0
2020-10-19,1,1.0,0
2020-10-20,4,0.0,0
2020-10-21,1,6.0,0
2020-10-22,1,0.0,0
2020-10-23,2,0.0,0
2020-10-24,0,3.0,0
2020-10-25,1,0.0,0
2020-10-26,3,1.0,0
2020-10-27,5,0.0,0
2020-10-28,27,0.0,1
2020-10-29,29,1.0,0
2020-10-30,1,0.0,0
2020-10-31,0,3.0,0
2020-11-01,14,2.0,1
2020-11-02,31,0.0,0
2020-11-03,1,0.0,0
2020-11-04,1,0.0,0
2020-11-05,0,0.0,0
2020-11-06,4,0.0,0
2020-11-07,0,0.0,0
2020-11-08,0,0.0,0
2020-11-09,2,0.0,0
2020-11-10,0,0.0,0
