,google/closure-compiler,rescript-lang/rescript-compiler,microsoft/typescript
2018-10-08,2,3,21
2018-10-09,5,9,15
2018-10-10,2,12,11
2018-10-11,4,6,16
2018-10-12,6,2,4
2018-10-13,0,2,0
2018-10-14,0,0,0
2018-10-15,2,0,10
2018-10-16,3,0,10
2018-10-17,3,0,5
2018-10-18,0,0,8
2018-10-19,11,11,7
2018-10-20,0,4,4
2018-10-21,0,3,6
2018-10-22,0,7,16
2018-10-23,5,5,9
2018-10-24,4,2,9
2018-10-25,0,6,12
2018-10-26,0,7,15
2018-10-27,0,2,1
2018-10-28,0,6,3
2018-10-29,0,4,14
2018-10-30,29,9,22
2018-10-31,5,1,46
2018-11-01,0,3,16
2018-11-02,7,3,15
2018-11-03,3,8,4
2018-11-04,0,2,0
2018-11-05,4,2,31
2018-11-06,0,1,17
2018-11-07,10,0,17
2018-11-08,6,0,19
2018-11-09,0,8,31
2018-11-10,0,1,14
2018-11-11,0,9,1
2018-11-12,12,6,23
2018-11-13,6,5,11
2018-11-14,5,0,4
2018-11-15,3,0,17
2018-11-16,0,0,16
2018-11-17,9,3,6
2018-11-18,0,10,0
2018-11-19,9,0,13
2018-11-20,4,8,13
2018-11-21,3,1,8
2018-11-22,0,8,1
2018-11-23,0,8,0
2018-11-24,0,3,0
2018-11-25,0,12,0
2018-11-26,5,7,4
2018-11-27,0,2,0
2018-11-28,6,8,8
2018-11-29,0,3,4
2018-11-30,8,11,9
2018-12-01,0,2,9
2018-12-02,0,16,0
2018-12-03,0,10,7
2018-12-04,7,5,13
2018-12-05,0,3,13
2018-12-06,2,0,26
2018-12-07,17,1,6
2018-12-08,1,0,9
2018-12-09,0,1,5
2018-12-10,0,6,11
2018-12-11,2,0,20
2018-12-12,0,5,5
2018-12-13,11,9,7
2018-12-14,0,5,3
2018-12-15,6,3,0
2018-12-16,0,1,4
2018-12-17,9,8,9
2018-12-18,5,0,19
2018-12-19,9,0,11
2018-12-20,0,0,25
2018-12-21,17,5,14
2018-12-22,0,3,1
2018-12-23,0,0,1
2018-12-24,0,0,0
2018-12-25,0,2,1
2018-12-26,5,0,3
2018-12-27,0,12,3
2018-12-28,2,11,10
2018-12-29,0,10,1
2018-12-30,0,2,0
2018-12-31,0,5,14
2019-01-01,0,11,4
2019-01-02,0,6,1
2019-01-03,2,1,15
2019-01-04,3,18,4
2019-01-05,0,3,0
2019-01-06,0,11,1
2019-01-07,7,0,4
2019-01-08,6,0,5
2019-01-09,5,15,13
2019-01-10,2,2,13
2019-01-11,12,7,18
2019-01-12,0,0,2
2019-01-13,0,0,1
2019-01-14,10,18,11
2019-01-15,7,6,18
2019-01-16,5,9,15
2019-01-17,7,5,19
2019-01-18,8,6,8
2019-01-19,0,0,12
2019-01-20,0,17,4
