,pytorch/pytorch,google/flax,deepmind/dm-haiku
2020-04-22,44,1,0
2020-04-23,35,5,4
2020-04-24,31,3,2
2020-04-25,34,0,2
2020-04-26,10,2,1
2020-04-27,32,1,0
2020-04-28,21,2,1
2020-04-29,56,7,0
2020-04-30,40,1,1
2020-05-01,35,0,1
2020-05-02,6,0,0
2020-05-03,4,0,0
2020-05-04,35,3,4
2020-05-05,63,5,0
2020-05-06,59,0,3
2020-05-07,52,9,0
2020-05-08,56,5,0
2020-05-09,17,0,0
2020-05-10,3,3,0
2020-05-11,27,6,2
2020-05-12,47,13,1
2020-05-13,49,3,0
2020-05-14,59,5,5
2020-05-15,42,7,1
2020-05-16,9,0,1
2020-05-17,2,0,0
2020-05-18,34,5,2
2020-05-19,43,5,9
2020-05-20,36,2,13
2020-05-21,37,1,6
2020-05-22,11,0,1
2020-05-23,0,0,2
2020-05-24,0,1,2
2020-05-25,0,4,2
2020-05-26,35,3,2
2020-05-27,43,8,6
2020-05-28,40,10,3
2020-05-29,35,9,0
2020-05-30,7,0,0
2020-05-31,2,1,0
2020-06-01,27,0,0
2020-06-02,42,2,4
2020-06-03,24,4,0
2020-06-04,38,8,2
2020-06-05,19,2,1
2020-06-06,7,0,1
2020-06-07,22,0,0
2020-06-08,22,0,1
2020-06-09,35,6,1
2020-06-10,33,1,0
2020-06-11,37,0,4
2020-06-12,39,1,1
2020-06-13,10,0,1
2020-06-14,7,0,0
2020-06-15,18,0,0
2020-06-16,57,0,0
2020-06-17,42,1,3
2020-06-18,47,1,1
2020-06-19,42,2,0
2020-06-20,17,0,0
2020-06-21,7,0,0
2020-06-22,37,2,0
2020-06-23,55,0,1
2020-06-24,49,2,4
2020-06-25,22,2,1
2020-06-26,30,2,2
2020-06-27,11,1,0
2020-06-28,7,0,1
2020-06-29,13,4,1
2020-06-30,35,1,2
2020-07-01,18,0,1
2020-07-02,27,1,0
2020-07-03,14,3,1
2020-07-04,6,0,0
2020-07-05,1,0,0
2020-07-06,27,1,1
2020-07-07,31,0,0
2020-07-08,34,2,2
2020-07-09,41,2,0
2020-07-10,27,0,0
2020-07-11,13,0,0
2020-07-12,3,6,0
2020-07-13,15,0,1
2020-07-14,21,1,1
2020-07-15,36,3,2
2020-07-16,43,6,1
2020-07-17,30,5,0
2020-07-18,10,3,0
2020-07-19,3,0,0
2020-07-20,15,4,1
2020-07-21,18,5,1
2020-07-22,29,3,0
2020-07-23,32,3,1
2020-07-24,22,0,2
2020-07-25,7,0,0
2020-07-26,5,0,1
2020-07-27,21,0,1
2020-07-28,47,0,0
2020-07-29,24,0,3
2020-07-30,26,1,0
2020-07-31,22,0,1
2020-08-01,13,0,1
2020-08-02,3,0,0
2020-08-03,16,1,1
2020-08-04,44,4,0
2020-08-05,42,0,3
2020-08-06,41,1,0
2020-08-07,31,5,1
2020-08-08,15,0,1
2020-08-09,1,0,2
2020-08-10,14,1,0
2020-08-11,35,17,0
2020-08-12,29,15,1
2020-08-13,25,4,1
2020-08-14,43,17,1
2020-08-15,8,0,0
2020-08-16,3,1,0
2020-08-17,15,7,0
2020-08-18,27,4,0
2020-08-19,15,5,0
2020-08-20,25,2,0
2020-08-21,48,4,0
2020-08-22,21,0,0
2020-08-23,7,0,1
2020-08-24,14,1,0
2020-08-25,23,7,2
2020-08-26,30,3,2
2020-08-27,31,11,0
2020-08-28,29,20,1
2020-08-29,25,0,0
2020-08-30,14,0,1
2020-08-31,37,2,0
2020-09-01,51,7,0
2020-09-02,35,2,0
2020-09-03,61,1,0
2020-09-04,30,1,1
2020-09-05,16,0,0
2020-09-06,9,4,0
2020-09-07,6,4,2
2020-09-08,21,9,3
2020-09-09,50,1,0
2020-09-10,29,3,1
2020-09-11,56,10,0
2020-09-12,10,0,0
2020-09-13,8,0,0
2020-09-14,32,11,1
2020-09-15,29,4,0
2020-09-16,44,8,1
2020-09-17,40,22,2
2020-09-18,31,20,0
2020-09-19,13,0,0
2020-09-20,2,1,0
2020-09-21,20,5,0
2020-09-22,38,8,0
2020-09-23,40,12,0
2020-09-24,47,6,0
2020-09-25,43,7,0
2020-09-26,19,0,0
2020-09-27,12,0,0
2020-09-28,35,11,0
2020-09-29,59,8,0
2020-09-30,39,9,0
2020-10-01,33,14,0
2020-10-02,39,12,0
2020-10-03,9,0,0
2020-10-04,2,0,1
2020-10-05,26,0,3
2020-10-06,38,0,1
2020-10-07,30,3,0
2020-10-08,51,2,1
2020-10-09,28,1,2
2020-10-10,10,0,0
2020-10-11,3,1,0
2020-10-12,18,10,0
2020-10-13,35,1,0
2020-10-14,40,9,1
2020-10-15,40,2,1
2020-10-16,26,2,0
2020-10-17,10,0,0
2020-10-18,5,0,0
2020-10-19,13,6,0
2020-10-20,25,4,1
2020-10-21,31,1,1
2020-10-22,39,3,0
2020-10-23,26,5,1
2020-10-24,9,3,1
2020-10-25,0,3,1
2020-10-26,17,2,2
2020-10-27,31,9,2
2020-10-28,31,2,0
2020-10-29,50,0,1
2020-10-30,26,9,1
2020-10-31,6,5,0
2020-11-01,3,0,1
2020-11-02,24,11,4
2020-11-03,45,12,0
2020-11-04,37,5,0
2020-11-05,35,7,1
